Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, and most required steps are present and correctly structured. The main issues are small deviations from the specified arguments (e.g., missing strata in the split, not explicitly setting log base, and a slightly incorrect extract_workflow() call). Tightening those details to match the rubric instructions will help ensure full credit in future labs.",2.5,2,2,2.5,3,3,3,3,3,2,"You correctly used skimr::skim() on dat and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without intermediate objects.","You used set.seed() and rsample::initial_split(), training(), and testing(), and created ames_train/ames_test with a 75% split. You omitted strata = 'Sale_Price', which was required for full credit.","You created a recipe with the correct formula, log-transformed the outcome, normalized numeric predictors, pooled Neighborhood, and created dummies, then prepped the recipe. However, you did not specify base = exp(1) in step_log and the broom::tidy() call is outside the pipeline (it tidies the original norm_recipe object, not the prepped one).","All three models were specified with the correct parsnip functions, engines, and tunable parameters. You did not explicitly set mode = 'regression' for the linear models, but parsnip will default appropriately; everything else matches the expected workflow.","You correctly called parsnip::translate() on each of the three model objects, which matches the required process and will show the appropriate engine-specific templates.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required. This matches the expected process and output structure.,"You built a workflow_set with the base recipe and all three models, and then unnested the info column to inspect the structure. This matches the rubric’s expectations for both workflow creation and examination.","You used workflow_map() with appropriate arguments and then correctly selected, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row. The workflow matches the required steps.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output to your Exercise 8 summary, with a brief interpretation. This satisfies the rubric.","You extracted a best workflow, finalized it with trees and min_n, updated the recipe, fit on train and test, and computed the test/train MSE ratio. However, extract_workflow() is misused (extra all_workflows argument), and the rubric expected specifically extracting 'base_forest' and using the given best parameters; these deviations reduce process fidelity."
2,25,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, and most required steps are present and structured correctly. The main issues are small deviations from the specified arguments (e.g., missing strata in the split, missing base in step_log) and a couple of minor process errors (placement of prep/tidy and extract_workflow arguments). Tightening those details will align your work fully with the rubric and make your code more robust and reproducible.",2.5,2,2,2.5,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without intermediate objects.","You used set.seed() and rsample::initial_split(), training(), and testing(), and created ames_train/ames_test with a 75% split. You omitted strata = 'Sale_Price', which was required for full credit.","Your recipe uses the correct formula, log-transforms the outcome, normalizes numeric predictors, pools Neighborhood, and creates dummies. However, you did not specify base = exp(1) in step_log and the prep/tidy step is incorrectly placed after the pipeline (broom::tidy(norm_recipe) will not run as written).","You defined all three models with appropriate engines and tunable parameters. The only omission is an explicit parsnip::set_mode('regression') for the lm and glmnet models, which is recommended in the rubric solution.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and output structure.","You set the seed and created train_resamples <- rsample::bootstraps(ames_train) as required, matching the expected process and output object.","You created all_workflows with workflowsets::workflow_set() using the recipe and three models, and unnested the info column with tidyr::unnest(info), which matches the rubric’s expectations.","You updated all_workflows with workflow_map() and then correctly selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped, arranged by descending .estimate, and sliced the top row per workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output conceptually to your Exercise 8 results, satisfying the required process.","You extracted a best workflow, finalized it with trees and min_n, and fit on train and test data, computing a test/train MSE ratio. However, extract_workflow is called with incorrect arguments, and the rubric expected specifically extracting 'base_forest' and matching the provided approximate MSE ratio."
3,23,"You completed all exercises with generally correct use of tidymodels, workflowsets, and rsample, and your code shows a solid understanding of the modeling workflow. Most deductions are for small deviations from the specified process (e.g., missing strata in the split, not using step_center/step_scale, or slightly incorrect function arguments). Review the solution template and rubric to align more closely with the expected syntax and parameter choices in future labs.",2.5,2,2,2.5,3,3,3,3,3,2,"You correctly used skimr::skim() on dat and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without intermediate objects.","You set the seed and used initial_split(), training(), and testing() with a 0.75 prop, which is mostly correct. The split is not stratified on Sale_Price as required (missing strata = 'Sale_Price'), so the process and resulting split do not fully match the rubric.","You created a recipe with the correct formula, log-transformed the outcome, normalized numeric predictors, pooled Neighborhood, and created dummies, then prepped the recipe. However, you used step_normalize instead of separate step_center and step_scale, and the broom::tidy() call is outside the pipeline and will not work as written.","All three models are specified with appropriate engines and tunable parameters, and the random forest has min_n and trees set to tune(). The only omission is explicitly setting mode = 'regression' for the linear models, which the rubric expected for full fidelity.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and will display the appropriate templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required, producing the correct bootstrap resampling object.","You built a workflow_set with the base recipe and all three models, and then unnested the info column to inspect the structure. This matches the expected process and structure for the workflow set.","Your code updates all_workflows with workflow_map(), then selects and unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row. This fully matches the required workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output conceptually to your Exercise 8 results, satisfying the rubric.","You extracted a best workflow, finalized it with trees and min_n, and fit it on training and test data, then computed and reported the test/train MSE ratio. However, extract_workflow() is called with incorrect arguments, and the rubric expected specifically extracting 'base_forest' and the given parameter values; your selection logic and extraction syntax are not fully correct."
4,25.5,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, and you completed all exercises with mostly correct code and reasoning. The main areas to tighten are matching the exact stratification and preprocessing steps requested (e.g., strata argument, separate centering/scaling, correct use of broom::tidy) and small syntax details (e.g., extract_workflow arguments). Overall, this is a strong submission with only minor deviations from the specified process.",2.5,2,2,2.5,3,3,3,3,3,2.5,"You correctly used skimr::skim(dat) and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without intermediate objects.","You used set.seed() and rsample::initial_split(), training(), and testing(), and created ames_train/ames_test. However, you omitted strata = 'Sale_Price', so the split is not stratified as required.","You created a recipe with the correct formula, log-transformed the outcome, normalized numeric predictors, pooled Neighborhood, and created dummies, then prepped the recipe. The main issues are using step_normalize instead of separate step_center/step_scale and not using broom::tidy() correctly on the prepped recipe object.","All three models are specified with appropriate engines and tunable parameters for glmnet and ranger. You did not explicitly set mode = 'regression' for the linear models, but parsnip will default correctly, so only a minor process deviation.","You correctly called parsnip::translate() on each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which will display the three engine-specific templates as required.","You set the seed and created train_resamples <- rsample::bootstraps(ames_train) as specified, producing the expected bootstrap resampling object.","You built all_workflows with workflowsets::workflow_set() using the recipe and all three models, and then unnested the info column with tidyr::unnest(info), matching the expected structure and process.","You used workflow_map() with resamples and grid, then correctly selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row, matching the required workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output conceptually to your Exercise 8 results, satisfying the rubric requirements.","You extracted a best workflow (though the extract_workflow call includes an extra argument), finalized it with trees and min_n, fit on train and test data, and computed the test/train MSE ratio (~1.12). Minor issues are the slightly incorrect extract_workflow syntax and extra recipe redefinition, but the overall process and comparison are correct."
5,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most required steps are present and correctly structured. The main issues are small deviations from the specified arguments (e.g., missing strata in the split, using step_normalize instead of separate centering/scaling) and a minor misuse of extract_workflow. Tightening adherence to the exact function signatures and chaining requested in the rubric will help you reach full credit on future labs.",2.5,2,2,2.5,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without calling skim directly.","You set the seed and used rsample::initial_split, training(), and testing(), and created ames_train and ames_test with a 75% split. However, you omitted the strata = 'Sale_Price' argument, so the split is not stratified as required.","You created a recipe with the correct formula, log-transformed the outcome, normalized numeric predictors, pooled Neighborhood, and created dummies, which matches the intended preprocessing. But you used step_normalize instead of separate step_center and step_scale, and the prep/tidy step is not correctly chained (broom::tidy(norm_recipe) is outside the pipeline), so the examination step is incomplete per the rubric.","All three models are specified with the correct parsnip functions, engines, and tunable parameters, and the random forest is set to regression mode. You did not explicitly call set_mode('regression') for the linear models, but regression is the default, so only a minor process deviation.","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected workflow and would display the three engine-specific templates.","You set the seed and created train_resamples <- rsample::bootstraps(ames_train) as required, producing the expected bootstrap resampling object with default settings.","You built all_workflows with workflowsets::workflow_set using the recipe and all three models, and then unnested the info column with tidyr::unnest(info), which matches the expected structure and examination of the workflow set.","You used workflow_map with appropriate arguments and then correctly selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row, matching the required process and output structure.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared it to your Exercise 8 summary, with a brief interpretation, which satisfies the rubric for code and comparison.","You extracted a best workflow, finalized it with trees and min_n, updated the recipe, fit on train and test data, and computed the test/train MSE ratio, which aligns with the intended workflow. However, extract_workflow is misused (extra all_workflows argument), and the rubric expected specifically extracting 'base_forest' and the given ratio (~0.1146), so there are some process and accuracy deviations."
6,25.5,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, and most exercises follow the intended process closely. The main issues are a few missing or slightly incorrect arguments (e.g., strata in initial_split, base in step_log) and minor API misuses (e.g., extract_workflow call, chaining broom::tidy). Addressing these details will make your code more robust and fully aligned with the rubric expectations.",2.5,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without intermediate objects.","You used set.seed(8740), rsample::initial_split, training(), and testing(), and created ames_train/ames_test. The split is missing strata = 'Sale_Price', and this chunk is set eval: false, so the code would not actually run as written.","Your recipe uses the correct formula, log-transforms the outcome, normalizes numeric predictors, pools Neighborhood, and creates dummies, then preps the recipe. However, you did not specify base = exp(1) in step_log, and broom::tidy() is not correctly chained to the prepped recipe (it is called on norm_recipe rather than the prepped object).","You defined the three models with linear_reg and rand_forest, set engines correctly, and used tune() for penalty, mixture, trees, and min_n. You did not explicitly set mode = 'regression' for the linear models, and the chunk is eval: false so the code is not executable as-is per the rubric.","You correctly called parsnip::translate() on each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest in sequence, which matches the expected workflow and would display the three engine-specific templates.","You set the seed with set.seed(8740) and created train_resamples <- rsample::bootstraps(ames_train), which matches the expected process and output for bootstrap resampling of the training data.","You created all_workflows with workflowsets::workflow_set using a recipe and the three models, and then unnested the info column with tidyr::unnest(info), which matches the required structure and examination of the workflow set.","You updated all_workflows with workflow_map using tune_grid, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row. This follows the expected process and yields the best rmse per workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output conceptually to your Exercise 8 results, which satisfies the rubric’s requirements for process and interpretation.","You extracted a best workflow, finalized it with trees and min_n, and fit it on training and test data, computing a test/train MSE ratio (~1.116). However, extract_workflow is misused (extra all_workflows argument), and the rubric expected specifically extracting 'base_forest' and matching the provided ratio (~0.1146)."
7,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets; most required steps are present and correctly structured. The main issues are small deviations from the specified arguments (e.g., missing strata in the split, minor recipe and extract_workflow syntax issues) and not exactly matching the expected best-model extraction and reported ratio. Tightening adherence to the given specifications and double-checking function arguments would bring this to full credit.",2.5,2,2,2.5,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()), so a small process-fidelity deduction applies.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, which is good. You omitted the strata = 'Sale_Price' argument, so the split process is not fully as specified in the rubric.","You created a recipe with the correct formula, log-transformed the outcome, normalized numeric predictors, pooled Neighborhood, and created dummies, then prepped the recipe. However, you did not specify base = exp(1) in step_log and the broom::tidy() call is outside the pipeline and will not work as written, so the examination step is incomplete.","All three models are defined with appropriate engines and tuning parameters, and the random forest has trees and min_n set to tune(). You did not explicitly set mode = 'regression' for the linear models, but parsnip defaults to regression here, so only a minor process deduction.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and will display the engine-specific templates.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required. This matches the expected process and output structure.,"You built a workflow_set with the base recipe and all three models, and then unnested the info column to inspect the structure. This matches the rubric’s expectations for both process and output.","You used workflow_map() appropriately (even specifying 'tune_grid') and then correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row. This fully matches the required workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared it to your Exercise 8 summary, with a brief interpretation. This satisfies the rubric for code and comparison.","You extracted a best workflow, finalized it with trees and min_n, updated the recipe, and fit on train and test data, then computed and reported the MSE ratio. However, extract_workflow() is misused (extra all_workflows argument), and the rubric expected specifically extracting 'base_forest' and the given ratio (~0.1146), so there are some process and accuracy deviations."
8,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most required steps are present and correctly structured. The main issues are small deviations from the specified process (e.g., missing strata in the split, slight differences in recipe steps, and a nonstandard extract_workflow call). Tightening those details to match the rubric instructions would bring this very close to full credit.",2.5,2,2,2.5,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step, so a small process deduction applies.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, which is good. However, you did not use strata = 'Sale_Price', so the split does not fully match the specified process and expected output.","You created a recipe with the correct formula, log-transformed the outcome, normalized numeric predictors, pooled Neighborhood, and created dummies, which matches the intended transformations. But you used step_normalize instead of separate step_center and step_scale, and the broom::tidy() call is outside the recipe pipeline, so the process and examination step are not fully aligned with the rubric.","All three models are specified with the correct parsnip functions, engines, and tunable parameters, and the random forest is set to regression mode. You did not explicitly call set_mode('regression') for the linear models, but regression is the default, so only a minor process deduction.","You correctly applied parsnip::translate() to each of the three model objects, which matches the required workflow and would display the appropriate templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required, matching the expected process and output structure.","You built a workflow_set with the base recipe and all three models and then unnested the info column, which matches the expected workflow structure and examination step.","You used workflow_map with appropriate arguments and then correctly selected, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row, matching the required process.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared it conceptually to your Exercise 8 results, satisfying the rubric requirements.","You extracted a best workflow, finalized it with trees and min_n, updated the recipe, and fit on train and test data, then computed and reported the MSE ratio. However, extract_workflow is called with an incorrect signature, and the best parameters are hard-coded rather than clearly derived from your tuning results, so process fidelity is only partial."
9,23,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most exercises follow the intended structure. The main issues are small deviations from the specified process (e.g., missing strata in the split, minor recipe/prep placement problems, and slightly off extract_workflow usage). Tightening those details to match the rubric instructions will make your code more robust and reproducible.",2.5,2,2,2.5,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without intermediate objects.","You set the seed and used rsample::initial_split(), training(), and testing() with prop = 0.75, which is mostly correct. You omitted the strata = 'Sale_Price' argument, so the split does not follow the specified stratified process.","You created a recipe with the correct formula, log-transformed the outcome, normalized numeric predictors, pooled Neighborhood, and created dummies, which matches the intended transformations. However, you used step_normalize instead of separate step_center and step_scale, and the prep/tidy step is incorrectly placed after the pipe (broom::tidy(norm_recipe) will not run as written), so the process and examination are not fully correct.","All three models are specified with appropriate engines and tuning parameters, and the random forest is set to regression mode. You did not explicitly set mode = 'regression' for the linear and glmnet models, but parsnip will default correctly; otherwise the workflow matches the rubric.","You correctly called parsnip::translate() on each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which will display the three engine-specific model templates as required.","You set the seed and created train_resamples <- rsample::bootstraps(ames_train), which matches the expected process and will yield a proper bootstrap resampling object.","You built all_workflows with workflowsets::workflow_set() using the recipe and all three models, and then unnested the info column with tidyr::unnest(info), which correctly exposes the workflow structure as specified.","Your code updates all_workflows with workflow_map() and then selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row. This matches the required workflow and will yield the best rmse per workflow with tuning parameters visible.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output to your Exercise 8 summary, with a brief interpretation of differences, satisfying the rubric.","You extracted a best workflow, finalized it with trees and min_n, and fit it on training and test data, then computed and reported the test/train MSE ratio. However, extract_workflow() is misused (extra all_workflows argument), and the rubric expected specifically extracting 'base_forest' and using the given best parameters; your approach is close but not fully aligned with the specified process."
10,23,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with most required steps present and correctly structured. The main issues are small deviations from the specified arguments (e.g., missing strata in the split, not explicitly extracting base_forest, and minor recipe/translate details). Tightening those details to match the rubric exactly will help ensure full credit on future labs.",2.5,2,2,2.5,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without intermediate objects.","You set the seed and used initial_split, training, and testing correctly with a 75% split, but you omitted the strata = 'Sale_Price' argument, so the split is not stratified as specified.","Your recipe uses the correct formula, log-transforms the outcome, normalizes numeric predictors, pools Neighborhood, and creates dummies, and you call prep(). However, you did not specify base = exp(1) in step_log and did not use broom::tidy() to examine the prepped recipe as required.","You defined all three models with appropriate engines and tunable parameters, and set_mode('regression') for the random forest. To fully match the rubric, you should also explicitly set_mode('regression') for the linear models, and use parsnip::tune() (with namespace) for clarity.","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected workflow and output structure.","You set the seed and created train_resamples with rsample::bootstraps(ames_train) as specified, producing the correct bootstrap resampling object.","You built a workflow_set with the base recipe and all three models, and unnested the info column to inspect the structure, matching the expected process and structure.","You used workflow_map with appropriate arguments, then selected and unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate descending, and sliced the top row, which aligns with the rubric.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared it to your Exercise 8 summary, satisfying the required process and interpretation.","You extracted a best workflow, finalized it with trees and min_n, and fit on train and test data, computing the test/train MSE ratio. However, extract_workflow is called with an incorrect signature, and you did not explicitly extract the 'base_forest' workflow as specified, so the selection step is not fully correct."
