Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,19,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, tuning, and evaluation. Most required functions and steps are present and logically structured. To improve, align more closely with the specified object names and step order, adhere strictly to the rubric parameters (e.g., select_best = TRUE, specific workflow IDs and tuning values), and keep your EDA conclusions consistent with the expected interpretation.",1,3,2,2,2,3,2,2,2,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim() as specified and your written conclusion about missing data contradicts the expected 'no missing data' statement.","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created a recipe with the correct formula and included log transform, step_other, dummies, centering, and scaling, then prepped and tidied it. However, the order of steps does not match the expected sequence (center/scale numeric predictors before dummy creation), so process fidelity is slightly off.","You specified a linear_reg lm model, a glmnet model with tunable penalty and mixture, and a ranger random forest with tunable min_n and trees. However, the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which may break later workflow expectations.","You correctly called parsnip::translate() on each of your three model objects, but again the models are not named as in the rubric (lm_mod_glmnet, lm_mod_rforest), which slightly reduces process fidelity relative to the template.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and output structure.","You built a workflow_set with a recipe and three models and then unnested the info structure, which meets the main goals. However, you used a different recipe (rec_base) and model names and unnested with unnest_wider(info) instead of unnest(info), so the structure does not exactly match the expected base recipe plus three models.","You used workflow_map to tune, then unnested metrics, filtered for rmse, grouped by wflow_id, arranged in descending order, and sliced the top row, which matches the intended workflow. The code is more complex than needed and uses collect_metrics instead of directly unnesting .metrics, but it still achieves the required result.","You called workflowsets::rank_results with all_workflows and rank_metric = 'rmse' and compared to your manual results, but you omitted select_best = TRUE as specified in the rubric.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit to compare train/test performance and computed an MSE ratio, but you did not explicitly extract the 'base_forest' workflow or use the specified best parameters (trees = 1, min_n = 11), so the final model and ratio differ from the expected solution."
2,19,"Most core tidymodels steps are present and generally correct, including splitting, recipe creation, model specs, workflow sets, tuning, and performance comparison. The main deductions are for not strictly following the specified object names and exact workflows (e.g., recipe choice/order, model object names, and the specific base_forest workflow and parameters), and for a few deviations from the requested code patterns. Tightening alignment with the instructions and simplifying to the expected functions/objects would bring this to full credit.",1,3,2,2,2,3,2,2,2,2,You used skimr::skim() but did not pipe dat into skim (as required) and added extra NA-table code; also your written conclusion about missingness contradicts the expected 'no missing data'.,"Correct use of set.seed(8740), initial_split with prop = 0.75 and strata = Sale_Price, and proper creation of ames_train and ames_test.","You created and prepped a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, but the order does not match the expected (center/scale numeric predictors before dummying) and you used all_predictors() instead of all_numeric_predictors().","You correctly specified a base linear_reg with lm engine, a glmnet model with tunable penalty and mixture, and a ranger random forest with tunable min_n and trees, but the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest.","You called parsnip::translate() on each model, but again used glmnet_mod_tune and rf_mod_tune instead of the specified lm_mod_glmnet and lm_mod_rforest objects.","You correctly set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and output.","You built a workflow_set with one recipe and three models and unnested the info-like structure, but you used a different recipe (rec_base) than the specified norm_recipe and unnested with unnest_wider(info) instead of unnest(info).","You used workflow_map (in a prior chunk) and then unnested metrics, filtered for rmse, grouped by wflow_id, and arranged in descending order; however, the code deviates from the expected select/unnest pattern and uses collect_metrics plus extra compatibility logic.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared to your manual results, but added extra score/mean handling beyond the simple expected call.","You used extract_workflow_set_result, select_best, finalize_workflow, and then fit models to train and test data and computed an MSE ratio, but you did not explicitly extract the 'base_forest' workflow or hard-code trees = 1 and min_n = 11 as specified."
3,20,"You completed all exercises with generally correct use of tidymodels, rsample, recipes, parsnip, and workflowsets, and your code shows a solid understanding of the modeling workflow. Most deductions are for not following the exact object names, step ordering, or parameter choices specified in the rubric and templates, and for adding extra complexity beyond what was asked. For future labs, align more closely with the provided process (names, arguments, and sequence) and keep your solutions as simple and template-driven as possible.",1,3,2,2,3,3,2,2,2,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim() as specified and your written conclusion about missing data contradicts the expected 'no missing data' result.","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created a recipe with the correct formula and included log-transform, step_other, dummies, centering, and scaling, then prepped and tidied it. However, you log-transformed all outcomes without explicitly setting base = exp(1), and the order of steps (dummy then center/scale all predictors) does not match the expected numeric-predictor-only centering/scaling.","You specified a linear_reg lm model, a glmnet model with penalty and mixture tuned, and a rand_forest model with min_n and trees tuned, using set_engine and regression mode. However, the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which may cause issues with later workflow_set usage per the template.","You correctly called parsnip::translate() on each of the three model specifications, satisfying the required workflow and expected outputs.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You built a workflow_set with a recipe and three models and then unnested the info column, but you used a different recipe (rec_base) and model names than specified and unnested with unnest_wider(info) instead of the simpler unnest(info) shown in the solution.","You used workflow_map to tune across workflows and then unnested metrics, filtered for rmse, grouped by wflow_id, and arranged in descending order, returning one row per workflow. However, your code deviates from the simpler select/unnest pattern in the template and adds extra compatibility logic, making it harder to see the tuned parameters in the expected columns.","You called workflowsets::rank_results with all_workflows and rank_metric = 'rmse' and compared to your Exercise 8 results, but you omitted select_best = TRUE and added extra transformation logic beyond what was requested.","You identified best RMSE configurations, extracted and finalized a workflow using select_best, and fit models on train and test data to compute an MSE ratio. However, you did not follow the exact expected process of extracting the 'base_forest' workflow with fixed parameters (trees = 1, min_n = 11), and your reported MSE ratio differs from the target value."
4,25,"Most of the required tidymodels workflow is present and correctly implemented, including splitting, recipe creation, model specs, workflow sets, tuning, and performance comparison. A few details diverge from the rubric (naming of model objects, exact recipe and workflow IDs, and the specific best-parameter values), and the EDA conclusion about missingness is inconsistent with expectations. Tightening alignment with the specified object names, recipe, and best-model parameters would bring this to full credit.",1,3,3,2,3,3,2,3,3,2,"You correctly used skimr, but did not use the pipe from dat to skim() as specified and your written conclusion about missing data contradicts the expected 'no missing data' statement.","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created the recipe with the correct formula, applied log to the outcome, pooled Neighborhood, created dummies, centered and scaled predictors, and prepped/tidied the recipe in a reasonable order.","You correctly specified a base lm model, a glmnet model with tunable penalty and mixture, and a ranger random forest with tunable min_n and trees, but you did not name them exactly as lm_mod_glmnet and lm_mod_rforest as in the expected workflow.","You applied parsnip::translate() to each of the three model specifications, satisfying the required workflow and output intent.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and object type.","You built a workflow_set with one recipe and three models and examined its structure, but you used a different recipe than specified and unnested the info column with unnest_wider rather than the simpler unnest(info) shown in the rubric.","You used workflow_map to tune, then unnested metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate descending, and sliced the top row per group, matching the required sequence of operations.","You called workflowsets::rank_results with all_workflows and rank_metric = 'rmse', and compared these results to those from Exercise 8, aligning with the expected process.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit on train/test data, but you did not explicitly extract the 'base_forest' workflow or use the specified best parameters (trees = 1, min_n = 11), and your reported MSE ratio differs from the expected value."
5,24,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, tuning, and evaluation. Most exercises follow the intended process and use the correct functions, with only minor deviations in object naming and some differences from the exact reference workflow in Q7 and Q10. To improve, align more closely with the specified object names and target workflow (especially for the best-model selection and final comparison) and ensure your written interpretations match the code output (e.g., missing data in Q1).",1,3,3,2,2,3,2,3,3,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim in a single step and your written conclusion about missing data contradicts the skim output (there is no missing data in this version).","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created norm_recipe with the correct formula, applied step_log to the outcome, pooled Neighborhood with step_other, created dummies, and centered/scaled predictors, then prepped and tidied the recipe; the overall process and transformations match the requirements.","You specified a base linear_reg with lm and tuned glmnet and ranger models with penalty/mixture and min_n/trees, but the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which may break later workflow expectations.","You called parsnip::translate() on each model, but again used glmnet_mod_tune and rf_mod_tune instead of the rubric-specified model object names, so the process is slightly off from the expected workflow.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected process and output structure.","You built a workflow_set with a recipe and three models and then unnested the info structure, but you used a different recipe (rec_base with many extra steps) and different model names and unnested with unnest_wider(info) instead of unnest(info) as in the template.","You used workflow_map to tune across workflows, then unnested metrics (via collect_metrics and map), filtered for rmse, grouped by wflow_id, arranged by .estimate descending, and sliced the top row per group, which satisfies the required workflow and output intent.","You called workflowsets::rank_results with all_workflows and rank_metric = 'rmse', and compared its top results to those from Exercise 8, matching the expected usage and interpretation.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit on train/test data, but you did not explicitly extract the 'base_forest' workflow or fix parameters to trees = 1 and min_n = 11, and your reported MSE ratio differs from the expected reference value."
6,20,"You completed all exercises with generally correct use of tidymodels, rsample, recipes, parsnip, and workflowsets, and your code shows a solid understanding of the workflow. Most deductions are for not following the exact object names, step order, or specific parameter values requested in the rubric, and for a few mismatches with the expected textual conclusions. For future labs, align more closely with the provided templates and instructions, especially regarding naming, step order, and specified parameter values.",1,3,2,2,3,3,2,2,2,2,"You correctly used skimr, but did not use the pipe from dat to skim in a single step and concluded there IS missing data, which contradicts the expected no-missing-data result.","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created a recipe with the correct formula and included log transform, step_other, dummies, centering, and scaling, then prepped and tidied it. However, the order differs from the expected (log, center/scale numeric predictors, then other, then dummies), and you used all_predictors instead of all_numeric_predictors for centering/scaling.","You specified a base linear_reg with lm engine and tuned glmnet and ranger models with penalty/mixture and min_n/trees, and used translate. However, the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which may cause issues with later workflow code.","You correctly called parsnip::translate() on each of the three model specifications, satisfying the required workflow and expected outputs.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and object structure.","You created a workflow_set with a recipe and three models and unnested the info-like structure, but you used a different recipe (rec_base) and model names than specified, and unnested_wider(info) instead of unnest(info) as in the template.","You mapped tune_grid over all_workflows and then unnested metrics, filtered for rmse, grouped by wflow_id, and arranged in descending order, but the code deviates from the provided select/unnest pattern and adds extra compatibility logic not required by the rubric.","You used workflowsets::rank_results with all_workflows and rank_metric = 'rmse', but omitted select_best = TRUE and added extra comparison logic beyond what was requested.","You used extract_workflow_set_result, select_best, finalize_workflow, and fit models on train/test data and computed an MSE ratio, but you did not explicitly extract the 'base_forest' workflow or set trees = 1 and min_n = 11 as specified, and your reported ratio differs from the expected value."
7,24,"You completed all exercises with generally correct use of tidymodels, workflowsets, and tuning, and your code shows a solid understanding of the modeling workflow. Most deductions are for not following the exact object names or specific configurations required by the rubric (e.g., model variable names, base_forest workflow, and specified best parameters) and for a minor mismatch in the EDA and final performance comparison. Aligning more closely with the provided templates and rubric details will help you capture full credit in future labs.",1,3,3,2,2,3,2,3,3,2,"You used skimr::skim(), but did not pipe dat into skim() as required and added extra intermediate objects; also your written conclusion about missingness contradicts the expected 'no missing data' statement.","You correctly set the seed, used rsample::initial_split() with prop = 0.75 and strata = Sale_Price, and then created ames_train and ames_test with training() and testing().","You created norm_recipe with the correct formula, applied step_log to the outcome, pooled Neighborhood with step_other, created dummies, and centered/scaled predictors, then prepped and tidied the recipe; this matches the required process.","You specified a base linear_reg with lm engine, a glmnet linear_reg with penalty and mixture tuned, and a rand_forest with min_n and trees tuned, but the glmnet and forest models are not stored in variables named lm_mod_glmnet and lm_mod_rforest as specified in the rubric.","You correctly called parsnip::translate() on each model, but again used glmnet_mod_tune and rf_mod_tune instead of the rubric-specified lm_mod_glmnet and lm_mod_rforest objects.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which matches the expected bootstrap resampling process.","You built all_workflows with workflow_set() using a recipe and three models and then unnested the info structure, but the recipe and model objects differ from the norm_recipe / lm_mod_* naming and structure expected in the rubric.","You used workflow_map() to tune across workflows and then unnested metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate descending, and sliced the top row per group, matching the required workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its top rmse per workflow to your manual results from Q8, which satisfies the rubric.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and then fit on train/test and computed the MSE ratio, but you did not explicitly extract the 'base_forest' workflow or use the specified trees = 1, min_n = 11 parameters, and your reported ratio differs from the expected value."
8,19,"You completed all exercises with generally correct use of tidymodels, recipes, workflowsets, and tuning, and your code shows a solid understanding of the workflow. Most deductions are for not following the exact object names, step ordering, or function arguments specified in the rubric (e.g., model names, rank_results arguments, and the specific best forest configuration). For future labs, pay close attention to the required naming and exact workflows in the instructions, and align your written interpretations (like missing data) with the expected conclusions.",1,3,2,2,2,3,2,2,2,2,"You correctly used skimr, but did not use the pipe from dat to skim() as specified and your written conclusion about missing data contradicts the expected 'no missing data' statement.","You set the seed, used initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created a recipe with the correct formula and included log-transform, step_other, dummies, centering, and scaling, then prepped and tidied it. However, the order of steps does not match the expected (center/scale numeric predictors before dummy creation), so process fidelity is slightly off.","You specified a base linear_reg with lm engine, a glmnet model with penalty and mixture tuned, and a ranger random forest with min_n and trees tuned. However, the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which breaks the prescribed workflow naming.","You correctly called parsnip::translate() on each model, but again used glmnet_mod_tune and rf_mod_tune instead of the expected lm_mod_glmnet and lm_mod_rforest, so the process does not align exactly with the rubric.","You set the seed, used rsample::bootstraps() on ames_train, and stored the result in train_resamples as required.","You created a workflow_set with a recipe and three models and then unnested the info structure, but you used a different recipe (rec_base) and model names and unnested with unnest_wider(info) instead of unnest(info), so the structure differs from the expected base/norm_recipe setup.","You used workflow_map to tune, then unnested metrics, filtered for rmse, grouped by wflow_id, and arranged by .estimate descending, selecting the top row. However, your code deviates from the exact select/unnest chain in the template and uses collect_metrics/map instead of unnesting result and .metrics directly.","You called workflowsets::rank_results with all_workflows and rank_metric = 'rmse', and compared to your manual results, but you did not set select_best = TRUE as specified in the rubric.","You extracted and finalized a best workflow using rank_results and select_best, and then fit models on train and test data and computed an MSE ratio. However, you did not explicitly extract the 'base_forest' workflow with trees = 1 and min_n = 11, and your reported MSE ratio differs from the expected value, so process and output do not fully match the rubric."
9,19,"You completed all exercises and demonstrated a solid grasp of tidymodels workflows, tuning, and evaluation. Most core functions and steps are present, but several answers diverge from the exact variable names, step order, or specific parameters required by the rubric. For full credit in future labs, align more closely with the specified object names and processes, and double-check written interpretations (e.g., missing data and best-model selection criteria).",1,3,2,2,2,3,2,2,2,2,You used skimr::skim() but did not pipe dat into skim (as required) and added extra intermediate objects; also your written conclusion about missingness contradicts the actual Ames data (which has no NAs per rubric).,"You correctly set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and created ames_train and ames_test from the split.","You created a recipe with the correct formula and included log transform, step_other, dummies, centering, and scaling, then prepped and tidied it. However, the order of steps does not match the expected process (centering/scaling should occur before dummy creation and only on numeric predictors).","You specified a base linear_reg with lm engine and tunable glmnet and ranger models with the correct tunable parameters, but you did not use the exact variable names requested (lm_mod_glmnet, lm_mod_rforest), which breaks the expected workflow linkage.","You correctly called parsnip::translate() on each model, but again the models are not named as in the rubric (lm_mod_glmnet, lm_mod_rforest), which may cause downstream inconsistency.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and output.","You built a workflow_set with a recipe and three models and unnested the info structure, but you did not use the specified norm_recipe and model variable names, and you unnested with unnest_wider(info) instead of unnest(info) as in the exemplar.","You mapped tune_grid over all_workflows and then unnested metrics, filtered for rmse, grouped by wflow_id, and arranged by .estimate descending, but you used collect_metrics/map instead of directly unnesting result and .metrics as described in the rubric.","You called workflowsets::rank_results with all_workflows and rank_metric = 'rmse', but omitted select_best = TRUE and added extra comparison logic beyond what was requested.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit to compare train/test MSE, but you did not explicitly extract the 'base_forest' workflow or use the specified best parameters (trees = 1, min_n = 11), and your reported MSE ratio differs from the expected value."
10,24,"Most of the required tidymodels workflow is present and generally correct, including splitting, recipe creation, model specifications, workflow sets, tuning, and performance comparison. The main issues are deviations from the expected object names and specific configurations (e.g., base_forest with trees = 1, min_n = 11) and a non-piped skim call plus an incorrect missing-data conclusion. Aligning more closely with the provided template and rubric expectations would make your work easier to follow and fully compliant.",1,3,3,2,2,3,2,3,3,2,"You used skimr::skim(), but did not pipe dat into skim() as required and added extra intermediate objects; also your written conclusion about missingness contradicts the expected 'no missing data' statement.","You correctly set the seed, used rsample::initial_split() with prop = 0.75 and strata = Sale_Price, and created ames_train and ames_test from data_split.","You created norm_recipe with the correct formula, applied step_log to the outcome, pooled Neighborhood with step_other, created dummies, and centered/scaled predictors, then prepped and tidied the recipe; the overall preprocessing matches the required transformations.","You specified a base linear_reg with lm engine and tuned glmnet and ranger models with penalty/mixture and min_n/trees, but the tuned models are not stored in variables named lm_mod_glmnet and lm_mod_rforest as in the expected workflow.","You correctly called parsnip::translate() on each of your three model objects, but again the model variable names differ from the expected ones, which could cause issues when following the template strictly.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), which matches the expected bootstrap resampling process.","You built a workflow_set with a recipe and three models and then unnested the info structure, but you used a different recipe (rec_base) and model names and unnested with unnest_wider(info) instead of unnest(info) as in the template.","You mapped tune_grid over all_workflows, then unnested metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate descending, and sliced the top row per group, matching the required workflow even though you used collect_metrics instead of direct unnesting.","You used workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its top rmse results to those from Exercise 8, satisfying the ranking and comparison requirement.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit on train/test data and reported an MSE ratio, but you did not explicitly extract the 'base_forest' workflow or use the specified trees = 1, min_n = 11 configuration."
