Pipeline,Student,N_Runs,Total,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Python,student_a,20,23.15 (1.84),3 (0),2.1 (0.31),2 (0),3 (0),3 (0),2.9 (0.31),3 (0),3 (0),3 (0),2 (0)
R,student_a,20,24 (2.1),3 (0),2 (0),2 (0),3 (0),3 (0),3 (0),3 (0),3 (0),3 (0),2.27 (0.47)
,,,,,,,,,,,,,
Python,student_b,20,17.35 (1.18),0.8 (0.41),2 (0),2.05 (0.22),2 (0),3 (0),2.95 (0.22),2 (0),2.1 (0.31),2.25 (0.5),2 (0)
R,student_b,20,17.2 (0.62),1 (0),2 (0),2 (0),2 (0),3 (0),3 (0),2 (0),2 (0),2 (0),2 (0)
,,,,,,,,,,,,,
Python,student_c,20,19.25 (1.21),1 (0),2.85 (0.37),2.1 (0.31),2 (0),2.9 (0.31),3 (0),2.6 (0.5),2.4 (0.5),2.25 (0.5),2 (0)
R,student_c,20,20.55 (2.42),1 (0),3 (0),2.05 (0.22),2 (0),2.8 (0.41),3 (0),2.75 (0.44),2.8 (0.41),3 (0),2 (0)
,,,,,,,,,,,,,
Python,student_d,20,13.3 (0.98),1.05 (0.22),2 (0),2.2 (0.41),2 (0),3 (0),2.85 (0.37),0 (0),0 (0),2 (0),0 (0)
R,student_d,20,13.35 (0.81),1 (0),2 (0),2.1 (0.31),2 (0),3 (0),2.95 (0.22),0 (0),0 (0),2 (0),0 (0)
,,,,,,,,,,,,,
Python,student_e,20,21.5 (1.24),3 (0),2 (0),1.1 (0.31),2.75 (0.44),3 (0),2.95 (0.22),3 (0),3 (0),3 (0),2 (0)
R,student_e,20,20.55 (1.19),3 (0),2 (0),1 (0),2.35 (0.49),3 (0),2.95 (0.22),3 (0),2.9 (0.31),3 (0),2 (0)
,,,,,,,,,,,,,
Python,student_f,20,21.55 (1.39),3 (0),2 (0),1.9 (0.31),2 (0),3 (0),3 (0),3 (0),3 (0),3 (0),2 (0)
R,student_f,20,22.15 (1.84),3 (0),2 (0),2 (0),2 (0),3 (0),3 (0),3 (0),3 (0),3 (0),2 (0)
,,,,,,,,,,,,,
Python,student_g,20,21.5 (0.76),3 (0),2 (0),3 (0),3 (0),3 (0),3 (0),2 (0),2.2 (0.41),3 (0),2 (0)
R,student_g,20,21.05 (1),3 (0),2.25 (0.44),2.7 (0.47),3 (0),3 (0),3 (0),2 (0),2 (0),3 (NA),2 (NA)
,,,,,,,,,,,,,
Python,student_h,20,20 (1.17),3 (0),2 (0),2.45 (0.51),2 (0),3 (0),3 (0),2 (0),2.2 (0.41),2.25 (0.5),1.75 (0.5)
R,student_h,20,19.3 (0.73),3 (0),2 (0),2.05 (0.22),2 (0),3 (0),3 (0),2.05 (0.22),2.1 (0.31),2.5 (0.71),1.5 (0.71)
,,,,,,,,,,,,,
Python,student_i,20,21.5 (2.14),3 (0),2 (0),1.15 (0.37),2 (0),3 (0),3 (0),3 (0),3 (0),3 (0),2 (0)
R,student_i,20,21.85 (2.23),3 (0),2 (0),1 (0),2 (0),3 (0),2.95 (0.22),3 (0),3 (0),3 (0),2 (0)
,,,,,,,,,,,,,
Python,student_j,20,23.15 (1.73),3 (0),2.05 (0.22),2.3 (0.47),3 (0),3 (0),3 (0),3 (0),3 (0),3 (0),2.6 (0.55)
R,student_j,20,24 (1.72),3 (0),2 (0),2.95 (0.22),3 (0),3 (0),3 (0),3 (0),3 (0),3 (0),2.14 (0.38)
