Student,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
student_a,22,"Most exercises follow the intended tidymodels workflow, with correct use of skimr, rsample, recipes, parsnip, workflowsets, and tuning/metric extraction. Minor issues include non-standard object names for train/test and a slightly off preprocessing step (log base and centering/scaling scope), but the overall structure and processes are sound. Focusing on matching expected naming/arguments and the exact preprocessing specifications from the instructions will align your work even more closely with the rubric.",3,2,2,3,3,3,3,3,,,Uses skimr::skim on dat and explicitly checks n_missing; correctly concludes there is no missing data.,"Correct use of initial_split, training, and testing with prop = 0.75, but object names differ from the template (dat_train/dat_test vs ames_train/ames_test), so expected dimensions cannot be directly verified against rubric.","Recipe uses correct variables and includes log transform, step_other, dummies, centering, and scaling, and is prepped with broom::tidy. However, log base is 10 instead of natural log and centering/scaling are applied to all predictors (including dummies) rather than only numeric predictors.","All three models are correctly specified with appropriate engines and modes, and glmnet/ranger models correctly use tune() for penalty/mixture and min_n/trees.","parsnip::translate is correctly applied to each of the three model objects, which would reveal the underlying stats::lm, glmnet::glmnet, and ranger::ranger calls.",Correctly applies rsample::bootstraps to the training data and stores the result in train_resamples; this will produce the expected bootstrap resample tibble.,"workflowsets::workflow_set is used with one recipe and three models, and tidyr::unnest(info) is applied to inspect the structure; this matches the expected workflowset construction.","Uses workflowsets::workflow_map with grid = 5 (in provided code) and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, and arranges by descending .estimate to select the top row per model.",,
student_b,17,"Most core tidymodels workflows are present: you define recipes, models, resamples, workflowsets, and tuning, and you generally follow the intended sequence. The main issues are a few execution problems (e.g., using `ames` instead of `dat`), some deviations from the specified process (step order in the recipe, missing modes, different resampling/grid choices), and partial unnesting in the workflowset exploration. Tightening alignment with the template and rubric (especially reusing earlier objects and matching the exact workflows) would improve your score.",1,2,2,2,3,3,2,2,,,"skimr::skim is used, but it is called on `ames` instead of the defined `dat <- modeldata::ames`, so the code would not execute as written; the statement about no missing data is present.","You correctly use initial_split, training, and testing with prop = 0.75, but you omit stratification on Sale_Price and do not mention or check the expected train/test dimensions.","You build a recipe with the correct formula, apply log to Sale_Price, pool Neighborhood, dummy all nominals, and center/scale predictors, then prep and tidy; however, the order of steps (dummy before center/scale and centering all predictors including the outcome) does not fully match the intended process.","You specify three models with appropriate engines and tuning parameters, but you do not set the mode for the lm and glmnet models and you do not show any parsnip output indicating the computational engines as in the rubric.","parsnip::translate is correctly applied to all three model objects, which would produce the native lm, glmnet, and ranger specifications with tune() parameters.",You correctly create bootstrap resamples from ames_train using rsample::bootstraps with 25 resamples and assign them to train_resamples; this matches the expected structure.,"You correctly construct a workflow_set from one recipe and three models and assign it to all_workflows, but you only select wflow_id and info instead of fully unnesting info as requested; otherwise the workflowset structure is appropriate.","You use workflow_map with a resampling object and then unnest result and .metrics, filter for rmse, group by wflow_id, arrange, and slice(1); however, you rebuild recipe/models/workflows instead of using the earlier all_workflows and your grid size and resampling differ from the specified setup.",,
student_c,20,"Most core tidymodels workflows—splitting, recipes, model specs, bootstraps, workflowsets, tuning, and metric extraction—are implemented correctly and in good detail. The main issues are the incorrect statement about missing data in Q1 and some deviations from the exact requested step order and naming conventions, which could cause minor inconsistencies with the template. Tightening alignment with the specified step order and expected object names would further improve your submission.",1,3,2,2,3,3,3,3,,,"You correctly used skimr::skim and additional NA checks, but the written answer about missing data contradicts the expected result (should state no missing data).","You used rsample::initial_split, training, and testing with prop = 0.75 and appropriate strata; the workflow matches the template and should yield the correct train/test sizes.","You created a recipe with the right variables and included log transform, step_other, dummies, centering, and scaling, and prepped it. However, the order of steps does not match the requested order (center/scale before dummying), so the process is slightly off.","You specified three models with correct engines and tuning parameters, but the object names differ from the expected lm_mod_glmnet and lm_mod_rforest, which can break later workflow integration per the rubric.","You applied parsnip::translate() to each of your model specifications, producing the expected engine-specific templates.",You correctly used rsample::bootstraps() on ames_train to create train_resamples; the code and object naming align with the rubric expectations.,You built a workflow_set with one recipe and three models and unnested the info structure; this matches the intended workflowset usage and structure.,"You used workflow_map with grid = 5 and then unnested metrics, filtered for rmse, grouped by wflow_id, and arranged in descending order, matching the required tuning and summarization steps.",,
student_d,13,"You completed the early parts of the lab reasonably well, including data exploration, splitting, recipe construction, model specification, translation, and bootstrapping. However, the key workflowset and tuning steps (Exercises 7–8) are largely unfinished, and some earlier pieces (like examining recipe prep output and correctly interpreting missingness) are incomplete or slightly off. To improve, focus on fully replacing template placeholders, showing prep/tidy checks for recipes, and carrying the workflowset through to tuning and metric extraction.",1,2,2,2,3,3,0,0,,,"You correctly used skimr::skim() on dat, but the written interpretation is incorrect per the lab’s expectation (Ames here is treated as having no missing data). Also, focus on skimr output rather than adding extra unrelated commentary.","You used rsample::initial_split(), training(), and testing() with prop = 0.75, which matches the required workflow. However, you omitted stratification on Sale_Price and did not document expected train/test dimensions, so full process/output credit is not earned.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors in a reasonable order. However, you did not show prep() with broom::tidy() or compare means/SDs as requested, so the examination of step outputs is incomplete.","You specified three models with appropriate engines and tuned parameters for glmnet and ranger, and set mode = 'regression' for the forest. You did not explicitly set mode for the linear models or show the translated engine output/visualization, so the specification is slightly incomplete relative to the exemplar.","You correctly applied parsnip::translate() to all three model objects from Q4, which should produce the native stats::lm, glmnet::glmnet, and ranger::ranger specifications with tune() parameters. This fully meets the requirements.",You correctly created train_resamples using rsample::bootstraps(ames_train) with a set seed. This matches the expected workflow and object name; dimensions would be correct if executed.,"You left the workflow_set call with placeholders (____) and did not unnest the info column. The workflowset is never actually constructed, so required code and structure are missing.","The code block is still the starter template with placeholders (__, '___') and no concrete column names, so the unnest–filter–group–arrange pipeline is not implemented. Nothing here would execute or produce the requested rmse summary.",,
student_e,26,"Most of the workflow—data splitting, model specification, workflowsets, tuning, and ranking—is implemented correctly and follows the intended tidymodels process. The main issues are with the recipe (log transformation skipped and wrong base) and some deviations from the expected tuned parameters and resulting performance metrics. Tightening up the preprocessing (correct log transform without skip and using natural log) and aligning tuning choices with the rubric would bring this fully in line with the reference solution.",3,2,1,3,3,3,3,3,3,2,Used skimr::skim on dat and correctly stated no missing data; EDA code and interpretation match the rubric.,"Used rsample::initial_split, training, and testing with prop = 0.75, but did not use stratification and dimensions are not checked against the expected 2197/733; minor process/output mismatch.","Recipe is created and prepped, but step_log uses base=10 and skip=TRUE (so Sale_Price is not actually transformed), and you do not examine broom::tidy outputs or compare to summary stats; centering/scaling and step_other/step_dummy order are mostly reasonable but outcome transformation is incorrect.","Specified three parsnip models (lm, glmnet with tuned penalty/mixture, and ranger with tuned trees/min_n) correctly; mode is set for the forest and engines are appropriate.","Applied parsnip::translate() to all three model objects, which should yield the expected native calls and fit templates.",Used rsample::bootstraps(ames_train) to create train_resamples as required; structure should match the expected bootstrap resamples.,Created a workflow_set with one recipe and three models and unnested the info column; this matches the expected workflowset structure and usage.,"Used workflow_map with grid=5 and then correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row; process aligns with the rubric.",Called workflowsets::rank_results with rank_metric='rmse' and select_best=TRUE and provided a brief comparison to Q8; this satisfies the ranking requirement.,"Extracted the forest workflow, finalized it with specific trees and min_n, and fit to train/test and computed MSE ratio; however, the parameter values and resulting ratio differ from the expected solution and the log base mismatch from Q3 propagates here."
student_f,20,"Most exercises demonstrate a solid grasp of tidymodels workflows, recipes, and workflowsets. A few chunks are set to eval: false or omit minor details (e.g., stratification in splitting, explicit set_mode for all models, and fully showing broom::tidy on the prepped recipe), which limits verification of outputs. Tightening these small process details and ensuring all key chunks are executable would bring the work fully in line with the rubric.",3,2,2,2,3,2,3,3,,,Used skimr::skim(dat) correctly and explicitly stated no missing data; EDA requirements fully met.,"Used initial_split, training, and testing with prop = 0.75, but omitted stratification on Sale_Price and code chunk is set eval: false, so dimensions cannot be confirmed.","Recipe uses correct formula, log transform, normalization, step_other, and dummies, but the pipe into broom::tidy(norm_recipe) is commented out by the blank line and tidy is not actually applied to the prepped object; minor process issue.","Three models are specified with appropriate engines and tuning parameters, but set_mode('regression') is missing for lm_mod_base and lm_mod_glmnet, and tune() is used without parsnip:: prefix; process is mostly correct but slightly incomplete.","parsnip::translate() is correctly applied to all three model objects, satisfying the translation and specification check.","rsample::bootstraps(ames_train) is used correctly to define train_resamples, but eval: false prevents confirming the expected 25×2 structure.",Constructed a workflow_set with one recipe and three models and unnested the info column; structure matches expectations for all_workflows.,"Used workflow_map with grid = 5 and then correctly unnested result and .metrics, filtered for rmse, grouped, arranged, and sliced; workflow tuning and metric extraction steps are appropriate.",,
student_g,21,"Most core tidymodels workflows (recipes, model specs, bootstraps, workflowsets, and tuning) are implemented correctly and clearly. A few steps diverge from the requested process (e.g., lack of explicit unnesting in Q8, minor differences in splitting and workflow display, and an in-chunk install) and the final MSE ratio in Q10 does not match the expected value. Tightening adherence to the exact requested pipelines and removing install.packages calls from analysis chunks would improve the submission.",3,2,3,3,3,3,2,2,,,Used skimr::skim on the Ames data and correctly stated there is no missing data; EDA code and interpretation match the rubric.,"Used rsample::initial_split, training, and testing with prop = 0.75, but omitted stratification on Sale_Price and did not show/confirm the expected row counts for ames_train and ames_test.","Recipe uses the correct formula, logs Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors in a sensible order; prep + broom::tidy are used to examine the preprocessed terms.","Specified three regression models with parsnip (lm, glmnet with tuned penalty/mixture, and ranger with tuned trees/min_n) correctly; engines and modes are appropriate.","Applied parsnip::translate() to all three model objects, which would yield the expected native model specifications.",Created train_resamples using rsample::bootstraps(ames_train) as required; structure of the resamples object is appropriate.,"Constructed a workflow_set with one recipe and three models and unnested the info column, but included an install.packages call inside the chunk and used unnest_wider(info) instead of unnest(info) as in the template.","Used workflow_map with grid = 5 and then collect_metrics/filter/group to identify best rmse per workflow; however, the code does not follow the requested unnest(.metrics) pipeline and orders by minimum mean rather than arranging descending as specified.",,
student_h,19,"You implemented the main tidymodels workflow: EDA, splitting, recipes, model specs, bootstraps, workflowsets, tuning, and metric extraction. Most required functions and objects are present, but a few steps deviate from the rubric (e.g., missing stratification, not fully unnesting info, and not matching the exact examination of recipe steps). Tightening alignment with the specified workflows and outputs would bring this closer to full credit.",3,2,2,2,3,3,2,2,,,Used skimr::skim on dat and explicitly checked for missing values; EDA code and conclusion about no missing data are correct.,"Used rsample::initial_split, training, and testing with prop = 0.75, but did not use stratification and we cannot verify the expected row counts; otherwise the workflow is correct.","Recipe uses the correct variables and includes log, other, dummy, center, and scale steps, then prep and broom::tidy; however, you did not show separate tidy outputs for center and scale to compare means/SDs as in the rubric.","Specified three models with appropriate engines and tuning parameters, but did not explicitly set mode for lm_mod_base and glmnet model in this exercise and did not show any engine output/visualization as expected.","Applied parsnip::translate() to all three models, which would reveal the underlying stats::lm, glmnet::glmnet, and ranger::ranger calls with tuning placeholders.",Correctly created bootstrap resamples from ames_train using rsample::bootstraps with 25 resamples and stored them in train_resamples; structure matches expectations.,"Created a workflow_set with one recipe and three models and stored it in all_workflows, but you only selected wflow_id and info instead of unnesting info to show the full 3×7 structure.","Used workflow_map with resamples and grid, then unnested .metrics, filtered for rmse, grouped, arranged, and sliced; however, you created a new all_workflows_res object and did not follow the exact unnest/select pattern or grid size specified in the rubric.",,
student_i,20,"Most core tidymodels workflows are present and generally follow the intended process, including EDA, splitting, model specification, bootstrapping, workflowsets, tuning, and metric extraction. Main issues are in the recipe construction (syntax and step order) and some minor omissions in model specifications (missing set_mode and namespaces). Tightening syntax and matching the demonstrated step order in recipes and model specs would bring this to full credit.",3,2,1,2,3,3,3,3,,,Used skimr::skim(dat) correctly and stated there is no missing data; this fully meets the EDA requirements.,"Used rsample::initial_split, training, and testing with prop = 0.75, but did not use stratification on Sale_Price and code is set eval: false, so expected train/test dimensions and full workflow are not guaranteed.","Recipe uses the correct variables and includes log transform, step_other, dummying, centering, and scaling, but the code is syntactically incorrect (prep is called on norm_recipe outside the pipeline) and the order of steps does not match the expected center/scale then other/dummy sequence; no tidy comparisons are shown.","Three models are specified with appropriate engines and tuning parameters, but set_mode('regression') is missing for the lm and glmnet models, and parsnip::tune() is not namespaced, which may cause execution issues.","parsnip::translate() is correctly applied to all three model objects, which should produce the expected native model specifications.",Correctly applies rsample::bootstraps() to ames_train and assigns to train_resamples; this matches the expected bootstrap setup.,"workflowsets::workflow_set() is used with one recipe and three models, and info is unnested; this matches the expected workflowset structure and operations.","Uses workflowsets::workflow_map with grid = 5 and then correctly unnests result and .metrics, filters for rmse, and arranges/slices by .estimate as required.",,
student_j,30,"All exercises are completed with appropriate use of tidymodels, recipes, rsample, parsnip, and workflowsets. The student follows the intended workflows closely, including tuning, ranking, and finalizing the best model. Minor numerical differences in the final MSE ratio do not affect the overall strong alignment with the rubric.",3,3,3,3,3,3,3,3,3,3,Used skimr::skim on dat and correctly stated no missing data; EDA code and interpretation match the rubric.,Used rsample::initial_split with prop = 0.75 and rsample::training/testing; workflow is correct even though eval is FALSE and dimensions are not shown.,"Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood with step_other, and creates dummies; prep + broom::tidy are used appropriately.","Specified three regression models with lm, glmnet (penalty and mixture tuned), and ranger (trees and min_n tuned) using parsnip; model specs and engines are correct.","Applied parsnip::translate to all three model objects, which would reveal the underlying stats::lm, glmnet::glmnet, and ranger::ranger calls as expected.",Created train_resamples with rsample::bootstraps(ames_train); naming and usage align with the rubric expectations.,Constructed workflow_set with one recipe and three models and unnested the info column; structure matches the required workflowset usage.,"Used workflow_map with grid = 5 and then correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, and arranged by descending .estimate.","Called workflowsets::rank_results with rank_metric = 'rmse' and select_best = TRUE; this would produce the expected ranking with .metric, mean, and std_err.","Identified best wflow_id via rank_results, extracted and finalized the workflow with trees and min_n, fit on train and test, and computed test/train MSE ratio; process is correct though the reported ratio differs from the reference value."
