Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,30,"Exercises 1–6 are fully and correctly completed, with code and reasoning closely following the intended workflows and producing the right interpretations. There are no substantive issues with process or implementation. Nice work on both the Markov chain and Monte Carlo components.",5,5,5,5,5,5,0,0,,,"You correctly defined P, used %^% to get P^6, and summed the non-churn states; the workflow and resulting probability (~0.75) are correct.","You built the correct 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified both πP=π and sum(π)=1, with the steady-state subscriber share ≈23%.","All four MH acceptance cases are handled with the correct Poisson ratios and proposal terms, yielding the expected min(1,·) formulas; the reasoning is clear and complete.","Your MH sampler uses the given alpha(), runif proposals, and stores 2000 samples, then compares sample and theoretical quantiles via quantile() and qpois(); the implementation and comparison table match the expected process.","You used matrix powers and %*% correctly: initial state for 1- and 2-year compositions, and P%^%20 with appropriate rows for good and risky loans, obtaining the expected ~76.5% and ~19.6% paid-in-full rates.","You reproduced the full tibble/map/unnest workflow, using rnorm, lead, and the double-sum difference formula; the table structure is correct and your explanation that the two covariances agree up to rounding is appropriate.","There is no Exercise 7 in this lab, so no work to grade.","There is no Exercise 8 in this lab, so no work to grade.",,
2,30,"Exercises 1–6 are fully and correctly completed, with code and reasoning closely matching the solution template and rubric expectations. The Markov chain, MH sampling, and covariance tasks are all implemented with the correct workflows and interpretations. There are no additional exercises beyond 6 in this lab, so the graded portion reflects a perfect score on all required work.",5,5,5,5,5,5,0,0,,,"You correctly defined P, used %^% to get P^6, and summed the non-churn states for a new customer. The reported probability (~74.85%) is accurate and the workflow matches the expected process.","You built the correct 2x2 transition matrix, constructed A as t(I−P) with a constraint row, solved with qr.solve, and verified both pi %*% P and sum(pi). The steady-state subscriber probability (~23.1%) is correct.","All four MH acceptance cases are handled, with the correct Poisson ratio reasoning and proposal probabilities, leading to the expected min(1,·) formulas. The derivation is complete and accurate.","Your MH sampler uses set.seed, a for-loop with runif for proposals and acceptance, and the provided alpha function. You then compute sample quantiles and compare them to qpois, matching the required workflow and expected output structure.","You used matrix multiplication with the initial state and P to get 1- and 2-year compositions, and P%^%20 with appropriate starting states to get long-run paid-in-full probabilities. The reported ~76.5% (good) and ~19.6% (risky) match the expected results.","You reproduced the full tibble/purrr/dplyr/tidyr workflow, computing both covariance formulas across the required sample sizes. Your interpretation correctly notes that the two methods give (practically) identical results.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
3,30,"Exercises 1–6 are fully and correctly implemented, with appropriate use of matrix operations, MH sampling, and tidyverse workflows, and the written interpretations match expected results. There is no work for Q7 and Q8, so those receive zero by default. Overall, this is a strong submission on the completed exercises.",5,5,5,5,5,5,0,0,,,"Correctly defines P, uses %^% to get P^6, and sums non-churn states; probability (~75%) is accurate and workflow is clear.","Transition matrix is correct, A and b are constructed properly, qr.solve is used, and both πP=π and sum(π)=1 are checked; steady-state percent is correctly interpreted.","All four MH acceptance cases are derived with the correct Poisson ratios and proposal terms, yielding the expected min(1,·) formulas; reasoning is complete.","Implements MH sampler with runif proposals and alpha(), stores 2000 samples, and compares sample quantiles to qpois; structure and outputs match the expected process.","Uses matrix multiplication and P%^%k correctly for 1-year, 2-year, and 20-year predictions; good and risky loan paid-in-full percentages (~76.5% and ~19.6%) are correctly extracted and reported.","Uses set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest as specified to compute both covariance formulas over the required T values, and correctly notes they agree up to numerical error.",No content provided for this question.,No content provided for this question.,,
4,30,"Exercises 1–6 are fully and correctly completed, with appropriate use of matrix operations, MH sampling, and tidyverse tools, and your interpretations match the intended conclusions. There are no additional exercises beyond 6 in this lab, so Q7 and Q8 remain unused. This is a strong, complete submission.",5,5,5,5,5,5,0,0,,,"You correctly defined P, used %^% to get P6, and summed the non-churn states for the initial new-customer row. The reported probability (~74.85%) is essentially correct and the workflow matches the expected process.","You built the correct 2x2 transition matrix, formed A as t(I−P) with an added constraint row, defined b properly, and solved for pi with qr.solve. You also checked pi %*% P and sum(pi), and the steady-state subscriber probability (~23%) is correct.","All four MH acceptance cases are handled, with the correct Poisson ratio and proposal ratio reasoning. The final expressions for the acceptance probabilities match the expected formulas.","Your MH sampler uses set.seed, a for-loop with runif for proposals and acceptance, and the provided alpha function. You then compute sample quantiles and compare them to qpois, producing a suitable side-by-side table; the process and expected output structure are correct.","You used matrix multiplication with the initial state to get 1-year and 2-year compositions, and P%^%20 with the correct rows to obtain 20-year paid-in-full probabilities for good and risky loans. The reported percentages (~76.5% and ~19.6%) align with the expected results.","You reproduced the full tibble/purrr/dplyr/tidyr workflow, generating data, computing both covariance formulas, and unnesting the results. Your written interpretation correctly notes that the two covariance calculations are (up to rounding) identical across sample sizes.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
5,30,"Exercises 1–6 are fully and correctly implemented, with appropriate use of matrix operations, MH sampling, and tidyverse tools, and the written interpretations are accurate. There are no submissions for Q7 and Q8, so those receive zero. Overall, this is a strong lab showing clear understanding of the methods used.",5,5,5,5,5,5,0,0,,,"Correctly defines P, uses %^% to get P6, and sums non-churn states; probability is essentially correct and workflow is clear.","Transition matrix, construction of A and b, qr.solve for pi, and checks of pi%*%P and sum(pi) are all present and correct; steady-state percentage is accurate.","All four MH acceptance cases are derived with the correct Poisson ratios and proposal terms, yielding the expected min(1,·) formulas.","Implements MH sampler with runif proposals and alpha(), stores 2000 samples, and compares sample quantiles to qpois; process and output structure match the rubric.","Uses initial vector and %*%P for 1-year, then multiplies again for 2-year (equivalent to P^2), and uses P%^%20 to get 20-year outcomes for good and risky loans with correct percentages.","Uses set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas over the required T values and correctly notes they agree up to numerical error.",No response provided for this question.,No response provided for this question.,,
6,30,"You fully implemented all six exercises with correct code structure and reasoning, closely matching the solution workflow. The Markov chain, MH sampling, and covariance tasks are all handled accurately. No additional exercises beyond Q6 were expected for this lab.",5,5,5,5,5,5,0,0,,,"You correctly defined P, used %^% to get P6, and summed the non-churn states starting from A; the reported probability (~75%) is accurate.","You built the correct 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified both pi%*%P and sum(pi); the steady-state subscriber probability (~23%) is correct.","All four MH acceptance cases are handled with the correct Poisson ratios and proposal terms, and you state the final min(1,·) forms as required.","Your MH sampler uses the given alpha(), a for-loop with runif for proposals and acceptance, and you compare sample and theoretical quantiles via quantile() and qpois(); the workflow matches the rubric.","You used matrix powers and %*% correctly for 1-year, 2-year, and 20-year outcomes, and your reported paid-in-full percentages for good and risky loans match the expected values.","You reproduced the full tibble/map/unnest workflow, computing both cov and alt_cov across the required sample sizes, and correctly noted that the two covariance calculations are effectively identical.",There is no Exercise 7 in this lab; no work to grade.,There is no Exercise 8 in this lab; no work to grade.,,
7,30,"All six implemented exercises follow the intended workflows and use the correct R functions, with accurate interpretations in the markdown. The work is complete and closely matches the solution structure. Note that there are only six graded exercises in this lab; Q7 and Q8 are not applicable.",5,5,5,5,5,5,0,0,,,"You correctly defined P, used %^% to get P6, and summed the non-churn states starting from A; the reported probability (~75%) is accurate.","You built the correct 2x2 transition matrix, formed A and b properly, solved with qr.solve, and verified both pi %*% P and sum(pi); the steady-state subscriber percent (~23%) is correct.","All four MH acceptance cases are handled with the correct Poisson ratios and proposal terms, and you state the final min(1, ·) forms accurately.","Your MH sampler uses the given alpha function, runif-based proposals and accept/reject logic, and you compare sample and theoretical quantiles using quantile and qpois in a clear table.","You used matrix multiplication and P%^%20 correctly for the portfolio, computed 1- and 2-year compositions, and extracted the 20-year paid-in-full probabilities for good and risky loans with accurate values.","You reproduced the full tibble/map/unnest workflow, computing both covariance formulas and correctly noting that they agree up to tiny numerical differences.",There is no Q7 in this lab; no work to grade.,There is no Q8 in this lab; no work to grade.,,
8,30,"Exercises 1–6 are fully and correctly implemented, with appropriate use of matrix operations, MH sampling, and tidyverse tools, and the written interpretations align with the expected results. There is no work corresponding to Q7 and Q8 in this file, so those receive no credit. Overall, this is a strong submission on the completed exercises.",5,5,5,5,5,5,0,0,,,"Correctly defines P, uses %^% to get P6, and sums non-churn states; probability is essentially correct and workflow is clear.","Transition matrix, construction of A and b, qr.solve for pi, and checks for pi%*%P and sum(pi) are all correctly implemented with an appropriate steady-state interpretation.","All four MH acceptance cases are addressed with the correct Poisson ratios and proposal terms, yielding the expected min(1,·) formulas.","Implements a valid MH sampler with runif-based proposals and acceptance, stores 2000 samples, and compares sample quantiles to qpois; structure and outputs match the expected process.","Uses matrix multiplication and P%^%20 correctly for 1-year, 2-year, and 20-year predictions; good and risky loan paid-in-full percentages match expected values.","Uses set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest as in the template to compute both covariance formulas over the required T values and correctly notes they agree up to numerical error.",No content provided for this question.,No content provided for this question.,,
9,30,"Exercises 1–6 are fully and correctly completed, with appropriate use of matrix operations, MH sampling, and tidyverse workflows, and your written interpretations align with the expected results. There are no Exercises 7 or 8 in this lab, so those entries are not applicable. Overall, this is a strong, complete submission.",5,5,5,5,5,5,0,0,,,"You correctly defined P, used %^% to get P^6, and summed the non-churn states; the reported probability (~75%) is accurate and the workflow matches the expected process.","You built the correct 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified both pi%*%P and sum(pi); the steady-state subscriber probability (~23%) is correct.","All four MH acceptance cases are handled with the correct Poisson ratios and proposal terms, and you clearly state the final min(1,·) forms for each case.","Your MH sampler uses the given alpha function, a proper proposal mechanism, and stores 2000 samples; you then compute and compare sample quantiles to qpois, matching the required workflow and expected output structure.","You used matrix multiplication with the correct initial state, computed 1- and 2-year compositions, and used P%^%20 to get long-run outcomes for good and risky loans; the reported paid-in-full percentages (~76.5% and ~19.6%) are correct.","You reproduced the full tibble–map–unnest pipeline, using rnorm, lead, map_vec, and the alternative covariance formula; the narrative correctly notes that the two covariance calculations are (up to rounding) identical.","There is no Exercise 7 in this lab, so no work to grade.","There is no Exercise 8 in this lab, so no work to grade.",,
10,30,"Exercises 1–6 are fully and correctly implemented, with appropriate use of matrix operations, MH sampling, and tidyverse tools, and the written interpretations are accurate. There is no work shown for Q7 and Q8, so those receive no credit. Overall, this is a strong submission on the completed exercises.",5,5,5,5,5,5,0,0,,,"Correctly defines P, uses %^% to get P6, and sums non-churn states; probability is essentially correct and workflow is complete.","Transition matrix, construction of A and b, qr.solve for pi, and checks of pi%*%P and sum(pi) are all correctly implemented with an appropriate steady-state percentage.","All four MH acceptance cases are derived with the correct Poisson ratios and proposal terms, yielding the expected min(1,·) formulas.","Implements a valid MH sampler with runif-based proposals and acceptance, stores 2000 samples, and compares sample quantiles to qpois; structure and outputs match the rubric.","Uses correct initial vector and %*% for 1- and 2-year compositions, applies P%^%20 for long-run outcomes, and reports good/risky paid-in-full percentages accurately.","Uses set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest as required; constructs the tibble with T, cov, and alt_cov and correctly notes that both covariance methods agree up to numerical error.",No content provided for this question.,No content provided for this question.,,
