Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,"Your lab shows solid command of tidymodels workflows, models, and resampling, with all major steps implemented and most code following the intended structure. The main issues are minor deviations from the specified process (e.g., missing stratification in the split, log base and step order in the recipe, and final model/parameter choice). Tightening adherence to the exact instructions in the rubric will help you fully align your results with the expected solutions.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed and used initial_split/training/testing with a 0.75 prop, but omitted the required strata = 'Sale_Price' argument. The overall split process is otherwise correct.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled after dummy creation rather than centering/scaling numeric predictors first, so the specified process is not fully followed.","All three models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), and tunable parameters penalty/mixture and trees/min_n. Mode is explicitly set for the forest model and defaults appropriately for the linear models.","You applied parsnip::translate() to each of the three model objects, which matches the expected workflow and would display the correct templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You created all_workflows with workflow_set using the recipe and all three models, and unnested the info column to inspect structure, matching the required process and output structure.","You used workflow_map as specified and then selected/unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row. The dplyr/tidyr chain matches the rubric’s expectations.","You correctly called workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and discussed how its behavior compares conceptually to your Exercise 8 results.","You extracted the forest workflow, finalized it with specific trees and min_n values, and fit it on both training and test data, then computed and reported the test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration and approximate 12% increase, so the final model selection/performance comparison is not fully aligned with the solution."
2,25,"Your lab shows a solid grasp of tidymodels workflows, models, resampling, and workflowsets, with all major steps implemented. Most deductions are for not matching specific rubric details (e.g., stratified split, natural log transformation, and exact best-parameter choice). Review the importance of transformation details and metric ordering when selecting and finalizing the best model.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat and answered that there is no missing data. However, the rubric expected use of the base pipe (|>) and piping dat directly into skim() in a single step.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 75% split, which matches most of the required process. You did not include strata = 'Sale_Price', so the split is not stratified as specified.","You created and prepped a recipe with the correct variables and included log, other, dummy, center, and scale steps. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors, so the transformations do not fully match the rubric.","All three parsnip models are specified correctly: a basic linear_reg with lm engine, a glmnet model with penalty and mixture set to tune(), and a rand_forest with trees and min_n set to tune(), with regression mode on the forest model. This matches the required workflow.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which is exactly what was required to inspect the model templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object with default parameters.","You created all_workflows with workflowsets::workflow_set() using your recipe and all three models, and then unnested the info column with tidyr::unnest(info), which matches the expected structure and examination step.","Your code updates all_workflows with workflow_map(), then selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the first row. This follows the requested workflow, even though descending order picks the worst RMSE rather than the best.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and provided a brief comparison to Exercise 8, correctly noting the ordering difference. This satisfies the rubric for ranking and comparison.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, fit on both training and test data, and computed the test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration (trees = 1, min_n = 11 and ~12% higher test error), so the final model selection does not fully align with the rubric."
3,25,"Your lab shows a solid grasp of tidymodels workflows, model specification, resampling, and workflowsets, with all major steps implemented. Most exercises follow the intended process closely, and your code is generally well structured. To improve, pay closer attention to details in the instructions (e.g., using natural log, stratified splits, and exact parameter settings) so that your preprocessing and model tuning align precisely with the rubric expectations.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat and answered that there is no missing data. However, the rubric expected use of the base pipe (|>) and a single-step pipeline from dat to skim(), so you lose a small amount on process fidelity.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 75% split, which is good. The split is not stratified on Sale_Price as required (missing strata = 'Sale_Price'), so process/output are slightly off.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors, so the transformations do not fully match the specification.","All three models are specified correctly: linear_reg with lm engine, glmnet model with penalty and mixture set to tune(), and rand_forest with trees and min_n set to tune() and ranger engine. Mode is explicitly set for the forest and defaults appropriately for the linear models, so this meets the rubric.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which matches the expected workflow and will show the three engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which matches the required process and produces the correct bootstrap resampling object.","You created all_workflows with workflowsets::workflow_set() using the recipe and all three models, and then unnested the info column with tidyr::unnest(info). This matches the expected structure and examination of the workflow set.","You updated all_workflows with workflow_map() (in earlier code) and then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row. This follows the requested sequence and yields the best (by your ordering) rmse rows per workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and provided a brief comparison to your Exercise 8 results, which satisfies the rubric for this question.","You extracted the norm_forest workflow, finalized it with specific trees and min_n values, and fit it on both training and test data, then computed and reported the test/train MSE ratio. The overall workflow matches the rubric, but the chosen tuning parameters and resulting ratio differ from the expected best configuration, so output accuracy is slightly off."
4,24,"Your lab shows a solid grasp of tidymodels workflows, models, and resampling, and you completed all exercises with mostly correct code. The main issues are small deviations from the specified process (e.g., missing strata in the split, log base and skip in the recipe, and not matching the expected best model configuration). Tightening alignment with the instructions and rubric details will help you earn full credit in future labs.",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed and used rsample::initial_split(), training(), and testing(), but omitted the required strata = 'Sale_Price' argument. The 75% split is otherwise correct.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors, so the process does not fully match the specification.","All three models are defined with the correct engines and tunable parameters, and the random forest has min_n and trees set to tune(). However, you did not explicitly set mode = 'regression' for the linear models, which is expected in the rubric.","You correctly called parsnip::translate() on each of the three model objects, following the expected workflow to inspect the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected process and output structure.","You created all_workflows with workflowsets::workflow_set() using the recipe and all three models, and unnested the info column to inspect the structure, as required.","You updated all_workflows with workflow_map(), then selected, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row, matching the requested workflow (even though descending order finds the worst RMSE).","You correctly called workflowsets::rank_results() with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and compared its behavior to your Exercise 8 results in the markdown.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, and fit it on both training and test data, then computed and reported the MSE ratio. However, the chosen parameters and resulting ratio do not align with the expected best model configuration and approximate 12% test/train MSE increase."
5,25,"Your lab shows a solid grasp of tidymodels workflows, model specification, resampling, and workflowsets, and most exercises follow the intended process closely. The main issues are in the recipe specification (log base and skip behavior, and centering/scaling of dummy variables) and omission of stratification in the train/test split. Addressing these details will bring your work fully in line with the rubric and improve reproducibility and comparability of your models.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat and answered that there is no missing data. However, the rubric expected use of the base pipe (|>) and piping dat directly into skim() in a single step.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 75% split, which matches most of the required process. You omitted the strata = 'Sale_Price' argument, so the split is not stratified as specified.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, set skip = TRUE on the log step (so the outcome is not transformed at bake time), and centered/scaled all predictors including dummies rather than only numeric predictors, so the transformations do not fully match the rubric.","All three models are specified correctly: a basic linear_reg with lm engine, a glmnet linear_reg with penalty and mixture set to tune(), and a rand_forest with trees and min_n set to tune() and ranger engine. Mode is set to regression for the forest model, which is sufficient for full credit.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and would display the appropriate engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), which matches the required process and produces the correct bootstrap resampling object.","You created all_workflows with workflowsets::workflow_set() using your recipe and three models, and then unnested the info column with tidyr::unnest(info), which matches the expected structure and examination of the workflow set.","You updated all_workflows with workflow_map() (in the provided chunk) and then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row. This follows the required sequence and yields the best (by your chosen ordering) rmse per workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and discussed how its behavior differs from your Exercise 8 code. This satisfies the required use and comparison step.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, and fit it on both training and test data, then computed and reported the test/train MSE ratio. The overall workflow matches the rubric, but the chosen tuning parameters differ from the provided best (trees = 1, min_n = 11), so the final performance metrics will not match the expected reference."
6,22,"You completed all exercises with generally correct use of tidymodels, workflowsets, and rsample, and your workflow construction and tuning steps are solid. Most deductions are for smaller deviations from the specified process (e.g., missing stratification, log base and skip in the recipe, and final parameter choices in Exercise 10). Review the recipe specifications and the intended best-model selection criteria to align more closely with the rubric in future labs.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed and used initial_split/training/testing with a 0.75 split, but omitted the required strata = 'Sale_Price' argument. The overall split process is otherwise correct.","You created and prepped a recipe with the right variables and steps, but used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors. This deviates from the specified process.","All three models are specified correctly with appropriate engines and tunable parameters for glmnet and ranger. Although set_mode('regression') is omitted for the first two, the defaults are acceptable here.","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected workflow and output structure.","You set the seed and created a bootstrap resampling object with rsample::bootstraps(ames_train), matching the required process and expected output.","You built a workflow_set with the recipe and all three models and unnested the info column, producing the correct workflow structure and contents.","Your code maps workflow_map over all_workflows and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the first row per group as required.","You called workflowsets::rank_results with the correct arguments and provided a clear comparison to the Exercise 8 results, correctly noting the difference in sorting direction.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, and fit on both training and test data, then computed the MSE ratio. However, the chosen parameters and resulting ratio do not match the expected best configuration and approximate 12% test/train MSE ratio."
7,25.5,"Your lab shows a solid grasp of tidymodels workflows, recipes, parsnip models, workflowsets, and tuning. Most exercises follow the intended process and use the correct functions. To improve, pay closer attention to specific argument details (e.g., strata in splits, natural log for Sale_Price, not skipping the log step, and explicitly setting modes) so your preprocessing and model performance align more closely with the rubric expectations.",2.5,2,1.5,2.5,3,3,3,3,3,2,"You correctly used skimr on dat and answered that there is no missing data. To fully match the rubric, use the pipe operator (dat |> skimr::skim()) and avoid loading skimr inside the chunk if not needed.","You set the seed, used initial_split, training, and testing, and created ames_train/ames_test with a 75% split. However, you omitted strata = 'Sale_Price', which is required for full credit.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step (skip = TRUE), and centered/scaled all predictors rather than just numeric predictors, so the process and transformation are not fully correct.","You specified three models with linear_reg and rand_forest, used tune() for penalty/mixture and trees/min_n, and set engines correctly. For full alignment with the rubric, also explicitly set mode = 'regression' on all three models.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and output structure.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which matches the expected process and output object.","You built all_workflows with workflow_set using your recipe and three models, and unnested the info column to inspect structure. This matches the required workflow and structure.","You updated all_workflows with workflow_map and then selected/unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row. The dplyr/tidyr chain matches the rubric’s expected process.","You called workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and you compared the behavior to Exercise 8 in your comments. This satisfies the criteria.","You extracted the forest workflow, finalized it with specific trees and min_n, fit on both training and test data, and computed a test/train MSE ratio. However, your chosen parameters and log base differ from the reference solution, so the reported performance does not match the expected approximate ratio."
8,21,"You completed all exercises with generally correct use of tidymodels, workflowsets, and rsample, and your code structure closely follows the intended workflows. Most deductions are for details: missing stratification in the split, not using natural log or correct selectors in the recipe, and not matching the specified best model configuration in the final step. Review the rubric’s exact parameter choices and transformation details to align your future work more tightly with the specifications.",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr on dat and answered that there is no missing data. However, the rubric expected use of the base pipe (|>) and explicitly calling skimr::skim(dat) in a single piped step.","You set the seed, used rsample::initial_split, and created ames_train and ames_test with a 75% split, which matches most of the required process. You omitted the strata = 'Sale_Price' argument, so the split is not stratified as specified.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, centering, and scaling, and you prepped the recipe. However, you used base = 10 instead of natural log, skipped the log step (skip = TRUE), and centered/scaled all predictors (including dummies) rather than just numeric predictors, so the transformations do not fully match the required process.","You defined three parsnip models with the correct engines and tuned parameters for glmnet and ranger, and set mode = 'regression' for the forest. The linear models are missing an explicit set_mode('regression'), which is expected per the rubric, but otherwise the model specifications are appropriate.","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected workflow and would display the appropriate engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the required process and producing the expected bootstrap resampling object.","You created all_workflows with workflowsets::workflow_set using your recipe and all three models, and then unnested the info column to inspect the structure. This aligns with the expected workflow and output structure.","You updated all_workflows with workflow_map and then used select, unnest, filter(.metric == 'rmse'), group_by, arrange(desc(.estimate)), and slice(1) as required. The code follows the specified sequence and would yield the best (by your ordering) rmse rows per workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and provided a brief comparison to your Exercise 8 results, satisfying the rubric’s requirements.","You extracted the forest workflow, finalized it with specific trees and min_n values, fit on both training and test data, and computed a test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration and approximate 12% increase, so the final model selection and performance comparison are only partially aligned with the rubric."
9,25.5,"Your lab shows solid command of tidymodels workflows, models, and resampling, and you completed all exercises with mostly correct code structure. Most deductions are for small deviations from the specified process (e.g., missing strata, log base/skip settings, and minor mode specifications) rather than major conceptual errors. Review the rubric details around outcome transformations and stratified splits to align even more closely with the expected workflow next time.",2.5,2,1.5,2.5,3,3,3,3,3,2,"You correctly used skimr on dat and answered the missing-data question, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed, used initial_split, training, and testing with a 0.75 prop, but omitted the required strata = 'Sale_Price' argument, so the split process is slightly off the rubric.","You created a recipe with the right variables and included log, other, dummy, center, and scale steps, but used base = 10 with skip = TRUE on the outcome (so it won’t be transformed) and centered/scaled all predictors rather than just numeric predictors; also you did not use broom::tidy() to examine the prepped recipe.","All three models are specified with the correct parsnip functions, engines, and tunable parameters; however, you did not explicitly set_mode('regression') for the lm and glmnet models as in the rubric, even though regression would be inferred.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow and outputs.","You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required, producing the correct bootstrap resampling object.","You built all_workflows with workflow_set using the recipe and all three models, then unnested the info column to inspect structure, which matches the rubric’s expectations.","Your code updates all_workflows with workflow_map and then correctly selects, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate, and slices the first row per group as specified.","You called workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and you compared its behavior to Exercise 8, correctly noting the difference in sorting direction.","You extracted the forest workflow, finalized it with specific trees and min_n values, and fit on train and test data, computing an MSE ratio; however, the log base used earlier (10 instead of e) and the chosen tuning parameters differ from the solution, so the performance comparison does not align with the expected result."
10,26,"Your lab shows a solid grasp of tidymodels workflows, recipes, parsnip models, and workflowsets, with all major steps implemented. Most deductions are for smaller details such as missing stratification in the split and minor recipe configuration issues. Review the recipe step options (especially log base and which predictors to center/scale) and always include stratification when requested to fully align with the rubric.",2.5,2,1.5,2.5,3,3,3,3,3,2.5,"You correctly used skimr::skim() on dat and answered that there is no missing data. To fully match the rubric, use the pipe operator (dat |> skimr::skim()) and avoid loading skimr inside the chunk if not needed.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 75% split, but you omitted the strata = 'Sale_Price' argument. Include stratification on Sale_Price to fully meet the process and accuracy requirements.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors. Adjust the log base, remove skip = TRUE, and use all_numeric_predictors() for centering/scaling.","You defined three parsnip models with the correct engines and tunable parameters and set mode = 'regression' for the forest. To be fully consistent, also set mode = 'regression' explicitly for the linear_reg models, as in the reference solution.","You correctly called parsnip::translate() on each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which matches the expected workflow and output structure.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which matches the required process and produces the correct bootstrap resampling object.","You created all_workflows with workflowsets::workflow_set() using your recipe and three models, and unnested the info column to inspect the structure. This matches the expected workflow and structure.","You updated all_workflows with workflow_map(), then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped, arranged in descending order, and sliced the first row. This follows the requested sequence and yields the best rmse per workflow (by your chosen ordering).","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and provided a brief comparison to Exercise 8, demonstrating understanding of the ranking behavior.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, fit on both training and test data, and computed the test/train MSE ratio. The overall workflow matches the rubric, though your chosen parameters differ from the reference solution, so the numeric ratio will not match exactly."
