Run,Total,Model_Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,21,21,"The student demonstrated a good understanding of the individual components (recipes, models, translation) in the early exercises. However, significant deviations occurred in the later exercises (Ex8-Ex10), where the student redefined objects, used different resampling methods (vfold instead of bootstrap), and did not follow the specific chaining instructions required by the rubric. Pay closer attention to using the variables created in previous steps and adhering to the specific function chains requested.",2,2,3,3,3,2,2,1,2,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Code correctly creates the recipe with the specified formula, applies `step_log`, `step_other`, `step_dummy`, `step_center`, and `step_scale` in a logical order, and preps the recipe. All required functions are present.","Code correctly defines three models: `lm_mod_base` (lm), `lm_mod_glmnet` (glmnet with tuned penalty/mixture), and `lm_mod_rforest` (ranger with tuned min_n/trees). All required functions and parameters are present.",Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is assumed based on correct input.,"Code sets seed and calls `bootstraps()`. However, the rubric specifies using default parameters. The student explicitly set `times = 25`, which deviates from the 'default parameters' instruction. Deducted 1 point for ProcessFidelity.","Code creates the workflow set. However, the rubric requires using `tidyr::unnest()` on the info column to examine contents. The student only selected the columns (`dplyr::select(wflow_id, info)`) without unnesting. Deducted 1 point for CodeExecution/ProcessFidelity.","The student did not follow the required process. Instead of updating the existing `all_workflows` variable with `workflow_map` and then chaining the specific dplyr/tidyr verbs as requested, they redefined the workflow set, used `vfold_cv` instead of the bootstrap samples from Ex6, and created a new variable `all_workflows_res`. The specific chaining sequence requested in the rubric was not followed on the correct object. Deducted 2 points for ProcessFidelity and CodeExecution.","Code calls `rank_results` with correct parameters. However, the input object `all_workflows_res` is not the one established in the previous steps (due to Ex8 deviation). The rubric expects consistency with Ex8. Deducted 1 point for ProcessFidelity.","The student extracted a workflow and finalized it, but the parameters used (`mtry`, `min_n`) do not match the rubric's expected best parameters (`trees`, `min_n`) derived from the standard solution path. Additionally, the code is overly complex and deviates significantly from the expected simple `fit()` calls on train/test data. Deducted 2 points for ProcessFidelity and OutputAccuracy."
2,20,20,"The student demonstrated good understanding of basic recipe and model specification (Ex 3-5). However, significant deviations occurred in the resampling and tuning stages (Ex 8-10), where the student switched from bootstrap to cross-validation and redefined variables instead of following the prescribed workflow. This led to cascading errors in the final model evaluation. Pay closer attention to using the specific resampling objects and variable names defined in earlier exercises.",2,2,3,3,3,2,2,1,1,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Code correctly creates the recipe with the specified formula, applies `step_log`, `step_other`, `step_dummy`, `step_center`, and `step_scale` in a logical order, and preps the recipe. All required functions are present.","Code correctly defines three models: `lm_mod_base` (lm), `lm_mod_glmnet` (glmnet with tuned penalty/mixture), and `lm_mod_rforest` (ranger with tuned min_n/trees). All required functions and parameters are present.",Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is assumed based on correct code structure.,"Code sets seed and calls `bootstraps()`. However, the rubric specifies using default parameters. The student explicitly set `times = 25`, which deviates from the 'default parameters' instruction. Deducted 1 point for ProcessFidelity.","Code creates `all_workflows` correctly. However, the rubric requires using `tidyr::unnest()` on the info column to examine contents. The student only selected the columns (`dplyr::select(wflow_id, info)`) but did not unnest them. Deducted 1 point for ProcessFidelity/OutputAccuracy.","The student did not follow the required workflow. Instead of updating `all_workflows` with `workflow_map` using `train_resamples` (bootstrap) as specified in the lab setup, they redefined the workflow set, used `vfold_cv` (cross-validation) instead of bootstrap, and created a new variable `all_workflows_res`. The subsequent unnesting/filtering code operated on this incorrect object. Significant deviation from ProcessFidelity and CodeExecution requirements.",Code calls `rank_results` but on the incorrect object `all_workflows_res` (from Q8) rather than the expected `all_workflows`. The comparison logic is also convoluted and does not simply compare to Exercise 8 results as requested. Deducted points for ProcessFidelity and OutputAccuracy.,"The student extracted a workflow and finalized it, but the parameters (`mtry`, `min_n`) were hardcoded/guessed rather than derived from the previous tuning steps (which were incorrect in Q8). The final comparison code is overly complex and deviates from the simple `fit()` on train/test sets requested. The ratio calculation is present but based on flawed upstream steps. Deducted points for ProcessFidelity and OutputAccuracy."
3,20,20,"The student demonstrated a good understanding of individual tidyverse and tidymodels functions (Ex1-6). However, significant points were lost in the later exercises (Ex7-10) due to breaking the workflow continuity. The student redefined variables and parameters in Ex8-10 instead of chaining operations on the objects created in earlier steps, leading to inconsistencies with the rubric's expected process and outputs.",2,2,3,3,3,2,2,1,1,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Code correctly creates the recipe with the specified formula, applies `step_log`, `step_other`, `step_dummy`, `step_center`, and `step_scale` in a logical order, and preps the recipe. All required functions are present and used correctly.","Code correctly defines three models: `lm_mod_base` (lm), `lm_mod_glmnet` (glmnet with tuned penalty/mixture), and `lm_mod_rforest` (ranger with tuned min_n/trees). All required functions and parameters are present.","Code correctly calls `parsnip::translate()` on all three model objects (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`). Process and output requirements are met.","Code sets seed and calls `bootstraps()`. However, the rubric specifies using default parameters. The student explicitly set `times = 25`, which deviates from the 'default parameters' instruction. Deducted 1 point for ProcessFidelity.","Code creates the workflow set. However, the rubric requires using `tidyr::unnest()` on the info column to examine contents. The student only selected the columns (`dplyr::select(wflow_id, info)`) without unnesting. Deducted 1 point for ProcessFidelity/OutputAccuracy.","The student did not use the `all_workflows` variable created in Q7. Instead, they redefined the recipe, models, and workflow set with different parameters (e.g., `mixture = 1` instead of `tune()`, different resampling method). This breaks the workflow continuity required by the rubric. While the final unnesting/filtering code is syntactically correct, it operates on a different object than intended. Deducted 2 points for ProcessFidelity and OutputAccuracy.","The student ran `rank_results` but on their custom `all_workflows_res` object, not the `all_workflows` object from the previous steps as implied by the lab flow. The code is complex and deviates significantly from the simple comparison requested. Deducted 2 points for ProcessFidelity.","The student extracted a workflow and finalized it, but the parameters used (`mtry`, `min_n`) do not match the rubric's expected best parameters (`trees`, `min_n`) derived from the standard solution path. Additionally, the code re-runs the entire tuning process instead of using the finalized workflow from the previous step. Deducted 2 points for ProcessFidelity and OutputAccuracy."
4,20,20,"The student demonstrated a good understanding of the basic tidyverse modeling workflow for exercises 1-6. However, significant deviations occurred in exercises 8-10, where the student switched from the required bootstrap resampling to cross-validation and redefined variables, breaking the continuity of the lab. Future submissions should strictly follow the specified resampling method and variable names to ensure consistency.",2,2,3,3,3,2,2,1,1,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Code correctly creates the recipe with the specified formula, applies `step_log`, `step_other`, `step_dummy`, `step_center`, and `step_scale`, and preps the recipe. The order of operations is logical (dummy variables created before centering/scaling). All criteria met.","Code correctly defines three models: `lm_mod_base` (lm), `lm_mod_glmnet` (glmnet with tuned penalty/mixture), and `lm_mod_rforest` (ranger with tuned min_n/trees). All required functions and parameters are present.",Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is assumed based on correct input objects.,"Code sets seed and calls `bootstraps`. However, the rubric specifies using default parameters. The student explicitly set `times = 25`. While functionally similar, this deviates from the strict 'default parameters' instruction. Deducted 1 point for ProcessFidelity.","Code creates the workflow set. However, the rubric requires using `tidyr::unnest()` on the info column to examine contents. The student only selected the columns (`dplyr::select(wflow_id, info)`) but did not unnest them. Deducted 1 point for ProcessFidelity/OutputAccuracy.","The student did not follow the required process. Instead of updating `all_workflows` with `workflow_map` using `train_resamples` (bootstrap) as specified in the lab setup, they redefined models, used `vfold_cv` (cross-validation) instead of bootstrap, and created a new variable `all_workflows_res`. The subsequent unnesting/filtering code operates on this incorrect object. Significant deviation from ProcessFidelity and CodeExecution requirements.","Code calls `rank_results`, but it operates on `all_workflows_res` (the CV object from Q8) rather than the `all_workflows` object updated with bootstrap results as required by the lab flow. The comparison is therefore invalid relative to the intended workflow. Deducted points for ProcessFidelity.","The student extracted a workflow and finalized it, but used parameters (`mtry`, `min_n`) that do not match the rubric's expected best parameters (`trees`, `min_n`) derived from the bootstrap tuning. Additionally, the code for fitting and comparing is overly complex and deviates from the simple `fit()` calls on train/test data requested. The final ratio calculation is based on incorrect model specifications. Deducted points for ProcessFidelity and OutputAccuracy."
5,20,20,"The student demonstrated a good understanding of the basic tidyverse and tidymodels syntax for EDA, recipes, and model specification. However, significant deviations occurred in the later exercises (Ex8-Ex10) where the student redefined models and resampling strategies instead of following the cumulative workflow established in earlier exercises. Key parameters like `strata` in splitting and `unnest` in workflow inspection were missed or implemented incorrectly.",2,2,3,3,3,2,2,1,1,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Code correctly creates the recipe with the specified formula, applies `step_log`, `step_other`, `step_dummy`, `step_center`, and `step_scale` in a logical order, and preps the recipe. All required functions are present.","Code correctly defines three models: `lm_mod_base` (lm), `lm_mod_glmnet` (glmnet with tuned penalty/mixture), and `lm_mod_rforest` (ranger with tuned min_n/trees). All required functions and parameters are present.",Code correctly calls `parsnip::translate()` on all three model objects. Process fidelity is met.,"Code sets seed and calls `bootstraps`. However, the rubric specifies using default parameters. The student explicitly set `times = 25`. While functional, this deviates from the 'default parameters' instruction. Deducted 1 point for ProcessFidelity.","Code creates the workflow set. However, the rubric requires using `tidyr::unnest()` on the info column to examine contents. The student only selected the columns (`dplyr::select(wflow_id, info)`) but did not unnest them. Deducted 1 point for ProcessFidelity/OutputAccuracy.","The student redefined the workflow set and models with different parameters (e.g., `mixture = 1` instead of `tune()`, added `mtry`) and used `vfold_cv` instead of the bootstrap samples created in Ex6. This violates ProcessFidelity significantly. While the final unnest/filter/slice logic is present, the input data and model definitions do not match the expected workflow from previous exercises. Deducted 2 points.","The student ran `rank_results` but on a different workflow set (`all_workflows_res` with CV folds) than expected (bootstrap-based). The rubric expects comparison to Ex8 results which should be consistent. Due to the deviation in Ex8, this result is not comparable to the expected solution. Deducted 2 points for ProcessFidelity/OutputAccuracy.","The student extracted a workflow and finalized it, but used parameters (`mtry`, `min_n`) that do not match the rubric's expected best parameters (`trees`, `min_n`) for the base_forest model. Additionally, the code is overly complex and re-runs the entire tuning process instead of using the finalized workflow from the previous step. Deducted 2 points for ProcessFidelity and OutputAccuracy."
6,20,19,"The student demonstrates a good understanding of individual components like recipes and model specification (Q3, Q4, Q5). However, significant points were lost due to deviations from the required workflow in later exercises. Specifically, the student switched from bootstrap resampling to v-fold cross-validation in Q8/Q10, ignored the requirement to update the original `all_workflows` object, and failed to unnest the info column in Q7. Strict adherence to the specified variables and resampling methods is crucial for full credit.",2,2,3,3,3,2,2,1,1,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","The recipe is created with the correct formula and steps (`step_log`, `step_other`, `step_dummy`, `step_center`, `step_scale`). The order is logical (dummy creation before scaling). `prep()` and `tidy()` are used. Full marks.","Three models are created correctly: `lm_mod_base` (lm), `lm_mod_glmnet` (glmnet with tune), and `lm_mod_rforest` (ranger with tune). Correct functions and parameters are used. Full marks.",The student correctly calls `parsnip::translate()` on all three model objects. Full marks.,"The student sets the seed and calls `bootstraps()`. However, they explicitly set `times = 25`, whereas the rubric states to 'leave the parameters set to their defaults' (which is 25, but explicitly setting it deviates from the 'default' instruction slightly, more importantly, the rubric checks for `rsample::bootstraps(ames_train)` specifically). The main issue is that the rubric expects the variable `train_resamples` to be created using the default parameters without explicit override if possible, but more critically, the student's code in Q8/Q10 relies on a different variable name `all_workflows_res` and different resampling strategy (vfold vs bootstrap) later. For Q6 specifically, the code is functionally correct but the rubric emphasizes 'default parameters'. I will deduct 1 point for not strictly following the 'default' instruction by specifying `times=25` explicitly, although it is the default value. Actually, looking closer, the rubric says 'default number of resamples'. The student specified it. It's a minor deviation. Let's look at Q8/Q10. The student deviates significantly in Q8/Q10. For Q6, the code is present. I will give 2 points because the rubric says 'default parameters' and the student hardcoded it, showing a lack of trust in defaults or misunderstanding of the instruction 'leave... to their defaults'.","The student creates a workflow set. However, they redefine the recipe and models inside this chunk, which is redundant but acceptable. The critical error is in the second code chunk: they select `wflow_id` and `info` but do NOT unnest the `info` column as required by the rubric ('use `tidyr::unnest(` on the info column'). They only select it. Deducted 1 point for missing `unnest`.","The student completely deviates from the required process. The rubric requires updating `all_workflows` with `workflow_map` using `train_resamples` (bootstrap). The student creates a new variable `all_workflows_res`, uses `vfold_cv` instead of bootstrap, and changes the grid size. While the final unnesting/filtering logic is similar, the core process (using the bootstrap resamples from Q6 and updating the original workflow set) is ignored. Deducted 2 points for ProcessFidelity and OutputAccuracy.","The student runs `rank_results` but on their custom `all_workflows_res` object (using vfold) rather than the `all_workflows` object updated in Q8 (which should have used bootstrap). The rubric requires comparing to results from Exercise 8 (which should be consistent). Since Q8 was incorrect, this comparison is invalid. Deducted 2 points for ProcessFidelity.","The student extracts a workflow and finalizes it. However, they use `best_params` which is not defined in the provided code chunk (it relies on previous chunks that were also deviated). They also redefine the recipe and models again. The final calculation of MSE ratio is present. However, the process is disjointed and relies on variables not properly established in the context of the rubric's expected workflow (using `all_workflows` and `train_resamples`). Deducted 2 points for ProcessFidelity and CodeExecution (undefined variable `best_params` in the finalize chunk)."
7,20,20,"The student demonstrated a good understanding of the core tidymodels functions for EDA, recipe creation, and model specification (Ex1-5). However, significant points were lost in later exercises due to deviating from the required workflow structure. Specifically, the student redefined variables unnecessarily, ignored the bootstrap samples created in Ex6 for Ex8, and failed to use `unnest` in Ex7. The final model comparison in Ex10 was overly complex and did not follow the prescribed template steps.",2,2,3,3,3,2,1,1,2,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Code correctly creates the recipe with the specified formula and steps (`step_log`, `step_other`, `step_dummy`, `step_center`, `step_scale`). It also preps and tidies the recipe. All criteria met.","Code correctly defines three models: `lm_mod_base`, `lm_mod_glmnet` (with tuned penalty/mixture), and `lm_mod_rforest` (with tuned min_n/trees). All required functions and parameters are present.",Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is assumed based on correct code structure.,"Code sets seed and calls `bootstraps()`. However, the rubric specifies using default parameters. The student explicitly set `times = 25`. While functional, this deviates from the 'default parameters' instruction in ProcessFidelity. Deducted 1 point.","The student redefined the recipe and models in this chunk, which is redundant but not necessarily wrong. However, the rubric requires using `tidyr::unnest()` on the info column to examine contents. The student only used `dplyr::select(wflow_id, info)`, which does not unnest the data. Deducted 2 points for missing required function and incorrect process.","The student completely rewrote the workflow setup, using `vfold_cv` instead of the bootstrap samples created in Ex6, and changed model specifications (e.g., `mtry` instead of `trees` for tuning in some places, or fixed values). The rubric requires updating `all_workflows` with `workflow_map` using the previously created `train_resamples`. The student's code does not follow the expected process or use the correct variables. Deducted 2 points for ProcessFidelity and CodeExecution.","Code calls `rank_results` correctly. However, the student performs extensive additional data manipulation (`pivot_wider`, etc.) not required by the rubric. The core requirement is met, but the process is overly complex and deviates from the simple comparison requested. Deducted 1 point for ProcessFidelity.","The student extracted a workflow and finalized it. However, the code is extremely convoluted, redefining recipes and models again. The rubric expects extracting the 'base_forest' workflow (or best one) and fitting it to `ames_train` and `ames_test` to compare OOB errors. The student's code calculates MSE manually via predictions rather than using the workflow fit objects directly as implied by the template structure. The final ratio is also significantly different from the expected ~12% difference, suggesting potential issues with the model specification or data handling in the redefined chunks. Deducted 2 points for ProcessFidelity and OutputAccuracy."
8,19,21,"The student demonstrated strong understanding of the initial data preparation and model specification steps (Ex1-Ex6). However, significant deviations occurred in the later exercises (Ex7-Ex10), where the student redefined variables, switched from bootstrap to cross-validation, and altered model parameters. This broke the workflow continuity required by the rubric, leading to lower scores in the final stages.",2,2,3,3,3,2,1,1,1,1,"Code executes and uses `skimr::skim()`, but fails to use the pipe operator `|>` as required by the rubric. The conclusion about missing data is correct.","Code structure is correct (set.seed, initial_split, training/testing), but the `strata = 'Sale_Price'` parameter is missing from `initial_split`, which is required by the rubric.","Correctly creates the recipe with the specified formula and steps (log, other, dummy, center, scale). Uses `prep()` and `broom::tidy()` as required.","Correctly defines three models: base lm, glmnet with tuned penalty/mixture, and ranger with tuned min_n/trees. Uses `parsnip` functions correctly.",Correctly applies `parsnip::translate()` to all three model objects to display their templates.,"Code executes and creates bootstrap samples, but explicitly sets `times = 25` instead of using the default parameters as instructed in the rubric ('leave the parameters set to their defaults').","The workflow set is created, but the code to examine the structure is incomplete. It selects columns but does not use `tidyr::unnest()` on the info column as required by the rubric.","The student redefined the workflow set and used `vfold_cv` instead of the `train_resamples` (bootstrap) object created in Ex6. While the unnesting/filtering logic is present, it does not follow the expected process of updating the existing `all_workflows` variable with the bootstrap resamples.","The code calls `rank_results`, but it operates on a redefined workflow set (`all_workflows_res`) using cross-validation folds rather than the bootstrap results from the previous exercises. The comparison logic is overly complex and deviates from the simple verification requested.","The student re-ran the entire modeling pipeline with different parameters (mtry instead of trees) and different resampling (CV instead of bootstrap). The finalization and fitting steps are present but do not align with the specific 'base_forest' workflow and parameters (trees=1, min_n=11) expected from the previous exercises."
9,20,20,"The student demonstrated a good understanding of the individual components (recipes, models, bootstraps) in the early exercises. However, significant points were lost in later exercises due to not chaining the workflow correctly (redefining variables instead of using previous outputs) and deviating from the specific process instructions (e.g., unnesting info, simple rank_results call). Ensure you use the variables created in previous steps and follow the exact function calls requested in the rubric.",2,2,3,3,3,2,2,1,1,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Code correctly creates the recipe with the specified formula, applies `step_log`, `step_other`, `step_dummy`, `step_center`, and `step_scale`, and preps the recipe. The order of operations is logical (dummy variables created before centering/scaling). All criteria met.","Code correctly defines three models: `lm_mod_base` (lm), `lm_mod_glmnet` (glmnet with tuned penalty/mixture), and `lm_mod_rforest` (ranger with tuned min_n/trees). All required functions and parameters are present.",Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is assumed based on correct code structure.,"Code sets seed and calls `bootstraps`. However, the rubric specifies using default parameters. The student explicitly set `times = 25`. While not necessarily 'wrong', it deviates from the 'default parameters' instruction in ProcessFidelity. Deducted 1 point.","Code creates `all_workflows` correctly. However, the rubric requires using `tidyr::unnest()` on the info column to examine contents. The student only selected the columns (`dplyr::select(wflow_id, info)`) but did not unnest them. Deducted 1 point for ProcessFidelity/OutputAccuracy.","The student did not use the `all_workflows` variable created in Q7. Instead, they redefined the recipe, models, and workflow set from scratch, using different parameters (e.g., `mixture = 1` instead of `tune()`, `vfold_cv` instead of `train_resamples`). This violates ProcessFidelity significantly. The final unnesting/filtering code is structurally correct, but the input data is not the result of the previous steps as required. Deducted 2 points.","The student did not simply run `workflowsets::rank_results(all_workflows, ...)` as requested. They performed complex manual comparisons and pivoting. While the function was called, the process deviated significantly from the simple verification step requested. Deducted 2 points for ProcessFidelity.","The student extracted a workflow and finalized it, but used `best_params` which was not defined in the provided code chunk (it was calculated in a previous chunk but the variable name in `finalize_workflow` was just `best_params` without ensuring it was passed correctly or defined in that specific scope if evaluated independently). More importantly, the rubric expects fitting on `ames_train` and `ames_test` using the `fit()` function directly on the workflow to compare OOB/test errors. The student used `predict()` and manual MSE calculation. The code is overly complex and deviates from the expected simple workflow. Deducted 2 points."
10,20,20,"The student demonstrated a good understanding of the individual components (recipes, models, bootstraps) in the early exercises. However, significant points were lost in the later exercises (Q7-Q10) due to deviating from the prescribed workflow. Specifically, redefining variables instead of chaining from previous steps, ignoring specific function requirements (like `unnest`), and introducing syntax errors in the finalization step. Stick closely to the variable names and function calls specified in the rubric to ensure full credit.",2,2,3,3,3,2,2,1,1,1,"Code executes `skimr::skim(dat)` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`). The student used direct argument passing. Deducted 1 point for ProcessFidelity.","Code correctly sets seed and creates splits. However, the rubric explicitly requires using `strata = 'Sale_Price'` in `initial_split`. The student omitted this parameter. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Code correctly creates the recipe with the specified formula, applies `step_log`, `step_other`, `step_dummy`, `step_center`, and `step_scale`, and preps the recipe. The order of operations is logical (dummy variables created before centering/scaling). All criteria met.","Code correctly defines three models: `lm_mod_base` (lm), `lm_mod_glmnet` (glmnet with tuned penalty/mixture), and `lm_mod_rforest` (ranger with tuned min_n/trees). All required functions and parameters are present.","Code correctly calls `parsnip::translate()` on all three model objects (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`). Output accuracy is assumed based on correct code structure.","Code sets seed and calls `bootstraps()`. However, the rubric specifies using default parameters. The student explicitly set `times = 25`, which deviates from the 'default parameters' instruction. Deducted 1 point for ProcessFidelity.","Code creates `all_workflows` using `workflow_set`. However, the rubric requires using `tidyr::unnest()` on the info column to examine contents. The student only selected the columns (`dplyr::select(wflow_id, info)`) but did not unnest them. Deducted 1 point for CodeExecution/ProcessFidelity.","The student did not use the `all_workflows` variable created in Q7. Instead, they redefined the recipe, models, and workflow set from scratch, using different parameters (e.g., `mixture = 1` instead of `tune()`, `vfold_cv` instead of `train_resamples`). This violates ProcessFidelity significantly. While the final unnesting/filtering code is syntactically correct, it operates on a different object than intended by the lab flow. Deducted 2 points.","The student did not run the specific code requested: `workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE)`. Instead, they performed a complex manual comparison using `extract_workflow_set_result` and `pivot_wider`. This does not meet the CodeExecution or ProcessFidelity criteria for this specific exercise. Deducted 2 points.","The student extracted a workflow and finalized it, but used `all_workflows_res` (from their custom Q8/Q9 flow) instead of the standard `all_workflows`. The finalization code has a syntax error (missing comma or pipe between `finalize_workflow` call and `tibble`). The comparison of fits is overly complex and deviates from the simple `fit()` on train/test sets requested. Deducted 2 points for ProcessFidelity and CodeExecution."
