Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,19,"Your lab shows a solid grasp of tidymodels workflows, recipes, models, and workflowsets, and most required steps are present and conceptually correct. Points were mainly lost where your code diverged from the specified arguments (e.g., missing strata, different workflow IDs, altered resampling setup) or where syntax/structure did not match the expected minimal workflow. Review the rubric’s exact function calls and arguments to better align your future submissions with the required process.",2,2,3,2,3,2,2,2,2,1,"You correctly used skimr::skim on dat and stated there is no missing data, but you did not use the pipe operator to pass dat into skim as specified, and you created an extra dat assignment.","You set the seed and used rsample::initial_split, training, and testing with a 0.75 split, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and you prep and tidy the recipe; the process and transformations match the rubric.","You defined the three models with appropriate engines and tuning parameters, but you did not explicitly set mode = 'regression' for the first two models and did not namespace tune(), which slightly departs from the expected parsnip workflow.","You correctly called parsnip::translate() on each of the three model objects, matching the expected process.","You set the seed and created bootstrap resamples from ames_train, but you did not namespace bootstraps with rsample:: and you changed the default resample settings (times = 25) instead of using defaults.","You created a workflow_set with the base recipe and three models, but your model names differ from the specified (lm/glmnet/ranger vs base/glmnet/forest) and you only selected the info column instead of unnesting it to inspect its contents.","You correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, but you did this on all_workflows_res instead of the updated all_workflows object and used a different resampling setup than specified.","You used workflowsets::rank_results with rank_metric = 'rmse' and select_best = TRUE and compared results conceptually, but you applied it to all_workflows_res and added extra exploratory code beyond the minimal expected process.","You eventually extract a best workflow, finalize it, and fit on training and test data with a reported MSE ratio, but earlier code chunks have syntax errors (finalize_workflow line) and you do not follow the specified base_forest workflow and fixed parameter values from the rubric."
2,21,"Your lab shows solid understanding of tidymodels workflows, recipes, and workflowsets, and most exercises include the correct core functions and reasonable processes. The main issues are small deviations from the specified arguments (e.g., missing strata, not fully unnesting info, and mismatched IDs/parameters in the final model selection). Review the rubric’s exact requirements for arguments and workflow IDs/parameters to align your code more closely with the expected process in future labs.",2,2,3,2,3,3,2,3,2,1,"You correctly used skimr::skim on dat and stated there is no missing data, but you did not use the pipe operator to pass dat into skim as specified, and you created dat inside the chunk instead of using the provided object.","You set the seed and used initial_split, training, and testing with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument, so the split process is not fully as specified.","Your recipe uses the correct formula, applies step_log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and examine with broom::tidy; this matches the required transformations and workflow.","You correctly specified linear_reg, rand_forest, set_engine, and used tune() for penalty/mixture and min_n/trees, but you did not explicitly set mode = 'regression' for the first two models and used unqualified tune() instead of parsnip::tune(), which is slightly off the expected pattern.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.",You set the seed and created train_resamples with bootstraps(ames_train); using a specific times value is acceptable and produces the expected bootstrap resampling object.,"You created all_workflows with workflow_set using the base recipe and three models, but you only selected the info column instead of unnesting it, so the structure of the workflows is not fully examined as requested.","You used workflow_map on the workflow set, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, matching the required workflow even though you stored results in a separate object.","You used workflowsets::rank_results with rank_metric = 'rmse' and select_best = TRUE on all_workflows_res and compared results, but the rubric expected rank_results(all_workflows); still, the core function usage and comparison intent are present.","You attempted to extract a best workflow and finalize it, but the extract_workflow ID ('base_ranger') does not match the expected 'base_forest', the finalize_workflow call is syntactically incorrect in Q10b, and you did not use the specified best parameters (trees = 1, min_n = 11), so the finalization and comparison steps deviate from the rubric."
3,21,"You demonstrated a solid grasp of tidymodels workflows, recipes, models, and workflowsets, and most exercises include the key functions and steps requested. However, several answers diverge from the exact processes in the rubric (e.g., missing stratification, different workflow objects, not unnested info, and inconsistent best-model selection), and there are a few syntax and naming issues. Tightening your adherence to the specified arguments, object names, and exact workflows would bring these solutions fully in line with the grading criteria.",2,2,3,2,3,2,2,2,2,1,"You correctly used skimr::skim on dat and stated there is no missing data, but you did not use the pipe operator (dat |> skimr::skim()) as specified and added extra steps beyond the single-pipe workflow.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', so the split does not fully match the required process.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and you prep and examine it with broom::tidy; this matches the required transformations and workflow.","You created three parsnip models with appropriate engines and tuning parameters, but you did not explicitly set mode = 'regression' for the first two models and did not namespace tune(), which slightly diverges from the expected specification.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required.","You set the seed and created bootstrap resamples from ames_train, but you did not namespace bootstraps() with rsample:: and changed the default parameters (times = 25) instead of using the default settings.","You built a workflow_set with the base recipe and three models and inspected the info column, but you did not unnest(info) as requested, and your model names differ from the expected base/glmnet/forest labels.","You correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, but you operated on all_workflows_res instead of the updated all_workflows object and added extra, unnecessary redefinitions.","You used workflowsets::rank_results with rank_metric = 'rmse' and select_best = TRUE and compared results, but you applied it to all_workflows_res rather than the rubric’s all_workflows object and added extra, nonessential code.","You eventually extract a best workflow, finalize it with tune::finalize_workflow, and fit on training and test data, but earlier code chunks contain syntax errors (best_params undefined in Q10b) and you do not use the specified base_forest workflow or the given best parameters (trees = 1, min_n = 11), so the process and reported ratio do not match the rubric."
4,19,"You completed all exercises and generally followed the tidymodels workflow, showing good understanding of recipes, models, workflowsets, and tuning. Most deductions are for small but important deviations from the specified process (e.g., missing strata, not unnested info, altered resampling setup, and misaligned final model selection). Review the rubric’s exact arguments and object names, and aim to match the provided workflow more closely in future labs.",2,2,3,2,3,2,2,2,2,1,"You correctly used skimr::skim() on dat and stated there is no missing data. However, the rubric required using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or checks; you created dat separately and added anyNA(), so process fidelity is slightly off.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 75% split, which matches most of the rubric. You omitted the strata = 'Sale_Price' argument, so the split is not stratified as specified.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood with step_other(), creates dummies, and then centers/scales predictors. You prep the recipe and examine it with broom::tidy(), satisfying the required steps and order closely enough to the rubric.","You defined three parsnip models and used set_engine() appropriately, and tuned penalty/mixture and min_n/trees. However, you did not explicitly set the mode for the base and glmnet models, and you used tune() without the parsnip:: prefix, which is ambiguous in a non-executed document per the rubric’s emphasis on explicit function usage.","You applied parsnip::translate() to each of the three model objects, which matches the expected workflow and would display the three engine-specific templates as required.","You set the seed and created a bootstrap object from ames_train, which matches the intent. However, you did not namespace bootstraps() with rsample:: and you changed the default parameters (times = 25) instead of using the default settings as specified.","You created a workflow_set with the recipe and three models and then selected the wflow_id and info columns. This satisfies the creation step, but you did not actually unnest(info) as required to examine the workflow structure, so the inspection step is incomplete.","You demonstrated the correct unnest → filter(.metric == 'rmse') → group_by → arrange(desc(.estimate)) → slice(1) pipeline on a workflow_set result, which matches the required process. However, you introduced a separate all_workflows_res object and vfold_cv resampling instead of using the provided all_workflows with bootstraps, so your workflow diverges from the specified setup.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE on all_workflows_res and compared results, which aligns with the main requirement. The extra, more complex code is fine but not necessary; minor divergence from the simpler expected process keeps this from full marks.","You attempted to extract and finalize a best workflow and compare train/test performance, but there are issues: extract_workflow('base_ranger') does not match the earlier IDs, finalize_workflow is mis-specified in Q10b (best_params and tibble call are inconsistent), and you do not use the specified base_forest workflow or the given best parameters (trees = 1, min_n = 11). The final MSE ratio therefore does not match the expected result."
5,24,"Your lab shows a solid grasp of tidymodels workflows, recipes, models, and workflowsets, and most exercises follow the intended processes closely. A few items diverge from the rubric specifications (e.g., missing strata in the split, not unnested info in Q7, and some syntax/parameter mismatches in Q6 and Q10). Tightening those details and aligning more strictly with the given instructions would bring this to full credit.",2,2,3,2,3,2,2,3,3,2,"You correctly used skimr::skim on dat and stated there is no missing data, but you did not use the pipe operator to pass dat into skim as specified, and you created dat inside the chunk instead of using the provided object.","You set the seed and used initial_split, training, and testing with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument, so the split process is not fully as specified.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and tidy the recipe; this matches the required transformations and workflow.","You defined the three models with linear_reg and rand_forest and used tune() for the appropriate parameters, but you did not explicitly set mode = 'regression' for the first two models and did not namespace tune(), which slightly departs from the expected parsnip usage.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required for examining the model templates.","You set the seed and created a bootstrap object from ames_train, but you did not namespace bootstraps with rsample:: and you overrode the default resample count with times = 25 instead of using the default settings.","You built a workflow_set with the recipe and three models and inspected the wflow_id and info columns, but you did not unnest(info) as requested, and your model names differ from the base/glmnet/forest naming used in the rubric.","You mapped workflow_map over the workflow set (into all_workflows_res) and then correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, matching the required workflow even though you used a separate resampling object.","You used workflowsets::rank_results with all_workflows_res, rank_metric = 'rmse', and select_best = TRUE and compared these to your earlier results, which aligns with the expected process and output comparison.","You ultimately implemented a full workflow to identify the best model, finalize it with select_best parameters, and compare train/test performance, but the earlier Q10b chunk has incorrect finalize_workflow syntax and you did not use the specific base_forest workflow and fixed parameters requested in the rubric."
6,20,"You demonstrated a solid understanding of tidymodels workflows, recipes, models, and workflowsets, and most exercises include the correct core functions and structure. The main deductions are for small deviations from the specified arguments (e.g., missing strata, non-default bootstrap settings), incomplete unnesting in Exercise 7, and not following the exact finalization process and parameters in Exercise 10. Tightening your code to match the rubric’s exact specifications and checking for syntax issues (as in Q10b) will help you capture full credit in future labs.",2,2,3,2,3,2,2,3,2,1,"You correctly used skimr::skim on dat and stated there is no missing data. However, the rubric requires using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or separate calls like anyNA(dat).","You set the seed and used rsample::initial_split, training(), and testing(), and created ames_train and ames_test with a 0.75 split. You omitted the required strata = 'Sale_Price' argument in initial_split, so the process is slightly off the rubric.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, centered and scaled predictors, and then prepped and examined it with broom::tidy. The order of steps and transformations matches the expected process.","You defined three parsnip models and used linear_reg, rand_forest, set_engine, and tuning for penalty/mixture and min_n/trees. However, you did not explicitly set the mode for the lm and glmnet models, and you used bare tune() instead of parsnip::tune(), which is slightly off the specified pattern.","You correctly called parsnip::translate() on each of the three model objects, which matches the required workflow and would display the three engine-specific templates.","You set the seed and created a bootstrap object from ames_train, which is correct. You used bootstraps(ames_train, times = 25) instead of the default parameters, so the process is slightly different from the rubric’s expectation.","You built a workflow_set with the base recipe and three models and stored it in all_workflows, which is correct. However, you only selected the info column instead of unnesting it with tidyr::unnest(info), so you did not fully examine the workflow structure as required.","You used workflow_map on the workflow set, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row. This matches the required sequence and would yield the best rmse per workflow.","You used workflowsets::rank_results(all_workflows_res, rank_metric = 'rmse', select_best = TRUE) and compared results, which satisfies the main requirement. The extra code around extract_workflow_set_result is not needed but does not harm; still, the rubric specifically referenced all_workflows rather than all_workflows_res.","You attempted to extract a best workflow and finalize it, and in Q10c you showed a full workflow for tuning, selecting best parameters, finalizing, and fitting on train/test and computing an MSE ratio. However, Q10b has a syntax error (finalize_workflow(best_params) then stray tibble line), and you did not follow the specified base_forest workflow and fixed parameters (trees = 1, min_n = 11), so the process and expected output do not align with the rubric."
7,24,"Your lab shows solid understanding of tidymodels workflows, recipes, models, and workflowsets, and you completed all exercises with mostly correct code. Most deductions are for not following the exact specified arguments (e.g., strata in splits, explicit modes, specific workflow IDs/parameters) or minor process deviations (e.g., not unnesting info). For future labs, focus on mirroring the requested functions, arguments, and object names closely, and double-check syntax when finalizing and fitting the best model.",2,2,3,2,3,3,2,3,3,1,"You correctly used skimr::skim on dat and stated there is no missing data. However, the rubric required using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or checks; you created dat separately and added anyNA, so process fidelity is slightly off.","You set the seed, used rsample::initial_split, and created ames_train and ames_test with a 75% split, which matches most of the process. You omitted the strata = 'Sale_Price' argument, so the split does not follow the specified stratified process.","Your recipe uses the correct formula, logs Sale_Price, pools Neighborhood with step_other, creates dummies, and then centers/scales predictors, and you prep and examine it with broom::tidy. This matches the required steps and order closely enough for full credit.","You defined three models with linear_reg and rand_forest and used set_engine correctly, and tuned the right parameters. However, you did not explicitly set mode = 'regression' for the first two models, and you used bare tune() instead of parsnip::tune(), which slightly departs from the expected specification.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using bootstraps(ames_train). Although you specified times = 25 and peeked at the object, this still produces a valid bootstrap resampling object and meets the rubric requirements.","You created a workflow_set with the recipe and three models and stored it in all_workflows, which is correct. However, you did not unnest the info column as requested; you only selected it, so the structure is not fully examined per the rubric.","You used workflow_map on the workflow set, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row. This matches the required workflow and output structure, even though you used a separate all_workflows_res object.","You called workflowsets::rank_results with all_workflows_res, rank_metric = 'rmse', and select_best = TRUE, and compared these results to those from Exercise 8. This satisfies the function usage and comparison requirement.","You attempted to extract a ranger workflow and finalize it, and later built a full tuning/finalization pipeline and computed train/test metrics and an MSE ratio. However, the initial finalize_workflow call is syntactically incorrect (best_params and tibble line), and you did not explicitly use the specified base_forest workflow or the given best parameters (trees = 1, min_n = 11), so the process and expected output are only partially met."
8,21,"You completed most of the required steps and demonstrated a solid understanding of recipes, models, workflowsets, and tuning. The main issues are small deviations from the specified arguments (e.g., missing strata, not unnesting info) and some inconsistencies or errors in the final model selection and finalization. Tightening alignment with the exact instructions and cleaning up redundant or conflicting code chunks would bring this to full credit.",2,2,3,2,3,3,2,3,3,1,"You correctly used skimr::skim on dat and stated there is no missing data, but you did not use the pipe operator (|>) as specified and added extra steps beyond the single-pipe workflow requested.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted the required strata = 'Sale_Price' argument, so the split process is not fully correct per the instructions.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and tidy the recipe; this matches the required transformations and workflow.","You created three parsnip models with the correct engines and tunable parameters, but you did not explicitly set the mode for the lm and glmnet models, which is expected in the rubric’s process description.","You correctly called parsnip::translate() on each of the three model objects, matching the required workflow for examining model templates.",You set the seed and created a bootstrap object from ames_train using bootstraps(); using times = 25 is acceptable and the resulting object matches the expected resampling structure.,"You built a workflow_set with the base recipe and three models correctly, but you only selected the info column instead of unnesting it with tidyr::unnest(), so the examination step is incomplete.","You used workflow_map on the workflow set, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, which matches the required process.","You used workflowsets::rank_results with all_workflows_res, rank_metric = 'rmse', and select_best = TRUE and compared results, which aligns with the rubric’s expectations for this step.","You eventually extract a best workflow, finalize it with select_best parameters, and fit on training and test data, but earlier code chunks have syntax errors (finalize_workflow line) and you do not use the specified base_forest workflow or the given best parameters, so the process and reported ratio do not match the rubric."
9,25,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, and most exercises follow the intended process closely. The main issues are small deviations from the specified arguments (e.g., missing strata in the split, not unnesting info, and some inconsistencies in the finalization step). Tightening those details to match the rubric instructions would bring this to full credit.",2,2,3,2,3,3,2,3,3,2,"You correctly used skimr::skim() on dat and stated there is no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or checks.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument in initial_split.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors; you prep and examine with broom::tidy(), matching the expected process and transformations.","You created three parsnip models with the right engines and tunable parameters, but you did not explicitly set the mode for the lm and glmnet models as required by the rubric.","You correctly called parsnip::translate() on each of the three model objects, which would display the underlying engine-specific templates as expected.",You set the seed and created a bootstrap resampling object from ames_train using bootstraps(); using times = 25 is acceptable and matches the intended workflow.,"You built all_workflows with workflow_set() using the recipe and three models, but you only selected the info column instead of unnesting it with tidyr::unnest(info) to show the workflow structure as required.","You mapped workflow_map() over the workflow set, then unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row per group, matching the specified process.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results conceptually, which aligns with the rubric’s expectations.","You ultimately extracted a best workflow, finalized it with selected parameters, fit on training and test data, and computed a test/train MSE ratio, but the earlier Q10b chunk has incorrect finalize_workflow syntax and you did not use the specified base_forest workflow or the given parameter values."
10,24,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most required functions are used correctly. The main deductions are for missing stratification in the split, not fully unnesting the workflow info, and some inconsistencies and errors in the final model selection/finalization steps. Tightening up adherence to the exact specified arguments and simplifying Q10 to a single, clean workflow would improve your score further.",2,2,3,2,3,3,2,3,3,1,"You correctly used skimr::skim on dat and stated there is no missing data. However, the rubric required using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or checks; you created dat separately and added anyNA, so process fidelity is slightly off.","You set the seed, used rsample::initial_split, and created ames_train and ames_test with a 75% split, which matches most of the process. You omitted the strata = 'Sale_Price' argument, so the split does not follow the specified stratified process.","Your recipe uses the correct formula, logs Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and examine it with broom::tidy. This matches the required steps and order closely enough to earn full credit.","You created three parsnip models with the correct engines and tuned parameters, and set_mode('regression') for the random forest. However, you did not set the mode explicitly for the glmnet and base linear models, which is expected in the rubric’s process description.","You correctly called parsnip::translate() on each of the three model objects, which matches the required workflow and would display the three engine-specific templates.","You set.seed(8740) and created train_resamples using bootstraps(ames_train), which matches the expected process; specifying times = 25 is acceptable and still produces a valid bootstrap resampling object.","You built all_workflows with workflow_set using the recipe and three models, which is correct. However, you only selected the info column instead of unnesting it with tidyr::unnest(info), so the examination of the workflow structure is incomplete.","Your code (using all_workflows_res) correctly unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate, and slices the top row, matching the required workflow even though you used a separate object name and additional CV setup.","You used workflowsets::rank_results(all_workflows_res, rank_metric = 'rmse', select_best = TRUE) and compared it to manual results, which aligns with the rubric’s expectations for function use and process.","You eventually implement a full workflow to identify the best model, finalize it with select_best parameters, and fit on train and test data, reporting an MSE ratio. However, earlier Q10 code has syntax/logic issues (misplaced finalize_workflow call, best_params undefined there, and extracting 'base_ranger' instead of 'base_forest'), so the overall process does not cleanly follow the specified base_forest workflow and fixed parameters."
