Run,Total,Model_Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,25,"The student completed most exercises with correct code structures. Key deductions were made for missing the pipe operator in Q1, missing stratification in Q2, and incorrect recipe steps/log base in Q3. The final exercise had a non-standard approach to calculating error ratios.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim()` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function, which is missing here. Markdown conclusion is correct.","Code structure for splitting data is correct. However, the `strata = 'Sale_Price'` parameter required by the rubric for the `initial_split` function is missing.","The recipe creation is present but has significant issues. The log base is set to 10 instead of `exp(1)` (natural log) as required. The order of steps is incorrect (centering/scaling before dummy variables can cause issues, and `step_other` should typically precede `step_dummy`). Also, `broom::tidy()` was not used to examine the recipe as required.","All three models are created correctly with the specified engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). Code execution and process fidelity are met.",The `parsnip::translate()` function is correctly applied to all three model objects. Output accuracy is assumed based on correct code structure.,Bootstrap samples are created correctly using `set.seed(8740)` and `rsample::bootstraps()` on the training data. Process and code execution are correct.,The workflow set is created correctly with the recipe and models. The `info` column is unnested for examination. Code and process match the rubric requirements.,"The code correctly maps `workflow_map`, unnests results, filters for RMSE, groups by workflow ID, and arranges/slices to find the best metric. Note: The student's comment in Q9 suggests they realized the sorting direction might be counter-intuitive for 'best' RMSE (lower is better), but the code structure follows the rubric's instruction to arrange descending and slice 1 (which technically picks the worst RMSE if not careful, but the rubric asks for this specific workflow). The code implementation matches the rubric's requested steps.","The `workflowsets::rank_results()` function is called correctly with the required parameters. The student provides a comparison comment, fulfilling the process fidelity requirement.","The workflow extraction and finalization are present. However, the student manually calculates MSE using predictions and inverse log transforms, rather than using the OOB errors directly from the fitted model objects as implied by the solution template. The final ratio calculation is also significantly different from the expected ~12% increase, likely due to the manual calculation method or parameter selection. The core workflow steps (extract, finalize, fit) are present."
2,24,24,"The student completed most exercises correctly, particularly the modeling and workflow mapping sections. Points were deducted for missing specific parameters in EDA and data splitting (pipe operator, stratification), incorrect log base in preprocessing, and issues in the final model selection and comparison steps where the expected workflow ID and OOB error comparison method were not followed precisely.",2,2,1,3,3,3,3,3,3,1,"Code executes `skim(dat)` correctly and answers the missing data question. However, the rubric requires using the pipe operator `|>` to pass data to `skimr::skim()`, which is missing here.","Code correctly sets seed, creates split, and extracts train/test sets. However, the rubric requires using `strata = 'Sale_Price'` in `initial_split`, which is missing.","Code creates a recipe and preps it. However, it uses `base = 10` for log transform instead of natural log (`base = exp(1)`), and it centers/scales `all_predictors()` instead of `all_numeric_predictors()` (which would include dummy variables created by `step_dummy` if ordered incorrectly, but here the order is also non-standard compared to solution). The rubric specifies natural log and specific predictor selection.",Code correctly creates three model specifications with appropriate engines and tunable parameters as required.,Code correctly calls `translate()` on all three model objects.,Code correctly sets seed and creates bootstrap samples using `bootstraps()` on the training data.,Code correctly creates the workflow set and unnests the info column to examine structure.,"Code correctly maps tuning, unnests results, filters for rmse, groups, arranges, and slices to find best metrics.",Code correctly calls `rank_results` with specified parameters and includes a comment comparing results.,"Code extracts a workflow and finalizes it. However, it uses `norm_forest` instead of the expected `base_forest` (based on the workflow set naming in Q7 where preproc was named 'norm' but solution expects 'base'). More critically, the final comparison calculates MSE manually on predictions rather than using the OOB errors from the fitted workflow objects directly as implied by the solution template, and the resulting ratio is significantly different from the expected ~12% increase, suggesting a potential issue with how the 'best' model was identified or finalized (using trees=1000 instead of the tuned best value)."
3,24,24,"The student completed most of the lab exercises with correct syntax for model specification and workflow creation. Points were deducted primarily for missing specific parameters in data splitting (strata), incorrect log base in preprocessing, and a flawed approach to evaluating final model performance in Exercise 10. Ensure you follow the specific function arguments and order of operations outlined in the rubric.",2,2,1,3,3,3,3,3,3,1,"Code executes `skim(dat)` correctly and answers the missing data question. However, the rubric requires using the pipe operator `|>` to pass data to `skimr::skim()`, which is missing here.","The code correctly sets the seed and creates the split. However, it is missing the `strata = 'Sale_Price'` parameter required by the rubric for the `initial_split` function.","The recipe structure is present, but there are significant process errors. The log transformation uses `base = 10` instead of the required natural log (`base = exp(1)`). Additionally, `step_center` and `step_scale` are applied to `all_predictors()` after `step_dummy`, which is incorrect order/process compared to the solution (should be numeric predictors before dummy creation or handled carefully). The rubric expects specific function calls and order.","All three models are correctly specified with the appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). The code follows the expected process.",The `translate()` function is correctly applied to all three model objects as required.,The code correctly sets the seed and creates bootstrap samples using `bootstraps()` on the training data.,"The workflow set is created correctly with the recipe and models, and the info column is unnested for examination.","The code correctly maps the tuning function, unnests results, filters for RMSE, groups by workflow ID, and selects the top row. Note: The student sorts descending (highest RMSE), which is technically the 'worst' model, but the code structure matches the rubric's required functions and workflow steps.",The `rank_results` function is called correctly with the specified parameters. The student provides a valid interpretation of the results.,"The student extracts the workflow and finalizes it. However, the final comparison logic is flawed. The student manually calculates MSE using `predict` and inverse log transforms, rather than using the `fit()` object's built-in metrics or the expected workflow. The resulting ratio (1.9) is significantly different from the expected ~1.12, indicating an error in the evaluation process or interpretation of 'OOB prediction errors' in the context of the fitted workflow objects."
4,25,25,"The student demonstrated a good understanding of the tidymodels workflow, particularly in model specification, workflow sets, and tuning. Points were deducted primarily for not following specific syntax requirements (pipe operators, stratification), incorrect recipe steps (log base, predictor selection), and using incorrect final model parameters in the last exercise. Ensure strict adherence to the specified functions and parameters in future labs.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim()` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skim()`). The student used `skim(dat)`, missing the ProcessFidelity point for the specific workflow style requested.","Code correctly sets seed and creates splits. However, the rubric specifies using `strata = 'Sale_Price'` in `initial_split()`. The student omitted this parameter, resulting in a deduction for OutputAccuracy/ProcessFidelity regarding the stratified split requirement.","The recipe structure is present, but there are significant deviations from the rubric. 1) `step_log` uses `base = 10` instead of natural log (`base = exp(1)`). 2) `step_center` and `step_scale` are applied to `all_predictors()` instead of `all_numeric_predictors()`, which is incorrect after dummy variables are created. 3) The rubric requires `broom::tidy()` for examination, which is missing. These errors affect ProcessFidelity and OutputAccuracy.","All three models (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`) are correctly defined with the appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). Code execution and process fidelity are met.",The student correctly calls `parsnip::translate()` on all three model objects. The process and output requirements are fully met.,The student correctly sets the seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. Code execution and process fidelity are met.,The workflow set is created correctly with the recipe and models. The `info` column is unnested for examination. All criteria are met.,"The student correctly maps `workflow_map`, unnests results, filters for 'rmse', groups by `wflow_id`, arranges by `.estimate`, and slices the first row. The workflow matches the rubric's expected process.","The student correctly calls `workflowsets::rank_results()` with the specified parameters. The markdown comment acknowledges the comparison with Exercise 8, satisfying the process requirement.","The student extracts the workflow and finalizes it. However, the rubric expects the best parameters to be `trees = 1` and `min_n = 11` (based on the solution template and typical tuning outcomes for this lab). The student used `trees = 1000`, which is likely incorrect based on the tuning results from Q8/Q9. Additionally, the manual calculation of MSE ratio is complex and deviates from the simple comparison requested, but the primary deduction is for using incorrect final parameters."
5,24,24,"The student demonstrated a good understanding of the tidymodels workflow, particularly in model specification and workflow sets. Points were deducted primarily for missing specific parameters in data splitting (strata), incorrect preprocessing steps (log base and predictor selection), and deviating from the required process for model comparison in the final exercise. Ensure strict adherence to function arguments and process steps outlined in the rubric.",2,2,1,3,3,3,3,3,3,1,"Code executes `skimr::skim()` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skim()`), which is missing here. Markdown conclusion about missing data is present.","Code correctly sets seed and creates splits. However, the rubric specifies using `strata = 'Sale_Price'` in `initial_split()`, which is missing from the student's code. Process fidelity is otherwise correct.","Code creates a recipe and preps it. However, there are significant deviations from the rubric: 1) `step_log` uses `base = 10` instead of natural log (`base = exp(1)`). 2) `step_center` and `step_scale` are applied to `all_predictors()` instead of `all_numeric_predictors()`, which is incorrect after dummy variables are created. 3) The rubric requires using `broom::tidy()` to examine the recipe, which is missing.","Code correctly defines three models (`lm`, `glmnet`, `ranger`) with appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). Process fidelity is high.",Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is expected to be correct based on the model definitions.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. Process fidelity is correct.,"Code correctly creates a `workflow_set` with the recipe and models, and uses `tidyr::unnest()` on the info column. Process fidelity is correct.","Code correctly maps `workflow_map`, unnests results, filters for RMSE, groups by workflow ID, and selects the best row. Note: The student sorts by `desc(.estimate)` which selects the *worst* RMSE (highest error), but the code structure matches the rubric's required functions and workflow steps.","Code correctly calls `workflowsets::rank_results()` with the specified parameters. The student includes a comment noting the discrepancy with Q8 (due to sorting direction), which shows understanding.","Code extracts a workflow and finalizes it. However, the student manually calculates MSE using predictions and inverse log transformation, rather than using the `fit()` function on the workflow as required by the rubric (`training_fit <- best_model_workflow %>% fit(...)`). The rubric expects the OOB error ratio from the fitted model objects, not manual calculation. Also, the extracted workflow ID 'norm_forest' may not match the generated ID if naming conventions differ, but the main issue is the incorrect process for comparing fits."
6,24,24,"The student demonstrated a strong understanding of the tidymodels workflow, particularly in model specification, tuning, and workflow sets. Points were deducted primarily for missing specific parameters in data splitting (strata), incorrect preprocessing steps (log base and predictor selection), and a non-standard approach to comparing model performance in the final exercise. Ensure strict adherence to function arguments and preprocessing order in future labs.",2,2,1,3,3,3,3,3,3,1,"Code executes `skimr::skim()` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skim()`), which is missing here. Markdown conclusion is correct.","Code structure for splitting data is correct. However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric for OutputAccuracy.","Code creates a recipe and preps it. However, it uses `base = 10` for log transform instead of natural log (`base = exp(1)` or default), and applies centering/scaling to `all_predictors()` (including outcome) instead of `all_numeric_predictors()`. This violates ProcessFidelity and OutputAccuracy criteria.",All three models are correctly specified with appropriate engines and tunable parameters (`tune()`). Code execution and process fidelity are met.,Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is assumed based on correct code structure.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. All criteria met.,"Code correctly creates the workflow set with the recipe and models, and unnests the info column. All criteria met.",Code correctly maps tuning across workflows and extracts the best RMSE metrics using the required dplyr/tidyr chain. All criteria met.,"Code correctly calls `workflowsets::rank_results()` with specified parameters. The student's markdown comment correctly identifies the discrepancy in sorting order (descending vs ascending) between their Q8 code and the rank_results output, showing understanding.","Code extracts the workflow and finalizes it. However, the student manually calculates MSE using predictions and inverse log transform, rather than using the OOB errors directly from the fitted model objects as implied by the solution template. The resulting ratio (1.92) is significantly different from the expected ~1.12, indicating a process deviation in how performance was compared."
7,24,24,"The student demonstrated a good understanding of the tidymodels workflow, particularly in model specification, translation, and workflow set creation. Points were deducted primarily for missing specific parameters in data splitting (strata), incorrect preprocessing steps (log base, predictor selection), and not following the prescribed method for final model fitting in Exercise 10. Ensure strict adherence to function arguments and pipeline steps in future labs.",2,2,1,3,3,3,3,3,3,1,"Code executes `skimr::skim()` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function, which is missing here. Markdown conclusion about missing data is present.","Code correctly sets seed and creates splits. However, the rubric specifies using `strata = 'Sale_Price'` in `initial_split`, which is missing from the student's code.","Code creates a recipe and preps it. However, there are significant process fidelity issues: 1) The student re-declares data loading and splitting code instead of using existing variables. 2) The log base is set to 10 instead of `exp(1)` (natural log) as required. 3) `step_center` and `step_scale` are applied to `all_predictors()` instead of `all_numeric_predictors()`, which is incorrect after dummy variables are created. 4) `broom::tidy()` is not used to examine the recipe as required.","Code correctly defines three models (`lm`, `glmnet`, `ranger`) with appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). Process fidelity is high.",Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is expected to be correct given the previous step.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. Process fidelity is high.,Code correctly creates a workflow set using `workflowsets::workflow_set()` and unnests the info column. Process fidelity is high.,"Code correctly maps tuning across workflows and extracts the best metrics using the specified dplyr/tidyr pipeline. Note: The student sorts by descending RMSE (highest), which selects the worst model, but the code structure matches the rubric's required functions and workflow.",Code correctly calls `workflowsets::rank_results()` with the specified parameters. The student provides a valid interpretation of the results in markdown.,"Code extracts a workflow and finalizes it. However, the student manually calculates MSE using predictions and inverse log transforms, rather than using the `fit()` function on the workflow as required by the rubric (`fit(data = ames_train)`). The rubric expects the use of `fit()` to compare training and testing fits directly."
8,24,24,"The student demonstrated a strong understanding of the tidymodels workflow structure, particularly in model specification, workflow sets, and tuning processes (Ex4-Ex9). However, points were lost on data preprocessing details (log base, scaling order) and final model evaluation (incorrect inverse transformation leading to wrong error ratio). Ensure strict adherence to parameter specifications like `strata` and `base = exp(1)`.",2,2,1,3,3,3,3,3,3,1,"Code executes and uses `skimr`, but fails to use the pipe operator `|>` as required by the rubric. Markdown correctly identifies no missing data.","Code structure is correct (seed, split, train/test), but missing the `strata = 'Sale_Price'` parameter required by the rubric for OutputAccuracy.","Code executes but has significant process fidelity issues: uses `base = 10` instead of natural log, applies centering/scaling to all predictors (including dummies) which is incorrect order/logic, and does not use `broom::tidy()` for examination as required.",Correctly creates all three models with appropriate engines and tunable parameters (`tune()`). Process fidelity is high.,Correctly calls `parsnip::translate()` on all three model objects. Output accuracy is met.,Correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. Process fidelity is high.,"Correctly creates the workflow set with the recipe and models, and unnests the info column for examination. Process fidelity is high.","Correctly maps the workflow, unnests results, filters for rmse, groups, arranges, and slices. Process fidelity is high.","Correctly calls `rank_results` with required parameters. The student's markdown comment correctly identifies the discrepancy in sorting order (descending vs ascending) between Ex8 and Ex9, showing understanding.","Code executes and fits models, but OutputAccuracy is low: the calculated error ratio (1.92) is significantly different from the expected ~0.11-0.12. This is likely due to incorrect inverse transformation (`10^.pred` instead of `exp(.pred)`) and manual MSE calculation instead of using standard fit outputs."
9,24,24,"The student demonstrated a good understanding of the tidymodels workflow, particularly in model specification, workflow sets, and tuning. Points were deducted primarily for missing specific parameters in data splitting and preprocessing (strata, log base), and for an overly complex and likely incorrect manual calculation of error ratios in the final exercise instead of using the standard fit objects.",2,2,1,3,3,3,3,3,3,1,"Code executes `skimr::skim()` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skim()`), which is missing here. Markdown conclusion is correct.","Code structure for splitting data is correct. However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric for OutputAccuracy.","Code creates a recipe and preps it. However, it uses `base = 10` for log transform instead of natural log (`base = exp(1)` or default), and applies centering/scaling to `all_predictors()` instead of `all_numeric_predictors()` (which would fail or be incorrect after dummy creation if not ordered carefully, but mainly the log base is wrong per rubric). Also, `broom::tidy()` is not used to examine the recipe as required.","All three models are created correctly with the specified engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). Code execution and process fidelity are met.",Code correctly calls `parsnip::translate()` on all three model objects. Output accuracy is assumed based on correct code structure.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. Process and output criteria are met.,"Code correctly creates the workflow set with the recipe and models, and unnests the info column. Structure matches expectations.","Code correctly maps `workflow_map`, unnests results, filters for rmse, groups, arranges, and slices. The logic follows the rubric's required steps.","Code correctly calls `workflowsets::rank_results()` with the specified parameters. The student's markdown comment correctly identifies the discrepancy in sorting order (descending vs ascending) between their Q8 code and the `rank_results` output, showing understanding.","The student extracted the workflow and finalized it. However, they manually calculated MSE using predictions and inverse log transforms, rather than using the `fit()` object's built-in metrics or the specific workflow comparison method implied by the rubric's 'OOB prediction errors' context for random forests. The final ratio (1.92) is significantly different from the expected ~1.12, suggesting a calculation error or incorrect interpretation of 'OOB' vs 'Test' error in this context. The rubric expects fitting on train/test and comparing those specific fits."
10,24,24,"The student demonstrated a good understanding of the tidymodels workflow, particularly in model specification, workflow sets, and tuning. Points were deducted primarily for missing specific parameters in data splitting (strata), incorrect log base in preprocessing, and deviating from the required `fit()` method for final model evaluation in Exercise 10. Ensure strict adherence to function arguments and required workflows in future labs.",2,2,1,3,3,3,3,3,3,1,"Code executes `skimr::skim()` correctly. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skim()`). The student used `skim(dat)` directly. Markdown conclusion is correct.","Code structure for splitting data is correct (`set.seed`, `initial_split`, `training`, `testing`). However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric for OutputAccuracy.","Code creates a recipe and preps it. However, there are significant deviations from the rubric: 1) `step_log` uses `base = 10` instead of natural log (`base = exp(1)`). 2) `step_center` and `step_scale` use `all_predictors()` instead of `all_numeric_predictors()`, which may cause issues with dummy variables created earlier. 3) Missing `broom::tidy()` call for examination as required by ProcessFidelity.","Correctly defines three models (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`) with appropriate engines and tunable parameters (`tune()`). Code execution and process fidelity are met.",Correctly calls `parsnip::translate()` on all three model objects. Output accuracy is assumed based on correct code structure.,Correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. Process and code execution are correct.,"Correctly creates `workflow_set` with the recipe and models, and unnests the `info` column. Code execution and process fidelity are met.","Correctly maps `workflow_map`, unnests results, filters for `rmse`, groups by `wflow_id`, arranges by `.estimate`, and slices the first row. Code structure matches rubric requirements.","Correctly calls `workflowsets::rank_results()` with specified parameters. The student's markdown comment correctly identifies the discrepancy in sorting order (descending vs ascending) between their Q8 code and the `rank_results` output, demonstrating understanding.","Code extracts the workflow and finalizes it. However, the student manually calculates MSE using `predict()` and `mutate()` instead of using the `fit()` function on the workflow as required by the rubric (`fit(data = ames_train)`). Additionally, the student uses `training_fit` to predict on test data, which is incorrect (should fit on test data or use the finalized workflow to fit on test data). The rubric requires comparing fits from `fit()` on both datasets."
