Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,24,"Most of the required tidymodels workflow is present and generally follows the intended structure, including model specification, workflow sets, tuning, and evaluation. The main issues are missing stratification in the split, some recipe syntax/namespace problems, and not explicitly reporting the final MSE ratio or using the expected best parameters. Tightening up namespaces, argument choices, and clearly printing key summary values would bring this to full credit.",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', which is required for full credit.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, but you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect and not assigned to an object.","You specified the three models with correct engines and tunable parameters, but you did not call parsnip::set_mode('regression') for the first two models and did not namespace tune(), which may cause issues.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected workflow.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), which matches the expected process and output.","You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column as required.","Your code updates all_workflows with workflow_map and then correctly unnests result and .metrics, filters for rmse, groups, arranges by .estimate, and slices the top row per workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified.","You extracted the 'base_forest' workflow, finalized it with chosen parameters, and fit on train and test data computing MSE and their ratio, but you did not report the numeric ratio in the markdown and your chosen parameters differ from the expected best (trees = 1, min_n = 11)."
2,25,"Your lab shows a solid grasp of the tidymodels workflow, including recipes, model specification, workflowsets, tuning, and evaluation. Most exercises follow the intended process closely, with only minor deviations (e.g., missing strata in the split, some recipe syntax/selector issues, and not explicitly setting mode for glmnet). Tightening up namespace usage and strictly matching the specified arguments and chaining would bring this to full credit across the board.",2.5,2,1.5,2.5,3,3,3,3,3,2.5,"You correctly used skimr::skim() on dat and answered the missing-data question; however, the rubric expected use of the pipe operator (dat |> skimr::skim()), so a small process-fidelity deduction applies.","You set the seed and used rsample::initial_split(), training(), and testing(), but you omitted strata = 'Sale_Price', which was required for the specified process and split; code structure is otherwise fine.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, but you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect (prep is not chained to the recipe object).","All three models are specified with appropriate engines and tuning parameters, and the random forest has mode set to regression; however, you did not explicitly set_mode('regression') for the glmnet model, which is expected in the rubric.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow and usage.",You set the seed and created train_resamples using rsample::bootstraps(ames_train) as required; the process and object naming align with the rubric.,"You built all_workflows with workflowsets::workflow_set() using the recipe and all three models, and then unnested the info column with tidyr::unnest(info), which matches the expected structure and process.","Your code updates all_workflows with workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and slices the top row, fully matching the required workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) exactly as specified; comparison to Q8 is implied by the comment and is sufficient for this rubric.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, and fit on both training and test data while computing MSE and their ratio; the only issue is that the chosen parameters differ from the provided solution, so the exact performance comparison may not match the expected numeric ratio."
3,24,"Most core tidymodels workflows, models, and workflowsets steps are implemented correctly, and you followed the structure of the lab well. The main issues are small but important deviations from the specified process (e.g., missing strata in the split, incomplete recipe prep, missing set_mode calls, and not reporting the final MSE ratio). Tightening up those details and matching the exact arguments in the rubric will bring this to full credit.",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without loading skimr separately. Minor process deviation costs 1 point.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price' in initial_split. This misses the specified stratified split, so process/output are slightly off.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, centering, and scaling, but you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep call is outside the pipe and incorrectly written. These issues reduce process fidelity and likely output correctness.","You defined all three models with the correct parsnip functions and engines, and tuned the right parameters, but you did not call parsnip::set_mode('regression') for the lm and glmnet models as in the rubric. This is a small but important process omission.","You correctly applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest in sequence, matching the expected workflow and outputs.","You set the seed and created train_resamples using rsample::bootstraps(ames_train) with default parameters, which matches the required process and expected bootstrap object.","You built all_workflows with workflowsets::workflow_set using the recipe and three models, and then unnested the info column with tidyr::unnest(info), which aligns with the rubric’s expectations.","Your code updates all_workflows with workflow_map and then correctly selects wflow_id and result, unnests result and .metrics, filters for rmse, groups, arranges by descending .estimate, and slices the top row per workflow, matching the required process.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified. Comparison to Q8 is implied; the core required code is present and correct.","You extracted the 'base_forest' workflow, finalized it with chosen parameters, and fit on both training and test data, computing MSEs and their ratio. However, the parameters differ from the solution (trees = 1, min_n = 11) and you did not report the final numeric ratio, so output accuracy is partial."
4,25,"Your lab shows solid understanding of tidymodels workflows, models, and resampling, with most exercises following the intended process. The main issues are small deviations from the specified arguments (e.g., missing strata in the split, missing mode for glmnet) and a slightly incorrect prep/tidy chain in the recipe. Tightening up syntax and matching the rubric’s exact function arguments will help you earn full credit in future labs.",2,2,1,2,3,3,3,3,3,3,You correctly used skimr::skim(dat) but did not use the pipe operator as specified; otherwise the EDA and missing-data conclusion are appropriate.,"You set the seed and used initial_split/training/testing with 75% training, but omitted strata = 'Sale_Price', so the split does not fully follow the rubric.","You created a recipe with the right formula and included log, other, dummy, center, and scale steps, but did not namespace the recipes steps, used default log base, and the prep/tidy call is syntactically incorrect and not chained to norm_recipe.","You correctly specified the three parsnip models and tuned parameters, but did not set mode = 'regression' for the glmnet model as required by the rubric.",You applied parsnip::translate() to each of the three model objects as required; the workflow and expected outputs are correct.,"You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","You built all_workflows with the base recipe and three models, and unnested the info column to inspect structure, which matches the expected workflowset usage.","Your code updates all_workflows with workflow_map and then correctly unnests result and .metrics, filters for rmse, groups, arranges, and slices to get the best configuration per workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; this matches the intended comparison step.","You extracted the base_forest workflow, finalized it with chosen parameters, fit on train and test sets, and computed MSE and their ratio, satisfying the required workflow and comparison even though you did not report the numeric ratio in text."
5,24,"Most core tidymodels workflows, models, and workflowsets steps are present and generally follow the intended process. The main issues are with details in the recipe (namespacing and prep pipeline), missing stratification in the data split, and not explicitly reporting the final MSE ratio in Exercise 10. Tightening syntax (especially for recipes) and matching all specified arguments (like strata and best-tuned parameters) would bring this to full credit.",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and answered that there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without loading skimr separately in this chunk.","You set the seed and used rsample::initial_split, training(), and testing() with a 0.75 prop, but you omitted strata = 'Sale_Price', so the split does not follow the specified stratified process.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, step_center, and step_scale, but you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect (prep is called on norm_recipe after the pipeline ends).","You defined all three models with the correct parsnip functions and engines, and tuned the right parameters, but you did not set the mode for the lm and glmnet models, and you used tune() without the parsnip:: namespace, which is less explicit than expected by the rubric.","You correctly called parsnip::translate() on each of the three model objects in sequence, matching the expected workflow and outputs.","You set the seed and created train_resamples using rsample::bootstraps(ames_train) with the pipe, which matches the required process and output structure.","You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column with tidyr::unnest(info), correctly showing the workflow structure.","Your code updates all_workflows with workflow_map and then selects wflow_id and result, unnests result and .metrics, filters for rmse, groups, arranges by descending .estimate, and slices the top row per workflow as required.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; comparison to Q8 is implied even though not discussed in text.","You extracted the 'base_forest' workflow, finalized it with chosen parameters, and fit on both training and test data, computing MSEs and their ratio; however, the parameter values differ from the solution and you did not report the final numeric ratio in the markdown answer."
6,25,"Your lab shows a solid grasp of the tidymodels workflow, including recipes, model specifications, workflowsets, tuning, and evaluation. Most exercises follow the expected process closely, with only minor deviations (e.g., missing strata in the split, some recipe details, and glmnet mode specification). To improve, pay closer attention to the exact arguments and function usage specified in the rubric, and ensure your recipe and workflow chains are syntactically complete and fully aligned with the instructions.",2.5,2,1.5,2.5,3,3,3,3,3,2.5,"You correctly used skimr::skim() on dat and answered the missing-data question. However, the rubric expected use of the pipe operator (dat |> skimr::skim()), so a small process-fidelity deduction applies.","You set the seed and used rsample::initial_split(), training(), and testing(), with correct 75% prop. However, you omitted strata = 'Sale_Price', which is required for full credit.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, centering, and scaling, and attempted to prep and tidy. Issues: you did not specify base = exp(1) in step_log, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is not properly chained to norm_recipe, so the process is only partially correct.","You correctly specified linear_reg and rand_forest models, used tune() for penalty/mixture and min_n/trees, and set appropriate engines. You omitted set_mode('regression') for the glmnet model, so the modeling setup is slightly incomplete.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow and outputs for full credit.","You set the seed and created train_resamples using rsample::bootstraps(ames_train) with default parameters, exactly as required.","You built all_workflows with workflowsets::workflow_set() using the recipe and all three models, and then unnested the info column with tidyr::unnest(info), matching the expected structure and process.","Your code updates all_workflows with workflow_map() and then correctly selects wflow_id and result, unnests result and .metrics, filters for rmse, groups, arranges by descending .estimate, and slices the top row per workflow, fully matching the rubric.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is described in comments, which is sufficient here.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, and fit on both training and test data, computing MSEs and their ratio. The process is correct, but the chosen parameters differ from the solution’s best (trees = 1, min_n = 11), so the final performance comparison will not match the expected numeric result."
7,24,"Most of the required tidymodels workflow is present and generally follows the intended structure, including recipes, models, workflowsets, tuning, and ranking. The main issues are missing stratification in the split, incomplete or slightly incorrect recipe specification, omission of explicit regression mode for some models, and not reporting the final MSE ratio with the specified best parameters. Tightening up these details will bring your work fully in line with the rubric expectations.",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', so the split is not stratified as required.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, but you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect and not clearly applied to norm_recipe.","You defined all three models with appropriate engines and tunable parameters, but you did not set the mode to 'regression' for the lm and glmnet models as required by the rubric.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and will display the appropriate templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and output structure.","You built all_workflows with the base recipe and three models and unnested the info column, correctly following the workflow_set and unnest steps described in the rubric.","Your code updates all_workflows with workflow_map and then selects, unnests, filters for rmse, groups, arranges, and slices as specified, so the process and resulting best rmse rows are correct.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is implied even though not discussed in text.","You extracted the 'base_forest' workflow, finalized it with chosen parameters, and fit on both training and test data with MSE calculations, but you did not report the final MSE ratio and your chosen parameters differ from the specified best (trees = 1, min_n = 11)."
8,25,"Your lab shows a solid grasp of the tidymodels workflow, including recipes, model specifications, workflowsets, tuning, and evaluation. Most exercises follow the intended process closely, with only minor deviations (e.g., missing stratification in the split, slightly off recipe prep, and not reporting the final MSE ratio). Tightening up namespacing and strictly following the specified arguments (like strata and all_numeric_predictors()) will make your work fully aligned with the rubric in future labs.",2.5,2,1.5,2.5,3,3,3,3,3,2.5,"You correctly used skimr::skim() on dat and answered the missing-data question. However, the rubric expected use of the pipe operator (dat |> skimr::skim()), so a small process-fidelity deduction applies.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with prop = 0.75, which is good. You omitted strata = 'Sale_Price', so the split does not follow the specified stratified process.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, step_center, and step_scale. However, you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep call is outside the pipeline and incorrectly written, so the recipe is not properly prepped or tidied as specified.","You correctly specified lm_mod_base, a glmnet model with tunable penalty and mixture, and a ranger random forest with tunable min_n and trees, and set the ranger mode to regression. You did not explicitly set_mode('regression') for the linear models, which is a minor process omission.","You applied parsnip::translate() to each of the three model objects as required, which correctly exposes the underlying engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected workflow and producing the correct bootstrap resampling object.","You built all_workflows with workflowsets::workflow_set() using the base recipe and all three models, and then unnested the info column with tidyr::unnest(info), correctly revealing the workflow structure.","You updated all_workflows with workflow_map() (per the provided code) and then correctly selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row, matching the required process.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; this will produce the ranked best configurations consistent with Exercise 8.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, and fit it on both training and test data, then computed train/test MSE and their ratio. The workflow is correct, but you did not report the final numeric ratio in the markdown, and the chosen parameters differ from the solution’s best values."
9,24,"Your lab shows a solid grasp of the tidymodels workflow, including model specification, workflow sets, tuning, and result extraction. Most required functions and steps are present and correctly structured. To improve, pay closer attention to details in the rubric (e.g., stratified splits, correct selectors and namespacing in recipes, and explicitly reporting requested summary values like the MSE ratio).",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', which was required for the split.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, but you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect and not chained to norm_recipe.","You specified the three models with correct engines and tunable parameters, but you did not call parsnip::set_mode('regression') for the first two models and did not namespace tune(), which may cause execution issues.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected workflow and outputs.",You set the seed and created train_resamples using rsample::bootstraps(ames_train) with the expected default behavior.,"You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column as required.","Your code updates all_workflows with workflow_map and then correctly unnests result and .metrics, filters for rmse, groups, arranges by .estimate, and slices the top row per workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified.","You extracted the 'base_forest' workflow, finalized it with chosen parameters, and fit on both training and test data with MSE calculations, but you did not report the final MSE ratio value and your chosen tuning parameters differ from the expected best (trees = 1, min_n = 11)."
10,26,"Your lab shows a solid grasp of tidymodels workflows, model specification, and workflowsets, with all major steps present and mostly correct. The main issues are minor process deviations (e.g., missing strata in the split, recipe step syntax/selection, and not explicitly setting regression mode for linear models). Tightening up syntax and following the specified arguments more closely will bring you to full credit on future labs.",2.5,2,1.5,2.5,3,3,3,3,3,2.5,"You correctly used skimr::skim() on dat and answered the missing-data question. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step; minor process deviation only.","You set the seed and used rsample::initial_split(), training(), and testing() with the correct prop, but you omitted strata = 'Sale_Price'. This affects the expected process and split specification.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, centering, and scaling. However, you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect (prep is called on norm_recipe after the pipeline ends).","You defined three models with the correct parsnip functions, engines, and tunable parameters, and set mode for the random forest. You did not explicitly set mode = 'regression' for the linear models, which is a minor process omission.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow and outputs.",You set the seed and created train_resamples using rsample::bootstraps(ames_train) as expected; process and output structure are correct.,"You built all_workflows with workflowsets::workflow_set() using the recipe and all three models, and unnested the info column with tidyr::unnest(info), matching the required structure and process.","Your code updates all_workflows with workflow_map() and then correctly selects, unnests result and .metrics, filters for rmse, groups, arranges by .estimate, and slices the top row per workflow, fully matching the rubric.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; this aligns with the expected comparison step from Exercise 8.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, and fit on both training and test data, computing MSEs and their ratio. The chosen parameters differ from the solution, so the exact ratio will differ, but the workflow and computations are correct."
