Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,30,"Exercises 1–6 are fully and correctly completed, with appropriate code structure and clear interpretations that align with the solution template. There are no additional exercises beyond 6 in this lab, so Q7 and Q8 are not applicable. Overall, this is a strong submission demonstrating correct use of Markov chains, MH sampling, and covariance calculations.",5,5,5,5,5,5,0,0,,,"You correctly defined P, used %^% to get P6, and summed the non-churn states; the probability (~75%) is accurate. Using the row of P6 instead of vector–matrix products is fine and should execute.","You built the correct 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified pi %*% P and sum(pi). The steady-state subscriber probability (~23%) is correct.","All four MH acceptance cases are handled with the correct Poisson ratios and proposal terms, and you state the final min(1, ·) forms as required. The reasoning is clear and matches the target formulas.","You implemented a valid MH sampler with set.seed, runif-based proposals and accept/reject using alpha, stored 2000 samples, and compared sample quantiles to qpois. The workflow and output structure meet the requirements.","You used matrix multiplication with the initial vector and P (and P^20) to get 1-year, 2-year, and 20-year outcomes. The reported paid-in-full percentages for good (~76.5%) and risky (~19.6%) loans are correct.","You reproduced the full tibble/map/unnest pipeline, using rnorm, lead, map_vec, and the double-sum formula alongside the traditional covariance. Your explanation correctly notes that the two covariances are (up to rounding) identical.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
2,30,"Exercises 1–6 are fully and correctly completed, with appropriate code structure and clear interpretation in markdown. The Markov chain, MH sampling, and covariance tasks all follow the intended workflows and yield correct results. There are no additional exercises beyond 6 in this lab, so the effective score is a full 30/30.",5,5,5,5,5,5,0,0,,,"Transition matrix, use of %^% to get P^6, and summing non-churn states are all correct; the reported probability (~74.85%) is accurate and the workflow is clear.","You correctly built the 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified both πP=π and sum(π)=1; the steady-state subscriber percent (~23.1%) is correct.","All four MH acceptance cases are handled with the correct Poisson ratios and proposal terms, yielding the expected min(1,·) formulas; the reasoning is concise but complete.","Your MH sampler uses the correct proposal logic, alpha function, and loop structure, and you compare sample and theoretical quantiles using quantile() and qpois(); the output structure matches the rubric intent.",You correctly compute 1-year and 2-year portfolio compositions and use P%^%20 to obtain long-run paid-up probabilities for good and risky loans; the reported percentages (≈76.5% and 19.6%) are accurate.,"The code follows the provided pattern with set.seed, rnorm, purrr::map, lead, and unnest to compute both covariance formulas across sample sizes, and your markdown correctly notes they agree up to tiny numerical differences.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
3,30,"Exercises 1–6 are fully and correctly completed, with appropriate use of Markov chain matrix operations, MH sampling, and covariance calculations. Code and reasoning closely follow the intended workflows, and numeric interpretations are accurate. There are no submissions for Q7–Q8, which are not part of this lab’s tasks but appear in the rubric structure.",5,5,5,5,5,5,0,0,,,"Correct transition matrix, use of %^% to get P^6, and summing non-churn states; numeric answer (~74.85%) is appropriate and workflow is sound.","Correct 2x2 transition matrix, proper construction of A and b, use of qr.solve, and verification of pi%*%P and sum(pi); steady-state subscriber percent is correctly interpreted.","All four MH acceptance cases are derived with the correct Poisson ratios and proposal terms, leading to the expected min(1,·) formulas; reasoning is clear and complete.","Implements MH sampler with correct proposal logic and alpha use, runs 2000 iterations, and compares sample quantiles to qpois; code structure and comparison output match the expected process.","Uses correct initial state and %*% for 1- and 2-year compositions, and P%^%20 to obtain long-run outcomes for good and risky loans; reported percentages align with expected values.","Uses set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest as specified to compute both covariance formulas across sample sizes, and correctly notes they agree up to numerical error.",No Q7 exercise is present in this lab; counted as 0 by rubric structure.,No Q8 exercise is present in this lab; counted as 0 by rubric structure.,,
4,30,"All six exercises present in the lab are completed with correct code and reasoning that closely follow the intended workflows, and the numerical interpretations are appropriate. There are no execution or process issues evident in your .qmd. Nice work demonstrating both Markov chain and Monte Carlo concepts.",5,5,5,5,5,5,0,0,,,"Transition matrix, use of %^% to get P^6, and summing non-churn states are all correct; the reported probability (~74.85%) is accurate and the workflow is clear.","You correctly built the 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified both πP=π and sum(π)=1; the steady-state subscriber probability (~23%) is correct.","All four MH acceptance cases are derived correctly with the appropriate Poisson ratios and proposal terms, and the final min(1,·) forms match the target expressions.","Your MH implementation uses the given alpha(), a for-loop with runif proposals and accept/reject, and then compares sample and theoretical quantiles via quantile() and qpois(); the structure and expected output are correct.","You correctly use matrix multiplication and P%^%k to get 1-year, 2-year, and 20-year results, and the reported 20-year paid-in-full percentages for good and risky loans (~76.5% and ~19.6%) are accurate.","The code follows the intended workflow with set.seed, rnorm data generation, purrr::map over T, and unnesting; cov and alt_cov are computed correctly and your explanation notes they agree up to tiny numerical differences.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
5,30,"Exercises 1–6 are all completed with correct code, appropriate use of the required functions, and accurate interpretations. The Markov chain, MH sampling, and covariance tasks all follow the intended workflows closely. There are no substantive issues to correct.",5,5,5,5,5,5,0,0,,,"You correctly defined P, used %^% to get P6, and summed the non-churn states; the reported probability (~74.85%) is accurate. Nice clear workflow and executable code.","You built the correct 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and checked pi%*%P and sum(pi). The steady-state subscriber probability (~23.1%) is correct.","All four MH acceptance cases are handled, with the correct Poisson ratios and proposal terms, leading to the correct min(1,·) formulas. The reasoning is concise but complete.","Your MH sampler uses set.seed, a for-loop with runif for proposals and acceptance, and the provided alpha function, then compares sample and theoretical quantiles via quantile and qpois. The structure and expected output are correct.","You used matrix multiplication with the initial state and P (and P%^%20) to get 1-year, 2-year, and 20-year outcomes. The reported 76.5% (good) and 19.6% (risky) paid-in-full probabilities match the expected results.","You followed the provided workflow: created the tibble of T values, used purrr::map to generate data and compute cov and alt_cov, and unnested the results. Your interpretation correctly notes that the two covariance calculations are essentially identical.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
6,30,"All six exercises that exist in this lab are completed with correct code and clear reasoning, closely matching the solution workflow and expected results. The Markov chain, MH sampling, and covariance tasks are all handled accurately. There are no substantive issues to correct.",5,5,5,5,5,5,0,0,,,"Transition matrix, use of %^% for P^6, and summing non-churn states are all correct; the reported probability (~74.85%) is accurate and the workflow is clear.","You correctly built the 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified both πP=π and sum(π)=1; the steady-state subscriber percentage is correctly interpreted.","All four MH acceptance cases are handled with the correct Poisson ratios and proposal terms, leading to the expected min(1,·) formulas; the reasoning is concise but complete.","The MH sampler is implemented correctly with proposal and acceptance using alpha, runs for 2000 iterations, and you compare sample and theoretical quantiles using quantile and qpois; the structure and outputs match the intended process.","You use matrix multiplication and P%^%k appropriately to get 1-year, 2-year, and 20-year results, and correctly extract and interpret the long-run paid-in-full percentages for good and risky loans.","The code follows the provided pattern with set.seed, rnorm, purrr::map, lead, and unnest to compute both covariance formulas across sample sizes, and your written comparison correctly notes they agree up to tiny numerical differences.","There is no Exercise 7 in this lab, so no work to grade.","There is no Exercise 8 in this lab, so no work to grade.",,
7,30,"Exercises 1–6 are all completed with correct code structure, appropriate use of functions, and accurate interpretations. The Markov chain, MH sampling, and covariance tasks closely follow the intended workflows. There are no additional exercises beyond 6 in this lab, so Q7 and Q8 remain ungraded placeholders.",5,5,5,5,5,5,0,0,,,"Transition matrix, P^6 via %^%, and summing non-churn states are all implemented correctly; the reported probability (~74.85%) is accurate.","You correctly built the 2x2 transition matrix, formed A and b, solved for pi with qr.solve, and verified both pi %*% P and sum(pi); the steady-state subscriber probability (~23%) is correct.","All four MH acceptance cases are derived with the correct Poisson ratios and proposal terms, and the final min(1, ·) forms match the expected expressions.","The MH sampler uses the correct proposal logic, alpha function, and loop structure, and you compare sample and theoretical quantiles using quantile() and qpois() as required.","You use matrix multiplication and P%^%20 appropriately to get 1-year, 2-year, and 20-year outcomes; the reported paid-in-full percentages for good and risky loans match the expected values.","The simulation uses set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest correctly to compute both covariance formulas, and your interpretation correctly notes they agree up to numerical error.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
8,30,"All six implemented exercises are complete, follow the required workflows, and produce correct interpretations and results. There are no apparent coding or conceptual issues; this is a strong submission.",5,5,5,5,5,5,0,0,,,"Transition matrix, P^6 via %^%, and summing non-churn states are all implemented correctly; the reported probability (~74.85%) is accurate.","You correctly built the 2x2 transition matrix, formed A and b, solved for pi with qr.solve, and verified both pi %*% P and sum(pi); the steady-state subscriber probability (~23%) is correct.","All four MH acceptance cases are derived with the correct Poisson ratios and proposal terms, and the final min(1, ·) forms match the target expressions.","The MH sampler is correctly coded with proposal and acceptance using alpha, runs for 2000 iterations, and you compare sample and theoretical quantiles appropriately using quantile and qpois.","You correctly use matrix multiplication and P%^%20 to get 1-year, 2-year, and 20-year outcomes; the reported paid-in-full percentages for good and risky loans match the expected values.","The simulation uses set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest as required, and you correctly compute and interpret that cov and alt_cov agree up to numerical error.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
9,30,"Exercises 1–6 are all completed with correct code structure, appropriate use of functions, and accurate interpretations, fully aligning with the rubric. There are no additional exercises beyond these in the provided lab, so nothing is missing from the required work. This is a strong, thorough submission.",5,5,5,5,5,5,0,0,,,"Transition matrix, use of %^% for P^6, and summing non-churn states are all correct; the reported probability (~74.85%) is accurate and the workflow is clear.","You correctly built the 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified both πP=π and sum(π)=1; the steady-state subscriber percentage is correctly interpreted.","All four MH acceptance cases are handled with the correct Poisson ratios and proposal terms, leading to the expected min(1,·) formulas; the reasoning is concise but complete.","The MH sampler is implemented with the correct proposal logic and alpha function, runs for 2000 iterations, and you compare sample and theoretical quantiles using quantile and qpois; the structure and outputs match the intended process.","You use matrix multiplication and P%^%20 appropriately: 1- and 2-year portfolio compositions are computed, and 20-year paid-in-full probabilities for good and risky loans match expected values.","The code reproduces the provided covariance and alternative covariance calculations over the required sample sizes using map, lead, and unnest, and your written comparison correctly notes they are (up to rounding) identical.",There is no Exercise 7 in this lab; no work to grade.,There is no Exercise 8 in this lab; no work to grade.,,
10,30,"Exercises 1–6 are all completed with correct code structure, appropriate use of functions, and accurate interpretations. The Markov chain, MH sampling, and covariance tasks all follow the intended workflows. There are no substantive issues to correct in this submission.",5,5,5,5,5,5,0,0,,,"Transition matrix, use of %^% to get P^6, and summing non-churn states are all correct; the reported probability (~74.85%) is accurate. Nice job using indexing to extract the first row.","You correctly built the 2x2 transition matrix, formed A as t(I−P) with a constraint row, solved with qr.solve, and verified both πP=π and sum(π)=1. The steady-state subscriber probability (~23.1%) is correct.","All four MH acceptance cases are handled with the correct Poisson ratio and proposal ratio, and you clearly state the resulting min(1,·) forms. The derivations match the expected formulas.","Your MH sampler uses the correct proposal logic, alpha function, and loop structure, and you compare sample and theoretical quantiles using quantile() and qpois(). The workflow and output structure are appropriate.",You correctly compute 1-year and 2-year portfolio compositions and use P%^%20 to get long-run outcomes for good and risky loans. The reported paid-in-full percentages (~76.5% and 19.6%) are accurate.,"You implement the tibble/map/unnest workflow, compute both covariance formulas correctly, and note that they agree up to tiny numerical differences. This matches the intended comparison.",There is no Exercise 7 in the provided lab; no work to grade.,There is no Exercise 8 in the provided lab; no work to grade.,,
