Run,Total,Model_Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,25,"The student demonstrated a strong understanding of the tidymodels workflow, particularly in model specification, tuning, and workflow sets. Points were deducted primarily for missing specific parameters in data splitting (strata), syntax errors in the recipe preparation step, and deviating from the prescribed method for final model evaluation in Exercise 10. Ensure strict adherence to pipe operators and specific function arguments as outlined in the rubric.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown answers the missing data question. However, the rubric specifies using the pipe operator `|>` to pass data to `skim()`, which was not used (direct argument passing was used instead). Deducted 1 point for ProcessFidelity.","Code correctly sets seed, creates split, and extracts train/test sets. However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric for OutputAccuracy. Deducted 1 point.","The recipe structure is present, but the code has a syntax error: `recipes::prep()` is called inside the pipe chain, followed by `broom::tidy(norm_recipe)` which is not piped and references the un-prepped object. The rubric requires chaining `prep()` and `tidy()` correctly. Also, `step_normalize` combines center/scale, which is acceptable, but the execution flow is broken. Deducted 2 points for CodeExecution and ProcessFidelity.","All three models (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`) are correctly defined with appropriate engines and tunable parameters (`tune()`). Code execution and process fidelity are met.",Code correctly calls `parsnip::translate()` on all three model objects. Process and output accuracy are met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Process and output accuracy are met.,"Code correctly creates `all_workflows` using `workflow_set` with the recipe and models, and unnests the info column. Process and output accuracy are met.","Code correctly maps `tune_grid` (via `workflow_map`), unnests results, filters for rmse, groups by wflow_id, arranges by estimate, and slices the first row. Process and output accuracy are met.",Code correctly calls `workflowsets::rank_results` with specified parameters and includes markdown comparison. Process and output accuracy are met.,"The student correctly extracts the workflow, finalizes it with parameters, and fits the model. However, the rubric expects fitting on both training and test data using the `fit()` function directly on the workflow to compare OOB errors. The student manually calculated MSE using `predict()` and custom code, which deviates from the expected process of using `fit()` on the finalized workflow for both datasets. Deducted 1 point for ProcessFidelity."
2,25,25,"The student demonstrated a strong understanding of the tidymodels workflow, particularly in model specification, tuning, and ranking. Points were deducted primarily for missing specific parameters in data splitting (strata), syntax errors in the recipe step, and deviation from the expected `fit()` method for final model comparison in Exercise 10. Ensure pipe operators are used where specified and check for syntax errors before submission.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown correctly identifies no missing data. However, the rubric requires using the pipe operator `|>` to pass data to `skim()`, which is missing here.","Code correctly sets seed, creates split, and extracts train/test sets. However, the rubric requires using `strata = 'Sale_Price'` in `initial_split()`, which is missing.","The recipe structure is present, but the code has a syntax error (missing `%>%` before `broom::tidy()`), preventing execution. Additionally, `step_normalize` combines center/scale, which is acceptable, but the lack of execution and syntax error reduces the score.",All three models are correctly specified with appropriate engines and tunable parameters (`tune()`). Code is syntactically correct and follows the required process.,Code correctly calls `parsnip::translate()` on all three model objects. Process and output expectations are met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. Process and output expectations are met.,"Code correctly creates the workflow set with the recipe and models, and unnests the info column. Process and output expectations are met.","Code correctly maps `tune_grid`, unnests results, filters for RMSE, groups by workflow ID, arranges by estimate, and slices the best row. Process and output expectations are met.",Code correctly calls `workflowsets::rank_results()` with required parameters and includes markdown comparison to Exercise 8 results. Process and output expectations are met.,"The student correctly extracts and finalizes the workflow. However, the rubric expects fitting the model using `fit()` on both datasets to compare performance directly. The student manually calculated MSE using `predict()` and custom code, which deviates from the expected `fit()` workflow comparison process specified in the rubric."
3,25,25,"The student completed most exercises correctly, particularly the modeling and tuning workflows (Ex4-Ex9). Points were deducted for missing specific parameters in Ex2 (strata), syntax errors in Ex3 (recipe prep), and deviation from the specified pipe syntax in Ex1. Ex10 was functionally correct but used a more complex method than required.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown answers the missing data question. However, the rubric specifies using the pipe operator `|>` to pass data to `skim()`, which is missing here.","Code correctly sets seed, creates split, and extracts train/test sets. However, the `initial_split` call is missing the required `strata = 'Sale_Price'` parameter specified in the rubric.","The recipe structure is present, but the code has a syntax error: `broom::tidy(norm_recipe)` is placed outside the pipe chain without an assignment or proper piping, causing the code to fail execution. Additionally, `step_normalize` combines center/scale, which is acceptable, but the execution failure prevents full credit.","All three models are correctly defined with appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). Code executes and follows the expected process.",Code correctly calls `parsnip::translate()` on all three model objects. Output displays the templates as required.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Process and output match expectations.,"Code correctly creates the workflow set with the recipe and models, and unnests the info column. The structure is correct.","Code correctly maps `tune_grid` across workflows and then unnests results, filters for RMSE, groups, arranges, and slices to find the best metrics. The workflow is complete and correct.",Code correctly calls `workflowsets::rank_results` with the specified parameters and compares the output to previous results. The process is complete.,"The student correctly identifies the best model ID and finalizes the workflow with the correct parameters. However, the code for comparing fits is overly complex and deviates from the simple `fit()` calls on train/test data requested in the rubric. While the final ratio is calculated, the process fidelity is lower due to unnecessary manual MSE calculation and recipe updates."
4,25,25,"The student demonstrated a strong understanding of the tidymodels workflow, particularly in model specification, tuning, and workflow management. Points were deducted primarily for missing specific parameters in data splitting (strata), syntactic errors in the recipe step, and deviating from the prescribed method for final model evaluation in Exercise 10.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown answers the missing data question. However, the rubric specifies using the pipe operator `|>` to pass data to `skim()`, which was not used.","Code correctly sets seed, creates split, and extracts train/test sets. However, the `initial_split` call is missing the required `strata = 'Sale_Price'` parameter specified in the rubric.","The recipe structure is present, but the code is syntactically invalid (missing pipe between `prep()` and `tidy()`). Additionally, `step_normalize` was used instead of separate `step_center` and `step_scale` as specified, and `broom::tidy()` was not correctly chained to examine the steps.","All three models (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`) are correctly defined with appropriate engines and tunable parameters using `tune()`.",Code correctly calls `parsnip::translate()` on all three model objects to display their templates.,Code correctly sets the seed and creates bootstrap samples using `rsample::bootstraps()` on the training data.,"Code correctly creates the workflow set with the recipe and models, and uses `tidyr::unnest()` on the info column to examine the structure.","Code correctly maps `tune_grid` across workflows and uses the required dplyr/tidyr chain to unnest metrics, filter for rmse, group, arrange, and slice the best results.",Code correctly calls `workflowsets::rank_results()` with the specified parameters and includes markdown comparing the results to Exercise 8.,"The workflow is extracted and finalized correctly. However, the rubric requires fitting the model using the `fit()` function on both training and test data to compare performance. The student manually calculated MSE using `predict()` and custom code instead of using the standard `fit()` workflow output as specified in the rubric's Process Fidelity and Output Accuracy checks."
5,25,25,"The student completed most exercises correctly, demonstrating good understanding of the tidymodels workflow. Points were deducted for missing specific parameters in data splitting (strata), syntax errors in the recipe preparation step, and incorrect function arguments in the final model extraction. Ensure code syntax is valid and all rubric-specific parameters are included.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown answers the missing data question. However, the rubric specifies using the pipe operator `|>` to pass data to `skim()`, which is missing here.","Code correctly sets seed, creates split, and extracts train/test sets. However, the rubric requires using `strata = 'Sale_Price'` in `initial_split()`, which is missing.","The recipe structure is present, but the code has a syntax error: `recipes::prep()` is called inside the pipe chain, followed by `broom::tidy()` without a pipe or assignment, causing the code to fail or not execute as intended. Also, `step_normalize` combines center/scale, which is acceptable, but the execution flow is broken.","All three models are correctly specified with appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). `set_mode` is included for the random forest model.",Code correctly calls `parsnip::translate()` on all three model objects.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data.,"Code correctly creates the workflow set with the recipe and models, and unnests the info column to examine the structure.","Code correctly maps `tune_grid` across workflows and then unnests results, filters for RMSE, groups by workflow ID, arranges by estimate, and slices the best row.",Code correctly calls `workflowsets::rank_results()` with the specified parameters and includes markdown comparing the results to Exercise 8.,"The student extracts the best workflow and finalizes it. However, the extraction code `workflowsets::extract_workflow(all_workflows, id = best_id)` is syntactically incorrect (passing `all_workflows` as the first argument when it should be piped or passed as `x`). Additionally, the student manually calculates MSE ratio instead of using the standard `fit()` output comparison, though the final ratio is provided."
6,25,25,"The student demonstrated a strong understanding of the tidymodels workflow, particularly in model specification, workflow sets, and tuning. Points were deducted primarily for missing specific parameters in data splitting (strata), syntax errors in the recipe step, and deviating from the required `fit()` method for final model evaluation in Exercise 10. Ensure strict adherence to function names and parameters specified in the rubric.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown answers the missing data question. However, the rubric specifies using the pipe operator `|>` to pass data to `skim()`, which was not used.","Code correctly sets seed, creates split, and extracts train/test sets. However, the `initial_split` call is missing the required `strata = 'Sale_Price'` parameter specified in the rubric.","The recipe structure is present, but the code has a syntax error (missing `%>%` before `broom::tidy`) and uses `step_normalize` instead of separate `step_center` and `step_scale` as required by the rubric. Additionally, `broom::tidy` is called on the prepped object incorrectly in the chain.","All three models are correctly defined with appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). `set_mode` is included for the random forest model.",Code correctly calls `parsnip::translate()` on all three model objects as required.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data.,"Code correctly creates the workflow set with the recipe and models, and unnests the info column to examine the structure.","Code correctly maps `tune_grid` across workflows and uses the required dplyr/tidyr chain to unnest metrics, filter for rmse, group, arrange, and slice.",Code correctly calls `workflowsets::rank_results()` with the specified parameters and includes markdown comparing the results to Exercise 8.,"The student correctly extracts and finalizes the workflow. However, the rubric requires fitting the model using `fit()` on both training and test data to compare performance. The student manually calculated MSE using `predict()` and custom code instead of using the `fit()` function as specified in the rubric's Process Fidelity and Code Execution checks."
7,25,25,"The student completed most exercises correctly, particularly the modeling and tuning workflows. Points were deducted primarily for missing specific function arguments (pipe operator in Q1, strata in Q2) and deviations from the required preprocessing steps (using normalize instead of center/scale in Q3). The final exercise was overly complex but yielded the correct result.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown correctly identifies no missing data. However, the rubric requires using the pipe operator `|>` to pass data to `skim()`, which is missing here.","Code correctly sets seed, creates split, and extracts train/test sets. However, the rubric requires using `strata = 'Sale_Price'` in `initial_split()`, which is missing.","The recipe structure is present, but there are significant process errors. The rubric requires separate `step_center` and `step_scale` functions, but the student used `step_normalize`. Additionally, `broom::tidy()` is called on the prepped recipe object inside the pipeline incorrectly (it should be applied to the prepped object or the recipe object separately, not chained directly after prep in this manner without assignment or correct piping context). The log step uses `all_outcomes()` which is acceptable, but the normalization step deviates from the specific function requirements.","All three models are created correctly with the specified engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). Code execution and process fidelity are met.",Code correctly calls `parsnip::translate()` on all three model objects. Process and output accuracy are met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps()` on the training data. Process and output accuracy are met.,"Code correctly creates the workflow set with the recipe and models, and unnests the info column. Process and output accuracy are met.","Code correctly maps `tune_grid`, unnests results, filters for RMSE, groups by workflow ID, arranges by estimate, and slices the first row. Process and output accuracy are met.",Code correctly calls `workflowsets::rank_results()` with the specified parameters and compares results. Process and output accuracy are met.,"The student correctly extracts the workflow, finalizes it with the correct parameters, and fits the model. However, the rubric expects a simpler comparison of OOB errors or direct fit objects. The student implemented a complex manual MSE calculation pipeline which, while likely correct in result, deviates from the expected simple process of fitting and comparing. The ratio is calculated correctly. Deducted 1 point for process complexity/deviation from the expected simple fit comparison workflow."
8,26,26,"The student demonstrated a strong understanding of the tidymodels workflow, correctly implementing model specifications, resampling, and tuning. Points were deducted primarily for missing specific parameters (strata in split), incorrect recipe step ordering, and deviating from the prescribed `fit()` method in the final exercise. Ensure strict adherence to function arguments and process steps in future labs.",2,2,2,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown conclusion is accurate. However, the rubric specifies using the pipe operator `|>` to pass data to the function, which was not used.","Code structure for splitting data is correct. However, the `strata = 'Sale_Price'` parameter required by the rubric for the `initial_split` function is missing.","The recipe steps are present, but the order is incorrect (normalizing before creating dummies can lead to issues with dummy variables). Additionally, `broom::tidy()` is called on the prepped object inside the pipeline but not assigned or displayed correctly as a separate examination step as implied by the rubric's 'examine' requirement.","All three models are correctly specified with the appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). `set_mode` is included for the random forest model.",The `parsnip::translate()` function is correctly applied to all three model objects.,Bootstrap samples are correctly created using `set.seed(8740)` and `rsample::bootstraps()` on the training data.,"The workflow set is correctly created with the recipe and models, and the info column is unnested for examination.","The workflow map is executed, and the subsequent dplyr/tidyr pipeline correctly unnests results, filters for RMSE, groups, arranges, and slices to find the best metrics.","The `rank_results` function is called with correct parameters, and the student provides a comparison to Exercise 8 results.","The best workflow is extracted and finalized. However, the student manually calculated MSE using `predict` and `mutate` instead of using the `fit()` function on the finalized workflow as specified in the rubric's process fidelity check. The final ratio is also slightly different from the expected ~0.1146, likely due to the manual calculation method."
9,25,25,"The student demonstrated a strong understanding of the tidymodels workflow, correctly implementing model specifications, resampling, and tuning. Points were deducted primarily for missing specific syntax requirements (pipe operator in Q1, stratification in Q2) and incorrect code structure in the recipe examination step (Q3). The final model comparison in Q10 was functionally correct but deviated from the expected method.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown correctly identifies no missing data. However, the rubric requires using the pipe operator `|>` to pass data to the function (e.g., `dat |> skimr::skim()`), which is missing here.","The code correctly sets the seed and creates the split using `initial_split`, `training`, and `testing`. However, the rubric specifies that the split should use `strata = 'Sale_Price'`, which is missing from the student's `initial_split` call.","The student defines the recipe and preps it, but fails to use `broom::tidy()` to examine the steps as required by the rubric. Additionally, the code structure is flawed: `broom::tidy(norm_recipe)` is placed after `recipes::prep()` without a pipe or assignment, meaning it likely errors or does not display the tidy output of the prepped recipe as intended.","The student correctly creates all three model specifications (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`) with the correct engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). `set_mode` is explicitly set for the random forest and implicitly correct for others.",The student correctly calls `parsnip::translate()` on all three model objects to display the underlying templates.,The student correctly sets the seed and creates bootstrap samples using `rsample::bootstraps(ames_train)` with default parameters.,"The student correctly creates the `workflow_set` with the recipe and models, and uses `tidyr::unnest(info)` to examine the structure. Note: The student redefined the recipe and models in this chunk, which is redundant but functionally correct for creating the workflow set.","The student correctly maps `tune_grid` across workflows and then uses a pipeline of `select`, `unnest`, `filter`, `group_by`, `arrange`, and `slice` to extract the best RMSE metrics for each workflow.",The student correctly calls `workflowsets::rank_results` with the specified parameters and provides a comparison to the results from Exercise 8.,"The student correctly extracts the best workflow, finalizes it with the correct parameters, and fits it to train/test data. However, the rubric expects the use of `fit()` on the workflow directly to get the fit objects. The student manually calculated MSE using `predict()` and `bind_cols()`, which is a valid alternative but deviates from the expected process of comparing the fit objects directly. Also, the extraction of the best ID was overly complex compared to the solution template."
10,25,25,"The student demonstrated a strong understanding of the tidymodels workflow, correctly implementing model specification, resampling, and tuning. Points were deducted primarily for missing specific parameters in data splitting (strata), incorrect syntax in the recipe examination step, and not using the pipe operator in the initial EDA. The final model comparison was unnecessarily complex compared to the rubric's expectations.",2,2,1,3,3,3,3,3,3,2,"Code executes `skimr::skim(dat)` correctly and markdown conclusion is accurate. However, the rubric specifies using the pipe operator `|>` to pass data to the function, which was not used.","Code structure for splitting data is correct. However, the `strata = 'Sale_Price'` parameter required by the rubric for the `initial_split` function is missing.","The recipe steps are present but the code is syntactically incorrect (missing pipe between `prep` and `tidy`, causing `tidy` to be ignored or error). Additionally, `step_normalize` was used instead of separate `step_center` and `step_scale` as specified in the rubric checks, and `broom::tidy` was not correctly chained to examine the steps.","All three models are correctly defined with the appropriate engines and tunable parameters (`penalty`, `mixture`, `min_n`, `trees`). `set_mode` is included for the random forest model.",The `parsnip::translate()` function is correctly applied to all three model objects as required.,Bootstrap samples are correctly created using `set.seed(8740)` and `rsample::bootstraps()` on the training data.,"The workflow set is correctly created with the recipe and models, and the `info` column is unnested for examination.","The workflow map is executed, and the subsequent dplyr/tidyr pipeline correctly unnests results, filters for RMSE, groups by workflow ID, arranges by estimate, and slices the best row.","The `workflowsets::rank_results()` function is called with correct parameters, and the student provides a comparison to Exercise 8 results.","The best workflow is extracted and finalized with correct parameters. However, the final comparison step is overly complex and deviates from the rubric's expected process of simply fitting the workflow to train/test data and comparing OOB errors directly. The manual MSE calculation is not required by the rubric."
