grading_model,student,run,question,score,CodeExecution_mentioned,CodeExecution_deducted,ProcessFidelity_mentioned,ProcessFidelity_deducted,OutputAccuracy_mentioned,OutputAccuracy_deducted
qwen_qwen3.6-27b,student_a,1,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,1,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,1,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,1,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,1,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,1,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,1,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,1,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,1,Q9,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,1,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,2,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,2,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,2,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,2,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,2,Q5,3.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_a,2,Q6,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,2,Q7,2.0,False,False,True,True,True,True
qwen_qwen3.6-27b,student_a,2,Q8,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,2,Q9,3.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_a,2,Q10,2.0,True,True,True,True,False,False
qwen_qwen3.6-27b,student_a,3,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,3,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,3,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,3,Q4,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,3,Q5,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,3,Q6,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,3,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,3,Q8,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,3,Q9,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,3,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,4,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,4,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,4,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,4,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,4,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,4,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,4,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,4,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,4,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,4,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,5,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,5,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,5,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,5,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,5,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,5,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,5,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,5,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,5,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,5,Q10,2.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,6,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,6,Q2,2.0,True,False,False,False,True,True
