Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,29,"The submission closely follows the intended tidymodels workflow, with correct use of recipes, parsnip models, workflowsets, and tuning. Most exercises fully meet the rubric, with only a minor omission of stratification in the train/test split. Overall, this is a strong and nearly complete implementation of the lab requirements.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed, initial_split, training, and testing with 75% split, but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep and tidy are called appropriately, satisfying the required preprocessing steps.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger).","parsnip::translate() is applied to each of the three model objects, correctly exposing the underlying engine-specific templates.","Seed is set and rsample::bootstraps() is called on ames_train to create train_resamples, matching the expected bootstrap resampling process.","workflow_set is created with the base recipe and three models, and tidyr::unnest(info) is used to inspect the structure, yielding the correct workflow set setup.","workflow_map is used as specified, then result and .metrics are unnested, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced to the best row per workflow, matching the required tuning summary.","workflowsets::rank_results is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the student provides a comparison narrative consistent with Exercise 8.","The best workflow (base_forest) is identified, extracted, finalized with trees = 1 and min_n = 11, then fit on both training and test data; OOB MSEs and their ratio are computed, correctly following the specified workflow despite a different numeric ratio."
2,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with all major steps implemented correctly. The only notable omission is the lack of stratification by Sale_Price in the initial train/test split. Otherwise, your code closely follows the intended processes and demonstrates good understanding of model tuning and comparison.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Used set.seed and rsample::initial_split/training/testing with 75% split, but omitted the required strata = 'Sale_Price' argument, so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood with step_other, and creates dummies; prep() and broom::tidy() are used appropriately.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger), matching the required setup.","parsnip::translate() is applied to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, correctly exposing the underlying model templates.","set.seed(8740) is called and rsample::bootstraps() is applied to ames_train to create train_resamples, matching the expected bootstrap resampling process.","workflowsets::workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is used to inspect the structure; this aligns with the required workflow construction and examination.","workflow_map is used as specified, and the follow-up code correctly selects wflow_id and result, unnests result and .metrics, filters for rmse, groups, arranges by descending .estimate, and slices the top row per workflow.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the written comparison appropriately interprets the results relative to Exercise 8.","The best workflow id is selected via rank_results, extract_workflow is used, finalize_workflow is called with trees and min_n, and fits are obtained on train and test data; although the reported MSE ratio differs from the solution, the required workflow and functions are correctly implemented."
3,28,"Most exercises follow the intended tidymodels workflow closely, with correct use of recipes, parsnip models, workflowsets, and tuning. Minor issues include omitting stratification in the initial split and an inaccurate final MSE ratio in Exercise 10. Overall, this is a strong and nearly complete implementation of the lab requirements.",3,2,3,3,3,3,3,3,3,2,Used dat |> skimr::skim() correctly with a single step and correctly noted no missing data.,"Correct use of set.seed(), initial_split(), training(), and testing(), but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and tidy() are called appropriately.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters for glmnet and ranger.",parsnip::translate() is applied to each of the three model objects as required to reveal engine-specific templates.,set.seed(8740) is used and rsample::bootstraps() is called on ames_train to create a bootstrap resampling object.,"workflow_set() correctly combines the recipe with the three models into all_workflows, and tidyr::unnest(info) is used to inspect the workflow structure.","Code updates all_workflows with workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and selects the top row.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the narrative compares these results to Exercise 8.","Correctly extracts the best workflow (base_forest), finalizes with trees = 1 and min_n = 11, and fits on train and test data, but the reported MSE ratio does not match the expected approximate value."
4,29,"Your lab shows a solid grasp of the tidymodels workflow, including recipes, model specification, workflowsets, tuning, and evaluation. Most exercises follow the expected processes very closely, with only a minor omission of the strata argument in the train/test split. For future work, be careful to match all specified arguments (like stratification) and double-check reported numeric summaries against expectations, but overall this is a strong submission.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correctly used set.seed(), initial_split(), training(), and testing() with a 0.75 prop, but omitted the required strata = 'Sale_Price' argument in initial_split.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood with step_other, and creates dummies; prep() and broom::tidy() are used appropriately.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger).",parsnip::translate() is applied to each of the three model objects as required to reveal engine-specific templates.,"set.seed(8740) is called and rsample::bootstraps() is used on ames_train to create train_resamples with default settings, matching the expected bootstrap workflow.","workflowsets::workflow_set() is used to build all_workflows from the recipe and three models, and tidyr::unnest(info) is used to inspect the workflow structure as specified.","After workflow_map (given), the code selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row per group, matching the required process.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the accompanying text compares these results conceptually to Exercise 8.","Correctly extracts the best workflow (base_forest) via rank_results, finalizes it with trees = 1 and min_n = 11, fits on train and test data, and computes a test/train MSE ratio; although the numeric ratio differs from the solution, the workflow and functions used are correct."
5,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with all major steps implemented correctly. The only notable omission is the use of strata = 'Sale_Price' in the initial_split, which slightly departs from the specified process. Otherwise, your code and explanations closely follow the intended workflow and demonstrate good understanding of model tuning and comparison.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correctly used set.seed(), initial_split(), training(), and testing() with a 0.75 prop, but omitted the required strata = 'Sale_Price' argument for the split.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, creates dummies, and is prepped then tidied; this matches the required preprocessing steps and intent.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet; trees/min_n for ranger), satisfying the modeling requirements.","parsnip::translate() is applied to each of the three model objects, correctly exposing the underlying engine-specific templates.","Set seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is called to inspect the structure, matching the expected workflowset process.","After workflow_map(), the code selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row; this matches the required tuning-summary workflow.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the written comparison appropriately interprets its relationship to Exercise 8.","Correctly identifies the best workflow via rank_results, extracts it, finalizes with trees and min_n, fits on train and test data, and computes the test/train OOB MSE ratio; the full selection and comparison workflow is present even if the numeric ratio differs from the reference."
6,29,"The lab is very well done, with all major steps from data splitting through recipes, model specification, workflowsets, tuning, and evaluation implemented correctly. The only notable omission is the lack of stratification by Sale_Price in the initial train/test split. Otherwise, the code closely follows the intended tidymodels workflow and demonstrates solid understanding of the process.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and correctly noted no missing data.,"Correct use of set.seed(), initial_split(), training(), and testing(), but missing the required strata = 'Sale_Price' argument for the split.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, creates dummies, and is prepped and tidied appropriately.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters for glmnet and ranger.",parsnip::translate() is applied to each of the three model objects as required to reveal engine-specific templates.,set.seed(8740) is called and rsample::bootstraps() is used on ames_train to create the bootstrap resamples object.,"workflow_set() is correctly constructed with the recipe and three models, and tidyr::unnest(info) is used to inspect the workflow structure.","Code updates all_workflows with workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and selects the top row per group.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the written comparison addresses consistency with Exercise 8.","Best workflow is extracted (base_forest), finalized with trees and min_n, then fit on training and test data with an explicit test/train MSE ratio reported."
7,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with all major steps implemented correctly. The only notable omission is the lack of stratification in the train/test split, and your final MSE ratio differs from the reference but the process is sound. Overall, this is a strong, nearly complete solution with clear, well-structured code.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing() with 75% split, but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and broom::tidy() are used appropriately and the step order is reasonable.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet; trees/min_n for ranger), matching the required model setup.","parsnip::translate() is applied to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, correctly showing the underlying model templates.","set.seed(8740) is called and rsample::bootstraps() is applied to ames_train to create train_resamples, matching the expected bootstrap resampling process.","workflowsets::workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is used to inspect the structure; this aligns with the required workflowset creation and examination.","After workflow_map(), the code selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row, exactly matching the specified tuning-summary workflow.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the written comparison to Exercise 8 shows appropriate interpretation of the outputs.","The best workflow id is identified via rank_results(), base_forest is extracted, finalized with trees = 1 and min_n = 11, and fit on both training and test data; although the reported MSE ratio differs from the solution, the required functions and workflow are correctly implemented."
8,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with all major steps implemented correctly. The only notable omission is the lack of stratification on Sale_Price in the initial train/test split. Otherwise, your code closely follows the intended processes and demonstrates good practice throughout.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Used set.seed and rsample::initial_split/training/testing with 75% split, but omitted strata = 'Sale_Price', so the split process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood with step_other, and creates dummies; prep and tidy are called appropriately.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger).","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying templates.",set.seed(8740) is called and rsample::bootstraps() is used on ames_train to create a bootstrap resampling object as required.,"workflowsets::workflow_set() is used with the recipe and three models, and tidyr::unnest(info) is called to inspect the workflow structure, matching the expected process.","workflow_map is used as specified, and the follow-up code correctly selects, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate, and slices the top row.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the student provides a comparison narrative to Exercise 8.","The best workflow (base_forest) is extracted, finalized with trees = 1 and min_n = 11, then fit on both training and test data; although the reported MSE ratio differs from the solution, the required workflow and functions are correctly used."
9,25,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with all major steps implemented correctly. Most deductions are for small deviations from the specified process (e.g., missing stratification in the split and a differing reported MSE ratio). Review the rubric details (especially for data splitting and final performance comparison) to align even more closely with the expected workflow next time.",3,2,3,3,3,3,3,3,3,2,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing() with prop = 0.75, but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and broom::tidy() are used appropriately.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger).","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying templates.","set.seed(8740) is called and rsample::bootstraps() is used on ames_train to create train_resamples with default settings, matching the expected bootstrap process.","workflowsets::workflow_set() is used with the recipe and all three models to create all_workflows, and tidyr::unnest(info) is used to inspect the workflow structure as required.","After workflow_map(), the code selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row per group, matching the rubric.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the written comparison discusses consistency with Exercise 8.","Correctly extracts the best workflow (base_forest), finalizes it with trees = 1 and min_n = 11, and fits on both training and test data; however, the reported MSE ratio differs from the expected approximate value, so output accuracy is slightly off."
10,29,"The submission closely follows the intended tidymodels workflow, with correct use of recipes, parsnip models, workflowsets, and tuning. Most exercises fully meet the rubric, with only a minor omission of stratification in the train/test split. Overall, this is a strong and nearly complete implementation of the lab requirements.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and correctly noted no missing data.,"Correct use of set.seed(), initial_split(), training(), and testing(), but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep and tidy are called appropriately.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters for glmnet and ranger.",parsnip::translate() is applied to each of the three model objects as required to reveal engine-specific templates.,Seed is set and rsample::bootstraps() is called on ames_train to create a bootstrap resampling object as expected.,"workflow_set() is created with the recipe and three models, and tidyr::unnest(info) is used to inspect the workflow structure.","Correctly chains select, unnest, filter for rmse, group_by, arrange(desc(.estimate)), and slice(1) to extract best rmse per workflow.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the narrative compares to Exercise 8.","Best workflow is extracted (base_forest), finalized with trees and min_n, then fit on train and test; although the reported ratio differs from the solution, the required workflow and functions are used correctly."
