Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with all major steps implemented correctly. The only notable deviation from the rubric is the missing stratification by Sale_Price in the train/test split. Otherwise, your code follows the expected processes and demonstrates good organization and use of the required functions.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing(), but you omitted strata = 'Sale_Price', so the split does not follow the specified stratified process.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and broom::tidy() are used appropriately, satisfying the required preprocessing steps.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger).","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is called to inspect the structure, producing the expected workflow set.","Your code updates all_workflows with workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and slices the top row per group.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and you provide a brief comparison to Exercise 8 as requested.","You correctly identify the best workflow via rank_results, extract it, finalize with the given trees and min_n, fit on train and test sets, and compute the test/train MSE ratio; the full workflow matches the specified process even if the numeric ratio differs."
2,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with nearly all steps implemented as in the solution. The only notable deviation is the missing stratification by Sale_Price in the train/test split. Otherwise, your code structure and use of functions closely follow the intended process.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing(), but you omitted strata = 'Sale_Price', so the split does not follow the specified stratified process.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood with step_other, and creates dummies; prep() and broom::tidy() are used appropriately, satisfying the required transformations.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger).","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying engine-specific templates.",set.seed(8740) is called and rsample::bootstraps() is used on ames_train to create a bootstrap resampling object as required.,"workflowsets::workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is called to inspect the workflow structure, matching the expected process.","You correctly update all_workflows with workflow_map(), then unnest result and .metrics, filter for rmse, group by wflow_id, arrange by .estimate, and slice the top row per group, following the specified workflow.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and you provide a comparison interpretation consistent with Exercise 8.","You identify the best workflow via rank_results, extract the base_forest workflow, finalize it with trees = 1 and min_n = 11, and fit on both training and test data; although your reported MSE ratio differs from the solution, the required functions and workflow are correctly implemented."
3,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with all exercises completed and code structured clearly. The only minor miss is not using stratified splitting on Sale_Price in Exercise 2; otherwise, your processes closely follow the rubric. Keep paying attention to small details like stratification, but overall this is strong, well-organized work.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing(), but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and tidy() are called appropriately, satisfying the required transformations.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger), matching the rubric.","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying templates as required.","set.seed(8740) is called and rsample::bootstraps() is used on ames_train to create train_resamples, matching the expected bootstrap workflow.","workflowsets::workflow_set() is created with the recipe and all three models, and tidyr::unnest(info) is used to inspect structure; this aligns with the specified process and output.","Code updates all_workflows with workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate, and slices the top row per group.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the student provides a comparison narrative, satisfying the exercise requirements.","The best workflow is identified via rank_results, extracted, finalized with trees and min_n, and then fit on both training and test data with an explicit test/train MSE ratio computed and reported."
4,29,"The submission closely follows the intended tidymodels workflow, with correct use of recipes, parsnip models, workflowsets, tuning, and evaluation. The only notable deviation is omitting stratification by Sale_Price in the initial train/test split. Otherwise, the code structure and explanations are clear and aligned with the lab instructions.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing(), but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and tidy() are called appropriately, satisfying the required preprocessing steps.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger), matching the rubric.","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying engine-specific templates.","set.seed(8740) is called and rsample::bootstraps() is used on ames_train to create train_resamples, matching the expected bootstrap workflow.","workflowsets::workflow_set() is created with the recipe and all three models, and tidyr::unnest(info) is used to inspect structure; this aligns with the required process and output.","After workflow_map (given), the code selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row, exactly as specified.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the student provides a comparison narrative, satisfying the exercise requirements.","Correctly extracts the best workflow (base_forest) via rank_results, finalizes with trees = 1 and min_n = 11, fits on train and test sets, and computes the test/train OOB MSE ratio; the full workflow matches the rubric."
5,29,"Your lab shows a solid grasp of the tidymodels workflow, with all major steps (recipes, models, workflowsets, tuning, and evaluation) implemented correctly. The only notable omission is the lack of stratification by Sale_Price in the initial train/test split. Otherwise, your code and explanations closely follow the intended processes and demonstrate good understanding.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing(), but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and tidy() are called appropriately, satisfying the required preprocessing steps.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger), matching the rubric.","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying templates as required.","set.seed(8740) is used and rsample::bootstraps() is called on ames_train to create train_resamples, matching the expected bootstrap workflow.","workflowsets::workflow_set() is created with the recipe and all three models, and tidyr::unnest(info) is used to inspect the structure, as specified.","Code updates all_workflows via workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate, and slices the top row per group.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the student provides a brief comparison to Exercise 8.","The best workflow (base_forest) is identified, extracted, finalized with trees = 1 and min_n = 11, then fit on both training and test data with an explicit test/train MSE ratio reported, matching the required process."
6,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets. Most exercises follow the expected processes very closely, with only a minor omission of the stratified split in Exercise 2. Overall, this is a strong and nearly complete implementation of the lab requirements.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing(), but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and tidy() are called appropriately, satisfying the required transformations.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger), matching the rubric.","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying templates.","set.seed(8740) is called and rsample::bootstraps() is applied to ames_train, creating the expected bootstrap resampling object.","workflowsets::workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is called to inspect the workflow structure as required.","Code updates all_workflows with workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and slices the top row per group.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the student provides a brief comparison to Exercise 8.","The best workflow (base_forest) is extracted, finalized with trees = 1 and min_n = 11, then fit on both training and test data with an explicit test/train MSE ratio reported, matching the expected workflow even if the numeric ratio differs."
7,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and tuning. Most exercises follow the expected process very closely, with only a minor omission of the stratification argument in the train/test split. Keep paying attention to small details in function arguments, as they can affect model evaluation even when the overall workflow is correct.",3,2,3,3,3,3,3,3,3,3,Correct use of skimr::skim() with a single pipe from dat and a clear statement of no missing data.,"You correctly used set.seed(), initial_split(), training(), and testing(), but you omitted the strata = 'Sale_Price' argument, so the split is not stratified as specified.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and broom::tidy() are used appropriately.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters for glmnet and ranger.","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","workflow_set() is created with the recipe and three models, and tidyr::unnest(info) is used to inspect the workflow structure as required.","Your code updates all_workflows with workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and selects the top row.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and you provide a brief comparison to Exercise 8.","You correctly identify the best workflow via rank_results(), extract it, finalize with the given parameters, fit on train and test data, and compute and report the test/train MSE ratio."
8,29,"The submission closely follows the intended tidymodels workflow, with correct use of recipes, parsnip models, workflowsets, and tuning. The only notable omission is the lack of stratification by Sale_Price in the initial train/test split. Otherwise, the code structure and processes are complete and well-aligned with the rubric.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing(), but the split omits strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and tidy() are called appropriately, satisfying the required transformations.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger), matching the rubric.","parsnip::translate() is applied to each of the three model objects, correctly showing the engine-specific templates.","set.seed(8740) is used and rsample::bootstraps() is called on ames_train to create train_resamples, matching the expected bootstrap workflow.","workflowsets::workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is called to inspect the structure; this aligns with the required process.","After workflow_map(), the code selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row, exactly as specified.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and the student provides a comparison narrative, satisfying the exercise requirements.","The student extracts the best workflow (base_forest), finalizes it with trees and min_n, fits on both train and test sets, and computes the test/train MSE ratio; the full expected workflow is present even though the numeric ratio differs from the solution."
9,29,"The submission closely follows the intended tidymodels workflow, with correct use of recipes, parsnip models, workflowsets, and tuning. The only notable omission is the lack of stratification on Sale_Price in the initial train/test split. Otherwise, the code structure and reasoning align well with the rubric and solution template.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Used set.seed and initial_split/training/testing with correct prop, but omitted strata = 'Sale_Price', so the split process is slightly incomplete.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies, then preps and tidies; this satisfies the required preprocessing steps and order.","All three parsnip models are specified with correct engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger).","Applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest as required to inspect engine-specific templates.","Set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","Constructed all_workflows with workflow_set using the recipe and all three models, then unnested the info column to inspect structure, matching the expected workflowset process.","Used workflow_map as given and then correctly selected, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row per group.","Called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and provided a brief comparison to Exercise 8 results.","Extracted the best workflow (base_forest), finalized it with trees and min_n, then fit on training and test data and computed the test/train MSE ratio; the full expected workflow is present even if the numeric ratio differs from the template."
10,29,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, with all exercises completed and code structured clearly. The only notable deviation from the rubric is the missing stratification by Sale_Price in the train/test split. Otherwise, your processes and function usage closely follow the expected solutions.",3,2,3,3,3,3,3,3,3,3,Used dat |> skimr::skim() correctly with a single step and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed(), initial_split(), training(), and testing(), but you omitted strata = 'Sale_Price', so the split does not follow the specified stratified process.","Recipe uses the correct formula, log-transforms Sale_Price, normalizes numeric predictors, pools Neighborhood, and creates dummies; prep() and broom::tidy() are used appropriately and the step order is reasonable.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, trees/min_n for ranger).","parsnip::translate() is applied to each of the three model objects, correctly showing the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is called to inspect the workflow structure, matching the expected process.","Your code updates all_workflows with workflow_map() and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and slices the top row per group.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and you provide a brief comparison to Exercise 8 as requested.","You correctly identify the best workflow via rank_results, extract it, finalize with the given trees and min_n, fit on train and test sets, and compute the test/train OOB MSE ratio; the full workflow matches the rubric."
