Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,19,"You demonstrated a solid understanding of tidymodels workflows, recipes, and workflowsets, and most exercises follow the intended structure. The main deductions are for small but important deviations from the specified arguments (e.g., missing strata, default bootstrap settings) and not strictly following the exact workflow/IDs and parameters requested in the rubric. Tightening those details and aligning more closely with the provided process would bring this to full credit.",1,2,3,2,3,2,2,3,2,1,"You used skimr::skim() on dat, but did not use the pipe operator to pass dat into skim() as required, and you created/used dat separately. The missing-data conclusion is correct, but process fidelity is off.","You correctly used set.seed(8740), initial_split, training, and testing with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument. Add stratification on Sale_Price to fully match the rubric.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and tidy it. This matches the expected steps and order closely enough.","You defined the three models with correct engines and tuning parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as expected. Add set_mode('regression') to fully align with the rubric.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required for this exercise.","You set the seed and created a bootstrap object from ames_train, but you did not namespace bootstraps() with rsample:: and you changed the default resample count by specifying times = 25. Use rsample::bootstraps(ames_train) with defaults for full credit.","You correctly built a workflow_set with the recipe and three models, but you only selected the info column instead of unnesting it as requested. Use tidyr::unnest(info) to inspect the workflow structure.","You created a workflow_set, tuned with workflow_map, and then unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row. This matches the required workflow even though you used a separate object name.","You used rank_results(all_workflows_res, rank_metric = 'rmse', select_best = TRUE) and compared results, but the rubric expected rank_results(all_workflows, ...). The overall comparison logic is sound, but stick to the specified object for full alignment.","You attempted to extract and finalize the best workflow and compare train/test performance, but there are issues: extract_workflow('base_ranger') does not match your IDs, finalize_workflow is mis-specified in Q10b, and you did not use the specified best parameters (trees = 1, min_n = 11). The extended Q10c workflow is conceptually correct but diverges from the rubric’s specific process and parameter values."
2,21,"You completed all exercises and generally followed the tidymodels workflow, including recipes, models, workflow sets, tuning, and ranking. Most steps are structurally correct, but there are a few rubric-specific misses (e.g., missing strata in the split, not unnesting info, minor model specification issues, and an incorrect/syntactically broken finalize_workflow step). Tightening those details and aligning IDs/parameters with the provided template would bring this to full credit.",2,2,3,2,3,3,2,3,3,1,"You correctly used skimr::skim on dat and stated there is no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or checks.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', which was required for the specified 75% stratified split.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and tidy the recipe; this matches the required transformations and workflow.","You created three parsnip models with appropriate engines and tuning parameters, but you did not explicitly set mode = 'regression' for the first two models and used unqualified tune(), which is slightly off the expected explicit parsnip::tune() usage.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected process and would show the three engine-specific templates.",You set the seed and created a bootstrap resampling object from ames_train using bootstraps(); specifying times = 25 is acceptable and matches the intended workflow.,"You built a workflow_set with the recipe and three models correctly, but you only selected the info column instead of unnesting it with tidyr::unnest(info) as required to examine the workflow structure.","You used workflow_map on the workflow set, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, which matches the required process even though you stored results in all_workflows_res.","You called workflowsets::rank_results with all_workflows_res, rank_metric = 'rmse', and select_best = TRUE and compared these to your earlier results, which aligns with the rubric’s expectations.","You attempted to extract, finalize, and fit the best workflow and computed a test/train MSE ratio, but the extract_workflow call uses 'base_ranger' instead of 'base_forest', the finalize_workflow code in Q10b is syntactically incorrect, and the reported ratio does not match the expected approximate value."
3,19,"You completed all exercises and generally followed the tidymodels workflow, including recipes, parsnip models, workflowsets, tuning, and performance comparison. Most deductions are for small deviations from the specified arguments (e.g., missing strata, base in log, default bootstrap settings), naming/ID mismatches, and not fully matching the requested unnesting and best-model configuration. Tightening alignment with the provided solution structure and rubric (especially in Exercises 2, 7, and 10) would bring this to full credit.",1,2,2,2,3,2,2,2,2,1,"You used skimr::skim() on dat, but did not use the pipe operator to pass dat into skim() as required, and you created/used dat separately from the earlier definition. The missing-data conclusion is correct.","You correctly used set.seed() and rsample::initial_split(), training(), and testing(), and created ames_train/ames_test with a 75% split. However, you omitted the required strata = 'Sale_Price' argument.","You created norm_recipe with the correct formula and included step_log, step_other, step_dummy, centering, and scaling, then prepped and tidied it. To fully match the rubric, you should explicitly set base = exp(1) in step_log and ensure centering/scaling are applied only to numeric predictors (all_numeric_predictors()).","You defined three parsnip models and correctly tuned penalty/mixture and min_n/trees, and set the ranger model to regression mode. However, you did not set mode = 'regression' for the lm and glmnet models, and you used bare tune() instead of parsnip::tune(), which is less explicit per the rubric.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and will display the appropriate engine-specific templates.","You set the seed and created a bootstrap object from ames_train, which satisfies the main goal. To fully align with the rubric, you should explicitly call rsample::bootstraps() and avoid adding extra arguments (times = 25) when the instructions specify default parameters.","You built a workflow_set with the base recipe and three models, and inspected wflow_id and info. However, you did not unnest the info column as required, and your model names (lm, glmnet, ranger) differ from the expected base/glmnet/forest naming in the rubric.","You correctly updated all_workflows via workflow_map, then unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row. However, you rebuilt recipes/models/workflows instead of using the existing all_workflows object, and your code structure diverges from the simpler select/unnest chain requested.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, which meets the core requirement. The additional custom comparison code is fine but not necessary and slightly obscures the direct comparison to Exercise 8.","In Q10c you correctly used extract_workflow(), finalize_workflow(), and fit() on training and test data and computed a test/train MSE ratio, which matches the intended workflow. However, Q10a uses a non-existent workflow id ('base_ranger'), Q10b has a syntax error (best_params and tibble call), and your chosen best parameters/ratio do not match the specified base_forest workflow with trees = 1, min_n = 11."
4,21,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, and you completed all exercises with mostly correct code and reasoning. Most deductions are for small deviations from the specified arguments (e.g., missing strata, not unnesting info, or not following the exact workflow/IDs requested) rather than conceptual misunderstandings. For future labs, focus on matching the requested function arguments and output inspection steps exactly, and clean up redundant or conflicting code chunks so the workflow is clearer and more reproducible.",2,2,3,2,3,3,2,3,2,2,"You correctly used skimr::skim on dat and stated there is no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or checks.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', which was required for the stratified 75/25 split.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors; you also prep and examine it with broom::tidy, matching the required process and transformations.","You created three parsnip models and used tune() for the appropriate parameters, but you did not explicitly set mode = 'regression' for the first two models and did not namespace tune(), which slightly departs from the expected specification.","You correctly called parsnip::translate() on each of the three model objects, which matches the required workflow and will show the appropriate engine-specific templates.",You set the seed and created a bootstrap resampling object from ames_train using bootstraps(); specifying times = 25 is acceptable and meets the intent of creating default-style bootstrap samples.,"You built a workflow_set with the recipe and three models correctly, but you only selected the info column instead of unnesting it with tidyr::unnest(info) as required to examine the workflow structure.","You used workflow_map on the workflow set, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, which matches the required process even though you used a separate all_workflows_res object.","You correctly used workflowsets::rank_results(all_workflows_res, rank_metric = 'rmse', select_best = TRUE) and compared results, but the rubric expected rank_results to be called directly on all_workflows; your extra comparison code is fine but not necessary.","You ultimately extracted the best workflow, finalized it with select_best parameters, and fit on both training and test data, but earlier code chunks contain errors (misplaced finalize_workflow call and best_params) and you did not match the specified base_forest workflow or the expected MSE ratio."
5,25,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, and you completed all exercises with mostly correct code and reasoning. Most deductions are for small deviations from the specified process (e.g., missing stratification, not unnested info, minor syntax issues) rather than conceptual misunderstandings. For future labs, focus on matching the requested arguments and steps exactly and cleaning up redundant or inconsistent code chunks.",2,2,3,2,3,3,2,3,3,2,"You correctly used skimr::skim on dat and stated there is no missing data. However, the rubric required using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or checks; you created dat separately and added anyNA, so process fidelity is slightly off.","You set the seed, used rsample::initial_split, and created ames_train and ames_test with a 75% split, which matches most of the required process. You omitted the strata = 'Sale_Price' argument, so the split does not fully match the specified stratified process.","Your recipe uses the correct formula, applies step_log to Sale_Price, pools Neighborhood with step_other, creates dummies, and then centers and scales predictors, and you prep and examine it with broom::tidy. This matches the required transformations and workflow, even though you did not explicitly set base = exp(1).","You created three parsnip models and used linear_reg, rand_forest, set_engine, and tune() for the appropriate parameters. However, you did not explicitly set mode = 'regression' for the first two models, and the glmnet model is named differently than in the template, so the setup is slightly off the expected process.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created a bootstrap resampling object from ames_train using bootstraps(), which matches the expected process; specifying times = 25 is acceptable and still produces a valid bootstrap object.","You built a workflow_set with the recipe and three models and stored it in all_workflows, which is correct. However, you did not unnest the info column as requested; you only selected it, so the examination of the workflow structure is incomplete.","You used workflow_map on the workflow set, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row. This matches the required workflow and would yield the best rmse per workflow.","You used workflowsets::rank_results with all_workflows_res, rank_metric = 'rmse', and select_best = TRUE, and compared these results to your earlier tuning, which aligns with the rubric’s expectations.","You ultimately identified a best workflow, finalized it with select_best parameters, fit on training and test data, and computed an MSE ratio, which matches the intended workflow. However, earlier Q10 code chunks contain syntax errors (finalize_workflow line) and use a different workflow id than specified in the rubric, so the process is not cleanly implemented throughout."
6,25,"Most exercises are completed with appropriate use of tidymodels, workflowsets, and rsample, and you generally follow the intended workflows. The main deductions are for missing strata in the split, not fully matching the expected unnesting in Exercise 7, and some deviations or minor syntax issues in the model specification and finalization steps. Tightening those details to align exactly with the rubric would bring this to full credit.",2,2,3,2,3,3,2,3,3,2,"You correctly used skimr::skim on dat and stated there is no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without extra objects or checks.","You used set.seed and rsample::initial_split plus training/testing correctly with a 75% split, but you omitted the required strata = 'Sale_Price' argument in initial_split.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and you prep and tidy it; this matches the required transformations and workflow.","You defined the three models with the right parsnip functions and engines and tuned parameters, but you did not explicitly set mode = 'regression' for the first two models as in the expected process.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow and outputs.",You set the seed and created a bootstrap resampling object from ames_train using bootstraps(); specifying times = 25 is acceptable and meets the intent of creating multiple bootstrap samples.,"You built a workflow_set with the base recipe and three models correctly, but you only selected the info column instead of unnesting it with tidyr::unnest(info) as required to examine the structure.","You mapped tuning over the workflow set (into all_workflows_res) and then correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row per group.","You used workflowsets::rank_results with all_workflows_res, rank_metric = 'rmse', and select_best = TRUE and compared these to your earlier tuning results, which matches the expected process.","You ultimately identified a best workflow, finalized it with select_best parameters, and compared train/test performance, but earlier code chunks have syntax issues (finalize_workflow line) and you did not follow the specified base_forest workflow and fixed parameter values from the rubric."
7,21,"You demonstrated a solid grasp of tidymodels workflows, recipes, models, and workflowsets, and most exercises follow the intended structure. The main issues are small deviations from the specified arguments (e.g., missing strata, mode) and incomplete or incorrect steps in the later workflow/selection tasks, especially in Exercise 10. Tightening alignment with the exact instructions and simplifying your workflow mapping and ranking code will help ensure full credit in future labs.",2,2,3,2,3,3,2,3,2,1,"You correctly used skimr::skim on dat and stated there is no missing data, but you did not use the pipe operator (|>) as specified and added extra steps beyond the single-pipe workflow.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', so the split does not fully match the required process.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and you prep and tidy the recipe; this matches the required transformations and workflow.","You created three parsnip models with appropriate engines and tuning parameters, but you did not explicitly set mode = 'regression' for the first two models and used unqualified tune() instead of parsnip::tune(), which slightly departs from the expected specification.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required for this exercise.",You set the seed and created a bootstrap resampling object from ames_train using bootstraps(); using times = 25 is acceptable and matches the intended process and output.,"You built a workflow_set with the base recipe and three models, but you did not unnest the info column as requested—only selecting wflow_id and info—so the examination of workflow structure is incomplete.","You used workflow_map on the workflow set and then correctly selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, matching the required workflow.","You used workflowsets::rank_results with rank_metric = 'rmse' and select_best = TRUE on all_workflows_res and compared results, but the code is more convoluted than needed and does not clearly show a direct comparison back to your explicit Q8 summary.","You attempted to extract and finalize a best workflow and compute train/test metrics, but there are syntax errors (finalize_workflow line) and inconsistency in workflow IDs; the required base_forest workflow and specified best parameters (trees = 1, min_n = 11) were not used, and the final ratio does not match the expected result."
8,25,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, and workflowsets, and you completed all exercises with mostly correct code and reasoning. Most deductions are for small deviations from the specified arguments (e.g., missing strata, not unnesting info) or minor process mismatches. Tightening alignment with the exact requested functions/arguments and cleaning up redundant or erroneous code chunks would bring this to full credit.",2,2,3,2,3,3,2,3,3,2,"You correctly used skimr::skim on dat and answered about missing data, but did not use the pipe operator to pass dat into skim as specified, and you reloaded dat instead of using the earlier object.","You set the seed and used rsample::initial_split, training(), and testing(), but omitted the required strata = 'Sale_Price' argument in initial_split.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and tidy the recipe; this matches the expected process and transformations.","You created three parsnip models with appropriate engines and tunable parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the expected workflow.","You correctly called parsnip::translate() on each of the three model objects, which matches the required process.",You set the seed and created a bootstrap resampling object from ames_train using bootstraps(); using times = 25 is acceptable and meets the intent of the exercise.,"You built a workflow_set with the recipe and three models correctly, but for examining structure you only selected the info column instead of unnesting it with tidyr::unnest(info) as required.","You mapped tuning over the workflow set (into all_workflows_res) and then unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, matching the specified workflow even though you used a separate res object.","You used workflowsets::rank_results with rank_metric = 'rmse' and select_best = TRUE on all_workflows_res and compared results, which aligns with the rubric requirements.","You ultimately extracted the best workflow, finalized it with best_params, fit on training and test data, and computed an MSE ratio, but earlier code chunks have errors (misplaced tibble in finalize_workflow) and you did not explicitly use the specified base_forest workflow or the given best parameters."
9,18,"You completed all exercises and generally followed the tidymodels workflow, including recipes, models, workflowsets, tuning, and evaluation. Most key functions are present, but there are several deviations from the specified processes (e.g., missing strata in splits, not unnesting info, rebuilding objects inconsistently, and some errors in the finalization step). Tightening alignment with the provided workflow (object names, arguments, and sequence) will help you earn full credit in future labs.",1,2,3,2,3,2,2,2,2,1,"You used skimr::skim() correctly, but did not use the pipe operator to pass dat into skim in a single step as required; also you redefined dat inside the chunk instead of using the provided object.","You set the seed and used initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and preps then tidies the recipe; overall process and transformations match the rubric.","You correctly specified linear_reg and rand_forest models with appropriate engines and tunable parameters, but you did not set the mode for the base and glmnet models and did not explicitly use parsnip::tune(), which slightly diverges from the expected process.","You applied parsnip::translate() to each of the three model objects as required, which would display the underlying engine-specific templates.","You set the seed and created a bootstrap object from ames_train, but you did not namespace bootstraps() with rsample:: and added extra arguments and printing beyond the minimal expected process.","You correctly built a workflow_set with the recipe and three models, but you only selected the info column instead of unnesting it to show the workflow structure as requested.","You correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, but you rebuilt the workflows and used a different resampling object name than specified, which diverges from the expected workflow_map on all_workflows.","You used rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but you operated on all_workflows_res instead of the all_workflows object specified in the rubric.","You eventually extracted, finalized, and fit a best workflow and computed a test/train MSE ratio, but earlier code chunks contain errors (misplaced tibble in finalize_workflow, wrong workflow id) and the chosen best model/parameters and ratio do not match the expected base_forest example."
10,23,"Most core tidymodels workflows—recipes, models, workflow_set, tuning, and ranking—are implemented correctly and show good understanding. Main deductions are for small but important deviations from the specified process (missing strata in the split, not unnesting info, minor inconsistencies in model mode setting and workflow IDs, and a malformed finalize_workflow call). Cleaning up these details and aligning more closely with the provided templates would bring this to full credit.",1,2,3,2,3,3,2,3,3,1,"You used skimr::skim() on dat, but did not use the pipe operator to pass dat into skim() as required; conclusion about no missing data is present.","You correctly used set.seed() and rsample::initial_split()/training()/testing(), but omitted the required strata = 'Sale_Price' argument in initial_split.","Recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors; prep and broom::tidy() are used appropriately.","You correctly specified the three parsnip models and tuned parameters, but did not explicitly set mode = 'regression' for the first two models as in the expected workflow.","parsnip::translate() is correctly called on each of the three model objects, matching the expected process.","You set the seed and created a bootstrap resampling object from ames_train using rsample::bootstraps(), which satisfies the requirements even with an explicit times argument.","You created a workflow_set with the base recipe and three models correctly, but did not unnest the info column as requested; you only selected it without tidyr::unnest().","You used workflow_map on the workflow set, then unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, matching the required workflow.","You used workflowsets::rank_results(all_workflows_res, rank_metric = 'rmse', select_best = TRUE) and compared results, which aligns with the rubric’s expectations.","You ultimately extract, finalize, and fit a best workflow on train and test data, but the earlier extract_workflow ID ('base_ranger') is inconsistent with your workflow IDs and the finalize_workflow call in Q10b is syntactically incorrect; the process is conceptually right but not cleanly implemented."
