Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,17,"You completed most of the required steps and showed a solid understanding of recipes, models, workflowsets, and tuning. The main issues were small but important deviations from the specified arguments (e.g., using `dat` vs `ames`, missing strata, not updating `all_workflows`, and differing best-model choices/parameters). For future labs, pay close attention to the exact objects, arguments, and workflow IDs requested in the instructions and rubric.",0,2,3,2,3,2,2,2,2,1,The code calls skim() on an undefined object `ames` instead of the provided `dat` object and does not use the pipe operator; this does not follow the required workflow or dataset.,"You correctly used set.seed(), initial_split(), training(), and testing(), and created ames_train/ames_test with a 0.75 split, but you omitted the required `strata = 'Sale_Price'` argument in initial_split.","You created the recipe with the correct formula on ames_train, applied step_log to Sale_Price, pooled Neighborhood, created dummies, centered and scaled predictors, and prepped then examined with broom::tidy; this matches the expected process and transformations.","You specified the three models with linear_reg(), rand_forest(), set_engine(), and tuning for penalty/mixture and min_n/trees, but you did not explicitly set mode = 'regression' for the glmnet model as required by the rubric.","You correctly applied parsnip::translate() to each of the three model objects, which is the expected workflow for inspecting the engine-specific templates.","You set the seed and created a bootstrap object from ames_train, but you did not namespace bootstraps() with rsample:: and changed the default parameters (times = 25) instead of using the default settings.","You built a workflow_set with the base recipe and three models and inspected the wflow_id/info columns, but you did not unnest the info column as requested, so the structure of each workflow is not fully shown.","You correctly unnested result and .metrics from a workflow_set, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, but you created a new object `all_workflows_res` instead of updating `all_workflows` as specified and added extra CV/tuning setup beyond the requested pipeline.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but you applied it to `all_workflows_res` rather than directly to `all_workflows` as described in the rubric.","You demonstrated extracting a ranger workflow, finalizing with chosen parameters, and fitting to train/test data with an MSE ratio, but the workflow ID does not match the expected 'base_forest', the best parameters differ from the provided solution, and the reported MSE ratio is not close to the target value."
2,19,"You completed all exercises and generally followed the tidymodels workflow, including recipes, models, workflowsets, tuning, and evaluation. Most deductions are for small deviations from the specified objects (e.g., using `ames` vs `dat`, missing `strata`, not unnested info, or differing workflow IDs/parameters). For future labs, pay close attention to the exact variable names, arguments, and steps requested in the rubric to secure full credit.",1,2,3,2,3,2,2,2,2,2,"You used skimr::skim, but on `ames` instead of the defined `dat` object and without the pipe; also the rubric expects piping `dat |> skimr::skim()` and an explicit statement about no missing data based on that output.","You correctly used set.seed, initial_split, training, and testing with a 0.75 prop, but you omitted `strata = 'Sale_Price'`, which is required for full credit.","Recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and is prepped then examined with broom::tidy; this matches the required process and transformations.","You correctly specified linear_reg, rand_forest, set_engine, and tuned parameters, but you did not set the mode for the glmnet model and used bare `tune()` instead of `parsnip::tune()`, which slightly departs from the expected parsnip workflow.",You applied parsnip::translate() to each of the three model objects as required; this matches the expected process and will show the correct engine-specific templates.,"You set the seed and created a bootstrap object from ames_train, but you used the unqualified bootstraps() instead of rsample::bootstraps() and changed the default resample count explicitly; use rsample::bootstraps(ames_train) for full alignment with the rubric.","You correctly built a workflow_set with one recipe and three models and inspected wflow_id and info, but you did not unnest the info column as requested, and model names differ from the base/glmnet/forest naming in the rubric.","You performed tuning with workflow_map and then unnested .metrics, filtered for rmse, grouped, arranged, and sliced, but you created a separate `all_workflows_res` instead of updating `all_workflows` and added extra CV setup not needed; the core unnest/filter/group/arrange/ slice workflow is correct.","You used workflowsets::rank_results with rank_metric = 'rmse' and select_best = TRUE and compared results, but you applied it to `all_workflows_res` and wrapped it in additional custom comparison code rather than the simple direct call on `all_workflows` specified in the rubric.","You extracted a ranger workflow, finalized it with tuned parameters, fit on train and test data, and computed a test/train MSE ratio, but the workflow id and parameters differ from the specified 'base_forest' with trees = 1, min_n = 11, so the final configuration and reported ratio do not match the expected solution."
3,19,"You completed all exercises with generally correct use of tidymodels, recipes, parsnip, rsample, and workflowsets, and your workflows and tuning logic are mostly sound. Most deductions are for not following the exact objects, arguments, or defaults specified in the rubric (e.g., using `dat`, adding `strata`, updating `all_workflows`, and using the prescribed best model and parameters). For future labs, focus on matching the requested function calls, argument values, and object names exactly, in addition to getting the overall modeling process right.",1,2,3,2,3,2,2,2,2,2,"You called skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator; the written conclusion about no missing data is present. Use `dat |> skimr::skim()` as in the instructions.","You correctly used set.seed(), initial_split(), training(), and testing() with a 0.75 split, but omitted the required `strata = 'Sale_Price'` argument. Add the stratification on Sale_Price to match the rubric.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and examine with broom::tidy(). This matches the expected preprocessing steps and order closely enough.","You correctly specified the three models and engines, and tuned penalty/mixture and min_n/trees, but did not explicitly set mode = 'regression' for the glmnet model. Always set the mode for all models per the rubric.","You applied parsnip::translate() to each of the three model objects as required, which will display the underlying engine-specific templates.","You set the seed and created a bootstrap object from ames_train, but used `bootstraps(ames_train, times = 25)` instead of the default parameters. Use the default call `rsample::bootstraps(ames_train)` to fully match the instructions.","You created a workflow_set with the base recipe and three models correctly, but in the second chunk you only selected the info column instead of unnesting it. Use `tidyr::unnest(info)` to inspect the workflow structure as requested.","You correctly used workflow_map, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped, arranged, and sliced. However, you created a new `all_workflows_res` instead of updating `all_workflows` as specified, and your code block includes extra setup not needed here.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE on `all_workflows_res`, and compared results, but the rubric expects this to be run on `all_workflows`. Align the object name with earlier steps to keep the workflow consistent.","You extracted a ranger workflow, finalized it with chosen parameters, fit on train and test data, and computed a test/train MSE ratio, but did not use the specified 'base_forest' workflow id or the given best parameters (trees = 1, min_n = 11). Follow the provided best-model configuration more closely."
4,16,"You completed most of the required steps and demonstrated a solid grasp of recipes, parsnip models, workflowsets, and tuning. The main issues are mismatches with the specified objects/arguments (e.g., using `ames` vs `dat`, missing `strata`, not unnested info, differing best-model workflow and parameters). For future labs, focus on closely following the exact variable names, arguments, and workflows requested in the instructions and rubric.",0,2,2,2,3,2,2,2,2,1,"Code calls skim() on an undefined object `ames` instead of the provided `dat`, and does not use the pipe operator; this does not meet the required workflow or output description.","You correctly set the seed, used initial_split(), training(), and testing(), and created ames_train/ames_test with a 0.75 split, but you omitted the required `strata = 'Sale_Price'` argument.","You created a recipe with the correct formula, applied log to Sale_Price, pooled Neighborhood, created dummies, and centered/scaled predictors, then prepped and tidied it; however, the order differs from the expected (center/scale before log/other/dummy), so process fidelity is slightly off.","You defined three parsnip models and used set_engine() appropriately; the random forest has tunable min_n and trees, but the glmnet model uses tune() without the parsnip:: prefix and does not explicitly set mode, so the specification is not fully aligned with the rubric.","You correctly called parsnip::translate() on each of the three model objects, satisfying the required workflow and expected outputs.","You set the seed and created a bootstrap object from ames_train, but you used bootstraps(ames_train, times = 25) instead of the default parameters and did not namespace rsample::bootstraps(), so process fidelity is slightly off.","You built a workflow_set with the base recipe and three models and inspected the wflow_id/info columns; however, you did not unnest the info column as requested, so the examination of the workflow structure is incomplete.","You used workflow_map() with resamples and grid, then unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row; however, you created a separate `all_workflows_res` object instead of updating `all_workflows` as specified, and your code diverges from the provided pipeline structure.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but you applied it to `all_workflows_res` instead of `all_workflows` as in the rubric, so the process is slightly inconsistent with expectations.","You extracted a ranger workflow, finalized it with chosen parameters, and later built a more general best-model selection and evaluation pipeline; however, you did not extract the specified 'base_forest' workflow or use the given best parameters (trees = 1, min_n = 11), and your reported MSE ratio does not match the expected value."
5,18,"You completed most of the workflowsets, recipes, and modeling steps and showed a good grasp of tidymodels syntax. The main issues were mismatches with the specified objects and arguments (e.g., using `ames` vs `dat`, missing stratification, not reusing `all_workflows`, and differing best-model choices/parameters). Review the rubric instructions closely and align object names, arguments, and workflow IDs with the expected process in future labs.",0,2,3,2,3,2,2,1,2,1,"The code calls skim() on an undefined object `ames` instead of the `dat` dataset and does not use the pipe operator from `dat`, so required syntax and dataset are incorrect.","You correctly set the seed, used initial_split(), training(), and testing(), and created ames_train/ames_test, but you omitted the required `strata = 'Sale_Price'` argument in initial_split().","You created the recipe with the correct formula on ames_train, applied step_log to Sale_Price, pooled Neighborhood, created dummies, centered and scaled predictors, and prepped then examined with broom::tidy(); this matches the expected process and transformations.","You specified the three models with correct engines and tuning parameters, but you did not explicitly set the mode to 'regression' for the lm and glmnet models, which is expected in the rubric.","You correctly applied parsnip::translate() to each of the three model objects, which is exactly what was required for this exercise.","You set the seed and created a bootstrap object from ames_train, but you used bootstraps(ames_train, times = 25) instead of the default parameters as specified in the rubric.","You built a workflow_set with the base recipe and three models correctly, but you only selected the info column instead of unnesting it to show the full workflow structure as requested.","You demonstrated unnesting .metrics, filtering for rmse, grouping, arranging, and slicing, but you rebuilt a separate workflow set and used `all_workflows_res` instead of updating and using the original `all_workflows` object as specified.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but you applied it to `all_workflows_res` rather than directly to `all_workflows` as described in the rubric.","You extracted and finalized a ranger workflow and computed train/test metrics and an MSE ratio, but the workflow ID, best parameters, and reported ratio do not match the specified 'base_forest' workflow with trees = 1, min_n = 11 and the expected ~0.1146 ratio."
6,17,"You completed most of the required tidymodels workflow, including recipes, models, workflow sets, tuning, and metric extraction. The main deductions are for small deviations from the specified objects/arguments (e.g., using `ames` vs `dat`, missing `strata`, not unnesting `info`, and not strictly following the provided pipelines). For future labs, align more closely with the given templates and argument requirements to ensure full credit.",1,2,3,2,3,2,2,2,,,"You used skimr::skim, but on `ames` instead of the defined `dat` object and without the pipe; also the rubric expects piping `dat |> skimr::skim()` and an explicit statement about no missing data based on that output.","You correctly used set.seed, initial_split, training, and testing with a 0.75 prop, but you omitted `strata = 'Sale_Price'`, which is required for full credit.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and then preps and inspects with broom::tidy; this matches the expected process and transformations.","You correctly specified the three parsnip models and tuned parameters, but you did not set the mode for the glmnet model, and you used bare `tune()` instead of `parsnip::tune()`, which is slightly incomplete per the rubric.",You applied parsnip::translate() to each of the three model objects as required; this matches the expected workflow and will show the correct engine-specific templates.,"You set the seed and created a bootstrap object from ames_train, but you did not namespace rsample::bootstraps and changed defaults (times = 25); use `rsample::bootstraps(ames_train)` with defaults for full credit.","You correctly built a workflow_set with the recipe and three models, but you only selected the info column instead of unnesting it; use `tidyr::unnest(info)` to fully examine the workflow structure as required.","You demonstrated the correct unnest–filter–group–arrange–slice pipeline on a tuned workflow set, but you created a new `all_workflows_res` instead of using the provided `all_workflows` object and did not follow the exact select/unnest sequence from the template.",,
7,17,"You completed all exercises and demonstrated a solid grasp of tidymodels workflows, recipes, models, and workflowsets. Most required functions are present and used in a reasonable way, but several steps diverge from the exact processes and parameter choices specified in the rubric (e.g., stratified split, recipe details, workflow IDs, and final model parameters). Review the solution template to align object names, arguments, and workflow IDs more closely with the expected workflow in future labs.",1,2,2,2,3,2,2,2,2,1,"You called skim() but on `ames` instead of the defined `dat` object, and did not use the pipe from `dat` to `skim()`. The written conclusion about no missing data is present, but process and object naming don’t follow the rubric.","You correctly used set.seed(), initial_split(), training(), and testing() with a 0.75 split. However, you omitted `strata = 'Sale_Price'`, so the split does not fully match the specified process.","You created a recipe with the correct formula, applied log to Sale_Price, pooled Neighborhood, created dummies, and centered/scaled predictors, then prepped and tidied it. You did not explicitly set the log base to exp(1), and you centered/scaled all predictors (including dummies) rather than only numeric predictors as specified.","You defined three parsnip models with appropriate engines and tuning parameters, and set mode for the random forest. However, you did not set the mode explicitly for the glmnet model, and you used `tune()` without the `parsnip::` namespace, which is less precise per the rubric.","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected workflow and would display the three engine-specific templates.","You set the seed and created a bootstrap object from `ames_train`, but you used `bootstraps(ames_train, times = 25)` instead of the default parameters and omitted the `rsample::` namespace. The result is still a valid bootstrap resampling object.","You built a workflow_set with the base recipe and three models and inspected the wflow_id and info columns. However, you did not unnest the `info` column as requested, so the full workflow structure is not shown.","You correctly mapped tuning over the workflow set, unnested `result` and `.metrics`, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row. However, you created a new `all_workflows_res` object instead of updating `all_workflows` as specified, and your code diverges somewhat from the provided pipeline structure.","You used workflowsets::rank_results() with `rank_metric = 'rmse'` and `select_best = TRUE` on `all_workflows_res` and compared results, which matches the intent. The rubric expects the function to be called on `all_workflows`, but the overall process is correct.","You used extract_workflow(), finalize_workflow(), and fit() and computed train/test metrics and an MSE ratio. However, you did not extract the specified 'base_forest' workflow or use the given best parameters (trees = 1, min_n = 11), and your workflow IDs/parameter choices differ from the rubric’s expected final model and ratio."
8,19,"You completed all exercises with generally correct use of tidymodels, recipes, parsnip, rsample, and workflowsets. Most workflows and transformations are structurally sound, but several steps deviate from the exact rubric requirements (e.g., specific objects, arguments, and IDs). For future labs, align more closely with the specified variable names, arguments (like strata, defaults), and exact workflows to ensure full credit.",1,2,3,2,3,2,2,2,2,2,"You used skimr::skim, but on `ames` instead of the defined `dat` object and without the pipe; also the rubric expects piping `dat |> skimr::skim()` and an explicit statement about no missing data in the skim output.","You correctly used set.seed, initial_split, training, and testing with a 0.75 prop, but you omitted `strata = 'Sale_Price'`, which is required for full credit.","Recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors; you prep and inspect with broom::tidy, matching the required process and transformations.","All three models are specified with correct engines and tuning parameters, but you did not explicitly set mode = 'regression' for the glmnet model as required by the rubric.","You correctly call parsnip::translate() on each of the three model objects, which matches the expected workflow and output structure.","You set the seed and created a bootstrap object from ames_train, but you used `bootstraps(ames_train, times = 25)` instead of the default parameters specified in the rubric.","You correctly build a workflow_set with one recipe and three models and inspect its structure, but you only select the info column instead of unnesting it as required to fully examine the workflow contents.","You correctly unnest result and .metrics, filter for rmse, group by wflow_id, arrange by .estimate, and slice the top row, but you redo the workflow/recipe setup and use a separate `all_workflows_res` object rather than operating directly on the tuned `all_workflows` as described.","You use workflowsets::rank_results with rank_metric = 'rmse' and select_best = TRUE and compare results, but you apply it to `all_workflows_res` and add extra analysis rather than the minimal direct call on `all_workflows` specified in the rubric.","You extract a ranger workflow, finalize it with chosen parameters, fit on train and test, and compute an MSE ratio, but the workflow ID and parameter values differ from the specified 'base_forest' with trees = 1 and min_n = 11, so the expected configuration and ratio are not matched."
9,17,"You implemented most of the required tidymodels workflow, including recipes, model specifications, workflow sets, tuning, and performance comparison. The main issues are small deviations from the specified objects/arguments (e.g., using `ames` vs `dat`, missing stratification, not updating `all_workflows`, and differing best-model choices/parameters). Tightening alignment with the instructions and rubric (especially object names, arguments, and required IDs) will help you receive full credit in future labs.",0,2,3,2,3,2,2,2,2,1,"Code calls skim() on an undefined object `ames` instead of the provided `dat`, and does not use the pipe operator; this does not meet the required workflow or output description.","You correctly set the seed, used initial_split(), training(), and testing(), and created ames_train/ames_test with a 0.75 prop, but you omitted the required `strata = 'Sale_Price'` argument.","Recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and is prepped then examined with broom::tidy(); this matches the expected process and transformations.","All three models are specified with the correct parsnip functions and engines, and tuning parameters are set, but you did not explicitly set the mode for the lm and glmnet models as required.","You applied parsnip::translate() to each of the three model objects, which is the expected workflow to inspect the engine-specific templates.","You set the seed and created a bootstrap object from ames_train, but you did not namespace bootstraps() with rsample:: and changed defaults by specifying times = 25 and extra inspection code.","You correctly built a workflow_set with the recipe and three models, but you only selected the info column instead of unnesting it to show the full workflow structure as requested.","You correctly used workflow_map(), unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row, but you created a separate `all_workflows_res` object instead of updating `all_workflows` as specified.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but applied it to `all_workflows_res` rather than directly to `all_workflows` as in the rubric.","You extracted and finalized a ranger workflow and fit it on train/test data with an MSE ratio, but the workflow ID, best parameters, and reported ratio do not match the specified 'base_forest' workflow and given parameter values."
10,18,"You completed most of the required steps and demonstrated a solid understanding of recipes, models, workflowsets, and tuning. The main deductions are for small but important mismatches with the specified process (e.g., missing strata in the split, not using the exact objects/ids/parameters requested, and not fully following the unnesting instructions). For future labs, focus on matching the rubric’s exact function calls, arguments, and object names, even if your alternative approach is reasonable.",1,2,3,2,3,2,2,2,2,1,"You used skimr::skim, but on `ames` instead of the defined `dat` object and without the pipe; also the rubric expects piping `dat |> skimr::skim()` and an explicit statement about no missing data based on that output.","You correctly used set.seed, initial_split, training, and testing with a 0.75 prop, but you omitted `strata = 'Sale_Price'`, which is required for full credit.","Recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors; you also prep and inspect with broom::tidy, matching the expected workflow.","All three models are specified with the right parsnip functions and engines, and tuning parameters are set, but you did not explicitly set `set_mode('regression')` for the glmnet model as required by the rubric.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required.","You set the seed and created a bootstrap object from ames_train, but you did not namespace `bootstraps()` with rsample:: and you changed the defaults (times = 25) instead of using the default parameters.","You correctly built a workflow_set with the base recipe and three models, but you only selected the info column instead of unnesting it to show the workflow structure as requested.","You demonstrated the correct unnest–filter–group–arrange–slice pipeline on the workflow results and focused on rmse, but you introduced a separate `all_workflows_res` object and extra CV setup instead of applying the operations directly to the tuned `all_workflows` as described.","You used workflowsets::rank_results with rmse and select_best=TRUE and compared results, but you applied it to `all_workflows_res` and added extra analysis rather than the minimal call on `all_workflows` specified in the rubric.","You showed how to extract a ranger workflow, finalize it with chosen parameters, and then fit and compare train/test performance, but the workflow id (`base_ranger`) and parameters do not match the specified 'base_forest' with trees=1, min_n=11, and the reported MSE ratio differs from the expected value."
