Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,24,"You completed all exercises with generally correct use of tidymodels, recipes, parsnip, rsample, and workflowsets, and your code is mostly well structured. The main deductions are for not using the exact workflows requested in the rubric (e.g., missing strata in the split, not using unnest in Q8, and deviating from the specified finalization process in Q10). Tightening your adherence to the prescribed functions and pipelines would bring this to full credit.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and stated there is no missing data. However, the rubric requires using the pipe operator (dat |> skimr::skim()) in a single step without reassigning or extra steps; adjust to match that workflow exactly.","You set the seed, used initial_split, training, and testing, and created ames_train/ames_test with a 75% split, which is good. You omitted the required strata = 'Sale_Price' argument in initial_split, so the process is slightly off the rubric.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors, then prepped and examined it. This matches the required steps and intent, even though you used step_normalize instead of separate center/scale.","All three models are specified correctly: a basic linear_reg with lm engine, a glmnet model with penalty and mixture set to tune(), and a rand_forest with trees and min_n set to tune(), all in regression mode. This fully matches the rubric.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which is exactly what was required to inspect the model templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object. This fully matches the rubric.","You correctly built all_workflows with workflowsets::workflow_set using the recipe and three models, and then examined its structure. However, you unnested the info column with unnest_wider(info) instead of tidyr::unnest(info) as specified, so the process slightly diverges from the expected workflow.","You correctly used workflow_map to tune the workflows and then summarized results with collect_metrics and dplyr, which is a valid approach. However, the rubric explicitly expects a pipeline using select, tidyr::unnest on result and .metrics, filter(.metric == 'rmse'), group_by, arrange(desc(.estimate)), and slice(1); your code does not follow that structure or use unnest, so only partial credit is appropriate.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. While you did not show an explicit comparison in text, the main required function call and process are present.","You extracted the 'base_forest' workflow, obtained best parameters with select_best, finalized the workflow, and fit models on train and test data, then computed an MSE ratio. However, you rebuilt a new workflow instead of directly finalizing and fitting the extracted base_forest workflow as in the rubric, and your reported ratio differs from the expected approximate value, so some process/accuracy points are lost."
2,24,"You completed most of the required steps, including recipes, model specifications, workflow sets, tuning, and final model comparison, and your code is generally well structured. The main issues are small deviations from the specified workflows (e.g., missing strata in the split, not using the exact unnest pipeline in Exercise 8, and rebuilding the final workflow) and one install.packages() call left in the document. For future labs, follow the exact function arguments and pipelines in the rubric and remove any package installation code before submission.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and stated there is no missing data. However, the rubric requires using the pipe operator (dat |> skimr::skim()) in a single step without reassigning or loading inside the chunk; adjust to match that workflow exactly.","You set the seed, used initial_split, training, and testing, and created ames_train/ames_test with a 75/25 split. You omitted the strata = 'Sale_Price' argument, so the split does not fully match the specified process.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors, then prepped and examined it. This matches the required steps and order closely enough for full credit.","All three models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty, mixture, min_n, trees) using tune::tune(). This fully meets the modeling requirements.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which is exactly what was requested to inspect the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object. This matches the required process.","You correctly built all_workflows with workflow_set using norm_recipe and the three models, and then examined the info structure. However, you included an install.packages() call inside the chunk, which violates the lab instructions and counts as a discretionary penalty.","You correctly used workflow_map to tune across workflows and then summarized results, but you relied on collect_metrics() and slice_min(mean) instead of the specified unnest/select/filter/arrange/slice pipeline. This diverges from the required workflow and does not show the tuned parameters in the requested structure.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. While you did not explicitly describe the comparison, the core code matches the rubric.","You extracted the 'base_forest' workflow, selected best parameters with select_best, finalized the workflow, and fit on training and test data, then computed an MSE ratio. However, you rebuilt a new workflow instead of directly using finalize_workflow on the extracted workflow and your reported ratio does not match the expected approximate value."
3,24,"Most core tidymodels steps—recipes, model specifications, workflow sets, resampling, and tuning—are implemented correctly and show good understanding. Points were mainly lost where the rubric required very specific arguments or workflows (e.g., stratified split, exact unnest pipeline, and fixed best-parameter values). Review the instructions for matching the expected process exactly, even when alternative approaches are also valid.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and noted no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without reloading dat or attaching the package.","You set the seed, used initial_split, training, and testing with a 75% split, but did not include strata = 'Sale_Price' in initial_split as required.","Recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors; you prep and inspect with broom::tidy, matching the expected process and transformations.","All three parsnip models are specified correctly with appropriate engines and regression mode, and penalty/mixture and min_n/trees are set to tune(), satisfying the rubric.","You applied parsnip::translate() to each of the three model objects, which matches the required workflow and will show the correct engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You correctly built all_workflows with workflow_set and then examined the info structure, but used unnest_wider(info) instead of tidyr::unnest(info) as specified in the rubric.","You correctly used workflow_map and extracted best rmse per workflow, but did not follow the requested unnest/select/filter/arrange/slice pipeline and used collect_metrics/slice_min instead, so the process does not match the rubric.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is implied even though not discussed in text.","You extracted and finalized the base_forest workflow and fit on train and test, but you redefined data and recipe and did not explicitly use the specified parameter values (trees = 1, min_n = 11) or report the target MSE ratio from the rubric."
4,24,"Most core tidymodels steps (recipes, models, workflowsets, resampling, and tuning) are implemented correctly, showing good understanding of the workflow. Points were mainly lost where the rubric required very specific arguments or pipelines (e.g., stratified split, exact unnesting sequence, and using the finalized workflow directly). Review the rubric’s required function calls and argument patterns to align your code more closely with the expected process in future labs.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and noted no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without reloading dat or extra objects.","You used set.seed and initial_split/training/testing with a 0.75 split, but did not include strata = 'Sale_Price', which is required for full credit.","Recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors; you also prepped and examined it with broom::tidy, matching the expected process.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, min_n/trees for ranger).","You applied parsnip::translate() to each of the three model objects, which matches the required workflow and will show the correct templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You correctly built all_workflows with workflow_set and then examined its structure, but you unnested info with unnest_wider instead of tidyr::unnest(info) as specified in the rubric.","You used workflow_map and extracted best rmse values, but did not follow the required unnesting pipeline (select, unnest, filter, group_by, arrange, slice) and used collect_metrics/slice_min instead, so the process does not match the rubric.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is implied even though not explicitly discussed.","You extracted and finalized the base_forest workflow and fit on train/test data, but you rebuilt a new workflow and recipe rather than directly finalizing and fitting the extracted workflow as described, and your reported MSE ratio differs from the expected value."
5,24,"You completed all exercises and demonstrated a solid understanding of tidymodels workflows, recipes, models, and resampling. Most required functions and objects are present and used appropriately, with a few deviations from the exact processes requested (notably in the split stratification, unnesting workflow results, and final model comparison). Tightening adherence to the specified pipelines and arguments would bring this very close to full credit.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and noted no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without reloading dat or attaching the package.","You used set.seed, initial_split, training, and testing with a 75% split, but you omitted the required strata = 'Sale_Price' argument in initial_split.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors; you also prep and examine it, matching the expected process and transformations.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, min_n/trees for ranger), matching the rubric.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the underlying templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You correctly built all_workflows with workflow_set and then examined its structure, but you used unnest_wider(info) instead of unnest(info) as in the expected workflow; functionally similar but not exactly following the rubric’s process.","You correctly used workflow_map and extracted best rmse per workflow, but you did not follow the specified unnest/select/filter/arrange/slice pipeline and used collect_metrics/slice_min instead, so process fidelity is off even though the goal is met.","You called workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE as required; comparison to Q8 is implied even if not discussed in text.","You extracted and finalized the base_forest workflow and fit on train and test data, but you rebuilt a new workflow and recipe rather than directly finalizing and fitting the extracted workflow, and your reported MSE ratio differs from the expected approximate value."
6,24,"Most core tidymodels components—recipes, parsnip models, workflowsets, resampling, and tuning—are implemented correctly, showing good understanding of the workflow. Points were mainly lost where the rubric required very specific arguments or function chains (e.g., strata in initial_split, exact unnesting and dplyr pipeline in Q8, and the prescribed finalization/fitting pattern in Q10). Review those rubric-specified steps to better align your code with the expected process in future labs.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and noted no missing data, but the rubric expects using the pipe operator (dat |> skimr::skim()) in a single step without reloading dat or extra objects.","You used set.seed, initial_split, training, and testing with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument in initial_split.","Recipe uses the correct formula, logs Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors; you prep and inspect with broom::tidy, matching the expected process and transformations.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, min_n/trees for ranger).","You applied parsnip::translate() to each of the three model objects, which matches the required workflow and will show the correct engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You correctly built all_workflows with workflow_set and included the recipe and three models; however, you unnested info with unnest_wider instead of tidyr::unnest(info) as specified in the rubric.","You used workflow_map and correctly filtered for rmse and grouped by wflow_id, but you relied on collect_metrics and slice_min(mean) instead of the required select/unnest/filter/arrange/ slice pipeline, and you minimized mean rather than arranging by .estimate as described.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is implied even though not explicitly discussed.","You extracted the base_forest workflow, used select_best and finalize_workflow, and fit on train and test; however, you rebuilt a new workflow instead of directly finalizing the extracted one and your reported MSE ratio does not match the expected approximate value."
7,25.5,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and resampling. Most exercises are complete and technically correct, with only minor deviations from the exact processes requested in the rubric (notably stratification in the split, the specific unnest pipeline in Q8, and the fixed best parameters in Q10). To improve, focus on matching the prescribed arguments and step order more closely when the instructions are very specific.",2.5,2,3,3,3,3,2.5,1.5,3,2,"You correctly used skimr on dat and answered that there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without reloading dat; minor process deviation.","You used set.seed and initial_split/training/testing with a 0.75 split, which is good. You omitted strata = 'Sale_Price', so the split is not stratified as required by the rubric.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors, then prepped and examined with broom::tidy. This matches the required transformations and workflow.","All three parsnip models are specified correctly: lm with lm engine, glmnet with penalty and mixture set to tune(), and ranger random forest with min_n and trees set to tune(), all in regression mode.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You correctly built all_workflows with workflow_set using the recipe and three models, and then examined the structure by selecting wflow_id and info and unnesting. This meets the intent, though the rubric specifically mentioned unnest(info) rather than unnest_wider(info).","You correctly used workflow_map to tune and then summarized results with collect_metrics and dplyr, but the rubric expected a pipeline unnesting result and .metrics, filtering rmse, grouping, arranging, and slicing. Your approach is valid but does not follow the specified unnest-based workflow or use .estimate directly.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. Although you did not explicitly describe the comparison, the core code matches the rubric.","You extracted the 'base_forest' workflow and finalized it using select_best on rmse, then fit models on train and test and computed an MSE ratio. However, the rubric expected directly finalizing with trees = 1 and min_n = 11 and a ratio around 0.1146; your implementation deviates from the specified parameters and reported ratio."
8,25.5,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and resampling. Most required functions and objects are present and used correctly, with only a few process deviations (notably in stratified splitting, the specific unnesting workflow in Exercise 8, and the exact finalization procedure in Exercise 10). To improve, align more closely with the prescribed steps in the rubric, especially around stratification, unnesting workflowset results, and reproducing the specified best-model parameters and comparison.",2.5,2,3,3,3,3,2.5,1.5,3,2,"You correctly used skimr on dat and answered that there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without reloading dat; minor process deviation.","You used set.seed, initial_split, training, and testing with a 0.75 prop, which is good. You omitted strata = 'Sale_Price', so the split is not stratified as required by the rubric.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors, then prepped and examined with broom::tidy. This matches the required steps and order.","All three models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters for glmnet (penalty, mixture) and forest (min_n, trees).","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You correctly built all_workflows with workflow_set using the recipe and three models, and examined structure by selecting wflow_id and info then unnesting. The rubric expected unnest(info) directly, but your approach still reveals workflow details; minor process deviation.","You correctly used workflow_map and then summarized results with collect_metrics, filtering for rmse and grouping by wflow_id. However, this does not follow the specified unnesting workflow (select, unnest result, unnest .metrics, arrange by .estimate) and uses slice_min on mean instead of arranging by .estimate as described.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. Although you did not show an explicit comparison narrative, the core code step is present and correct.","You extracted the 'base_forest' workflow, used extract_workflow_set_result and finalize_workflow with best parameters, and then fit models on train and test and computed an MSE ratio. However, you rebuilt a new workflow with a different recipe and did not explicitly set trees = 1 and min_n = 11 as in the rubric, so the final model configuration and reported ratio differ from the expected process."
9,24,"Most core tidymodels steps—recipes, model specs, workflow sets, resampling, tuning, and ranking—are implemented correctly, showing good understanding of the workflow. Points were mainly lost for not using the exact splitting and unnesting processes requested, deviating from the specified dplyr/tidyr pipeline in Exercise 8, and some inconsistencies in the final model workflow and reported performance ratio. Review the rubric’s required arguments and workflows to align your code more closely with the expected process in future labs.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and noted no missing data, but the rubric expects using the pipe operator (dat |> skimr::skim()) in a single step without reloading dat or extra objects.","You set the seed, used initial_split, training, and testing with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument in initial_split.","Recipe uses the correct formula, logs Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors; you also prep and inspect with broom::tidy, matching the expected process and transformations.","All three parsnip models are specified correctly with appropriate engines and regression mode, and penalty/mixture and min_n/trees are set to tune(), satisfying the rubric.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the underlying templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You correctly built all_workflows with workflow_set and then examined its structure, but you used unnest_wider(info) instead of unnest(info) as specified; also, including install.packages() inside the chunk is discouraged.","You correctly used workflow_map and extracted best rmse per workflow, but you did not follow the requested dplyr/tidyr unnest/select/filter/arrange/slice pipeline and used collect_metrics/slice_min instead, so process fidelity and expected output structure are only partially met.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is implied even though not discussed in text.","You extracted the base_forest workflow, used select_best and finalize_workflow, and fit on train/test and computed an MSE ratio; however, you rebuilt a new workflow instead of directly finalizing and fitting the extracted one, and your reported ratio does not match the expected approximate value."
10,25.5,"You completed all exercises with generally correct use of tidymodels, recipes, parsnip, rsample, and workflowsets, and your code is mostly well structured. The main issues are missing stratification in the data split, deviating from the specified unnesting workflow in Exercise 8, and not following the exact finalize-and-fit pattern (and expected ratio) in Exercise 10. Tightening adherence to the requested workflows and avoiding extra install.packages calls will bring your work fully in line with the rubric.",2.5,2,3,3,3,3,2.5,1.5,3,2,"You correctly used skimr on dat and answered that there is no missing data. However, the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without reloading dat or attaching skimr with library().","You set the seed and used initial_split, training, and testing with a 0.75 prop, which is good. However, you omitted the strata = 'Sale_Price' argument, so the split does not follow the specified stratified process.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors, then preps and inspects with broom::tidy(). This matches the required steps and order closely enough for full credit.","All three models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters for glmnet (penalty, mixture) and forest (min_n, trees).","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object with default settings.","You correctly built all_workflows with workflow_set using the recipe and three models, and then examined the structure by selecting wflow_id and info and unnesting. The only issue is the unnecessary install.packages('glmnet') call, which is discouraged in the lab instructions.","You correctly used workflow_map to tune across workflows and then summarized results with collect_metrics, filtering for rmse and grouping by wflow_id. However, this does not follow the requested unnesting workflow (select, unnest result, unnest .metrics, arrange by .estimate) and uses slice_min on a non-specified 'mean' column, so the process and output structure differ from the rubric.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is described in comments, which is sufficient for this exercise.","You extracted the 'base_forest' workflow, obtained best parameters with extract_workflow_set_result + select_best, finalized the workflow, and fit on train and test data, then computed an MSE ratio. However, you rebuilt a new workflow instead of directly using the finalized one, and your reported ratio (0.9737) does not match the expected ~0.1146, so the process and accuracy are only partially aligned with the rubric."
