grading_model,student,question,n_runs,mean_score,score_sd,CodeExecution_mention_pct,CodeExecution_deduction_pct,ProcessFidelity_mention_pct,ProcessFidelity_deduction_pct,OutputAccuracy_mention_pct,OutputAccuracy_deduction_pct
qwen_qwen3.6-27b,student_high,Q1,50,5.0,0.0,100.0,0.0,12.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_high,Q2,50,5.0,0.0,100.0,0.0,58.0,0.0,96.0,0.0
qwen_qwen3.6-27b,student_high,Q3,50,5.0,0.0,0.0,0.0,86.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_high,Q4,50,5.0,0.0,100.0,0.0,52.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_high,Q5,50,5.0,0.0,84.0,0.0,0.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_high,Q6,50,5.0,0.0,100.0,0.0,26.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_low,Q1,50,4.5,0.0,100.0,100.0,6.0,6.0,100.0,0.0
qwen_qwen3.6-27b,student_low,Q2,50,4.67,0.359,90.0,30.0,94.0,46.0,100.0,0.0
qwen_qwen3.6-27b,student_low,Q3,50,0.0,0.0,4.0,22.0,96.0,96.0,22.0,28.0
qwen_qwen3.6-27b,student_low,Q4,50,4.71,0.305,100.0,2.0,100.0,52.0,96.0,8.0
qwen_qwen3.6-27b,student_low,Q5,50,1.98,0.141,92.0,0.0,96.0,88.0,100.0,100.0
qwen_qwen3.6-27b,student_low,Q6,50,5.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_mid,Q1,50,4.5,0.0,100.0,100.0,2.0,2.0,100.0,0.0
qwen_qwen3.6-27b,student_mid,Q2,50,3.94,0.164,100.0,92.0,100.0,100.0,98.0,0.0
qwen_qwen3.6-27b,student_mid,Q3,50,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
qwen_qwen3.6-27b,student_mid,Q4,50,4.93,0.175,100.0,10.0,100.0,8.0,100.0,4.0
qwen_qwen3.6-27b,student_mid,Q5,50,5.0,0.0,96.0,2.0,20.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_mid,Q6,50,5.0,0.0,100.0,0.0,34.0,0.0,100.0,0.0
