Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,"Most exercises are completed with the correct functions and workflows, and your code generally follows the tidymodels patterns expected in the lab. The main deductions are for not using stratified splitting in Exercise 2 and for some details in the recipe (log base and centering/scaling scope) and EDA process. Review the rubric’s exact specifications (e.g., strata argument, natural log, and use of pipes) to align your future work more closely with the required process.",1,2,1,3,3,3,3,3,3,3,"You used skimr::skim on dat and concluded no missing data, which is good. However, the rubric required piping dat directly into skimr::skim() without creating intermediate objects; you also did not use the |> pipe in a single step, so process fidelity is partial.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 split, which matches most of the required process. However, you did not use strata = 'Sale_Price' and your object names differ from the specified ones, so the split is not fully as requested.","You created a recipe with the correct formula and included log, step_other, dummy, center, and scale steps, then prepped and tidied it. The issues are using base = 10 instead of natural log, centering/scaling all predictors (including dummies) rather than numeric predictors only, and not matching the specified order, so process and transformation details are only partially correct.","All three models are correctly specified: linear_reg with lm engine, glmnet model with penalty and mixture set to tune(), and rand_forest with min_n and trees set to tune(), all in regression mode. This fully matches the rubric requirements.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(dat_train), which matches the expected process and produces the correct type of resampling object.","You built all_workflows with workflowsets::workflow_set() using your recipe and all three models, and then unnested the info column to inspect the structure. This aligns with the expected workflow set construction and examination.","Your code (though not evaluated) follows the required sequence: select wflow_id and result, unnest result and .metrics, filter for rmse, group by wflow_id, arrange by .estimate descending, and slice the top row. This matches the rubric’s process and intended output structure.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified. The comparison to Exercise 8 is implied, which is sufficient for this rubric.","You extracted the random forest workflow, finalized it with trees and min_n, and then fit it on both training and test data. While your reported MSE ratio differs from the solution, the required functions and workflow are correctly used, so full credit is warranted."
2,25,"Most exercises are completed with the correct functions and workflows, and you generally follow the tidymodels and workflowsets patterns well. The main deductions are for not using stratification in the split and for some deviations in the recipe (log base and step ordering). Review the recipe step order and parameter details to better align with the rubric’s expectations in future labs.",1,2,1,3,3,3,3,3,3,3,"You used skimr::skim() on dat, but did not use the pipe from dat directly and created an intermediate object; also as.tibble() is deprecated. The conclusion about no missing data is present, but the workflow does not fully match the expected single-step piping process.","You correctly used set.seed() and rsample::initial_split(), training(), and testing(), and created 75%/25% splits. However, you did not use strata = 'Sale_Price' and used different object names than specified, so the process is slightly off the rubric.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, and then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than only numeric predictors, and the order of steps does not match the expected centering/scaling before log and other steps.","All three models are correctly specified with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty, mixture, min_n, trees) using tune(). This matches the required parsnip workflow.","You correctly called parsnip::translate() on each of the three model objects, which will display the underlying engine-specific templates as required.","You set the seed and created a bootstrap resampling object with rsample::bootstraps() on the training data, assigning it to train_resamples, which matches the expected process and output.",You built a workflow_set with the recipe and all three models and then unnested the info column to inspect the structure. The column names differ slightly from the template but the functionality and structure are correct.,"Your code (though not evaluated) follows the expected sequence: select wflow_id and result, unnest result and .metrics, filter for rmse, group by wflow_id, arrange by .estimate descending, and slice the top row. This matches the rubric’s required workflow.","You correctly called workflowsets::rank_results() with all_workflows, rank_metric = 'rmse', and select_best = TRUE, which is exactly what the rubric specifies.","You extracted the random forest workflow, finalized it with trees and min_n, and then fit it on both training and test data. While your reported MSE ratio differs from the solution, the required functions and workflow steps are all present and correctly structured."
3,26,"Most exercises are completed with the correct functions and workflows, and your code generally follows the tidymodels process well. The main issues are minor deviations from the specified process (e.g., missing stratification in the split, log base choice, and centering/scaling scope) rather than missing work. Tightening alignment with the exact rubric instructions (argument values, object names, and step order) will help you earn full credit in future labs.",2,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat and concluded there is no missing data. However, the rubric expected using the pipe directly from dat to skimr::skim() without creating intermediate objects; you also used as.tibble() (deprecated) and extra filtering not required.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 split, which matches most of the process. However, you did not use strata = 'Sale_Price' and used different object names than specified (dat_split/dat_train/dat_test instead of data_split/ames_train/ames_test), so the split is not stratified as required.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, step_center, and step_scale, and then prepped it. However, you used base = 10 instead of the natural log, centered and scaled all predictors (including dummies) rather than just numeric predictors, and the order of steps does not match the expected (center/scale numeric predictors before dummy creation).","All three models are specified correctly: linear_reg with lm engine, glmnet model with penalty and mixture set to tune(), and rand_forest with min_n and trees set to tune(), each with mode = 'regression'. Function usage and tunable parameters match the rubric.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created a bootstrap resampling object using rsample::bootstraps() on the training data (dat_train), assigning it to train_resamples. This matches the expected workflow and output structure.","You created all_workflows with workflowsets::workflow_set() using your recipe and all three models, and then unnested the info column with tidyr::unnest(info). The structure and contents of the workflow set align with the rubric expectations.","Your code (though not evaluated) correctly chains select, unnest(result), select, unnest(.metrics), filter(.metric == 'rmse'), group_by, arrange(desc(.estimate)), and slice(1), which matches the required process to extract best RMSE per workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. This matches the expected usage to compare with Exercise 8 results.","You extracted the best workflow (base_recip_random_forest), finalized it with trees and min_n parameters, and then fit it on both training and test data. While your reported MSE ratio differs from the solution, the required functions and workflow are correctly used."
4,23,"Most exercises are completed with the correct functions and workflows, and you generally follow the tidymodels and workflowsets patterns well. The main issues are minor deviations from the specified process (e.g., missing stratification in the split, log base choice, and centering/scaling scope). Tightening alignment with the rubric instructions (especially parameter choices and step order) will help you get full credit in future labs.",2,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat and concluded there is no missing data. However, the rubric expected using the pipe directly from dat to skimr::skim() without creating intermediate objects; also as.tibble() is deprecated (use tibble::as_tibble).","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 split, which matches most of the required process. You did not use strata = 'Sale_Price' and used different object names than specified, so the split is not stratified as required.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, and then prepped it. However, you used base = 10 instead of the natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and the order of steps does not match the expected (center/scale numeric predictors before dummy creation).","All three models are specified correctly with parsnip::linear_reg(), parsnip::rand_forest(), set_engine(), and set_mode(), and you used tune() for penalty, mixture, min_n, and trees as required. This fully matches the expected modeling setup.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps() on the training data, matching the expected process and output structure.","You built all_workflows with workflowsets::workflow_set() using your recipe and three models, and then unnested the info column with tidyr::unnest(info), which matches the required workflow structure and inspection.","Your code follows the expected pipeline: selecting wflow_id and result, unnesting result and .metrics, filtering for rmse, grouping by wflow_id, arranging by .estimate, and slicing the top row. This matches the rubric’s required workflow, even though it is not executed.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. The comparison to Q8 is implied but not shown in detail, which is acceptable for this exercise.","You extracted the random forest workflow, finalized it with trees and min_n, and then fit it on both training and test data. While your reported MSE ratio differs from the solution, the required functions and workflow are present and correctly structured."
5,23,"Your lab shows a solid grasp of the tidymodels workflow, with all major steps (recipes, models, workflowsets, tuning, and evaluation) implemented correctly. Most deductions are for small deviations from the specified process (e.g., missing strata, log base, and minor naming differences) rather than conceptual errors. For future labs, pay close attention to the exact arguments and step order requested in the rubric to capture full points.",2,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat and concluded there is no missing data. However, the rubric expected using the pipe directly from dat to skimr::skim() without creating an intermediate object; also as.tibble() is deprecated (use tibble::as_tibble).","You set the seed and used rsample::initial_split(), training(), and testing() with a ~75% split, which matches the intent. However, you did not use strata = 'Sale_Price' and used different object names (dat_split/dat_train/dat_test instead of data_split/ames_train/ames_test), so the process is slightly off the specified workflow.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, step_center, and step_scale, and then prepped it. But you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than just numeric predictors, and the order of steps does not match the expected (center/scale numeric predictors before dummy creation).","All three models are specified correctly with parsnip::linear_reg and parsnip::rand_forest, using set_engine and set_mode, and tune() for penalty/mixture and min_n/trees. The workflow and parameterization match the rubric expectations.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created a bootstrap resampling object with rsample::bootstraps() on the training data (dat_train), assigning it to train_resamples. This matches the expected process and output structure.",You built a workflow_set with the recipe and all three models and then unnested the info column to inspect the structure. Column names and IDs differ slightly from the solution but the process and functions used are correct and complete.,"Your code (though not evaluated) follows the required sequence: select wflow_id and result, unnest result and .metrics, filter for rmse, group by wflow_id, arrange by .estimate descending, and slice the top row. This matches the rubric’s expected workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified. Although you did not explicitly describe the comparison, the required code is present and correct.","You extracted the best workflow (using the appropriate ID for your naming), finalized it with trees and min_n, and then fit it on both training and test data. While your reported MSE ratio differs from the solution, the required functions and workflow are correctly implemented."
6,25,"Most exercises are completed with correct use of tidymodels, workflowsets, and rsample, and your code generally follows the intended workflows. The main issues are in Exercise 1 (not using the simple pipe pattern) and Exercise 3 (log base and centering/scaling scope). Tightening those details and matching the specified arguments (e.g., stratification in splits, natural log) will bring your work fully in line with the rubric.",1,2,1,3,3,3,3,3,3,3,"You used skimr::skim() on dat, but did not pipe with |> directly to skim and created an intermediate object; also as.tibble() is deprecated. EDA conclusion about no missing data is present, but process does not fully match the required single-step pipe workflow.","You set the seed and used rsample::initial_split(), training(), and testing(), but did not use strata = 'Sale_Price' and used different object names than specified. The 75% split is correct, but missing stratification costs 1 point.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped and tidied it. However, you used base = 10 instead of natural log, and centered/scaled all predictors (including dummies) rather than only numeric predictors, so the process and transformation details are not fully correct.","All three parsnip models are correctly specified with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty, mixture, min_n, trees) using tune(). This matches the expected workflow.","You correctly called parsnip::translate() on each of the three model objects, which will display the underlying engine-specific templates as required.","You set the seed and created train_resamples using rsample::bootstraps(dat_train), which matches the expected bootstrap resampling process on the training data.","You built all_workflows with workflowsets::workflow_set() using the recipe and all three models, and then unnested the info column with tidyr::unnest(info). The structure and contents of the workflow set are examined as required.","Your code updates all_workflows with workflow_map() (in the provided chunk) and then selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row. This matches the specified tuning and summarization workflow.","You correctly call workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), which will rank workflows by rmse and select the best configuration per workflow as required.","You extract the best random forest workflow, finalize it with trees and min_n, and fit it on both training and test data. Although you do not compute the exact MSE ratio, the required functions and workflow are correctly used."
7,25,"Most of the required tidymodels workflow is present and correctly structured, including model specifications, workflow sets, resampling, and tuning pipelines. The main issues are minor deviations from the specified process (e.g., missing strata in the split, log base choice, and some recipe details) and a less streamlined EDA step. Tightening adherence to the exact instructions and being careful with transformation details would bring this to full credit.",1,2,1,3,3,3,3,3,3,3,"You used skimr::skim() on dat, but did not pipe with |> directly to skim and created an intermediate object; also as.tibble() is deprecated. EDA conclusion about no missing data is present, but process does not fully match the expected single-step pipe workflow.","You correctly used set.seed(8740), rsample::initial_split(), training(), and testing() with a 75% split. However, you omitted the required strata = 'Sale_Price' argument and used different object names than specified in the instructions.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and the order of steps does not fully follow the expected design.","All three parsnip models are correctly specified: linear_reg with lm engine, glmnet with penalty and mixture set to tune(), and rand_forest with min_n and trees set to tune(), all in regression mode. This matches the required workflow.","You correctly called parsnip::translate() on each of the three model objects, which will display the underlying engine-specific templates as required.","You set the seed and created a bootstrap resampling object using rsample::bootstraps() on the training data, assigning it to train_resamples, which matches the expected process.",You built a workflow_set with the recipe and all three models and then unnested the info column to inspect the structure. Column names differ slightly but the workflow content and process are correct.,"Your code (though not evaluated) follows the expected pipeline: selecting wflow_id and result, unnesting result and .metrics, filtering for rmse, grouping by wflow_id, arranging by .estimate, and slicing the top row. This matches the rubric’s required workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), which is exactly what was required for this exercise.","You extracted the random forest workflow, finalized it with trees and min_n, and set up fits on training and test data. While you did not compute the explicit MSE ratio, the required functions and workflow are present and correctly structured."
8,25,"Most of the required tidymodels workflow is implemented correctly, including model specifications, workflow sets, resampling, and tuning-related code. The main issues are in Exercise 1 (not following the exact skim piping pattern), Exercise 2 (missing stratification), and Exercise 3 (log base and centering/scaling choices). Tightening adherence to the specified process and parameter details would bring this closer to full credit.",1,2,1,3,3,3,3,3,3,3,"You used skimr::skim() on dat, but did not use the pipe from dat directly and created an intermediate object; also as.tibble() is deprecated. EDA conclusion about no missing data is present, but process fidelity is off.","You correctly used set.seed(8740), initial_split, training(), and testing() with a 75% split, but you did not specify strata = 'Sale_Price' and used different object names than in the template.","You created a recipe with the right variables and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and did not show tidy output clearly.","All three parsnip models are specified correctly with appropriate engines, regression mode, and tunable parameters (penalty/mixture for glmnet, min_n/trees for ranger).",You correctly applied parsnip::translate() to each of the three model objects to inspect their engine-specific templates.,"You set the seed and created a bootstrap resampling object from the training data using rsample::bootstraps(), matching the expected workflow.",You built a workflow_set with the recipe and all three models and then unnested the info column to inspect structure; naming differs slightly but the process and functions are correct.,"Your code to select wflow_id and result, unnest result and .metrics, filter for rmse, group, arrange by .estimate, and slice the top row per workflow matches the required workflow, even though it is not executed.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is implied but not shown in detail, which is acceptable.","You extracted the random forest workflow, finalized it with trees and min_n, and defined training and testing fits on train/test data; although you did not compute the explicit MSE ratio, the required functions and workflow are present."
9,25,"Most of the required tidymodels workflow is implemented correctly, including model specifications, workflow sets, tuning, and ranking. The main issues are in Exercise 1 (not following the exact skim piping pattern) and Exercise 3 (log base and step ordering/selection). Tightening adherence to the specified arguments (e.g., strata in splits, natural log, numeric predictors only) will align your work more closely with the rubric in future labs.",1,2,1,3,3,3,3,3,3,3,"You used skimr::skim() on dat, but did not use the pipe from dat directly and created an intermediate object; also as.tibble() is deprecated. EDA goal is mostly met and you correctly concluded no missing data, but process fidelity is off.","You correctly used set.seed(8740), rsample::initial_split(), training(), and testing() with a ~75% split. However, you did not use strata = 'Sale_Price' and used different object names than specified, so process/output are slightly off the rubric.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and the step order differs from the expected sequence.","All three parsnip models are correctly specified with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty/mixture, min_n/trees). This matches the required workflow.","You correctly applied parsnip::translate() to each of the three model objects, which will display the underlying engine-specific templates as required.",You set the seed and created a bootstrap resampling object using rsample::bootstraps() on the training data (dat_train). This matches the expected process and output structure.,You built a workflow_set with the recipe and all three models and then unnested the info column to inspect the structure. Column names differ slightly from the template but the workflow content and process are correct.,"Your code (though not evaluated) correctly chains select, unnest, filter for rmse, group_by, arrange(desc(.estimate)), and slice(1) on all_workflows, matching the required tuning-summary workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified. Comparison to Q8 is mentioned in comments, which is sufficient for this exercise.","You extracted the best workflow (random forest), finalized it with trees and min_n, and set up fits on training and test data. While you did not compute the exact ratio, you reported MSE values; overall the required workflow steps are present."
10,25,"Most exercises are completed with the correct functions and workflows, and your code generally follows the tidymodels and workflowsets patterns expected in the rubric. The main deductions are for not using stratified splitting in Q2 and for some deviations in the recipe specification (log base and step order) in Q3, plus a slightly non-ideal EDA workflow in Q1. Overall, this is a solid submission; tightening alignment with the specified processes (especially for recipes and data splitting) will bring it fully in line with the rubric.",1,2,1,3,3,3,3,3,3,3,"You used skimr::skim() on dat, but did not pipe with |> directly to skim and created an intermediate object; also as.tibble() is deprecated. EDA conclusion about no missing data is present, but process does not fully match the required single-step pipe workflow.","You correctly used set.seed(8740), rsample::initial_split(), training(), and testing() with a 75% split. However, you did not use strata = 'Sale_Price' and your object names differ from the expected ames_train/ames_test, so the process is slightly off the rubric.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, and then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and the order of steps does not fully match the expected process.","All three parsnip models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters penalty/mixture and min_n/trees as required.","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and will display the appropriate engine-specific templates.","You set the seed and created a bootstrap resampling object using rsample::bootstraps() on the training data (dat_train), which aligns with the intended process and output, even though the training object name differs from the template.",You built a workflow_set with the recipe and all three models and then unnested the info column to inspect structure. The preproc/models lists and unnesting match the rubric’s expectations.,"Your code (though not evaluated) correctly chains select, unnest(result), select, unnest(.metrics), filter for rmse, group_by, arrange(desc(.estimate)), and slice(1), which matches the required workflow and should yield the best rmse per workflow.","You provided the correct call to workflowsets::rank_results() with all_workflows, rank_metric = 'rmse', and select_best = TRUE, satisfying the rubric for this exercise.","You extracted the best workflow (using the correct id for your naming), finalized it with trees and min_n, and then fit on both training and test data. While your reported MSE ratio differs from the solution, the required functions and process are correctly implemented."
