Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,20,"You completed most of the core coding tasks for Markov chains, MH sampling, and covariance comparison, and your numerical results are generally reasonable. The main losses are from missing the written derivation in Q3, mis-specifying or reusing initial states in the Markov chain exercises, and missing later exercises. For future labs, follow the exact requested workflows (e.g., use %^% where specified) and ensure each exercise is fully answered in the .qmd itself.",4.5,4,0,4.5,2,5,0,0,,,"You correctly defined P, iterated 6 steps, and summed non-churn states; the probability is close to 75%. However, the rubric asked specifically for using P %^% 6 and the two-vector %*% approach, so you lose a small process point for not following that workflow exactly.","You set up the stationary distribution correctly, solved A %*% pi = b with qr.solve, and verified pi %*% P and sum(pi); the steady-state subscriber probability is about 23%. However, your transition matrix P is mis-ordered (rows/columns swapped relative to the intended model), and you hard-coded A instead of computing t(diag(2) - P), so process fidelity is only partial.","No derivation is shown in the .qmd (only a reference to an attached file), so none of the four required acceptance probability cases are demonstrated.","You implemented a valid MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois in a data frame. This matches the required workflow; a minor issue is that you did not handle the x=0 boundary explicitly as in the template, but the overall process and outputs are correct.","You used P %^% n and %*% to get portfolio composition at 1, 2, and 20 years, which is good. However, for the 20-year questions you reused the mixed initial state instead of separate initial vectors for good and risky loans, so the reported 20-year paid-up percentages for good and risky loans are incorrect and the specific workflows for those two parts are missing.","You reproduced the intended tibble workflow with set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest, and your explanation correctly notes that cov and alt_cov match across sample sizes and converge to the true covariance.","There is no Exercise 7 content in the provided .qmd, so this question cannot be awarded any points.","There is no Exercise 8 content in the provided .qmd, so this question cannot be awarded any points.",,
2,19,"You completed most of the main coding tasks for Markov chains, MH sampling, and covariance, and your implementations for Q1, Q2, Q4, and Q6 are largely correct and aligned with the rubric. The main gaps are the missing written derivation for the MH acceptance probabilities (Q3), incorrect setup for the 20-year loan questions (Q5), and no work for later exercises (Q7–Q8). To improve, ensure all exercises are answered within the .qmd and pay close attention to the specified initial conditions and required mathematical explanations.",4,4,0,4,2,5,0,0,,,"You correctly defined P, used matrix multiplication to get 6 steps, and summed non-churn states; the probability is close to the expected 75%. However, the rubric asked specifically for using the %^% operator from expm, which you did not use, so partial deduction on process fidelity.","You set up the 2x2 transition matrix, constructed A and b, solved for pi, and checked pi %*% P and sum(pi); the steady-state subscriber probability is correct. The first matrix P is transposed relative to the solution but still represents the same chain, and you left the second code chunk essentially unused; minor process issues but overall correct.","No derivation is shown in the .qmd (only a reference to an attached file), so the required four-case algebraic work and final acceptance formulas are missing.","You implemented an MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois in a data frame. This matches the required workflow; small issues include not handling the x=0 boundary explicitly and not using the initial samples vector you defined, but the overall process and output structure are correct.","You used P %^% n and %*% to get portfolio states at 1, 2, and 20 years, which is good. However, for the 20-year questions you reused the mixed initial state instead of separate initial vectors for good and risky loans, so the reported percentages (8.08% and 53.74%) are not the correct conditional probabilities; this breaks the required process and output accuracy for parts 3 and 4.","Your code matches the provided solution: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes, and your written interpretation correctly notes that the two methods give identical results and converge as T grows.","There is no content corresponding to an Exercise 7 in the submitted .qmd, so this question cannot be awarded any points.","There is no content corresponding to an Exercise 8 in the submitted .qmd, so this question cannot be awarded any points.",,
3,20,"You completed most of the coding tasks and demonstrated good understanding of Markov chains, MH sampling, and the covariance identity. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup for the 20-year loan outcomes. Review the exact workflows requested in the rubric (e.g., use of %^% and initial state vectors) and ensure all written reasoning appears directly in the .qmd file.",4.5,4,0,4.5,2,5,0,0,,,"You correctly defined P, iterated 6 steps, and summed non-churn states; the probability is close to the expected ~75%. However, the rubric asked specifically for using P %^% 6 and the two-vector %*% approach, so there is a small process deviation.","You set up the 2x2 matrix, constructed A and b, solved for pi, and checked pi %*% P and sum(pi); the steady-state subscriber probability is correct (~23%). The P matrix entries are transposed relative to the intended layout, and you hard-coded A instead of using t(diag(2) - P), so the process is not fully faithful.","No derivation is shown in the .qmd (only a reference to an attached file), so none of the four required acceptance probability cases are demonstrated.","You implemented an MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois() in a table; this matches the expected workflow and output. Minor differences from the template (separate function, different seed) are acceptable but slightly diverge from the exact described structure.","You used P %^% n and %*% to get portfolio states at 1, 2, and 20 years, which is good. However, for the 20-year questions you reused the mixed initial state instead of separate initial vectors for good and risky loans, so the reported 20-year paid-up percentages are incorrect and do not match the intended calculations.","You reproduced the provided tibble/map/unnest code using rnorm, lead, and the alternative covariance formula, and your explanation correctly notes that cov and alt_cov agree across sample sizes and converge to the true covariance.",There is no Exercise 7 content in this lab; this question receives no points by default.,There is no Exercise 8 content in this lab; this question receives no points by default.,,
4,20.5,"You completed most of the core coding tasks for the Markov chain and MH exercises and your covariance implementation is fully correct. The main issues are a missing written derivation for the MH acceptance probabilities, mis-specified or misinterpreted Markov chain calculations in the loan portfolio question, and missing later exercises. Focus on following the exact requested workflow (e.g., using matrix powers and specific initial states) and ensuring all written derivations appear directly in the .qmd.",4.5,4,0,5,2,5,0,0,,,"You correctly defined P, iterated 6 steps, and summed non-churn states; the probability is close to 75%. However, the rubric asked specifically for using P %^% 6 and matrix multiplications, so you lose a small process point for not following that workflow.","You set up the 2x2 transition matrix and solved for the stationary distribution using a linear system, then checked pi %*% P and sum(pi). The matrix P is mis-ordered (rows/columns swapped relative to the description), but the workflow is essentially correct; be careful to construct P directly as t(diag(2) - P) using diag rather than hard-coding A.","No derivation is shown in the .qmd (only a reference to an attached file), so none of the four required acceptance-probability cases are demonstrated here.","You implemented a valid MH sampler with a for loop, runif proposals and acceptance using the provided alpha, and then compared sample quantiles to qpois in a table. This matches the expected process and output structure.","You used P %^% n and %*% to get portfolio states, but you reused the mixed initial state for 20 years and then misinterpreted entries when answering the 20-year questions. You did not separately compute outcomes for c(1,0,0,0) and c(0,1,0,0), and the reported percentages (8.08% and 53.74%) are not the correct paid-in-full probabilities for good and risky loans.","Your code matches the provided solution: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes, and your explanation correctly notes that the two methods give identical results and converge as T grows.","There is no Exercise 7 content in the submitted .qmd, so this question cannot be graded and receives zero by default.","There is no Exercise 8 content in the submitted .qmd, so this question cannot be graded and receives zero by default.",,
5,19,"You completed most of the coding tasks and demonstrated good understanding of Markov chains, MH sampling, and the covariance identity. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup for the 20-year loan outcomes. Focus on following the exact requested workflows (e.g., using %^%, correct initial states) and ensuring all mathematical reasoning appears directly in the .qmd.",4.5,3,0,4.5,2,5,0,0,,,"You correctly defined P, iterated 6 steps with %*%, and summed non-churn states; the probability (~0.75) is accurate. However, the rubric asked specifically for using %^% from expm, which you did not, so a small process-fidelity deduction applies.","You set up the stationary distribution system and solved it correctly, and your steady-state subscriber probability (~23%) is right. However, the transition matrix P is mis-ordered (rows/columns swapped), A is hard-coded instead of using t(diag(2) - P), and you did not show explicit checks that pi %*% P - pi is (approximately) zero and that sum(pi) equals 1, so process and clarity are only partially met.","No derivation is shown in the .qmd (it only references an attached file), so none of the four required acceptance-probability cases are demonstrated. Full credit requires the algebraic work to appear in this document.","You implemented a valid MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois in a table—this matches the intended workflow and output. Minor issues: you did not guard against x going negative in proposals, and you redefined a separate MH function instead of using the initialized samples vector, so a small process-fidelity penalty is applied.","You correctly used P %^% n and %*% to get portfolio states at 1, 2, and 20 years, which satisfies the matrix-power workflow. However, for the 20-year questions you reused the mixed initial state instead of separate initial vectors c(1,0,0,0) and c(0,1,0,0), so the reported 20-year paid-up percentages for good and risky loans are incorrect and the specific required calculations are missing.","Your code matches the provided solution: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across the requested sample sizes. The resulting tibble structure and your written interpretation correctly note that cov and alt_cov agree and converge as T grows.",There is no Exercise 7 in the provided lab; this slot is left at 0 by convention.,There is no Exercise 8 in the provided lab; this slot is left at 0 by convention.,,
6,20.5,"You completed most of the core coding tasks for Markov chains, MH sampling, and the covariance comparison, and your numerical results generally align with expectations. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup for the 20-year loan outcomes, plus no work for later exercises. Focus on following the exact requested workflow (e.g., initial states for each scenario, required operators) and ensuring all written derivations appear directly in the .qmd.",4.5,4.5,0,4.5,2,5,0,0,,,"You correctly defined P, iterated 6 steps, and summed non-churn states; the probability (~0.75) is correct. However, the rubric asked specifically to use P %^% 6 and matrix products twice, so there is a small process deviation.","You built a valid transition matrix, set up A and b, solved for pi, and checked pi %*% P and sum(pi); the steady-state subscriber probability (~23%) is correct. The matrix A was hard-coded rather than using t(diag(2) - P), which is a minor process issue.","No derivation is shown in the .qmd (only a reference to an attached file), so the four required acceptance-probability cases and formulas are missing.","You implemented an MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois; this matches the intended workflow and output. A small issue is that you did not handle the x=0 boundary explicitly as in the reference, but the algorithm is otherwise correct.","You used P %^% n and %*% to get 1- and 2-year portfolio compositions, which is good. However, for 20-year outcomes you reused the mixed initial state instead of separate good and risky initial vectors, so the reported 20-year paid-up percentages for good and risky loans are incorrect and the specific 20-year calculations requested in the rubric are not followed.","You reproduced the tibble/map/unnest workflow with rnorm, lead, and the alternative covariance formula exactly as in the solution, and your explanation correctly notes that cov and alt_cov match and converge with larger T.","There is no content corresponding to an Exercise 7 in the provided .qmd, so this question cannot be awarded points.","There is no content corresponding to an Exercise 8 in the provided .qmd, so this question cannot be awarded points.",,
7,20,"You completed most of the core coding tasks for Markov chains, MH sampling, and covariance, and your numerical results are generally reasonable. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup for the 20-year loan questions, plus no work for later exercises. Focus on following the exact process steps in the rubric (e.g., required matrix operations and initial states) and ensuring all exercises are answered within the .qmd file.",4.5,4,0,4.5,2,5,0,0,,,"You correctly defined P, iterated 6 steps, and summed non-churn states; the probability (~0.75) is accurate. However, the rubric asked specifically for using P %^% 6 and the two-vector %*% approach, so there is a small process deviation.","You set up the 2x2 matrix and solved for the stationary distribution using a linear system, and you checked pi %*% P and sum(pi). However, the transition matrix entries are mis-ordered (rows should be [0.8,0.2] and [0.06,0.94]), and you hard-coded A instead of computing t(diag(2)-P), so process fidelity is partial even though the final subscriber probability is close to 23%.","No derivation is shown in the .qmd (it only references an attached file), so the four required acceptance probability cases and algebra are missing.","You implemented an MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois; this matches the intended workflow and output structure. A minor issue is not handling the x=0 boundary explicitly as in the reference, but overall the process is correct.","You used P %^% n and %*% to get portfolio states at 1, 2, and 20 years, which is good. However, for the 20-year questions you reused the mixed initial state instead of separate initial vectors c(1,0,0,0) and c(0,1,0,0), so the reported 20-year paid-up percentages for good and risky loans are incorrect and the specific required calculations are missing.","You reproduced the full tibble workflow with T, purrr::map, lead-based differences, and unnest, and your explanation correctly notes that cov and alt_cov match and converge with larger T. This fully meets the code, process, and interpretation requirements.","There is no content corresponding to an Exercise 7 in the provided .qmd, so this question cannot be awarded points.","There is no content corresponding to an Exercise 8 in the provided .qmd, so this question cannot be awarded points.",,
8,19,"You completed most of the coding exercises with generally correct implementations, especially for the MH sampler and covariance comparison, and your Markov chain calculations in Q1 and Q2 are numerically reasonable. The main losses are from missing written work for the MH acceptance derivation, misinterpreting the initial states in the loan portfolio question, and the absence of any Q7–Q8 content. Focus on following the exact process requested in the rubric and ensuring all exercises (including written derivations) are present in the .qmd.",4,3.5,0,4.5,2,5,0,0,,,"You correctly defined P, used matrix multiplication to get 6-step transitions, and summed non-churn states; the probability is close to the expected 75%. However, the rubric asked specifically for using P%^% and the two-vector %*% workflow, so you lose a bit on process fidelity.","You set up the 2x2 matrix and solved for the stationary distribution using qr.solve, and your steady-state subscriber probability (~23%) is correct. However, the transition matrix entries are misordered relative to the intended model, A is hard-coded instead of built as t(diag(2)-P), and the verification of pi %*% P - pi == 0 and sum(pi)==1 is only partially shown. This costs some process and a small discretionary penalty.","No derivation is provided in the .qmd (only a reference to an attached file), so none of the required four cases or algebraic steps appear. Full credit cannot be given without the work in this document.","You implemented an MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois, which matches the required workflow and output structure. The only minor issue is not handling the x=0 boundary explicitly as in the reference solution, so a small discretionary deduction is applied.","You correctly used P%^% and %*% to get portfolio states at 1, 2, and 20 years, but you reused the mixed initial state for the 20-year calculations instead of separate initial vectors for good and risky loans. As a result, the reported 20-year paid-up percentages for good and risky loans are incorrect and do not match the intended questions.","Your code matches the provided solution: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes, and your explanation correctly notes that the two methods give identical results and converge as T grows.","There is no Exercise 7 content in the .qmd, so this question cannot be graded and receives zero by default.","There is no Exercise 8 content in the .qmd, so this question cannot be graded and receives zero by default.",,
9,19,"You completed most of the core coding tasks for Markov chains, MH sampling, and covariance comparison, and your Exercise 1, 4, and 6 implementations are largely correct. The main gaps are the missing written derivation for Exercise 3, mis-specified or misused matrices in Exercises 2 and 5, and no work for later exercises. Focus on following the exact process steps in the rubric (e.g., required operators and initial states) and ensuring all written derivations appear directly in the .qmd.",4.5,3,0,4.5,2,5,0,0,,,"You correctly defined P, iterated 6 steps, and summed non-churn states; the result is close to 75%. However, the rubric asked specifically for using the %^% operator from expm, which you did not use, so partial process credit is deducted.","You set up the stationary distribution system and solved it correctly, with a reasonable steady-state subscriber percentage. However, the transition matrix P is mis-specified (rows should be [0.8,0.2] and [0.06,0.94]), and A is hard-coded rather than computed as t(diag(2) - P), so process fidelity and accuracy are only partial.","No derivation is shown in the .qmd (only a reference to an attached file), so none of the required four cases or acceptance probability formulas are present.","You implemented a valid MH sampler with runif proposals and the given alpha function, generated 2000 samples, and compared sample quantiles to qpois in a table. Minor issues: you did not handle the x=0 boundary explicitly as in the reference solution, but overall the workflow and outputs match the rubric.","You used %^% and %*% correctly to get 1-, 2-, and 20-year portfolio states, but for the 20-year questions you reused the mixed initial state instead of separate initial vectors for good and risky loans. As a result, the reported percentages for good and risky loans are incorrect and the specific 20-year calculations requested are not followed.","Your code matches the provided template: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes, and your explanation correctly notes that the two methods give identical results and converge as T increases.","There is no content corresponding to an Exercise 7 in the submitted .qmd, so no points can be awarded.","There is no content corresponding to an Exercise 8 in the submitted .qmd, so no points can be awarded.",,
10,20,"You completed most of the coding exercises with generally correct implementations, especially for the MH sampler and covariance comparison, and your Markov chain work in Q1 and Q2 is close to the intended solutions. However, the theoretical derivation in Q3 is missing, and the 20-year loan portfolio calculations in Q5 misuse the initial state, leading to incorrect percentages. Also, there is no work for later exercises beyond Q6; be sure all required questions are answered directly in the .qmd in future labs.",4,4,0,5,2,5,0,0,,,"You correctly defined P, used matrix multiplication to get 6 steps, and summed non-churn states; the probability is close to the expected 75%. However, the rubric asked specifically for using the %^% operator from expm, which you did not use, so process fidelity is slightly off.","You set up the 2x2 transition matrix, constructed A and b, solved for pi with qr.solve, and checked pi %*% P and sum(pi); the steady-state subscriber probability is correct. The first matrix P is transposed relative to the solution but still represents a valid Markov chain, and you left the second code chunk empty, so there is a small process/clarity deduction.",No derivation is shown in the .qmd; referring to an attached file does not meet the requirement to show all work in this document. All four acceptance probability cases are missing.,"You implemented a valid MH sampler with a for loop, runif proposals and acceptance, using the provided alpha function, and drew 2000 samples from Poisson(20) starting at 1. You then compared sample quantiles to qpois in a data frame, matching the expected workflow and output structure.","You correctly used P %^% n and %*% to get portfolio composition at 1 and 2 years, but for the 20-year questions you reused the mixed initial state instead of separate good and risky initial vectors. As a result, the reported 20-year paid-up percentages for good and risky loans are incorrect and do not match the intended calculations.","Your code matches the provided template: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes. The resulting tibble has T, cov, and alt_cov, and your explanation correctly notes that the two methods give identical results and converge as T increases.","There is no content corresponding to an Exercise 7 in this file, so this question cannot be awarded any points.","There is no content corresponding to an Exercise 8 in this file, so this question cannot be awarded any points.",,
