Run,Total,Model_Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,15,15,"The student completed the initial data exploration and model specification steps (Ex1-6) reasonably well, though some parameters were missing. However, the student failed to complete the workflow creation, tuning, and finalization steps (Ex7-10), leaving placeholders in the code. This resulted in a significant loss of points for the latter half of the lab.",2,2,1,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version). Deducted 1 point for OutputAccuracy.","Code structure is correct (set.seed, initial_split, training/testing). However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation may scale dummy variables incorrectly depending on interpretation, but more critically, the rubric requires `recipes::prep()` and `broom::tidy()` to be called and shown. The student code stops at defining the recipe object without prepping or tidying it. Deducted 2 points for missing prep/tidy steps and process fidelity.",All three models are defined correctly with appropriate engines and tunable parameters (`tune()`). Code execution and process fidelity are met.,Code correctly calls `parsnip::translate()` on all three model objects. Process and output accuracy are met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Process and output accuracy are met.,"The code block contains placeholders (`____`) instead of actual variable names (`norm_recipe`, `lm_mod_base`, etc.). The unnest code block is empty. No code execution or process fidelity.",The code block contains placeholders (`__`) instead of actual column names or values. No code execution or process fidelity.,"Code calls `workflowsets::rank_results()` with correct parameters. However, since previous exercises (Q7, Q8) were not completed, the `all_workflows` object is likely invalid or empty, leading to incorrect output. Awarded 1 point for CodeExecution presence, deducted for OutputAccuracy.","Code blocks contain placeholders (`__`) for workflow ID and parameters. No actual model extraction, finalization, or fitting was performed. No code execution or process fidelity."
2,16,14,"The student completed the initial data exploration and model specification steps (Ex1-6) reasonably well, though with minor errors in stratification and recipe preparation. However, the student failed to complete the workflow creation, tuning, and finalization steps (Ex7-10), leaving placeholders in the code blocks. This resulted in a significant loss of points for the latter half of the lab.",2,2,2,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states 'Yes' there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version). Deducted 1 point for OutputAccuracy.","Code correctly sets seed and creates splits. However, `rsample::initial_split` is missing the `strata = 'Sale_Price'` parameter required by the rubric. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation may scale dummy variables incorrectly depending on interpretation, but more critically, the rubric expects specific order). Also, `recipes::prep()` and `broom::tidy()` are missing from the code block, which are required checks. Deducted 1 point for ProcessFidelity/CodeExecution.",All three models are correctly specified with appropriate engines and tunable parameters (`tune()`). Code execution and process fidelity are met.,Code correctly calls `parsnip::translate()` on all three model objects. Process and output accuracy are met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Process and output accuracy are met.,"The code block contains placeholders (`____`) instead of actual variable names (`norm_recipe`, `lm_mod_base`, etc.). The unnest code block is empty. No code execution or process fidelity.",The code block contains placeholders (`__`) instead of actual column names and filter values. No code execution or process fidelity.,"Code calls `workflowsets::rank_results` with correct parameters. However, since previous exercises failed, the input `all_workflows` is likely invalid/empty, so OutputAccuracy cannot be verified/met. Awarded 1 point for CodeExecution presence.","Code blocks contain placeholders (`__`) for workflow ID and parameters. No actual model extraction, finalization, or fitting code is present. No code execution or process fidelity."
3,15,15,"The student completed the initial data exploration and model specification steps (Ex1-6) reasonably well, though missing the stratification parameter in Ex2 and the prep/tidy steps in Ex3. However, the student failed to complete the workflowset creation, tuning, and finalization steps (Ex7-10), leaving placeholders in the code. This resulted in a significant loss of points for the latter half of the lab.",2,2,1,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states 'Yes' there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version) and likely the actual output of the code. Deducted 1 point for OutputAccuracy.","Code correctly sets seed and creates splits. However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric for ProcessFidelity. Deducted 1 point.","The recipe is defined but `recipes::prep()` and `broom::tidy()` are not called in the code chunk, violating CodeExecution and ProcessFidelity criteria. The order of steps (center/scale after dummy) is also incorrect relative to the solution template, but the missing prep/tidy is the primary deduction.","All three models are correctly specified with appropriate engines and tunable parameters (`tune()`). CodeExecution, ProcessFidelity, and OutputAccuracy criteria are met.",Code correctly calls `parsnip::translate()` on all three model objects. Criteria met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Criteria met.,"The code chunk contains placeholders (`____`) instead of actual variable names (`norm_recipe`, `lm_mod_base`, etc.). The unnest code chunk is empty. No code execution or process fidelity.",The code chunk contains placeholders (`__`) instead of column names and filter values. No actual data manipulation code is present.,"The code calls `workflowsets::rank_results()` with correct parameters. However, since previous exercises (Q7, Q8) were not completed, the `all_workflows` object is likely invalid or empty, leading to incorrect output. Awarded 1 point for CodeExecution presence, deducted ProcessFidelity and OutputAccuracy.","All code chunks for Q10 (a, b, c) contain placeholders (`__`) or are incomplete. No model extraction, finalization, or fitting code is present."
4,15,15,"The student completed the initial data loading, splitting, and model specification steps (Ex1-6) with minor issues in Ex1 (incorrect conclusion) and Ex2 (missing strata). However, the student failed to complete the workflow creation, tuning, and finalization steps (Ex7-10), leaving placeholders in the code blocks. Ensure all code blocks are filled with actual R code before submission.",2,2,1,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version). Deducted 1 point for OutputAccuracy.","Code structure is correct (set.seed, initial_split, training/testing). However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation can be problematic, and log transform should typically be earlier or handled carefully). More critically, the code block is missing the final `recipes::prep()` and `broom::tidy()` calls required to examine the recipe as specified in the rubric. Deducted 2 points for ProcessFidelity and OutputAccuracy.","All three models (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`) are correctly defined with appropriate engines and tunable parameters using `tune()`.",Code correctly calls `parsnip::translate()` on all three model objects.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`.,"The code block contains placeholders (`____`) instead of actual variable names (`norm_recipe`, `lm_mod_base`, etc.). The unnest code block is also empty. No code execution or process fidelity.",The code block contains placeholders (`__`) instead of actual column names and filter values. No code execution or process fidelity.,"Code calls `workflowsets::rank_results` with correct parameters. However, since previous exercises failed, the input `all_workflows` is likely invalid, but the code syntax itself is correct. Awarded 1 point for CodeExecution.","Code blocks contain placeholders (`__`) for workflow ID, parameters, and fit comparisons. No actual code was provided to extract, finalize, or fit the model."
5,15,15,"The student completed the initial data exploration and model specification steps (Ex1-6) reasonably well, though some parameters were missing or conclusions were incorrect. However, the student failed to complete the workflow creation, tuning, and finalization steps (Ex7-10), leaving placeholders in the code. This resulted in a significant loss of points for the latter half of the lab.",2,2,1,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states 'Yes' there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version). Deducted 1 point for OutputAccuracy.","Code correctly sets seed and creates splits. However, `rsample::initial_split` is missing the `strata = 'Sale_Price'` parameter required by the rubric. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation may scale dummy variables incorrectly depending on interpretation, but more critically, the rubric requires `recipes::prep()` and `broom::tidy()` to be called and shown. The student code stops at defining the recipe object without prepping or tidying it. Deducted 2 points for missing prep/tidy steps and process fidelity.",All three models are correctly specified with appropriate engines and tunable parameters (`tune()`). Code is complete and follows the rubric.,Code correctly calls `parsnip::translate()` on all three model objects. Process and output match expectations.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Process and output match expectations.,"The code block contains placeholders (`____`) instead of actual variable names (`norm_recipe`, `lm_mod_base`, etc.). The unnest code block is empty. No valid code was provided. Deducted all 3 points.",The code block contains placeholders (`__`) instead of actual column names or values. No valid code was provided. Deducted all 3 points.,"Code calls `workflowsets::rank_results` with correct parameters. However, since previous exercises (Q7, Q8) were not completed, the `all_workflows` object is likely invalid or empty, leading to incorrect output. Awarded 1 point for CodeExecution presence, deducted for Process/Output accuracy.","Code blocks contain placeholders (`__`) for workflow ID and parameters. No valid code was provided for extraction, finalization, or fitting. Deducted all 3 points."
6,16,14,"The student completed the initial data preparation and model specification steps (Ex1-6) reasonably well, though with minor errors in EDA interpretation and split stratification. However, the student failed to complete the workflowset creation, tuning, and finalization steps (Ex7-10), leaving placeholders in the code. This resulted in zero points for the latter half of the lab.",2,2,2,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states 'Yes' there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version). Deducted 1 point for OutputAccuracy.","Code correctly sets seed and creates splits. However, `rsample::initial_split` is missing the `strata = 'Sale_Price'` parameter required by the rubric. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation may scale dummy variables incorrectly depending on interpretation, but more critically, the rubric expects specific order). Also, `recipes::prep()` and `broom::tidy()` are missing from the code block, which are required checks. Deducted 1 point for ProcessFidelity/CodeExecution.",All three models are correctly specified with appropriate engines and tunable parameters (`tune()`). Code execution and process fidelity are met.,Code correctly calls `parsnip::translate()` on all three model objects. Process and output accuracy are met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Process and output accuracy are met.,"The code block contains placeholders (`____`) instead of actual variable names (`norm_recipe`, `lm_mod_base`, etc.). The unnest code block is empty. No code execution or process fidelity.",The code block contains placeholders (`__`) instead of actual column names and filter values. No code execution or process fidelity.,"Code calls `workflowsets::rank_results` with correct parameters. However, since previous exercises failed, the input `all_workflows` is likely invalid/empty, so OutputAccuracy cannot be verified. Awarded 1 point for CodeExecution presence.","Code blocks contain placeholders (`__`) for workflow ID and parameters. No actual model extraction, finalization, or fitting code is present. No code execution or process fidelity."
7,15,15,"The student completed the initial data exploration and model specification steps (Ex1-6) with minor issues in Ex1 (incorrect missing data conclusion) and Ex2 (missing strata parameter). However, the student failed to complete the workflow creation, tuning, and finalization steps (Ex7-10), leaving placeholders in the code blocks. Significant points were lost due to incomplete work in the latter half of the lab.",2,2,1,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states 'Yes' to missing data, which contradicts the rubric's expected output (no missing data in this dataset version). Deducted 1 point for OutputAccuracy.","Code structure is correct (set.seed, initial_split, training/testing). However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation can be problematic, and log transform should typically be earlier or handled carefully). More critically, the code block has `eval: false`, so the recipe is never prepped or examined with `broom::tidy()` as required. Deducted points for ProcessFidelity and OutputAccuracy.","All three models (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`) are correctly specified with appropriate engines and tunable parameters (`tune()`). Code is complete and correct.",Code correctly calls `parsnip::translate()` on all three model objects. Process and output expectations are met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Process and output expectations are met.,"The code block contains placeholders (`____`) and has `eval: false`. No actual workflow set was created or examined. Missing CodeExecution, ProcessFidelity, and OutputAccuracy.","The code block contains placeholders (`__`) and has `eval: false`. No unnesting, filtering, or grouping was performed. Missing CodeExecution, ProcessFidelity, and OutputAccuracy.","Code calls `workflowsets::rank_results()` with correct parameters. However, `eval: false` prevents execution, and no comparison to Exercise 8 results is provided in markdown. Awarded 1 point for CodeExecution presence, deducted for Process/Output.","Code blocks contain placeholders (`__`) and have `eval: false`. No workflow extraction, finalization, or fitting was performed. Missing CodeExecution, ProcessFidelity, and OutputAccuracy."
8,17,17,"The student completed the initial data exploration and model specification steps (Ex1-6) with minor issues in Ex1 (incorrect conclusion) and Ex2 (missing stratification). However, the student failed to complete the workflow creation, tuning, and finalization steps (Ex7-8, Ex10), leaving placeholders in the code. Ex9 was syntactically correct but relies on undefined objects from previous steps.",2,2,1,3,3,3,0,0,3,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states 'Yes' there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version) and likely the actual output of the code. Deducted 1 point for OutputAccuracy.","Code correctly sets seed and creates splits. However, it omits the `strata = 'Sale_Price'` parameter required by the rubric for ProcessFidelity. Deducted 1 point.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation may scale dummy variables incorrectly depending on interpretation, but more critically, the rubric requires `recipes::prep()` and `broom::tidy()` to be called and shown. The student code stops at defining the recipe object without prepping or tidying it. Deducted 2 points for missing prep/tidy steps and process fidelity.",All three models are correctly specified with appropriate engines and tunable parameters. `set_mode` is explicitly set for the random forest and implicitly correct for others. Full points.,Code correctly calls `parsnip::translate()` on all three model objects. Full points.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Full points.,"The code block contains placeholders (`____`) instead of actual variable names (`norm_recipe`, `lm_mod_base`, etc.). The unnest code block is empty. No code execution or process fidelity. Zero points.",The code block contains placeholders (`__`) instead of column names or values. No actual data manipulation code is present. Zero points.,"Code correctly calls `workflowsets::rank_results()` with the required parameters. Although the upstream workflows are not defined in Q7, the code syntax for this specific exercise is correct. Full points for CodeExecution/ProcessFidelity of this step.","Code blocks contain placeholders (`__`) for workflow ID and parameters. No actual extraction, finalization, or fitting code is present. Zero points."
9,15,15,"The student completed the initial data exploration and model specification steps (Ex1-6) reasonably well, though some parameters were missing or code was not executed. However, the student failed to complete the workflow creation, tuning, and finalization steps (Ex7-10), leaving placeholders in the code blocks. This resulted in a significant loss of points for the latter half of the lab.",2,2,1,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states 'Yes' there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version). Deducted 1 point for OutputAccuracy.","Code structure is correct (set.seed, initial_split, training/testing). However, the `initial_split` call is missing the `strata = 'Sale_Price'` parameter required by the rubric. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation can be problematic, and log transform should typically be earlier or handled carefully). More critically, the code block is marked `eval: false`, so no output is generated to verify the prep/tidy steps. Deducted points for CodeExecution and OutputAccuracy.","All three models (`lm_mod_base`, `lm_mod_glmnet`, `lm_mod_rforest`) are correctly specified with appropriate engines and tunable parameters. Code is complete and correct.",Code correctly calls `parsnip::translate()` on all three model objects. Process and output expectations are met.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`. Process and output expectations are met.,"The code block contains placeholders (`____`) and is marked `eval: false`. No actual workflow set is created or examined. Missing CodeExecution, ProcessFidelity, and OutputAccuracy.","The code block contains placeholders (`__`) and is marked `eval: false`. No data manipulation or filtering is performed. Missing CodeExecution, ProcessFidelity, and OutputAccuracy.","Code calls `workflowsets::rank_results` with correct parameters. However, the block is marked `eval: false`, so no output is generated to verify consistency with Ex8. Deducted points for OutputAccuracy.","All code blocks for Exercise 10 contain placeholders (`__`) and are marked `eval: false`. No workflow extraction, finalization, or fitting is performed. Missing CodeExecution, ProcessFidelity, and OutputAccuracy."
10,16,17,"The student completed the initial data preparation and model specification steps (Ex1-6) with minor issues in Ex1 (incorrect missing data conclusion) and Ex2 (missing strata). However, the student failed to complete Exercises 7-10, leaving placeholders in the code blocks for workflow creation, tuning, and finalization. This resulted in zero points for the latter half of the lab.",2,2,2,3,3,3,0,0,1,0,"Code executes `skimr::skim(dat)` correctly. However, the markdown conclusion states 'Yes' there is missing data, which contradicts the rubric's expected output (no missing data in this dataset version). Deducted 1 point for OutputAccuracy.","Code correctly sets seed and creates splits. However, `initial_split` is missing the `strata = 'Sale_Price'` parameter required by the rubric. Deducted 1 point for OutputAccuracy/ProcessFidelity.","Recipe steps are present but the order is incorrect (centering/scaling after dummy creation may scale dummy variables incorrectly depending on interpretation, but more critically, the rubric requires `prep()` and `tidy()` to be called and shown. The student code stops at defining the recipe object without prepping or examining it. Deducted 1 point for ProcessFidelity/OutputAccuracy.",All three models are correctly specified with appropriate engines and tunable parameters. `lm_mod_base` lacks explicit `set_mode` but defaults correctly; rubric focuses on presence of functions and tuning setup which is correct.,Code correctly calls `parsnip::translate()` on all three model objects.,Code correctly sets seed and creates bootstrap samples using `rsample::bootstraps(ames_train)`.,"The code block contains placeholders (`____`) instead of actual variable names (`norm_recipe`, `lm_mod_base`, etc.). The unnest code block is empty. No code execution or process fidelity.",The code block contains placeholders (`__`) instead of actual column names or values. No code execution or process fidelity.,"Code calls `workflowsets::rank_results` with correct parameters. However, since Q7 and Q8 were not completed, the `all_workflows` object is likely invalid or empty, so the output accuracy cannot be verified as correct in context. Awarded 1 point for CodeExecution presence.","Code blocks contain placeholders (`__`) for workflow ID and parameters. No actual extraction, finalization, or fitting code is present."
