Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,19,"You completed most of the computational tasks and generally used the correct Markov chain and MH workflows, and your covariance comparison is fully correct and well explained. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup for the 20‑year loan outcomes by starting from the wrong initial states. Review the solution template to align your process (e.g., use %^% for powers and pure initial states for scenario questions) and ensure all algebraic work appears directly in the .qmd.",4,4,0,4,2,5,0,0,,,"You correctly defined P and computed the 6‑step distribution and summed non‑churn states, and your numeric answer is close to 75%. However, the rubric expected use of the %^% operator rather than a manual loop, so process fidelity is slightly off.","You set up the 2×2 system, built A and b, solved for pi, and checked pi %*% P and sum(pi); the steady‑state subscriber probability is correct. The transition matrix P is mis‑ordered relative to the intended structure, and you hard‑coded A instead of using diag/t, so the process is not fully aligned with the rubric.",No derivation is shown in the .qmd; referencing an attached file does not satisfy the requirement. You need to include the algebra for all four MH acceptance cases directly in the document.,"You implemented an MH sampler with a for loop, runif proposals, and the provided alpha(), and compared sample quantiles to qpois. This meets the main goals, but you ignored the initial n/x/samples setup chunk and did not handle the x=0 boundary as in the reference, so process fidelity is slightly off.","You used %*% and P%^%n to get portfolio states at 1, 2, and 20 years, which is good. However, for the 20‑year paid‑in‑full questions you reused the mixed initial state instead of starting from pure good or pure risky states, so the reported percentages are incorrect and the specific 20‑year good/risky calculations are missing.","Your code matches the provided template using set.seed, rnorm, purrr::map, lead, and unnest, and produces cov and alt_cov for the requested T values. Your explanation correctly notes that the two covariance formulas give identical results and converge as T grows.",There is no content corresponding to an additional exercise beyond Q6 in this lab; nothing to grade here.,There is no content corresponding to an additional exercise beyond Q6 in this lab; nothing to grade here.,,
2,19,"You completed most of the coding tasks and generally followed the intended workflows, especially for the MH sampler and covariance comparison. The main gaps are the missing written derivation for the MH acceptance probabilities and misinterpreting the initial states for the 20-year loan questions. Review how to structure Markov-chain initial states and ensure all written derivations appear directly in the .qmd file.",4,4,0,4,2,5,0,0,,,"You correctly defined P, iterated 6 steps with %*%, and summed non-churn states; the reported probability is close to the expected ~75%. However, the rubric asked specifically for using P %^% 6, which you did not, so process fidelity is slightly off.","You set up the stationary distribution correctly with A, b, and qr.solve, and verified pi %*% P and sum(pi). The transition matrix P is mis-ordered (rows/columns swapped relative to the intended model), but you still implemented the linear-system approach properly; keep an eye on matching the problem’s state ordering.","No derivation is shown in the .qmd (only a reference to an attached file), so none of the four required acceptance-probability cases are demonstrated here.","You implemented an MH sampler with a for-loop, runif proposals, and the provided alpha(), and compared sample quantiles to qpois. The only issue is that you ignored the pre-initialized samples vector and redefined samples inside a function, which is minor but a bit sloppy.","You used P %^% n and %*% to get portfolio states at 1, 2, and 20 years, which is good. However, for the 20-year questions you used the overall portfolio state pi_20 instead of starting from pure good (c(1,0,0,0)) and pure risky (c(0,1,0,0)), so the reported 20-year percentages for good and risky loans are incorrect.","Your code matches the provided structure: set.seed, rnorm data generation, purrr::map over T, dplyr::lead for differences, and tidyr::unnest, producing cov and alt_cov columns. Your explanation correctly notes that the two covariance calculations agree and converge as T grows.",There is no Exercise 7 in this lab; this slot is unused.,There is no Exercise 8 in this lab; this slot is unused.,,
3,18.5,"You completed most of the main coding tasks for Markov chains, MH sampling, and the covariance comparison, and your implementations generally follow the intended workflows. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect handling of the 20-year loan questions, plus no work for later exercises beyond Q6. Focus on following the exact process steps in the rubric (e.g., required matrix operations and initial states) and ensuring all written derivations appear directly in the .qmd.",4,3.5,0,4,2,5,0,0,,,"You correctly defined P, iterated 6 steps with %*%, and summed non-churn states; the reported probability is close to the expected 75%. However, the rubric asked specifically for using P%^%6, so you lose a bit on process fidelity.","You set up the stationary distribution correctly, built A and b, used qr.solve, and verified pi%*%P and sum(pi); the steady-state subscriber probability is about 23%, as expected. However, your transition matrix P is mis-ordered (0.8,0.06;0.2,0.94) instead of matching the intended structure, and you hard-coded A instead of computing t(diag(2)-P), so process fidelity is only partial.","No derivation is shown in the .qmd (only a reference to an attached file), so the required four-case algebraic work and final acceptance formulas are missing.","You implemented an MH sampler with a for-loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois; this matches the intended workflow and output structure. Minor issues: you ignore the x==0 special handling from the solution and don’t use the pre-initialized samples vector, so process fidelity is slightly off.","You correctly used P%^%n and %*% to get portfolio states at 1, 2, and 20 years, but you reused the mixed initial state for 20-year calculations instead of separate good and risky starting states. As a result, the 20-year paid-up percentages for good and risky loans are incorrect and the specific 20-year questions are not answered as intended.","Your code matches the provided template: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes. The resulting tibble structure and your explanation correctly note that cov and alt_cov agree for all T.","There is no content corresponding to an Exercise 7 in this lab file, so nothing can be graded for this question.","There is no content corresponding to an Exercise 8 in this lab file, so nothing can be graded for this question.",,
4,19,"You completed most of the main coding tasks for Markov chains, MH sampling, and the covariance comparison, and your numerical results are generally reasonable. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup for the 20-year loan questions, plus no work for later exercises. Focus on following the exact state setups requested and ensuring all written derivations appear directly in the .qmd.",4,4,0,4,2,5,0,0,,,"You correctly defined P, iterated 6 steps with %*%, and summed non-churn states; the probability is close to the expected 75%. However, the rubric asked specifically for using P%^%6 and vector multiplications, so you lose a bit on process fidelity.","You set up the stationary distribution via A, b, and qr.solve, checked pi%*%P and sum(pi), and reported ~23%, which is correct. The transition matrix P is mis-ordered relative to the intended model (rows/columns swapped), so the process is slightly off even though the final pi is numerically right.","No derivation is shown in the .qmd (only 'Answer in attach file'), so none of the required four acceptance-probability cases are demonstrated.","You implemented an MH sampler with a for-loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois; this matches the required workflow. A minor issue is not handling the x=0 boundary explicitly, which can propose invalid negative states, so process fidelity is slightly reduced.","You used P%^%n and %*% with the initial portfolio to get 1-, 2-, and 20-year compositions, which is good. However, for the 20-year questions you reused the portfolio-wide pi_20 instead of starting from pure good or pure risky states, so the reported 8.08% and 53.74% are not the correct quantities the question asked for.","Your code matches the provided solution: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes, and your explanation correctly notes that the two methods give identical results and converge as T grows.","There is no content corresponding to an Exercise 7 in this file, so this question cannot be awarded any points.","There is no content corresponding to an Exercise 8 in this file, so this question cannot be awarded any points.",,
5,19,"You completed most of the computational parts for Markov chains, MH sampling, and the covariance comparison, and your code generally follows the intended workflows. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup for the 20-year loan outcomes by starting from the wrong initial states. Review how to structure Markov chain initial states for specific scenarios and ensure all written derivations are included directly in the .qmd.",4,4,0,4,2,5,0,0,,,"You correctly defined P, iterated 6 steps with %*%, and summed non-churn states; the process is valid and the reported probability (~74.85%) is close to the expected 75%. However, the rubric specifically asked for using P%^%6, so you lose a bit on process fidelity.","You set up the stationary distribution correctly, constructed A and b, used qr.solve, and checked pi %*% P and sum(pi); the steady-state subscriber probability (~23%) is correct. The transition matrix P is mis-ordered relative to the intended structure, and the second code chunk is left empty, so there are minor process issues.","No derivation is provided in the .qmd (only a reference to an attached file), so the required four-case algebraic work and final acceptance formulas are missing.","You implemented an MH sampler with a for-loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois; this matches the intended workflow. You did not handle the x=0 boundary explicitly as in the solution, which could cause invalid proposals, so there is a small process/robustness issue.","You used P%^%n and %*% to get portfolio states at 1, 2, and 20 years, which is good. However, for the 20-year paid-in-full questions you reused the mixed initial state instead of separate good and risky initial vectors, so the reported 20-year percentages for good and risky loans are incorrect and the specific required calculations are not followed.","Your code matches the provided template: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes. The resulting tibble structure and your written interpretation correctly state that cov and alt_cov agree for all T.","There is no content corresponding to an additional exercise beyond Q6 in this file, so this question cannot be awarded points.","There is no content corresponding to an additional exercise beyond Q6 in this file, so this question cannot be awarded points.",,
6,18.5,"You completed most of the core coding tasks for Markov chains, MH sampling, and the covariance comparison, and several answers are close to the expected numerical results. The main losses are from a missing written derivation for the MH acceptance probabilities, mis-specified or misused transition structures in Q2 and Q5, and missing later exercises. Focus on following the exact process steps in the rubric (e.g., how P and A are constructed, and which initial states to use) and ensuring all exercises are answered directly in the .qmd.",4,3.5,0,4,2,5,0,0,,,"You correctly defined P, iterated 6 steps with %*%, and summed non-churn states; the reported probability is close to the expected 75%. However, the rubric asked specifically for using P%^%6, so you lose a bit on process fidelity.","You set up the stationary system correctly, solved with qr.solve, and checked pi %*% P and sum(pi). However, the transition matrix P is mis-specified (rows should be [0.8,0.2] and [0.06,0.94]), and you hard-coded A instead of computing t(diag(2)-P), so process and accuracy are only partially correct.","No derivation is shown in the .qmd (only a reference to an attached file), so none of the required four acceptance-probability cases are demonstrated.","You implemented an MH sampler with a for-loop, runif proposals, and the provided alpha(), and compared sample quantiles to qpois. The main issue is that you ignored the initial n/x/samples variables and changed the seed mid-chunk, but the overall workflow and outputs match the rubric.","You used P%^%n and %*% with the initial portfolio to get 1-, 2-, and 20-year compositions, which is good. However, for the 20-year questions you reused the portfolio vector instead of starting from pure good or pure risky states, so the reported 20-year paid-in-full percentages are incorrect and the required separate calculations are missing.","Your code matches the provided solution: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes, and your explanation correctly notes that the two methods give identical results.","There is no Exercise 7 content in the .qmd, so this question cannot be awarded any points.","There is no Exercise 8 content in the .qmd, so this question cannot be awarded any points.",,
7,18.5,"You completed most of the coding tasks and generally followed the intended workflows for Markov chains, MH sampling, and covariance comparison. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup/interpretation in the 2-state Markov chain and loan portfolio 20-year questions. Review the exact transition structures and initial states, and ensure all algebraic derivations are written directly in the .qmd in future labs.",4,3.5,0,4,2,5,0,0,,,"You correctly defined P and computed the 6-step distribution and summed non-churn states, with a reasonable probability. However, the rubric expected use of the %^% operator rather than a manual loop, so process fidelity is slightly off.","You set up the 2x2 transition matrix and solved for the stationary distribution using a linear system, and you checked pi %*% P and sum(pi). However, the transition matrix entries are mis-ordered (rows should be subscriber→[0.8,0.2], non-subscriber→[0.06,0.94]), and A was hard-coded instead of using t(diag(2)-P), so process fidelity and accuracy are only partial.",No derivation is shown in the .qmd; referring to an attached file does not satisfy the requirement to show all work in this document.,"You implemented an MH sampler with runif proposals and the provided alpha function, generated 2000 samples, and compared sample quantiles to qpois in a table. This matches the intended workflow, though you did not handle the x=0 boundary explicitly as in the template, so a small process deduction applies.","You used %*% and %^% to get 1-, 2-, and 20-year portfolio states, which is good. However, for the 20-year questions you reused the mixed initial state instead of separate good and risky initial vectors, so the reported percentages for good and risky loans are incorrect and the specific 20-year computations requested in the rubric are not followed.","Your code matches the provided solution: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes, and your explanation correctly notes that the two methods give identical results and converge as T increases.",There is no Exercise 7 in this lab; no work to grade.,There is no Exercise 8 in this lab; no work to grade.,,
8,19,"You completed most of the core coding tasks for Markov chains, MH sampling, and the covariance comparison, and your numerical results are generally reasonable. The main gaps are the missing written derivation for the MH acceptance probabilities and incorrect setup for the 20-year loan outcomes, plus no work for later exercises. Focus on following the exact requested workflows (e.g., using %^% and separate initial states) and ensuring all written derivations appear directly in the .qmd.",4,4,0,4,2,5,0,0,,,"You correctly defined P, iterated 6 steps, and summed non-churn states, giving a reasonable probability. However, the rubric asked specifically for using the %^% operator to compute P^6 and then two %*% multiplications; your loop approach loses some process-fidelity credit.","You set up the 2x2 transition matrix, constructed A and b, solved for pi, and checked pi %*% P and sum(pi), with a steady-state subscriber probability around 23%, which is correct. The matrix A was hard-coded rather than built via t(diag(2) - P), so the workflow is slightly off the expected process.","No derivation is shown in the .qmd; the answer refers to an attached file, which cannot be graded here. You need to show the algebra for all four MH acceptance cases directly in this document.","You implemented an MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois, which matches the intended workflow. Minor issues: you did not handle the x=0 boundary explicitly as in the template and changed the seed mid-chunk, so process fidelity is slightly reduced.","You used %*% and %^% to get portfolio states at 1, 2, and 20 years, which is good. However, for the 20-year questions you reused the mixed initial state instead of separate initial vectors for good and risky loans, so the reported 20-year paid-up percentages are incorrect and do not match the expected 76.5% (good) and 19.6% (risky).","You reproduced the tibble/map/lead/unnest workflow exactly, computing both covariance formulas across the required sample sizes, and your explanation correctly notes that the two methods give identical results and converge as T grows.","There is no content corresponding to an Exercise 7 in this file, so no points can be awarded.","There is no content corresponding to an Exercise 8 in this file, so no points can be awarded.",,
9,18.5,"You completed most of the main coding tasks for Markov chains, MH sampling, and the covariance comparison, and several chunks closely follow the intended solutions. The main issues are a missing written derivation for the MH acceptance probabilities, a mis-specified 2-state transition matrix, and incorrect setup for the 20-year loan questions. Review how to construct transition matrices from verbal descriptions and how to set initial state vectors for specific scenarios, and be sure all written derivations appear directly in the .qmd.",4,3.5,0,4,2,5,0,0,,,"You correctly defined P, iterated 6 steps with %*%, and summed non-churn states; the reported probability is close to 75%. However, the rubric asked specifically for using P%^%6 and the indicator-vector multiplication, so you lose a bit on process fidelity.","You set up the stationary distribution system correctly, built A and b, used qr.solve, and checked pi %*% P and sum(pi). However, the transition matrix P is mis-specified (rows should be [0.8,0.2] and [0.06,0.94]), and you hard-coded A instead of computing t(diag(2)-P), so process and accuracy are only partially correct.","No derivation is shown in the .qmd (only a reference to an attached file), so none of the required four acceptance-probability cases are demonstrated.","You implemented an MH sampler with a for-loop, runif proposals, and the provided alpha(), and compared sample quantiles to qpois. This matches the intended workflow, though you ignored the pre-initialized samples vector and changed the seed mid-chunk; minor sloppiness but overall correct.","You used P%^%n and %*% to get 1-, 2-, and 20-year portfolio states, which is good. However, for the 20-year questions you used the portfolio distribution pi_20 instead of starting from pure good (c(1,0,0,0)) and pure risky (c(0,1,0,0)) states, so the reported percentages for good and risky loans are incorrect.","Your code matches the provided solution exactly: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas, and your explanation correctly notes that the two methods give identical results across sample sizes.","There is no content corresponding to an Exercise 7 in this lab file, so this question cannot be awarded any points.","There is no content corresponding to an Exercise 8 in this lab file, so this question cannot be awarded any points.",,
10,18.5,"You completed most of the core coding tasks for Markov chains, MH sampling, and covariance comparison, and your numerical results are generally reasonable. The main losses are from the missing written derivation for the MH acceptance probabilities, incorrect setup for the 20-year loan outcomes by starting state, and missing later exercises. Focus on following the exact requested workflows (e.g., using %^%) and ensuring all exercises, including written derivations, appear directly in the .qmd.",4,3.5,0,4,2,5,0,0,,,"You correctly defined P, iterated 6 steps, and summed non-churn states, giving a reasonable probability. However, the rubric expected use of the %^% operator and vector multiplications; your loop deviates from the specified workflow, so partial process credit is deducted.","You set up the correct 2x2 transition matrix, constructed A and b, solved for pi, and checked pi %*% P and sum(pi), with a steady-state subscriber probability near 23%. The process is essentially correct, but A was hard-coded rather than built via t(diag(2) - P), and there is an extra empty code chunk; this sloppiness warrants a small deduction.","No derivation is shown in the .qmd (only a reference to an attached file), so none of the required four acceptance-probability cases are demonstrated. Full credit cannot be given without visible work in this document.","You implemented an MH sampler with a for loop, runif proposals, and the provided alpha(), then compared sample quantiles to qpois, which matches the intended workflow. Minor issues include not handling the x=0 boundary explicitly and not using the pre-initialized samples vector, so a small process/clarity deduction is applied.","You correctly used P %^% n and %*% to get portfolio states at 1, 2, and 20 years, but you reused the mixed initial state for 20-year results instead of separate good and risky starting states. As a result, the reported 20-year paid-up percentages for good and risky loans are incorrect, so only partial credit is awarded.","Your code matches the provided template: you use set.seed, rnorm, purrr::map, dplyr::lead, and tidyr::unnest to compute both covariance formulas across sample sizes, and your explanation correctly notes that the two methods give identical results and converge as T increases.","There is no Exercise 7 content in the submitted .qmd, so no points can be awarded.","There is no Exercise 8 content in the submitted .qmd, so no points can be awarded.",,
