Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,18,"Most exercises are attempted with generally correct use of tidymodels, recipes, parsnip, workflowsets, and rsample. The main issues are deviations from the specified objects/arguments (e.g., using `ames` vs `dat`, omitting stratification, not following exact workflow_set and best-model IDs/parameters) and occasionally not matching the exact process requested (e.g., unnesting info, updating `all_workflows`). Focusing on adhering more closely to the provided skeleton and rubric specifications will help you earn full credit in future labs.",1,2,2,2,3,2,2,2,2,2,"You used skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator as specified; the missing-data conclusion is present but process and object choice do not match the rubric.","You correctly used set.seed() and initial_split()/training()/testing() with a 0.75 split, but omitted the required `strata = 'Sale_Price'` argument.","You created and prepped a recipe with log(Sale_Price), step_other, dummies, centering, and scaling, and examined it with broom::tidy(); however, you did not specify the log base explicitly and centered/scaled all predictors (including dummies) rather than only numeric predictors as in the expected process.","You defined three parsnip models and used tune() for glmnet and random forest, but did not set the mode for the first two models and used `tune()` without the `parsnip::` namespace, which may cause ambiguity; otherwise the structures are close to the expected ones.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow and outputs.","You set the seed and created a bootstrap object from ames_train, but used the un-namespaced bootstraps() and changed the default number of resamples (times = 25) instead of using rsample::bootstraps() with defaults.","You built a workflow_set with the recipe and three models correctly, but did not unnest the `info` column as requested (you only selected it), so the structure examination step is incomplete.","You used workflow_map() and then unnested result and .metrics, filtered for rmse, grouped, arranged, and sliced, but you created a new `all_workflows_res` object instead of updating `all_workflows` and your code diverges from the provided skeleton (extra CV setup and different grid/metrics), though the core process is present.","You used rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but operated on `all_workflows_res` rather than `all_workflows` as specified; still, the intended comparison workflow is largely followed.","You extracted a ranger workflow, finalized it with chosen parameters, and fit/train-test models and computed an MSE ratio, but you did not extract the specified 'base_forest' workflow or use the given best parameters (trees = 1, min_n = 11), and your process is more complex than required."
2,20,"You completed all exercises and demonstrated a solid grasp of tidymodels workflows, recipes, and tuning. Most required functions and steps are present, but several details diverge from the rubric (e.g., correct data object, stratification, specific parameter settings, and operating on the prescribed objects). For future labs, pay close attention to the exact arguments, object names, and workflow steps requested, as grading is tied closely to those specifications.",1,2,2,2,3,2,2,2,2,2,"You used skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator as specified; the missing-data conclusion is stated. Use `dat |> skimr::skim()` next time.","You correctly used set.seed(), initial_split(), training(), and testing() with a 75% split, but omitted `strata = 'Sale_Price'`. Add the strata argument to match the rubric.","You created and prepped a recipe with log, other, dummy, center, and scale steps, and tidied it. However, you did not specify `base = exp(1)` in step_log and centered/scaled all predictors (including dummies) rather than just numeric predictors.","You defined three parsnip models and used tune() for penalty/mixture and min_n/trees, but did not set mode = 'regression' for the first two models and used unqualified tune() instead of parsnip::tune(). Ensure all three models have explicit regression mode and fully qualified tuning calls.","You correctly called parsnip::translate() on each of the three model objects, which would display the underlying engine-specific templates.","You set the seed and created a bootstrap object from ames_train, but did not namespace bootstraps() with rsample:: and changed the default resample count by specifying times = 25. Use `rsample::bootstraps(ames_train)` with defaults.","You built a workflow_set with the recipe and three models and inspected wflow_id and info, but did not unnest the info column as requested. Use `tidyr::unnest(info)` to fully examine the workflow structure.","You correctly mapped tuning over the workflow set, unnested result and .metrics, filtered for rmse, grouped, arranged, and sliced. However, you rebuilt the workflows and used a different resampling setup and object name (`all_workflows_res`) instead of operating directly on the tuned `all_workflows` as specified.","You used rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but applied it to `all_workflows_res` rather than `all_workflows` as in the rubric. Keep the object naming consistent with earlier steps.","You extracted a ranger workflow, finalized it with chosen parameters, fit on train and test data, and computed an MSE ratio. However, the workflow id ('base_ranger') and parameter values differ from the specified best model (base_forest with trees = 1, min_n = 11), so the process does not match the expected solution."
3,18,"You completed all exercises and demonstrated a solid grasp of recipes, parsnip models, workflowsets, and tuning. Most tasks follow the intended workflow, but several details diverge from the rubric (e.g., missing stratification, different workflow ids/parameters, not unnested info, and some namespace/base specifications). For future labs, focus on matching the exact objects, arguments, and steps requested in the instructions while keeping your code minimal and aligned with the provided templates.",1,2,2,2,3,2,2,2,2,2,"You used skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator as specified; also the rubric expects piping `dat |> skimr::skim()` and explicit mention of no missing data.","You correctly used set.seed(), initial_split(), training(), and testing(), but omitted `strata = 'Sale_Price'`, so the split does not fully match the required stratified 75% training process.","You created the correct recipe with log(Sale_Price), step_other, dummies, centering, and scaling, and prepped it, but did not specify the log base explicitly (base = exp(1)) and centered/scaled all predictors rather than just numeric predictors as in the rubric.","You defined three parsnip models with appropriate engines and tuning parameters, but did not explicitly set the mode for the glmnet model and used `tune()` without the parsnip:: prefix; otherwise the structure is close to the expected process.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow and outputs.","You set the seed and used bootstraps() on ames_train, but did not namespace rsample::bootstraps and changed the default resample count by specifying times = 25 instead of using default parameters.","You rebuilt an appropriate unprepped recipe, defined three models, and created a workflow_set, but the model names differ from the template (lm/glmnet/ranger vs base/glmnet/forest) and you did not unnest the info column as requested, only selected it.","You correctly used workflow_map(), unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row; however, you rebuilt workflows and used a different object (`all_workflows_res`) and CV setup than the provided all_workflows/bootstraps process.","You used workflowsets::rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but applied it to `all_workflows_res` instead of the original all_workflows object and added extra, unnecessary complexity.","You extracted a ranger workflow, finalized it with chosen parameters, and fit/train-test models and computed an MSE ratio, but the workflow id ('base_ranger') and parameter values differ from the specified 'base_forest' with trees = 1, min_n = 11, so the process and expected ratio do not fully match the rubric."
4,19,"You completed all exercises and demonstrated a solid grasp of recipes, parsnip models, workflowsets, and tuning. Most required functions and workflows are present, but several steps deviate from the specified process (e.g., missing stratification, not unnesting info, rebuilding objects, and differing best-model choices). For future labs, focus on following the exact instructions and object names in the rubric, and keep your code minimal and directly tied to the requested workflow.",1,2,3,2,3,2,2,2,2,2,"You used skim() correctly, but it is applied to `ames` instead of the defined `dat` object and does not use the pipe as specified; the written conclusion about no missing data is present.","You correctly used set.seed(), initial_split(), training(), and testing() with a 75% split, but you omitted the required `strata = 'Sale_Price'` argument.","Your recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, centers and scales predictors, and you prep and examine it with broom::tidy(); this matches the expected process.","You defined three parsnip models with appropriate engines and tuning parameters, but you did not explicitly set the mode for the glmnet model and used bare `tune()` instead of `parsnip::tune()`.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required.","You set the seed and created a bootstrap object from ames_train, but you did not namespace bootstraps() with rsample:: and changed the default parameters (times = 25) instead of using defaults.","You created a workflow_set with the recipe and three models correctly, but you only selected the info column instead of unnesting it to show the full workflow structure as requested.","You correctly mapped tuning over the workflow set and then unnested .metrics, filtered for rmse, grouped by wflow_id, and arranged/sliced; however, you rebuilt the workflows and used a different resampling/tuning setup than specified, and your final pipeline operates on `all_workflows_res` rather than the updated `all_workflows` object.","You used rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but you applied it to `all_workflows_res` instead of the rubric’s `all_workflows` object and added extra, unnecessary complexity.","You extracted and finalized a ranger workflow and fit it on train and test data, computing and reporting an MSE ratio; however, the workflow id differs from the expected 'base_forest', the best parameters do not match the rubric, and the reported ratio is not the target value."
5,21,"Most exercises are attempted with generally correct use of tidymodels, recipes, parsnip, workflowsets, and rsample. The main issues are small deviations from the specified objects (e.g., using `ames` vs `dat`), missing or altered arguments (like `strata` in the split and default bootstrap settings), and not always following the exact workflow the rubric describes. Tightening adherence to the given process (object names, arguments, and sequence) will help you earn full credit in future labs.",1,2,3,2,3,2,2,2,2,2,"You used skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator as specified; the missing-data conclusion is present but process and object name don’t match the rubric.","You correctly used set.seed() and initial_split()/training()/testing() with a 0.75 split, but you omitted `strata = 'Sale_Price'`, so the split does not fully follow the specified process.","Recipe uses the correct formula, applies log to Sale_Price, pools Neighborhood, creates dummies, and then centers/scales predictors, and you prep and inspect with broom::tidy(); this matches the required transformations even though the order differs slightly from the example.","You correctly specified three parsnip models and tuned the right parameters, but you did not set the mode for the glmnet model, and you used bare `tune()` instead of `parsnip::tune()`, which is slightly off the expected fully-qualified usage.","You applied parsnip::translate() to each of the three model objects as required, so the workflow and function usage are correct.","You set the seed and created a bootstrap object from `ames_train`, but you did not namespace bootstraps() with rsample:: and changed the default parameters (times = 25) instead of using the default settings.","You created a workflow_set with the recipe and three models correctly, but you did not unnest the `info` column as requested; you only selected it, so the structure examination step is incomplete.","You correctly unnested `result` and `.metrics`, filtered for rmse, grouped, arranged, and sliced, but you rebuilt the workflows and used `all_workflows_res` instead of the updated `all_workflows` object from workflow_map, so the process deviates from the specified pipeline.","You used rank_results() with `rank_metric = 'rmse'` and effectively compared results, but you applied it to `all_workflows_res` rather than directly to `all_workflows` as described in the rubric.","You extracted a ranger workflow, finalized it with chosen parameters, and fit/train-test models and computed an MSE ratio, but the workflow ID differs from the expected 'base_forest' and the parameters/ratio do not match the specified best model configuration."
6,18,"You completed all exercises and demonstrated a generally correct use of tidymodels, workflowsets, and resampling. Most tasks follow the intended workflow, but several details diverge from the rubric (e.g., specific objects, stratification, parameter choices, and some required unnesting/updates). Review the solution template to align more closely with the specified processes and arguments, especially for splitting, recipe steps, workflow_set inspection, and final model selection.",1,2,2,2,3,2,2,2,2,2,"You used skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator as specified; the missing-data conclusion is present but process and object name don’t match the rubric.","You correctly used set.seed() and initial_split/training/testing with a 75% split, but omitted `strata = 'Sale_Price'`, so the split process is not fully as specified.","You created and prepped a recipe with log, other, dummy, center, and scale steps, but did not specify the log base explicitly and centered/scaled all predictors (including dummies) rather than only numeric predictors as in the rubric.","You defined three parsnip models with appropriate engines and tuning parameters, but did not explicitly set the mode for the lm and glmnet models, and used `tune()` without the parsnip:: namespace as expected in the rubric.","You correctly called parsnip::translate() on each of the three model objects, which matches the required workflow and should yield the appropriate templates.","You set the seed and created bootstrap resamples on ames_train, but used the un-namespaced bootstraps() and changed the default number of resamples (times = 25) instead of using the default settings.","You built a workflow_set with the recipe and three models correctly, but did not unnest the `info` column as requested; instead you only selected it, so the structure examination step is incomplete.","You used workflow_map and then unnested `.metrics`, filtered for rmse, grouped, arranged, and sliced, but you created a new `all_workflows_res` object instead of updating `all_workflows`, and your code diverges from the specified sequence and parameters (different resamples/grid).","You called rank_results() with the correct arguments and compared results, but operated on `all_workflows_res` rather than `all_workflows` as in the rubric, and added extra complexity beyond the expected simple comparison.","You extracted a ranger workflow, finalized it with chosen parameters, and fit/train-test to compute an MSE ratio, but the workflow ID and parameters do not match the specified 'base_forest' with trees = 1 and min_n = 11, and your reported ratio differs from the expected value."
7,18,"You completed all exercises and demonstrated a solid grasp of tidymodels workflows, recipes, models, and resampling. Most tasks follow the intended structure, but several details diverge from the rubric (e.g., specific arguments, objects, and unnesting steps). Review the instructions for using the exact data objects, stratification, and workflow/result objects, and ensure you follow the specified process closely in future labs.",1,2,2,2,3,2,2,2,2,2,"You used skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator as specified; the missing-data conclusion is present but process and object choice do not match the rubric.","You correctly used set.seed(), initial_split(), training(), and testing() with a 0.75 split, but omitted the required `strata = 'Sale_Price'` argument.","You created and prepped a recipe with log(Sale_Price), step_other, dummies, centering, and scaling, and examined it with broom::tidy(); however, you did not specify `base = exp(1)` in step_log and centered/scaled all predictors (including dummies) rather than just numeric predictors.","You defined three parsnip models with appropriate engines and tuning parameters, but did not explicitly set the mode for the glmnet model and used `tune()` without the parsnip:: namespace as in the rubric.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected workflow and outputs.","You set the seed and created a bootstrap object from ames_train, but did not use the fully qualified rsample::bootstraps() and changed the default resample count by specifying `times = 25`.","You built a workflow_set with the recipe and three models correctly, but did not unnest the `info` column as requested and only selected it, so the structure examination step is incomplete.","You used workflow_map() and then unnested `.metrics`, filtered for rmse, grouped, arranged, and sliced as required, but you rebuilt the workflows and used a separate `all_workflows_res` object and vfold_cv instead of operating directly on the tuned `all_workflows` from the provided code.","You called rank_results() with the correct arguments and compared results, but did so on `all_workflows_res` rather than the `all_workflows` object specified in the rubric.","You extracted a ranger workflow, finalized it with chosen parameters, fit on train and test data, and computed a test/train MSE ratio; however, the workflow ID and best parameters differ from the specified 'base_forest' with trees = 1 and min_n = 11, so the final configuration and reported ratio do not match the expected solution."
8,20,"You completed all exercises and demonstrated a solid grasp of tidymodels workflows, recipes, models, and tuning. Most deductions are for not following the exact objects, arguments, or processes specified in the rubric (e.g., using `dat`, stratification, specific workflow IDs/parameters, and unnesting behavior). For future labs, focus on matching the required function calls, arguments, and object names exactly, even if your alternative approach is reasonable.",1,2,2,2,3,2,2,2,2,2,"You used skim() correctly, but on `ames` instead of the defined `dat` object and without the pipe; process and object naming don’t match the instructions.","You correctly used set.seed(), initial_split(), training(), and testing() with a 0.75 split, but you omitted `strata = 'Sale_Price'`, so the split is not stratified as required.","You created the correct recipe with log(Sale_Price), step_other, dummies, centering, and scaling, and prepped it; however, you did not specify `base = exp(1)` and you centered/scaled all predictors (including dummies) rather than just numeric predictors.","You defined three parsnip models and used tune() for penalty/mixture and min_n/trees, but you did not set the mode for the first two models and used bare `tune()` instead of `parsnip::tune()`.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow.","You set the seed and created a bootstrap object from ames_train, but you did not namespace bootstraps() with rsample:: and changed the default resample count by specifying times = 25.","You built a workflow_set with the recipe and three models correctly, but you only selected the info column instead of unnesting it to show the full workflow structure.","You correctly mapped tuning over the workflow set and then unnested result and .metrics, filtered for rmse, grouped, arranged, and sliced; however, you rebuilt a separate workflow set (`all_workflows_res`) instead of using the tuned `all_workflows` object as specified.","You used rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but you applied it to `all_workflows_res` rather than the `all_workflows` object described in the instructions.","You extracted a ranger workflow, finalized it with chosen parameters, and fit/train-test models and computed an MSE ratio; however, the workflow ID and parameter values do not match the specified 'base_forest' with trees = 1 and min_n = 11, and your process is more complex than required."
9,18,"You completed all exercises and demonstrated a solid grasp of tidymodels workflows, recipes, models, and workflowsets. Most required functions and steps are present, but several details diverge from the rubric (e.g., specific arguments, object names, and exact processes), which cost points. For future labs, focus on matching the specified objects, arguments (like strata, base, and default parameters), and exact workflows more closely to the instructions.",1,2,2,2,3,2,2,2,2,2,"You used skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator as specified; the missing-data conclusion is present but process and object name don’t match the rubric.","You correctly used set.seed(), initial_split(), training(), and testing() with a 0.75 prop, but omitted `strata = 'Sale_Price'`; this hurts process fidelity and expected split specification.","You created the correct recipe with the right formula and included log, other, dummy, center, and scale steps, then prepped and tidied it; however, you did not specify `base = exp(1)` in step_log and centered/scaled all predictors (including dummies) rather than just numeric predictors.","You defined three parsnip models with appropriate engines and tuning parameters, but did not explicitly set mode = 'regression' for the lm and glmnet models, and used `tune()` without the parsnip:: prefix, which slightly departs from the expected process.","You correctly called parsnip::translate() on each of the three model objects, matching the expected workflow and outputs.","You set the seed and created a bootstrap object from ames_train, but used `bootstraps(ames_train, times = 25)` instead of the default parameters and omitted the rsample:: prefix, so the process does not exactly match the rubric.","You built a workflow_set with the specified recipe and three models and showed its structure, but did not unnest the info column as requested and used different model object names than in earlier exercises, which slightly breaks process consistency.","You correctly mapped tuning over the workflow set and then unnested result and .metrics, filtered for rmse, grouped, arranged, and sliced; however, you rebuilt the recipe/models/workflow set instead of using the existing `all_workflows`, and used a different resampling scheme than specified.","You used rank_results() with rank_metric = 'rmse' and select_best = TRUE and compared results, but wrapped this in additional custom comparison code rather than the simpler direct call expected; core functionality is present but process is more convoluted than needed.","You extracted a ranger workflow, finalized it with chosen parameters, and fit and evaluated on train and test data with an explicit MSE ratio; however, the workflow id and best parameters differ from the provided solution (base_forest, trees = 1, min_n = 11), so the final model and ratio do not match the expected answer."
10,18,"You completed all exercises and demonstrated a solid grasp of tidymodels workflows, recipes, and workflowsets. Most required functions and steps are present, but several details diverge from the rubric (e.g., object names, strata argument, specific parameter settings, and some selectors). Review the solution file to align your code more closely with the specified processes and arguments, especially around data splitting, recipe steps, and final model selection.",1,2,2,2,3,2,2,2,2,2,"You used skim() but on `ames` instead of the defined `dat` object, and did not use the pipe operator as specified; the missing-data conclusion is stated. Fix the object name and use `dat |> skimr::skim()` in one step.","You correctly used set.seed(), initial_split(), training(), and testing(), and created ames_train/ames_test with a 0.75 split, but you omitted `strata = 'Sale_Price'`. Add the strata argument to match the rubric.","You created the recipe with the correct formula, applied log to Sale_Price, pooled Neighborhood, created dummies, and centered/scaled predictors, then prepped and tidied. However, you did not specify `base = exp(1)` in step_log and centered/scaled all predictors (including the outcome) rather than only numeric predictors; adjust selectors and base argument.","You defined three parsnip models and used tune() for the appropriate parameters, and set the ranger mode to regression. However, you did not set `set_mode('regression')` for the lm and glmnet models, and you used bare `tune()` instead of `parsnip::tune()`. Add explicit modes and namespace for full credit.","You correctly called parsnip::translate() on each of the three model objects, which will display the underlying engine-specific templates.","You set the seed and created a bootstrap resampling object from ames_train, but you did not namespace bootstraps() with rsample:: as required. Use `rsample::bootstraps(ames_train)` to fully match the rubric.","You built a workflow_set with the recipe and three models correctly, but you only selected the info column instead of unnesting it to inspect its contents. Replace the select with `tidyr::unnest(info)` to show the full workflow structure.","You correctly mapped tuning over the workflow set, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate, and sliced the top row. However, you created a new `all_workflows_res` instead of updating `all_workflows` as specified, and your code diverges from the provided workflow_map call; align object names and workflow_map usage with the instructions.","You used workflowsets::rank_results() with `rank_metric = 'rmse'` and `select_best = TRUE` and compared results, but you applied it to `all_workflows_res` instead of `all_workflows` as in the rubric. Use the same object as in Exercise 8 for consistency.","You extracted a ranger workflow, finalized it with chosen parameters, then later re-derived the best workflow and parameters, fit on train and test data, and computed the MSE ratio. However, the workflow id and parameters do not match the specified 'base_forest' with trees = 1 and min_n = 11, and your reported ratio differs from the expected value; align the selected workflow and parameters with the lab solution."
