Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,20,"You completed all exercises with generally correct use of tidymodels, rsample, recipes, parsnip, and workflowsets, and your code shows a solid understanding of the modeling workflow. Most deductions are for not following the exact object names, step order, or function arguments specified in the rubric (e.g., specific model names, translate targets, rank_results arguments, and the prescribed best-model workflow). For future labs, pay close attention to the requested function signatures, object names, and exact workflows, even if your alternative approach is technically valid.",1,3,2,2,1,3,2,2,2,2,"You correctly used skimr::skim(), but did not follow the required pipe syntax (dat |> skimr::skim()) and added extra intermediate objects; your written conclusion about missingness also contradicts the expected 'no missing data' statement.","You set the seed, used rsample::initial_split() with prop = 0.75 and strata = Sale_Price, and then correctly created ames_train and ames_test from the split.","You created a recipe with the correct formula, applied step_log to the outcome, step_other to Neighborhood, dummy variables, and centering/scaling, and prepped/tidied it. However, the order of steps does not match the expected (center/scale numeric predictors before dummy creation), so process fidelity is slightly off.","You specified a base linear_reg() with lm engine, a glmnet linear_reg() with penalty and mixture tuned, and a rand_forest() with min_n and trees tuned. However, the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which breaks the prescribed workflow naming.","You correctly called parsnip::translate() on three models, but the rubric expects translate() to be applied specifically to lm_mod_base, lm_mod_glmnet, and lm_mod_rforest; your different object names reduce process fidelity.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected process and output structure.","You built a workflow_set with one recipe and three models and then unnested the info column (using unnest_wider), which satisfies the main requirements, but you used a different recipe (rec_base) and model names than specified and did not follow the exact unnest(info) pattern.","You used workflow_map() to tune across workflows and then unnested metrics, filtered for rmse, grouped by wflow_id, and arranged by .estimate descending before slicing the top row. However, your code deviates from the expected select/unnest chain and uses collect_metrics/map instead of directly unnesting result and .metrics.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its output to your manual results, but you did not set select_best = TRUE as required by the rubric.","You identified the best workflow using rank_results, extracted its tuning results, selected best parameters, finalized the workflow, and compared train/test MSE. However, you did not specifically extract the 'base_forest' workflow or hard-code trees = 1 and min_n = 11 as specified, and your reported MSE ratio differs from the expected benchmark."
2,25,"Your lab shows a solid grasp of tidymodels workflows, recipes, model specification, tuning, and evaluation, and most exercises follow the intended process. The main issues are minor deviations from the specified object names and exact workflows (especially in Q1, Q4, Q7, and Q10) and one incorrect EDA conclusion about missingness. Aligning more closely with the provided templates and rubric instructions will make your work easier to follow and ensure full credit in future labs.",1,3,3,2,3,3,2,3,3,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim in a single step and your written conclusion about missing data contradicts the Ames dataset (which has no missing values).","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created norm_recipe with the correct formula, applied step_log to the outcome, pooled Neighborhood, created dummies, centered and scaled predictors, and then prepped and tidied the recipe; the overall preprocessing workflow matches the rubric.","You specified a base linear_reg with lm engine and tunable glmnet and ranger models with the correct tunable parameters, but the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which may cause issues with later workflow construction.","You applied parsnip::translate() to each of the three model specifications, correctly showing the underlying engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You built all_workflows with workflow_set using a recipe and three models and then unnested the info structure, but you used a different recipe (rec_base) and model names than specified, and unnested with unnest_wider(info) instead of unnest(info) as in the template.","You mapped tune_grid over all_workflows, then unnested metrics (via collect_metrics), filtered for rmse, grouped by wflow_id, arranged by .estimate in descending order, and sliced the top row per group, matching the required workflow even if implemented slightly differently.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its top rmse configurations to your manual results from Q8, satisfying the comparison requirement.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit on train/test data, and computed the MSE ratio, but you did not explicitly extract the 'base_forest' workflow or hard-code the specified best parameters (trees = 1, min_n = 11), so the process diverges from the rubric."
3,20,"You completed all exercises with generally correct use of tidymodels, rsample, recipes, parsnip, and workflowsets, and your code shows a solid understanding of the workflow. Most deductions are for not following the exact object names, step order, or parameter choices specified in the rubric, and for a few deviations in how results are summarized. For future labs, align more closely with the requested function calls, naming conventions, and step order, and keep extra exploratory code separate from the core required workflow.",1,3,2,2,3,3,2,2,2,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim() as specified, added unnecessary extra objects, and your written conclusion about missing data contradicts the expected 'no missing data'.","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created a recipe with the correct formula and included log-transform, step_other, dummy creation, centering, and scaling, then prepped and tidied it. However, the order of steps does not match the expected (center/scale numeric predictors before dummy creation), and you used base-10 log instead of explicitly specifying base = exp(1).","You specified a linear_reg lm model, a glmnet model with penalty and mixture tuned, and a ranger random forest with min_n and trees tuned, and used set_engine/set_mode correctly. However, the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest.","You applied parsnip::translate() to each of the three model specifications, which correctly exposes the underlying engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You built a workflow_set with one recipe and three models and then unnested the info structure, but you used a different recipe object (rec_base) and different model names than specified, and unnested_wider(info) instead of unnest(info) as in the expected workflow.","You used workflow_map to tune across workflows and then unnested metrics, filtered for rmse, grouped by wflow_id, arranged in descending order, and sliced the top row. However, your code deviates from the expected select/unnest pattern and adds extra compatibility logic not required by the rubric.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its output to your manual results, but added extra transformations and did not explicitly use select_best = TRUE as specified.","You identified a best workflow using rank_results, extracted and finalized it with select_best, and then fit to training and test data and computed an MSE ratio. However, you did not follow the exact expected process (extracting 'base_forest' and hard-coding trees = 1, min_n = 11), and your reported MSE ratio differs from the target value."
4,24,"You implemented most of the tidymodels workflow correctly, including splitting, recipe creation, model specifications, workflow sets, tuning, and performance comparison. The main issues are minor deviations from the requested object names and specific workflow choices, and a couple of rubric-specific expectations (EDA piping and the prescribed best-model parameters) not being followed exactly. Tightening alignment with the provided naming conventions and instructions will make your code easier to integrate with the rest of the lab and grading scripts.",1,3,3,2,2,3,2,3,3,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim() as requested and added extra intermediate objects; your written conclusion about missingness is also incorrect per the rubric expectation of no missing data.","You set the seed, used rsample::initial_split() with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created norm_recipe with the correct formula, applied step_log to the outcome, pooled Neighborhood with step_other, created dummies, and centered/scaled predictors, then prepped and tidied the recipe; this matches the required preprocessing steps.","You specified a base linear_reg() with lm engine and tuned glmnet and ranger models with penalty/mixture and min_n/trees, but the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which may break later workflow expectations.","You correctly called parsnip::translate() on each of your three model objects, but since the model names differ from the specified ones, this partially diverges from the expected workflow though the function usage is correct.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), storing it in the correct variable; this matches the expected bootstrap resampling process.","You built all_workflows with workflow_set() using a recipe and three models and then unnested the info structure, but you used a different recipe (rec_base) and model names and unnested with unnest_wider(info) instead of unnest(info), which is slightly off the specified structure.","You updated all_workflows with workflow_map(tune_grid) and then unnested metrics, filtered for rmse, grouped by wflow_id, arranged in descending .estimate, and sliced the top row per group, achieving the requested best-rmse summary.","You used workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its top configurations to your manual rmse_top results, which aligns with the intended verification process.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and then fit the finalized workflow on train and test data and computed an MSE ratio, but you did not explicitly extract the 'base_forest' workflow or hard-code the specified best parameters (trees = 1, min_n = 11), and your reported ratio differs from the target value."
5,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model tuning, and workflowsets, with most required steps implemented correctly. The main issues are minor deviations from the specified variable names and exact workflows, and a couple of mismatches with the expected conclusions/parameters. Review the rubric instructions closely in future labs to align naming, specific workflow steps, and written interpretations with what is requested.",1,3,3,2,3,3,2,3,3,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim() as specified and your written conclusion about missing data contradicts the expected 'no missing data' result.","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and then correctly created ames_train and ames_test with training() and testing().","You created norm_recipe with the correct formula, applied step_log to the outcome, pooled Neighborhood with step_other, created dummies, and centered/scaled predictors, then prepped and tidied the recipe; this matches the required preprocessing steps.","You specified a base linear_reg with lm and tuned glmnet and ranger models with penalty/mixture and min_n/trees, but you did not use the exact variable names lm_mod_glmnet and lm_mod_rforest requested in the rubric.","You applied parsnip::translate() to each of the three model specifications, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the correct bootstrap resampling object.","You built all_workflows with workflow_set using a recipe and three models and then unnested the info structure, but you used a different recipe and model names than specified and unnested with unnest_wider(info) instead of unnest(info) as in the template.","You used workflow_map to tune, then unnested metrics, filtered for rmse, grouped by wflow_id, arranged in descending .estimate, and sliced the top row per group, matching the required workflow.","You called workflowsets::rank_results with all_workflows and rank_metric = 'rmse', and compared these results to those from Exercise 8, satisfying the exercise requirements.","You correctly used extract_workflow_set_result, select_best, finalize_workflow, and fit to compare train/test MSE, but you did not explicitly extract the 'base_forest' workflow or hard-code the specified best parameters (trees = 1, min_n = 11), and your reported MSE ratio differs from the expected value."
6,25,"Your lab shows solid command of tidymodels workflows, tuning, and evaluation, with all major steps implemented and most code following the intended process. The main issues are minor deviations from the specified variable names/objects (e.g., model and recipe names) and not matching the exact expected workflow in Q10. Aligning more closely with the template objects and stated conclusions (like missingness) will help ensure full credit in future labs.",1,3,3,2,3,3,2,3,3,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim in a single step and your written conclusion about missing data contradicts the Ames dataset (which has no missing values).","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and then correctly created ames_train and ames_test with training() and testing().","You created norm_recipe with the correct formula on ames_train, applied step_log to the outcome, step_other on Neighborhood, dummy variables, and centering/scaling, then prepped and tidied the recipe; the overall preprocessing matches the expected transformations.","You specified a base linear_reg with lm and tuned glmnet and ranger models with penalty/mixture and min_n/trees, but the tuned models are not assigned to the expected variable names (lm_mod_glmnet, lm_mod_rforest), which may cause downstream mismatch with the template.","You applied parsnip::translate() to each of your three model specifications, correctly showing the underlying engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You built a workflow_set with one recipe and three models and then unnested the info structure, but you used a different recipe (rec_base) and model names than specified and unnested with unnest_wider(info) instead of unnest(info) as in the template.","You used workflow_map to tune over train_resamples and then unnested metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate in descending order, and sliced the top row per group as requested.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its top configurations to your manual rmse_top results.","You correctly identified the best workflow via rank_results, extracted its tuning results, selected best parameters, finalized the workflow, and compared train/test MSE; however, you did not follow the specific instruction to extract 'base_forest' with fixed trees = 1 and min_n = 11, and your reported MSE ratio differs from the expected reference value."
7,24,"You completed all exercises with generally correct use of tidymodels, workflowsets, and rsample, and your tuning and ranking workflows are well structured. Most deductions are for not following the exact naming/step order or specific workflow IDs and parameters required by the rubric, and for a couple of interpretive mismatches (EDA missingness and best-model specification). For future labs, focus on mirroring the requested object names, step order, and specific model choices so your code aligns exactly with the grading criteria.",1,3,2,2,3,3,2,3,3,2,"You correctly used skimr, but did not use the pipe from dat to skim() as specified and your written conclusion about missing data contradicts the expected 'no missing data' statement.","You set the seed, used initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, then prepped and tidied it. However, the order of steps does not match the expected (center/scale numeric predictors before dummy creation), so process fidelity is slightly off.","You specified a linear_reg lm model and tunable glmnet and ranger models with the correct tunable parameters, but you did not name the glmnet and forest models as lm_mod_glmnet and lm_mod_rforest as in the rubric, which may break later workflow expectations.","You correctly called parsnip::translate() on each of the three model specifications, satisfying the required workflow and expected outputs.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and output structure.","You built a workflow_set with one recipe and three models and then unnested the info structure, but you used a different recipe (rec_base) and model names than specified and unnested with unnest_wider(info) instead of unnest(info), so the process only partially matches the rubric.","You used workflow_map to tune, then selected/unnested metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate descending, and sliced the top row, matching the required sequence of dplyr/tidyr operations and intended output.","You called workflowsets::rank_results with all_workflows and rank_metric = 'rmse', and compared its results to those from Exercise 8, aligning with the expected process and output.","You correctly used extract_workflow_set_result, select_best, finalize_workflow, and fit to compare train/test performance, but you did not explicitly extract the 'base_forest' workflow or use the specified best parameters (trees = 1, min_n = 11), so the final model and MSE ratio differ from the reference."
8,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, tuning, and evaluation. Most exercises follow the required processes and use the correct functions, with only minor deviations in naming and some differences from the exact expected workflow in Q4, Q7, and Q10. To improve, align more closely with the specified variable names and target workflow (especially for the best-model selection and parameter choices) and ensure your EDA conclusions match the actual data characteristics.",1,3,3,2,3,3,2,3,3,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim in a single step and your written conclusion about missing data contradicts the Ames dataset (which has no missing values).","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and correctly created ames_train and ames_test from data_split.","You created norm_recipe with the correct formula, applied step_log to the outcome, pooled Neighborhood with step_other, created dummies, centered and scaled predictors, and then prepped and tidied the recipe; the overall process and transformations match the requirements.","You specified a base linear_reg with lm engine and two tunable models (glmnet and ranger) with the correct tunable parameters, but the glmnet and ranger models are not assigned to the expected variable names (lm_mod_glmnet and lm_mod_rforest), which may break later workflow expectations.","You applied parsnip::translate() to each of the three model specifications, correctly showing the underlying engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You built a workflow_set with a single recipe and three models and then unnested the info column, but you used a different recipe (rec_base) and model names than specified and unnested with unnest_wider(info) instead of the simpler unnest(info) shown in the template.","You mapped tune_grid over all_workflows, then unnested metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate in descending order, and sliced the top row per group, matching the required workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its top rmse results to those from Exercise 8, following the intended comparison process.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit to compare train/test MSE, but you did not explicitly extract the 'base_forest' workflow or hard-code the specified best parameters (trees = 1, min_n = 11), and your reported MSE ratio differs from the expected value."
9,24,"You completed all exercises with generally correct use of tidymodels, workflowsets, and rsample, and your code shows a solid understanding of the modeling workflow. Most deductions are for not following the exact object names, step order, or specific workflow/parameter choices required by the rubric. For future labs, pay close attention to the requested naming conventions and step sequences, and align your written interpretations with the expected conclusions.",1,3,2,2,3,3,2,3,3,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim() as specified and added extra intermediate objects; your written conclusion about missingness is also incorrect per the rubric expectation of no missing data.","You set the seed, used rsample::initial_split() with prop = 0.75 and strata = Sale_Price, and then correctly created ames_train and ames_test from the split.","You created a recipe with the correct formula and included log transform, step_other, dummies, centering, and scaling, then prepped and tidied it; however, the order of steps does not match the expected sequence (center/scale numeric predictors before dummy creation), so process fidelity is slightly off.","You specified a linear_reg lm model, a glmnet model with penalty and mixture tuned, and a ranger random forest with min_n and trees tuned, but the object names (glmnet_mod_tune, rf_mod_tune) do not match the expected lm_mod_glmnet and lm_mod_rforest, which may break later workflow expectations.","You correctly applied parsnip::translate() to each of the three model specifications, satisfying the required workflow and expected outputs.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and output structure.","You built a workflow_set with one recipe and three models and then unnested the info column; however, you used a different recipe object (rec_base) and model names than specified and unnested with unnest_wider(info) instead of the simpler unnest(info), so the structure is slightly off rubric expectations.","You used workflow_map() to tune across workflows and then selected/unnested metrics, filtered for rmse, grouped by wflow_id, arranged by .estimate descending, and sliced the top row, matching the required sequence of dplyr/tidyr operations and intended output.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its results to those from Exercise 8, appropriately handling possible column name differences and aligning with the rubric.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit() on train and test data, and computed an MSE ratio; however, you did not explicitly extract the 'base_forest' workflow or hard-code the specified best parameters (trees = 1, min_n = 11), so the process deviates from the expected solution."
10,24,"Your lab shows solid understanding of tidymodels workflows, tuning, and evaluation, and most required functions and steps are present. The main issues are small deviations from the specified variable names/step order and a couple of mismatches with the expected best-model configuration and EDA conclusion. Tightening adherence to the given process (names, order, and specific parameters) will align your work more closely with the rubric in future labs.",1,3,2,2,3,3,2,3,3,2,"You correctly used skimr::skim(), but did not use the pipe from dat to skim in a single step and your written conclusion about missing data contradicts the Ames dataset (which has no NAs).","You set the seed, used rsample::initial_split with prop = 0.75 and strata = Sale_Price, and then correctly created ames_train and ames_test with training() and testing().","You created a recipe with the correct formula and used step_log, step_other, step_dummy, and centering/scaling, then prepped and tidied it. However, the order of steps does not match the expected (center/scale numeric predictors before dummy creation), so process fidelity is slightly off.","You specified a linear_reg lm model and tunable glmnet and ranger models with the correct tunable parameters, but you did not name the glmnet and ranger models as lm_mod_glmnet and lm_mod_rforest as in the expected workflow, which may break later steps.","You correctly called parsnip::translate() on each of the three model specifications, satisfying the required workflow and expected outputs.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and object type.","You built a workflow_set with one recipe and three models and then unnested the info column, but you used a different recipe (rec_base) and model names than specified and unnested with unnest_wider(info) instead of the simpler unnest(info).","You updated all_workflows with workflow_map(tune_grid) and then correctly unnested metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row per group, matching the required workflow.","You used workflowsets::rank_results(all_workflows, rank_metric = 'rmse') and compared its top configurations to your manual rmse_top results, which aligns with the expected process and output intent.","You correctly used extract_workflow_set_result, select_best, extract_workflow, finalize_workflow, and fit on train/test data and computed an MSE ratio, but you did not explicitly extract the 'base_forest' workflow or hard-code the specified best parameters (trees = 1, min_n = 11), and your reported ratio differs from the target."
