Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,26,"Your lab shows a solid grasp of the tidymodels workflow, including recipes, model specifications, workflowsets, tuning, and evaluation. Most exercises follow the expected structure closely. To improve, pay attention to details like stratified splits, correct namespacing and selectors in recipes, and explicitly setting model modes where required.",3,2,1,2,3,3,3,3,3,3,Used skimr::skim(dat) directly on dat and answered that there is no missing data; this matches the expected EDA workflow.,"Correct use of set.seed, initial_split, training, and testing with 75% split, but you omitted strata = 'Sale_Price', so the split is not stratified as required.","You created a recipe with the right formula and included log, other, dummy, centering, and scaling steps, but you did not namespace the step_* functions, used all_predictors() instead of all_numeric_predictors(), and the prep call is outside the pipeline and incorrectly written; the recipe is not properly prepped and examined.","All three models are specified with correct engines and tunable parameters, but you did not set mode = 'regression' on the glmnet model, which is required for full credit.","You correctly called parsnip::translate() on each of the three model objects, matching the expected process.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; this matches the expected bootstrap workflow.,"You built all_workflows with workflow_set using the recipe and all three models, and unnested the info column with tidyr::unnest(info), which matches the rubric.","Your code updates all_workflows with workflow_map and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate, and slices the top row per group.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) exactly as specified; comparison to Q8 is implied in the comment.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, fit on both training and test data, and computed train/test MSE and their ratio; this follows the required workflow even though you did not report the numeric ratio in text."
2,26,"Your lab shows a solid grasp of the tidymodels workflow, including recipes, models, workflowsets, tuning, and evaluation. Most exercises follow the expected structure closely. To improve, pay attention to details like stratified splits, correct namespacing and selectors in recipes, and explicitly setting model modes so your code is more robust and reproducible.",3,2,1,2,3,3,3,3,3,3,Used skimr::skim(dat) directly on dat and answered that there is no missing data; this matches the expected EDA workflow.,"Correct use of set.seed, initial_split, training, and testing with 75% split, but you omitted strata = 'Sale_Price', so the split is not stratified as required.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, but you did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect and not chained to norm_recipe.","All three models are defined with appropriate engines and tuning parameters, but you did not set mode = 'regression' for the first two models and did not namespace tune(), which may cause execution issues.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected process.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), which matches the required bootstrap workflow.","You built all_workflows with workflow_set using the recipe and three models, and unnested the info column with tidyr::unnest(info) as expected.","Your code updates all_workflows with workflow_map and then correctly unnests result and .metrics, filters for rmse, groups, arranges by .estimate, and slices the top row per workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) exactly as specified.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, fit on both train and test sets, and computed train/test MSE and their ratio; this matches the required workflow even though you did not report the final numeric ratio in text."
3,27,"Your lab shows a solid grasp of tidymodels workflows, recipes, models, and workflowsets, with nearly all required steps present and correctly structured. The main issues are minor: missing stratification in the train/test split, a slightly off prep/tidy call in the recipe, and not explicitly setting the glmnet model mode. Addressing these details will make your analyses more robust and reproducible.",3,2,2,2,3,3,3,3,3,3,Used skimr::skim(dat) correctly with no extra steps and answered that there is no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed, initial_split, training, and testing with 75% split, but you omitted strata = 'Sale_Price', so the split does not follow the specified stratified process.","You created a recipe with the right formula and included log, step_other, dummy, centering, and scaling, but you did not specify base = exp(1) for step_log and the prep/tidy call is written outside the pipe (it would not run as intended).","All three models are defined with correct engines and tunable parameters, but you did not call parsnip::set_mode('regression') on the glmnet model, so its mode is not explicitly set as required.","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected workflow and outputs.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which is exactly the required bootstrap resampling process.","You built all_workflows with the base recipe and three models, then unnested the info column; this matches the expected workflow_set structure and examination.","Your code updates all_workflows with workflow_map and then correctly unnests result and .metrics, filters for rmse, groups, arranges by .estimate, and slices the top row per workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; comparison to Q8 is implied by the comment.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, fit on train and test sets, and computed train/test MSE and their ratio; this follows the required process even if the exact numeric ratio is not reported in text."
4,26,"Your lab shows a solid grasp of the tidymodels workflow, including recipes, model specifications, workflowsets, tuning, and evaluation. Most exercises follow the intended process closely, with only minor deviations (e.g., missing stratification in the split and some recipe/prep syntax issues). To improve, pay closer attention to argument details (like strata and all_numeric_predictors) and ensure your recipe code is syntactically correct and fully namespaced so it would run cleanly end-to-end.",3,2,1,2,3,3,3,3,3,3,Used skimr::skim(dat) correctly with no extra steps and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed, initial_split, training, and testing with 75% split, but you omitted strata = 'Sale_Price', so the split does not follow the specified stratified process.","You created a recipe with the right formula and included log, step_other, dummy, centering, and scaling, but did not namespace recipes::step_* calls, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect and not clearly used to examine steps.","All three models are defined with appropriate engines and tunable parameters, but you did not call parsnip::set_mode('regression') on the glmnet model, so its specification is incomplete per the rubric.","You correctly applied parsnip::translate() to each of the three model objects, which matches the required workflow and expected outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; this matches the expected process and object type.,"You built all_workflows with workflow_set using the recipe and three models, and unnested the info column with tidyr::unnest(info), correctly reflecting the expected structure.","Your code updates all_workflows with workflow_map and then selects, unnests result and .metrics, filters for rmse, groups, arranges by .estimate, and slices the top row per workflow, matching the required tuning-summary workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; this is the correct comparison step to Exercise 8.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, and fit on both training and test data while computing MSE and their ratio; this follows the required process even though you did not report the final numeric ratio in text."
5,26,"Most exercises are completed with the correct functions and workflows, and you follow the tidymodels/rsample/workflowsets patterns well. The main issues are missing stratification in the data split and some recipe syntax/selector details and namespacing in model specs. Tightening up those points would bring this very close to a perfect submission.",3,2,1,2,3,3,3,3,3,3,Used skimr::skim(dat) directly on dat and answered that there is no missing data; this matches the expected EDA workflow.,"Correct use of set.seed, initial_split, training, and testing with 75% split, but you omitted the required strata = 'Sale_Price' argument.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, but did not namespace the recipes steps, used all_predictors() instead of all_numeric_predictors(), and the prep/tidy call is syntactically incorrect and not chained to norm_recipe.","You correctly specified lm, glmnet, and ranger models with appropriate tunable parameters, but did not set mode = 'regression' for the first two models and did not namespace tune() as parsnip::tune(), which may cause execution issues.","You applied parsnip::translate() to each of the three model objects as required, which would display the underlying engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column with tidyr::unnest(info) to inspect the structure as required.","Your code updates all_workflows with workflow_map, then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and slices the top row per group.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; comparison to Q8 is implied in the comments.","You extracted the 'base_forest' workflow, finalized it with specific trees and min_n values, fit on both training and test data, and computed train/test MSE and their ratio, following the expected workflow even though you did not report the final numeric ratio in text."
6,26,"Most exercises are completed with the correct functions and workflows, and the modeling, workflowsets, and tuning steps are well structured. The main issues are missing stratification in the train/test split and some inaccuracies in the recipe (log base and centering/scaling scope). Addressing these details would bring the work fully in line with the rubric expectations.",3,2,1,2,3,3,3,3,3,3,Used skimr::skim(dat) directly on dat and correctly noted no missing data; matches required workflow.,"Correct use of set.seed and initial_split/training/testing with 75% split, but missing strata = 'Sale_Price' argument required by the rubric.","Recipe uses the correct formula and includes log, step_other, dummy, centering, and scaling, but uses base-10 log by default, centers/scales outcome as well as predictors, and prep is called incorrectly outside the pipeline; process and details need correction.","All three models are specified with correct engines and tunable parameters, but set_mode('regression') is missing for the first two models as required by the rubric.","parsnip::translate is correctly applied to each of the three model objects, matching the expected process.",Seed is set and rsample::bootstraps is correctly called on ames_train to create train_resamples as required.,"workflow_set is correctly built with the recipe and three models, and tidyr::unnest(info) is used to inspect the workflow structure.","Correctly selects wflow_id and result, unnests result and .metrics, filters for rmse, groups, arranges by .estimate, and slices the top row per workflow as specified.","Correctly calls workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE as required.","Extracts the base_forest workflow, finalizes with specific trees and min_n values, fits on train and test data, and computes train/test MSE and their ratio; workflow matches the rubric even though the exact numeric ratio is not reported."
7,26,"Most exercises are completed with the correct functions and workflows, and your code closely follows the intended tidymodels process. The main issues are minor omissions (e.g., missing strata in the split, missing set_mode in some models) and a slightly incorrect prep/tidy chaining in the recipe. Tightening up those details will make your analyses more robust and reproducible.",3,2,1,2,3,3,3,3,3,3,Used skimr::skim(dat) correctly with no extra steps and stated no missing data; this matches the expected EDA workflow.,"Used set.seed and rsample::initial_split/training/testing with 75% split, but omitted strata = 'Sale_Price', so the process is slightly incomplete.","Recipe uses the correct formula and includes log, step_other, dummy, centering, and scaling, but uses default log base, centers/scales outcome as well as predictors, and the prep/tidy call is syntactically incorrect and not chained to norm_recipe.","All three models are specified with correct engines and tunable parameters, but set_mode('regression') is missing for the first two models, so the parsnip workflow is not fully specified.","Correctly applies parsnip::translate() to each of the three model objects, matching the expected process.",Sets the seed and creates train_resamples with rsample::bootstraps(ames_train) as required; the resampling object is correctly defined.,"Builds all_workflows with the base recipe and three models, then unnests the info column to inspect structure; this matches the expected workflow_set usage.","Correctly selects and unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate descending, and slices the top row per group as specified.","Calls workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) exactly as required; comparison to Q8 is implied in comments.","Extracts the 'base_forest' workflow, finalizes with specific trees/min_n values, fits on train and test data, and computes train/test MSE and their ratio; the full selection and comparison process is present even if numeric ratio is not written in markdown."
8,26,"Most exercises are completed with the correct functions and workflows, and the modeling, workflowsets, and tuning steps closely follow the template. The main issues are missing stratification in the train/test split and some inaccuracies in the recipe definition and prep chaining. Tighten up recipe syntax and parameter details (e.g., log base, set_mode, strata) to fully align with the rubric in future labs.",3,2,1,2,3,3,3,3,3,3,Used skimr::skim(dat) directly on dat and answered that there is no missing data; this matches the expected EDA workflow.,"Correct use of set.seed, initial_split, training, and testing with 75% split, but missing the required strata = 'Sale_Price' argument.","Recipe uses the correct formula and includes log, step_other, dummy, centering, and scaling, but uses base-10 log by default, applies centering/scaling to all predictors (including dummies), and the prep/tidy call is syntactically incorrect and not chained to norm_recipe.","All three models are specified with correct engines and tunable parameters, but set_mode('regression') is missing for the lm and glmnet models, which is required by the rubric.","parsnip::translate() is correctly called on each of the three model objects, matching the expected process.",set.seed(8740) is used and rsample::bootstraps() is correctly applied to ames_train to create train_resamples as required.,"workflowsets::workflow_set() is used with the recipe and all three models, and tidyr::unnest(info) is used to inspect the workflow structure as specified.","Code correctly updates all_workflows with workflow_map and then unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and slices the top row per group.","workflowsets::rank_results() is called with all_workflows, rank_metric = 'rmse', and select_best = TRUE as required; comparison to Q8 is implied.","Correctly extracts the 'base_forest' workflow, finalizes with specific trees and min_n values, fits on train and test data, and computes train/test MSE and their ratio; process matches rubric expectations even if numeric ratio is not reported in text."
9,25,"Most exercises are completed with the correct functions and workflows, and the overall tidymodels process is well represented. The main issues are missing stratification in the data split, some recipe details (log base and centering/scaling scope), and not matching the specified best-parameter values in the final model. Tightening these details would bring the work fully in line with the rubric.",3,2,1,2,3,3,3,3,3,2,Used skimr::skim(dat) directly with no extra intermediates and correctly noted no missing data.,"Correct use of set.seed, initial_split, training, and testing, but missing the required strata = 'Sale_Price' argument for the split.","Recipe uses the correct formula and includes log, other, dummy, center, and scale steps, but uses base-10 log by default, centers/scales outcome as well as predictors, and the prep/tidy call is syntactically incorrect and not chained to norm_recipe.","All three models are specified with correct engines and tunable parameters, but set_mode('regression') is missing for the linear models, and tune() is not namespaced with parsnip::tune.",parsnip::translate is correctly applied to each of the three model objects to inspect their engine-specific templates.,"Correctly sets the seed and creates train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling workflow.","workflow_set is built with the recipe and all three models, and tidyr::unnest(info) is used to inspect the workflow structure as required.","After workflow_map, the code properly selects and unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and slices the top row per group.","Correctly calls workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE as specified.","Correctly extracts the 'base_forest' workflow, finalizes with specific trees and min_n, and fits on train and test data with MSE comparison, but the chosen parameters and resulting ratio are not those specified in the rubric."
10,26,"Your lab shows a solid grasp of the tidymodels workflow, with all major steps present from EDA through model tuning and evaluation. Most deductions are for smaller process details, such as missing stratification in the split and minor recipe/model specification issues. Review the use of strata in initial_split and the precise recipe step arguments and chaining to fully align with the rubric next time.",3,2,1,2,3,3,3,3,3,3,Used skimr::skim(dat) correctly with no extra steps and stated no missing data; this fully matches the expected EDA workflow.,"Correct use of set.seed, initial_split, training, and testing with 75% split, but you omitted strata = 'Sale_Price', so the split is not stratified as required.","You created a recipe with the right formula and included log, step_other, dummy, centering, and scaling, but did not specify base = exp(1), used all_predictors() instead of all_numeric_predictors(), and the prep/broom::tidy() call is not properly chained to norm_recipe.","All three models are defined with correct engines and tunable parameters, but you did not set mode = 'regression' on the glmnet model as required by the rubric.","parsnip::translate() is applied to each of the three model objects, correctly following the expected process.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap workflow.","workflow_set is created with the recipe and all three models, and you unnest the info column to inspect structure; this aligns with the rubric.","You correctly select and unnest result and .metrics, filter for rmse, group by wflow_id, arrange by .estimate descending, and slice the top row per group.","You call workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; comparison to Q8 is implied by the comment.","You extract the 'base_forest' workflow, finalize it with specific trees and min_n values, fit on train and test sets, and compute train/test MSE and their ratio; this satisfies the required workflow even if numeric values are not shown."
