Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,"Most exercises are completed with the correct functions and workflows, and your code is generally well structured. The main issues are minor deviations from the specified process (e.g., missing stratification in the split, log base and skip in the recipe, and parameter choices in the final model). Review the rubric details for preprocessing and splitting to align more closely with the expected specifications in future labs.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed and used initial_split/training/testing with prop = 0.75, but omitted the required strata = 'Sale_Price' argument. The overall split process is otherwise correct.","You created and prepped a recipe with the right variables and steps, but used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors. This deviates from the specified process and transformation details.","All three models are specified with the correct parsnip functions, engines, and tunable parameters; the random forest includes both trees and min_n for tuning. This matches the expected workflow.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You built all_workflows with workflow_set using the recipe and three models, and unnested the info column to inspect structure. This matches the required process and structure.","You updated all_workflows with workflow_map and then selected, unnested, filtered for rmse, grouped, arranged in descending order, and sliced the top row per workflow as specified. The dplyr/tidyr chain follows the expected pattern.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and discussed how its behavior compares to your Exercise 8 results, satisfying the requirement.","You correctly extracted the forest workflow, finalized it with specific trees and min_n values, and fit on both training and test data, then computed a test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration and approximate ratio in the rubric."
2,25.5,"Your lab shows a solid grasp of the tidymodels workflow, including recipes, models, workflowsets, tuning, and evaluation. Most required functions and steps are present and correctly structured. To improve, pay closer attention to specific rubric details such as using strata in splits, natural log for Sale_Price without skipping, and aligning tuning/selection steps so that the final model and performance comparison match the expected best configuration.",2.5,2,1.5,2.5,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed, used rsample::initial_split(), training(), and testing(), and created ames_train/ames_test with a 0.75 split, but omitted the required strata = 'Sale_Price' argument.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors rather than just numeric predictors.","All three models are specified with the correct parsnip functions, engines, and tunable parameters; only the explicit set_mode('regression') is missing for the linear models, which is recommended in the rubric solution.","You correctly applied parsnip::translate() to each of the three model objects, which will display the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling workflow.","You built all_workflows with workflowsets::workflow_set() using the recipe and three models, and unnested the info column to inspect the structure, as required.","Your code updates all_workflows with workflow_map(), then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate, and slices the first row per group.","You called workflowsets::rank_results() with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and you compared its behavior to your Exercise 8 results in the comments.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, and fit on both training and test data, computing an MSE ratio. However, the chosen parameters and resulting ratio do not match the expected best configuration and approximate 12% test/train MSE increase."
3,25,"Your lab shows a solid grasp of tidymodels workflows, model specification, resampling, and workflowsets, with all major steps implemented. Most deductions are for smaller details such as missing stratification, the log transformation setup in the recipe, and not matching the rubric’s exact best-parameter configuration. Review the recipe step options (especially log and which predictors to center/scale) and the use of strata in initial_split to fully align with the intended process.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat and answered that there is no missing data. However, the rubric expected use of the base pipe (|>) and piping dat directly into skim() in a single step.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 75% split, which matches most of the required process. You omitted the strata = 'Sale_Price' argument, so the split is not stratified as specified.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of the natural log, set skip = TRUE on the log step (so the outcome is not transformed in modeling), and centered/scaled all predictors including dummies rather than only numeric predictors, so the preprocessing does not fully match the specification.","All three models are specified correctly: a base linear_reg with lm engine, a glmnet model with penalty and mixture set to tune(), and a random forest with ranger engine and tunable trees and min_n. Mode is set to regression for the forest, which is sufficient for full credit.","You correctly applied parsnip::translate() to each of the three model objects, which will display the underlying engine-specific templates as required.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), matching the expected process and producing the correct bootstrap resampling object.","You created all_workflows with workflowsets::workflow_set() using your recipe and all three models, and then unnested the info column with tidyr::unnest(info), which matches the required workflow structure and examination.","You updated all_workflows with workflow_map() using the specified arguments, then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row. This follows the requested sequence and yields the best (by your ordering) rmse rows per workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and provided a brief comparison to your Exercise 8 results, demonstrating understanding of the ranking behavior.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, and fit it on both training and test data, then computed and reported the test/train MSE ratio. The overall workflow is correct, but the chosen tuning parameters and resulting ratio differ from the expected best configuration in the rubric."
4,25,"Your lab shows a solid grasp of tidymodels workflows, model specification, resampling, and workflowsets, with all major steps implemented. Most deductions are for not exactly following specified arguments (e.g., strata in splitting, log base and skip in the recipe) or differing from the expected tuned parameters. Review the rubric details around preprocessing choices and parameter selection to better align your code with the intended process in future labs.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed and used initial_split/training/testing with prop = 0.75, but omitted the required strata = 'Sale_Price' argument. The overall split process is otherwise correct.","You created and prepped a recipe with the right variables and included log, other, dummy, center, and scale steps, but used base = 10 and skip = TRUE on the outcome transform and centered/scaled all predictors (including dummies) rather than just numeric predictors. This only partially matches the specified preprocessing.","All three parsnip models are specified correctly with appropriate engines and tuning parameters; although you did not explicitly set_mode for the linear models, regression is the default, so the workflow matches the rubric intent.","You applied parsnip::translate() to each of the three model objects as required, which would display the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), correctly producing a bootstrap resampling object with default settings.","You built all_workflows with workflowsets::workflow_set using the recipe and all three models, and unnested the info column to inspect the structure, matching the expected workflow.","You updated all_workflows with workflow_map and then selected, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row, exactly following the requested sequence.","You called workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE, and compared its behavior to Exercise 8, correctly noting the ranking direction difference.","You extracted the forest workflow, finalized it with specific trees and min_n values, and fit it on both training and test data, then computed and reported the test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration in the rubric."
5,25,"Your lab shows solid understanding of tidymodels workflows, model specification, resampling, and workflowsets; most exercises follow the intended process and use the correct functions. The main issues are minor deviations from the specified process (e.g., missing stratification, log base and step order in the recipe) and not matching the expected best model configuration in the final exercise. Addressing these details will bring your work fully in line with the rubric expectations.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat and answered that there is no missing data. However, the rubric expected use of the base pipe (|>) and piping dat directly into skim() in a single step.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 75% split, which matches most of the required process. You did not include strata = 'Sale_Price', so the split is not stratified as specified.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors, so the transformations do not fully match the rubric.","All three models are specified correctly with parsnip::linear_reg() and parsnip::rand_forest(), appropriate engines (lm, glmnet, ranger), and tunable parameters (penalty, mixture, trees, min_n). The regression mode is set for the forest model; lm/glmnet default to regression, which is acceptable here.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which matches the expected workflow and would display the three engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), following the expected process and producing the correct bootstrap resampling object.","You created all_workflows with workflowsets::workflow_set() using the recipe and all three models, and then unnested the info column with tidyr::unnest(info), which matches the required structure and examination of the workflow set.","Your code updates all_workflows with workflow_map(), then selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the first row. This matches the specified workflow and output structure.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and discussed how its results compare conceptually to Exercise 8, satisfying the rubric requirements.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, fit on both training and test data, and computed a test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration and approximate 12% increase, so the final model performance comparison does not align with the solution."
6,24,"Most exercises are completed with the correct functions and general workflow, and you demonstrate a solid grasp of tidymodels, workflowsets, and tuning. The main issues are small deviations from the specified process (e.g., missing strata in the split, log base and skip in the recipe, and parameter values in the final model) and not fully matching the rubric’s expectations. Review the instructions for exact arguments and step ordering to align your code more closely with the required workflow.",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed and used initial_split/training/testing with a 0.75 split, but omitted the strata = 'Sale_Price' argument required by the rubric.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, but used base=10, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors; prep was called but not assigned or examined with broom::tidy().","All three models were specified with appropriate engines and tunable parameters, but you did not explicitly set mode = 'regression' for the linear models as in the expected workflow.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected process.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You built a workflow_set with the recipe and all three models and unnested the info column, correctly showing the workflow structure.","You updated all_workflows with workflow_map and then selected, unnested, filtered for rmse, grouped, arranged by descending .estimate, and sliced the top row per workflow as required.","You called workflowsets::rank_results with the correct arguments and compared its behavior to Exercise 8, correctly noting the difference due to sorting direction.","You extracted the forest workflow, finalized it with specific trees and min_n, and fit on both training and test data, but did not use the specified best parameters (trees = 1, min_n = 11) or report the expected test/train MSE ratio."
7,25.5,"Your lab shows a solid grasp of tidymodels workflows, model specification, and resampling, with all major steps implemented. Most deductions are for smaller details like missing stratification, the log transformation base/skip behavior, and not matching the expected best model configuration. Review the rubric’s specific parameter and transformation requirements to align your future work more closely with the intended process.",2.5,2,1.5,2.5,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed and used initial_split, training, and testing with a 0.75 prop, but omitted the required strata = 'Sale_Price' argument. The overall split process is otherwise correct.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors.","All three models are specified with the correct parsnip functions, engines, and tunable parameters; the random forest also has mode set to regression. You did not explicitly set mode for the linear models, but they default appropriately, so only a minor deduction.","You correctly called parsnip::translate() on each of the three model objects, which will display the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You created all_workflows with workflowsets::workflow_set using the recipe and all three models, and unnested the info column to inspect the structure, matching the expected workflow setup.","You updated all_workflows with workflow_map and then correctly selected, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row per group as required.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and provided a clear comparison to your Exercise 8 results, correctly noting the difference in ranking direction.","You extracted the norm_forest workflow, finalized it with specific trees and min_n values, and fit it on both training and test data, then computed and reported the test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration and approximate 12% increase."
8,24,"You completed all exercises and generally followed the intended tidymodels workflow, including recipes, models, workflowsets, tuning, and evaluation. Most code chunks are structurally correct, with minor deviations such as missing stratification in the split and an incorrect/ineffective log transformation in the recipe. Review the details of step_log usage, stratified splitting, and parameter selection from tuning results to better align with the rubric’s expectations.",2,2,1,2,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The conclusion about no missing data is present.","You set the seed and used initial_split/training/testing with prop = 0.75, but omitted the required strata = 'Sale_Price' argument. The overall split process is otherwise correct.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 and skip = TRUE on step_log (so Sale_Price is not actually transformed), and you centered/scaled all predictors including dummies rather than just numeric predictors.","You defined three parsnip models with the correct engines and tunable parameters, and set mode = 'regression' for the forest. However, you did not explicitly set mode for the linear models as in the rubric, which slightly departs from the expected workflow.","You correctly called parsnip::translate() on each of the three model objects, which will display the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","You created all_workflows with workflow_set using the recipe and all three models, and unnested the info column to inspect the structure, matching the rubric expectations.","Your code updates all_workflows with workflow_map and then selects, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the first row, exactly following the required workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and provided a clear comparison explanation relative to Exercise 8.","You extracted the norm_forest workflow, finalized it with specific trees and min_n values, and fit on both training and test data, then computed and reported the test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration in the rubric."
9,25.5,"Your lab shows solid command of tidymodels workflows, models, and resampling, with all major steps implemented and clearly structured. Most exercises follow the intended process closely, with only minor deviations (e.g., missing strata, log base choice, and best-parameter selection). To improve, align more strictly with the specified arguments (like natural log and stratification) and double-check that your tuning choices match the rubric’s described best model configuration.",2.5,2,1.5,2.5,3,3,3,3,3,2,"You correctly used skimr::skim() on dat, but did not use the pipe operator as specified. The written conclusion about no missing data is present.","You set the seed, used rsample::initial_split(), training(), and testing(), and created ames_train/ames_test with a 75% split, but omitted the required strata = 'Sale_Price' argument.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors rather than just numeric predictors, so the process and transformation details are partially incorrect.","All three models are defined with the correct parsnip functions, engines, and tunable parameters; you set mode for the random forest but not explicitly for the linear models. Overall structure matches the expected process.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected workflow and outputs.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which matches the expected process and output structure.","You built a workflow_set with the recipe and all three models and unnested the info column, correctly showing the workflow structure as required.","You updated all_workflows with workflow_map(), then selected, unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the first row, exactly following the requested sequence.","You called workflowsets::rank_results() with the correct arguments and provided a clear comparison to your Exercise 8 results, correctly explaining the difference in ordering.","You extracted the forest workflow, finalized it with specific trees and min_n values, and fit on both training and test data, then computed and reported the test/train MSE ratio. However, the chosen parameters and resulting ratio differ from the expected best configuration and approximate ratio in the rubric."
10,25,"Your lab shows a solid grasp of tidymodels workflows, model specification, resampling, and workflowsets, and most exercises follow the intended process closely. The main issues are minor deviations from the specified arguments (e.g., missing stratification, incorrect log base/skip, and different best parameters in Q10). Tightening alignment with the exact rubric specifications would bring this to full credit.",2,2,1,3,3,3,3,3,3,2,"You correctly used skimr::skim() on dat and answered that there is no missing data. However, the rubric expected use of the base pipe (|>) and piping dat directly into skim() in a single step.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 75% split, which matches most of the required process. You omitted the strata = 'Sale_Price' argument, so the split is not stratified as specified.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, skipped the log step, and centered/scaled all predictors (including dummies) rather than just numeric predictors, so the transformations do not fully match the rubric.","All three models are specified correctly with parsnip::linear_reg() and parsnip::rand_forest(), appropriate engines (lm, glmnet, ranger), and tunable parameters penalty/mixture and trees/min_n. Although set_mode('regression') is omitted for the linear models, the defaults are acceptable here.","You correctly called parsnip::translate() on each of the three model objects, which will display the underlying engine-specific templates as required.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected process and producing the correct bootstrap resampling object.","You created all_workflows with workflowsets::workflow_set() using the recipe and all three models, and then unnested the info column with tidyr::unnest(info), which matches the required workflow structure and examination.","Your code updates all_workflows with workflow_map(), then selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the first row. This follows the specified workflow and produces the requested best-rmse rows (albeit ordered worst-to-best, as in the solution).","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and discussed how its output differs from your Exercise 8 results, which aligns with the rubric’s expectations.","You extracted the 'norm_forest' workflow, finalized it with specific trees and min_n values, fit on both training and test data, and computed the test/train MSE ratio. The overall process is correct, but the chosen tuning parameters differ from the provided best (trees = 1, min_n = 11), so the final performance metrics will not match the expected values."
