Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets; most required steps and functions are present and used appropriately. A few rubric-specific details are off (e.g., missing strata in the split, not explicitly setting regression mode for all models, and minor recipe/pipe issues). Tightening those details and aligning exactly with the specified processes would bring this to full credit.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step from dat; minor process deviation.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', which was required for the specified 75% stratified split.","Your recipe uses the correct formula, log-transforms the outcome, normalizes numeric predictors, pools Neighborhood, and creates dummies, but you used step_normalize instead of separate step_center and step_scale and the prep/tidy call is not correctly chained (broom::tidy(norm_recipe) is outside the pipeline).","You defined all three models with appropriate engines and tunable parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the rubric’s expected workflow.","You correctly called parsnip::translate() on each of the three model objects, matching the expected process and outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; the process and object are correct.,"You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column with tidyr::unnest(info), matching the expected structure and process.","Your code updates all_workflows with workflow_map and then selects wflow_id and result, unnests result and .metrics, filters for rmse, groups, arranges by descending .estimate, and slices the top row per group, exactly as specified.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output conceptually to your Exercise 8 results.","You extracted a best workflow, finalized it with trees and min_n, and fit on train and test data to compute an MSE ratio, but extract_workflow is misused (extra all_workflows argument), and the rubric expected specifically extracting 'base_forest' and the given ratio value; process is mostly right but not fully aligned."
2,20,"Your lab shows solid understanding of tidymodels workflows, recipes, and workflowsets, and most required steps are present and correctly structured. The main deductions are for not using the exact expected syntax (pipes in Q1, stratification in Q2, separate center/scale and tidy on prepped recipe in Q3, and explicit mode settings in Q4). Addressing these details will bring your work fully in line with the rubric and improve reproducibility and clarity.",2,2,2,2,3,3,3,3,,,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric required using the pipe operator (dat |> skimr::skim()) in a single step from dat; adjust syntax to match the expected workflow.","You set the seed and used initial_split/training/testing with a 0.75 split, but you omitted strata = 'Sale_Price'; include stratification on Sale_Price to fully meet the rubric.","You created a recipe with the correct formula and appropriate steps (log outcome, normalize numeric predictors, step_other, step_dummy), but you did not separate prep and broom::tidy() as specified and used step_normalize instead of explicit step_center and step_scale; follow the exact step sequence and show tidy() on the prepped recipe.","All three models are defined with correct engines and tunable parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the rubric; add set_mode('regression') to each model specification.","You correctly called parsnip::translate() on each of the three model objects, matching the expected process and outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; this fully matches the expected workflow.,"You built all_workflows with the base recipe and three models, then unnested the info column to inspect structure; this aligns well with the rubric expectations.","Your code updates all_workflows with workflow_map and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate, and slices the top row; this matches the required process.",,
3,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, with most required steps present and logically structured. A few details diverged from the rubric (e.g., missing stratification in the split, not explicitly setting modes, and minor recipe/selection issues). Tightening those details and aligning exactly with the specified arguments and chaining would bring this to full credit.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric required using the pipe operator (dat |> skimr::skim()) in a single step from dat; minor process deviation.","You set the seed and used rsample::initial_split, training(), and testing(), but omitted strata = 'Sale_Price', so the split does not fully match the specified process.","Your recipe uses the correct formula, log-transforms the outcome, normalizes numeric predictors, pools Neighborhood, and creates dummies, but you used step_normalize instead of separate step_center/step_scale and the prep/tidy call is not correctly chained to norm_recipe.","You defined the three models with appropriate engines and tunable parameters, but did not explicitly set mode = 'regression' for the first two models as in the expected workflow.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected process and outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; the process and resulting object are correct.,"You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column to inspect structure, matching the expected workflow.","Your code updates all_workflows with workflow_map, then selects wflow_id and result, unnests result and .metrics, filters for rmse, groups, arranges by descending .estimate, and slices the top row per group as specified.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output conceptually to your Exercise 8 results.","You extracted a best workflow, finalized it with trees and min_n, and fit on train and test data and computed a test/train MSE ratio, but the extract_workflow call has an extra argument and the chosen best workflow/parameters are not clearly tied back to the specified base_forest with trees = 1, min_n = 11."
4,25,"Your lab shows solid understanding of tidymodels workflows, recipes, models, and workflowsets, and most required steps are present and structured correctly. The main issues are small deviations from the specified process (missing strata in the split, not using the pipe in Q1, minor recipe and model-spec differences, and a slightly incorrect extract_workflow call). Tightening these details to match the rubric instructions would bring this to full credit.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', so the split is not stratified as required.","You created an appropriate recipe with log transform, normalization, step_other, and dummies, but you used step_normalize instead of separate step_center/step_scale and the broom::tidy() call is outside the recipe pipeline, so the examination step is not correctly implemented.","You specified the three models with correct engines and tunable parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the rubric, and you used unqualified tune() instead of parsnip::tune().","You correctly called parsnip::translate() on each of the three model objects, which matches the expected workflow and output structure.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; this matches the expected process and output.,"You built all_workflows with workflowsets::workflow_set using the recipe and all three models, and unnested the info column with tidyr::unnest(info), matching the expected structure.","You updated all_workflows with workflow_map and then correctly unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row per group.","You used workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared it to your Exercise 8 summary, as required by the rubric.","You extracted a best workflow, finalized it with trees and min_n, and fit on train and test data to compute an MSE ratio, but extract_workflow is misused (extra all_workflows argument) and the rubric expected specifically extracting 'base_forest' with the given parameters and ratio."
5,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most required steps are present and reasonable. A few rubric-specific details are missing or slightly off (e.g., use of strata in the split, separate centering/scaling, explicit regression modes, and exact extract_workflow usage). Tightening those details and ensuring pipelines are syntactically correct would bring this to full credit.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', which was required for the specified split process.","Your recipe uses the correct formula, log-transform of the outcome, normalization, step_other, and step_dummy, but you used step_normalize instead of separate step_center and step_scale and the prep/tidy call is not correctly chained (broom::tidy(norm_recipe) is outside the pipeline).","You defined the three models with appropriate engines and tunable parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the rubric’s expected workflow.","You correctly called parsnip::translate() on each of the three model objects, matching the expected process and outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; this matches the expected process and output structure.,"You created a workflow_set with the base recipe and all three models and then unnested the info column, correctly showing the workflow structure as specified.","You mapped workflow_map with appropriate arguments and then unnested result and .metrics, filtered for rmse, grouped by wflow_id, arranged by descending .estimate, and sliced the top row per group as required.","You used workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared it to your Exercise 8 summary, which satisfies the rubric.","You extracted a best workflow, finalized it with trees and min_n, and fit on train and test data and computed the MSE ratio, but extract_workflow is misused (extra all_workflows argument) and the rubric expected specifically extracting 'base_forest' with the given best parameters and ratio value."
6,22,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most exercises follow the intended structure. The main deductions are for small deviations from the specified process (e.g., missing strata in the split, not using the pipe in Q1, using step_normalize instead of separate centering/scaling, and a slightly incorrect extract_workflow call). Tightening these details to match the rubric’s exact expectations will help you earn full credit in future labs.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', which was required for the specified 75% stratified split.","You created a recipe with the correct formula and appropriate steps (log outcome, normalize predictors, step_other, step_dummy), but you used step_normalize instead of separate step_center/step_scale and the broom::tidy() call is outside the recipe pipeline, so the examination step is not correctly implemented.","You defined all three models with correct engines and tunable parameters, but you did not explicitly set mode = 'regression' for the linear models as in the rubric’s expected workflow.","You correctly called parsnip::translate() on each of the three model objects, matching the expected process and outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; the process and resulting object are correct.,"You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column with tidyr::unnest(info), matching the expected structure and process.","You updated all_workflows with workflow_map and then correctly selected, unnested, filtered for rmse, grouped, arranged by descending .estimate, and sliced the top row per workflow; this matches the rubric’s workflow.","You used workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared it conceptually to your Exercise 8 results, satisfying the required process.","You extracted a best workflow, finalized it with trees and min_n, and fit on train/test data and computed an MSE ratio, but extract_workflow is misused (extra argument), and the rubric expected specifically extracting 'base_forest' and reporting the given approximate ratio."
7,24,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and you completed all exercises with mostly correct code and reasoning. Most deductions are for small process mismatches with the rubric (missing stratification, not explicitly setting modes, and minor recipe/translate details). Review the expected argument patterns (e.g., strata in initial_split, step_center/step_scale, and exact workflow extraction syntax) to fully align with the specified workflows in future labs.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step from dat; minor process deviation.","You set the seed and used rsample::initial_split, training(), and testing() with a 0.75 prop, but you omitted strata = 'Sale_Price', so the split is not stratified as required.","You created a recipe with the correct formula, log-transformed the outcome, normalized numeric predictors, pooled Neighborhood, and created dummies, but you used step_normalize instead of separate step_center/step_scale and did not clearly show broom::tidy() on the prepped recipe (the tidy call is commented out by the pipe placement).","You defined three parsnip models with appropriate engines and tunable parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the rubric’s expected workflow.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected process and outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; this matches the expected process and output structure.,"You built all_workflows with workflowsets::workflow_set using the recipe and all three models, and unnested the info column with tidyr::unnest(info), correctly showing the workflow structure.","You updated all_workflows with workflow_map and then selected wflow_id and result, unnested result and .metrics, filtered for rmse, grouped, arranged by descending .estimate, and sliced the top row per workflow, matching the required workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output conceptually to your Exercise 8 results, satisfying the rubric.","You extracted a best workflow (though the extract_workflow call has an extra argument), finalized it with trees and min_n, fit on train and test data, and computed a test/train MSE ratio close to the expected value; minor issues in the extraction syntax and extra recipe redefinition prevent full credit."
8,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most required steps are present and reasonably structured. The main deductions are for small deviations from the specified process (e.g., missing strata in the split, not using the pipe in Q1, minor recipe and extract_workflow issues). Tightening adherence to the exact function arguments and chaining expected in the rubric will help you reach full credit in future labs.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', which was required for the specified split process.","Your recipe uses the correct formula, log-transforms the outcome, normalizes numeric predictors, pools Neighborhood, and creates dummies, but you used step_normalize instead of separate step_center and step_scale and the prep/tidy call is not correctly chained (broom::tidy is applied to norm_recipe, not the prepped object).","You defined the three models with appropriate engines and tunable parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the rubric’s expected workflow.","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected process and output structure.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; this matches the expected bootstrap resampling workflow.,"You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column with tidyr::unnest(info), which aligns with the rubric.","Your code updates all_workflows with workflow_map and then correctly unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row per group.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared it to your Exercise 8 summary, satisfying the required process.","You extracted a best workflow, finalized it with trees and min_n, and fit on train and test data and computed a test/train MSE ratio, but extract_workflow is misused (extra all_workflows argument) and the rubric expected specifically extracting 'base_forest' and reporting the given approximate ratio."
9,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most exercises follow the intended structure. The main deductions are for small deviations from the specified process (e.g., missing strata in the split, not using the pipe in Q1, using step_normalize instead of separate centering/scaling, and a slightly off extract_workflow call). Tightening these details to match the rubric will bring your work to full credit level.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric required using the pipe operator (dat |> skimr::skim()) in a single step from dat; adjust syntax to match the expected workflow.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price'; include the strata argument to ensure a stratified 75/25 split as specified.","You created a recipe with the correct formula and applied log, normalization, step_other, and step_dummy, but you used step_normalize instead of separate step_center and step_scale and did not clearly show broom::tidy() on the prepped recipe; align more closely with the specified steps and show the tidy output explicitly.","All three models were defined with appropriate engines and tunable parameters, but you did not explicitly set mode = 'regression' for the linear models and used unqualified tune() instead of parsnip::tune(); add set_mode('regression') and namespace tune() for full fidelity to the rubric.","You correctly called parsnip::translate() on each of the three model objects, matching the expected process and outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) as required; this matches the expected workflow and output structure.,"You built all_workflows with workflowsets::workflow_set using the recipe and three models, and unnested the info column with tidyr::unnest(info), correctly showing the workflow structure.","Your code updates all_workflows with workflow_map and then unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by descending .estimate, and slices the top row, fully matching the required process.","You used workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) and compared its output conceptually to your Exercise 8 results, satisfying the rubric.","You extracted a best workflow, finalized it with trees and min_n, and fit on train and test data to compute an MSE ratio, but extract_workflow was called with incorrect arguments and the best-id selection is more complex than needed; simplify to extracting 'base_forest' directly and ensure extract_workflow usage matches the example."
10,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and workflowsets, and most exercises follow the intended process closely. The main deductions are for small deviations from the specified arguments (e.g., missing strata in the split, not explicitly centering/scaling, and a minor misuse of extract_workflow). Tightening those details and ensuring pipelines are syntactically correct (e.g., where broom::tidy() is applied) would bring this to full credit.",2,2,2,2,3,3,3,3,3,2,"You correctly used skimr::skim(dat) and stated there is no missing data, but the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step.","You set the seed and used rsample::initial_split, training(), and testing(), but you omitted strata = 'Sale_Price', so the split does not fully match the specified process.","You created an appropriate recipe with log transform, normalization, step_other, and dummies, but you did not use step_center and step_scale explicitly and the broom::tidy() call is outside the pipeline and will not work as written.","You defined the three models with correct engines and tunable parameters, but you did not explicitly set the mode for the lm and glmnet models, which the rubric expects for full credit.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected workflow and outputs.",You set the seed and created train_resamples with rsample::bootstraps(ames_train) exactly as required.,"You built a workflow_set with the recipe and all three models and unnested the info column, correctly showing the workflow structure.","You updated all_workflows with workflow_map and then unnested result and .metrics, filtered for rmse, grouped, arranged, and sliced correctly to obtain the best RMSE per workflow.","You called workflowsets::rank_results with the correct arguments and compared its output conceptually to your Exercise 8 results, satisfying the rubric.","You extracted a best workflow, finalized it with trees and min_n, and fit on train/test data and computed the MSE ratio, but extract_workflow is misused (extra all_workflows argument) and the rubric expected specifically extracting 'base_forest' with the given parameters."
