student,question,n_runs,mean_score,score_sd,CodeExecution_mention_pct,CodeExecution_deduction_pct,ProcessFidelity_mention_pct,ProcessFidelity_deduction_pct,OutputAccuracy_mention_pct,OutputAccuracy_deduction_pct
student_high,Q1,50,5.0,0.0,100.0,0.0,58.0,0.0,100.0,0.0
student_high,Q2,50,5.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
student_high,Q3,50,5.0,0.0,44.0,0.0,64.0,0.0,100.0,0.0
student_high,Q4,50,5.0,0.0,100.0,0.0,90.0,0.0,96.0,0.0
student_high,Q5,50,5.0,0.0,100.0,0.0,12.0,0.0,100.0,0.0
student_high,Q6,50,5.0,0.0,100.0,0.0,64.0,0.0,100.0,0.0
student_low,Q1,50,4.06,0.164,100.0,32.0,100.0,98.0,98.0,0.0
student_low,Q2,50,3.35,0.42,100.0,72.0,98.0,94.0,100.0,40.0
student_low,Q3,50,0.0,0.0,0.0,0.0,100.0,100.0,12.0,12.0
student_low,Q4,50,4.06,0.193,100.0,6.0,100.0,86.0,68.0,4.0
student_low,Q5,50,2.0,0.0,100.0,2.0,96.0,82.0,100.0,100.0
student_low,Q6,50,5.0,0.0,100.0,0.0,30.0,0.0,100.0,0.0
student_mid,Q1,50,3.99,0.342,100.0,22.0,100.0,100.0,100.0,0.0
student_mid,Q2,50,3.17,0.239,100.0,56.0,100.0,98.0,94.0,36.0
student_mid,Q3,50,1.2,0.378,58.0,16.0,98.0,98.0,86.0,86.0
student_mid,Q4,50,4.71,0.287,100.0,22.0,100.0,22.0,96.0,4.0
student_mid,Q5,50,4.72,0.251,100.0,6.0,58.0,20.0,100.0,12.0
student_mid,Q6,50,5.0,0.0,100.0,0.0,94.0,0.0,100.0,0.0
