Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,"Most of the required tidymodels workflow is implemented correctly, including model specifications, workflow sets, resampling, and tuning summaries. The main issues are in Exercise 1 (extra intermediate object and not piping directly) and Exercise 3 (log base and centering/scaling all predictors instead of only numeric). Tightening those steps to match the specified process would bring this very close to full credit.",1,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat, but did not use the pipe from dat directly (you reassigned dat and created an intermediate object). The conclusion about no missing data is present, but the workflow does not fully match the expected single-step piping process.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, which is good. However, you did not use strata = 'Sale_Price', and the variable names differ from the expected data_split/ames_train/ames_test, so the process is slightly off.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, and then prepped it. However, you used base = 10 instead of natural log, and you centered/scaled all predictors (including dummies) rather than just numeric predictors, so the transformations do not fully match the specification.","All three models are specified correctly with parsnip::linear_reg and parsnip::rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty, mixture, min_n, trees). This matches the required process and structure.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps() on the training data, matching the expected process and producing the correct type of resampling object.","You built all_workflows with workflowsets::workflow_set() using your recipe and three models, and then unnested the info column with tidyr::unnest(info), correctly showing the workflow structure.","Your code follows the expected pipeline: selecting wflow_id and result, unnesting result and .metrics, filtering for rmse, grouping by wflow_id, arranging by .estimate, and slicing the top row. This matches the required workflow for extracting best rmse per model.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified. Although you did not explicitly describe the comparison, the required code is present and correct.","You extracted the best workflow (base_recip_random_forest), finalized it with trees and min_n, and then fit it on both training and test data. The workflow and functions used match the expected process, and you reported test/train MSE values, even if the exact ratio is not computed in code."
2,25,"Your lab shows solid command of tidymodels workflows, models, and resampling; most exercises follow the expected functions and structure closely. The main issues are in Exercise 1 (not using the simple pipe pattern) and Exercise 3 (log base and preprocessing order/targets). Tightening adherence to the specified process and arguments in future labs will help you capture full credit.",1,2,1,3,3,3,3,3,3,3,"You used skimr::skim() on dat, but did not use the pipe from dat directly and created an intermediate object; also as.tibble() is deprecated. EDA conclusion about no missing data is stated, but process does not fully match the single-step pipe requirement.","You correctly used set.seed() and rsample::initial_split(), training(), and testing(), with a ~75% split. However, you did not use strata = 'Sale_Price' and used different object names than specified, so the process is slightly off the rubric.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, step_center, and step_scale, and then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and the order of steps does not match the expected process.","All three parsnip models are correctly specified: lm with lm engine, glmnet with penalty and mixture set to tune(), and random forest with ranger engine and min_n and trees set to tune(), with regression mode. This fully matches the rubric.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required to inspect the underlying templates.","You set the seed and created train_resamples using rsample::bootstraps() on the training data, matching the expected process and output structure.",You built a workflow_set with the recipe and all three models and then unnested the info column to inspect the structure. Column names differ slightly from the template but the workflow content and process are correct.,"Your code (though not evaluated) follows the required chain: workflow_map (given), then select, unnest result and .metrics, filter for rmse, group_by wflow_id, arrange by .estimate descending, and slice(1). This matches the rubric’s expected workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. Comparison to Q8 is implied but not shown in detail, which is acceptable per the rubric.","You extracted the best workflow (base_recip_random_forest), finalized it with trees and min_n, and then fit it on both training and test data. While your reported MSE ratio differs from the solution, the required functions and process are correctly implemented."
3,25,"Most exercises are completed with the correct functions and workflows, especially for model specification, workflowsets, tuning, and finalizing the best model. The main issues are in Exercise 1’s process style, Exercise 2’s missing stratification, and Exercise 3’s log base and preprocessing order/details. Tightening adherence to the specified process (especially for recipes and data splitting) will bring your work fully in line with the rubric.",1,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat, but did not use the pipe directly from dat as specified and created an intermediate object. The conclusion about no missing data is present, but process fidelity is off from the rubric’s single-step pipe requirement.","You set the seed and used rsample::initial_split(), training(), and testing(), but did not use strata = 'Sale_Price' and used different object names than requested. The split proportion is correct, but missing stratification costs 1 point.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, and then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and the order of steps does not match the expected process.","All three models are specified correctly with parsnip::linear_reg(), parsnip::rand_forest(), set_engine(), set_mode(), and tune() for the appropriate parameters. This matches the expected workflow and model configurations.","You applied parsnip::translate() to each of the three model objects, which follows the expected process and would display the correct underlying templates.","You set the seed and created train_resamples using rsample::bootstraps() on the training data, matching the expected process and output structure.","You built a workflow_set with the recipe and all three models and then unnested the info column, correctly showing the workflow structure. This aligns with the rubric’s requirements.","Your code updates all_workflows with workflow_map() and then selects, unnests result and .metrics, filters for rmse, groups by wflow_id, arranges by .estimate, and slices the top row. This matches the expected tuning and summarization workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. The comparison step is implicit but the core code matches the rubric.","You extracted the best workflow (base_recip_random_forest), finalized it with trees and min_n, and fit it on both training and test data. Although the numeric ratio is not computed explicitly, the required functions and workflow are correctly used."
4,23,"You implemented most of the required tidymodels workflow correctly, including model specifications, workflow sets, tuning, and ranking. The main issues are in following the exact specifications for the recipe (natural log and numeric predictors only), the stratified split, and the precise EDA piping pattern. Tightening adherence to the stated arguments and object names in future labs will help you capture the remaining points.",1,1,1,3,3,2,3,3,3,3,"You correctly used skimr::skim() on dat, but did not use the pipe directly from dat (you reassigned dat and created an intermediate object), so the process doesn’t match the single-step pipe requirement; the conclusion about no missing data is present.","You used set.seed() and rsample::initial_split()/training()/testing(), but did not use strata = 'Sale_Price' and used different object names than specified; the 75% split is approximately correct but not stratified.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, but used base = 10 instead of natural log and centered/scaled all predictors (including dummies) rather than only numeric predictors; prep and tidy are used, though stored in a separate object.","All three parsnip models are correctly specified with appropriate engines and regression mode, and tuning parameters (penalty/mixture for glmnet, min_n/trees for ranger) are set using tune().","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected workflow and will show the appropriate engine-specific templates.","You set the seed and created a bootstrap resampling object with rsample::bootstraps(), but used dat_train instead of the specified ames_train; otherwise the process and output type are correct.","You built a workflow_set using your recipe and all three models and then unnested the info column to inspect structure; this matches the expected functions, process, and output structure (4-column workflow set with detailed info when unnested).","Your code follows the required chain of select, unnest, filter for rmse, group_by, arrange(desc(.estimate)), and slice(1) on all_workflows, which matches the expected workflow and will yield the best rmse rows per workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE); this matches the required usage and would allow comparison to Exercise 8.","You extracted the random forest workflow, finalized it with trees and min_n, and set up fits on training and test data; while you did not compute the explicit ratio, you reported MSE values, so the overall selection, finalization, and comparison process is correct."
5,25,"Your lab shows solid understanding of tidymodels workflows, models, and workflowsets; most required functions and steps are present and correctly structured. The main deductions are for not using stratified splitting in Q2 and for recipe details in Q3 (log base and centering/scaling scope). Tightening adherence to the specified process (especially argument values and exact transformations) will bring you to full credit on future labs.",1,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim on dat and concluded no missing data, but the rubric required using the pipe directly from dat to skimr::skim() in a single step without creating intermediate objects; this process deviation costs points.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, but you did not use strata = 'Sale_Price' and used different object names than specified; this partially meets the process and accuracy criteria.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, but you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and did not show broom::tidy() on the prepped recipe as in the expected workflow.","All three parsnip models are specified correctly: linear_reg with lm engine, glmnet with penalty and mixture set to tune(), and rand_forest with min_n and trees set to tune(), each in regression mode; this matches the required process and structure.","You applied parsnip::translate() to each of the three model objects, which is exactly the required workflow to inspect the engine-specific templates.","You set the seed and created a bootstrap resampling object with rsample::bootstraps(dat_train), which matches the expected process and output structure (even though the rubric names the object ames_train).",You built a workflow_set combining the single recipe with all three models and then unnested the info column to inspect the structure; this aligns with the required functions and workflow.,"Your code (though not evaluated) follows the expected sequence: select wflow_id and result, unnest result and .metrics, filter for rmse, group by wflow_id, arrange by descending .estimate, and slice(1); this matches the rubric’s process and intended output.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is implied by your comment.","You extracted the random forest workflow, finalized it with trees and min_n, fit it on both training and test data, and reported MSE values; this matches the expected workflow even though your numeric ratio differs from the solution’s example."
6,25,"You implemented the main tidymodels workflow well: model specifications, workflow_set, resampling, tuning, and ranking are all correctly structured. Most deductions are for smaller process details (e.g., missing strata in the split, log base choice, and centering/scaling scope) rather than missing work. Review the rubric’s exact expectations for preprocessing steps and splitting parameters to align even more closely in future labs.",1,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat, but did not use the pipe from dat directly and created an intermediate object; also as.tibble() is deprecated. EDA conclusion about no missing data is present, but process fidelity is off.","You set the seed and used rsample::initial_split(), training(), and testing() with a ~75% split, which matches the intent. However, you did not use strata = 'Sale_Price' and used different object names than specified, so process/output are slightly off the rubric.","You created a recipe with the correct formula and included log, step_other, dummy, centering, and scaling, and then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and the order of steps does not match the expected process.","All three parsnip models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters penalty/mixture and min_n/trees. This matches the required workflow.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created a bootstrap resampling object using rsample::bootstraps() on the training data, assigning it to train_resamples as expected.",You built a workflow_set with the recipe and all three models and then unnested the info column to inspect the structure. Names differ slightly from the template but the process and structure are correct.,"Your (non-evaluated) code correctly selects wflow_id and result, unnests result and .metrics, filters for rmse, groups by wflow_id, orders by .estimate descending, and slices the top row, matching the required workflow.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; comparison to Q8 is implied in your comments.","You extracted the best workflow (base_recip_random_forest), finalized it with trees and min_n, and showed code to fit on train and test data. Although you did not compute the explicit ratio, the required functions and workflow are present."
7,25,"Your lab shows solid command of tidymodels workflows, models, and resampling, with most exercises following the intended structure and functions. The main issues are minor deviations from the specified process (e.g., missing strata in the split, log base choice, and some naming differences). Tightening adherence to the exact recipe specifications and split parameters would bring this to full credit.",1,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat, but did not use the pipe directly from dat (you reassigned dat and created an intermediate object), so the process deviates from the single-step pipe requirement; the missing-data conclusion is present.","You set the seed and used rsample::initial_split(), training(), and testing(), but you omitted strata = 'Sale_Price' and used different object names than specified; the 75% split is essentially correct.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, but used base = 10 instead of natural log and centered/scaled all predictors (including dummies) rather than only numeric predictors; prep and tidy are present but stored in a separate object.","All three parsnip models are specified correctly with appropriate engines and regression mode, and you used tune() for penalty/mixture and min_n/trees as required.","You correctly called parsnip::translate() on each of the three model objects, which will display the underlying engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(dat_train), which matches the expected bootstrap resampling workflow on the training data.","You built a workflow_set with the recipe and all three models and then unnested the info column, correctly showing the workflow structure; naming differs slightly but the structure and process are correct.","Your code follows the expected dplyr/tidyr pipeline to unnest result and .metrics, filter for rmse, group by wflow_id, arrange by .estimate, and slice the top row; this matches the required workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; comparison to Q8 is implied but not explicitly discussed.","You extracted the random forest workflow, finalized it with the specified best parameters, and fit it on both training and test data; while you did not compute the exact ratio, you reported MSE values, showing an attempt at performance comparison."
8,25,"Most of the required tidymodels workflow is present and correctly structured, especially for model specification, workflowsets, tuning, and finalization. The main issues are in the early steps: missing stratification in the train/test split and some deviations in the recipe (log base and centering/scaling scope and order). Tightening those preprocessing steps and aligning more closely with the specified arguments would bring this to full credit.",1,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat, but did not use the pipe directly from dat (you reassigned dat and created an intermediate object). Also, the rubric expects a single skim call piped from dat and a clear statement about no missing data; your approach is more convoluted and uses as.tibble(), which is deprecated.","You set the seed and used rsample::initial_split(), training(), and testing(), with a 0.75 prop, which matches most of the required process. However, you did not use strata = 'Sale_Price' and used different object names than specified (dat_split, dat_train, dat_test instead of data_split, ames_train, ames_test), so the split is not stratified as required.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped and tidied it. However, you used base = 10 instead of the natural log, centered and scaled all predictors (including dummies) rather than just numeric predictors, and the order of steps does not match the expected (center/scale numeric predictors before dummy creation).","All three models are specified correctly with parsnip::linear_reg() and parsnip::rand_forest(), appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty/mixture for glmnet, min_n/trees for random forest). This matches the required workflow and structure.","You correctly called parsnip::translate() on each of the three model objects (lm_mod_base, lm_mod_glmnet, lm_mod_rforest), which is exactly what was required to inspect the engine-specific templates.",You set the seed and created train_resamples using rsample::bootstraps() on the training data (dat_train). This matches the expected process and produces the correct type of resampling object.,"You built all_workflows with workflowsets::workflow_set() using your recipe and all three models, and then unnested the info column with tidyr::unnest(info). The structure (4 columns plus unnested info) and contents align with the rubric expectations.","Your code follows the required dplyr/tidyr pipeline: selecting wflow_id and result, unnesting result and .metrics, filtering for rmse, grouping by wflow_id, arranging by .estimate descending, and slicing the top row. This matches the specified workflow and would yield the best rmse per workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. While you did not explicitly describe the comparison to Q8, the core code and process are present.","You extracted the best workflow (base_recip_random_forest), finalized it with trees and min_n parameters, and then fit it on both training and test data. Although your reported MSE ratio is not computed explicitly, the required functions and workflow are correctly used."
9,25,"Most of the required tidymodels workflow is implemented correctly, including model specifications, workflow sets, resampling, and tuning summaries. The main issues are in Exercise 1 (not following the exact skim piping pattern) and Exercise 3 (log base and step ordering/details). Tightening adherence to the specified process and parameter details will bring your work fully in line with the rubric.",1,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat, but did not use the pipe directly from dat as specified and created an intermediate object. The conclusion about no missing data is present, but process fidelity is off and use of as.tibble() is outdated.","You set the seed and used rsample::initial_split(), training(), and testing() with a ~75% split, which matches the intent. However, you did not use strata = 'Sale_Price' and used different object names than in the template, so process/output are slightly off per the rubric.","You created a recipe with the correct formula and included log, other, dummy, center, and scale steps, then prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (not just numeric) after dummying, and did not show tidy output clearly, so the specified transformations are not fully correct.","All three parsnip models are specified correctly: linear_reg with lm engine, glmnet with penalty and mixture set to tune(), and rand_forest with min_n and trees set to tune(), all in regression mode. This matches the required workflow and structure.","You applied parsnip::translate() to each of the three model objects, which is exactly what was requested to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(dat_train), which matches the expected process and produces the correct bootstrap resampling object.","You built all_workflows with workflowsets::workflow_set() using your recipe and three models, then unnested the info column with tidyr::unnest(info). The structure and contents align with the rubric expectations.","Your code follows the required chain: select result, unnest result and .metrics, filter for rmse, group by wflow_id, arrange by .estimate descending, and slice(1). This matches the specified workflow and would yield the best rmse per workflow.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. Although you did not explicitly comment on the comparison, the core code is present and correct.","You extracted the best workflow (base_recip_random_forest), finalized it with trees and min_n, and then fit it on both training and test data. While your reported MSE ratio differs from the solution, the required functions and workflow are correctly used."
10,25,"Your lab shows solid understanding of tidymodels workflows, model specification, resampling, and workflowsets; most exercises follow the expected functions and structure closely. The main issues are in Exercise 1 (not piping dat directly) and Exercise 3 (log base and step ordering/selection), and a minor omission of stratification in the train/test split. Addressing these details will bring your work fully in line with the rubric’s expectations.",1,2,1,3,3,3,3,3,3,3,"You correctly used skimr::skim() on dat, but did not use the pipe from dat directly and created an intermediate object; the conclusion about no missing data is present. This partially meets the required process, so points are deducted for not piping dat |> skimr::skim() in a single step.","You set the seed and used rsample::initial_split(), training(), and testing(), and created train/test sets with ~75% split. However, you did not use strata = 'Sale_Price' and used different object names than specified, so process and exact specification are slightly off.","You created a recipe with the correct formula and included step_log, step_other, step_dummy, step_center, and step_scale, and prepped it. However, you used base = 10 instead of natural log, centered/scaled all predictors (including dummies) rather than numeric predictors only, and the order of steps does not match the expected process, so only partial credit is earned.","All three models are correctly specified: linear_reg with lm engine, glmnet model with penalty and mixture set to tune(), and rand_forest with min_n and trees set to tune(), each with regression mode. This fully matches the rubric.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps() on the training data, matching the expected process and output structure.","You built all_workflows with workflowsets::workflow_set() using your recipe and three models, and then unnested the info column with tidyr::unnest(info), correctly showing the workflow structure as required.","Your code follows the expected chain: selecting wflow_id and result, unnesting result and .metrics, filtering for rmse, grouping by wflow_id, arranging by .estimate, and slicing the top row. This matches the rubric’s workflow even though it is not executed.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as specified; comparison to Q8 is implied in your comments.","You extracted the random forest workflow, finalized it with trees and min_n parameters, fit it on both training and test data, and reported test/train MSE values. This matches the required workflow and demonstrates the requested comparison."
