Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, translation, and bootstrapping. However, the workflowsets portion (creating workflows, tuning, extracting best results, and finalizing/fitting the best model) is largely unfinished or left with placeholders. To improve, focus on fully replacing template code in later exercises and following through the entire workflow from workflow_set creation to model comparison on train/test data.",1,2,3,2,3,3,0,0,2,0,"You correctly loaded dat and used skimr::skim(), but you did not use the pipe operator as specified and your written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed and used initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument; otherwise the workflow is correct.","Your recipe uses the correct formula, logs the outcome with base = exp(1), pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and order, though you did not show prep/tidy for inspection.","You correctly specified linear_reg and rand_forest models with appropriate tunable parameters and engines, but you did not explicitly set the mode for the lm and glmnet models as required by the rubric.","You applied parsnip::translate() to each of the three model objects, which matches the expected process and will display the correct engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), correctly following the expected bootstrap resampling workflow.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows are not actually created or examined.","The code block retains template placeholders (__, '___') and does not specify the correct columns or metric, so the required unnest–filter–group–arrange–slice pipeline is incomplete.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare these results to those from Exercise 8.","All three parts of Exercise 10 still contain placeholders and do not specify a workflow id, best parameters, or compute/interpret the test/train MSE ratio, so the model finalization and comparison are missing."
2,16,"You completed the early parts of the lab reasonably well, including the recipe, model specifications, translation, and bootstrapping. However, the workflowset creation, tuning, result summarization, and final model selection/fitting are largely unfinished or left as templates. To improve, focus on fully replacing placeholders, following the specified arguments (e.g., stratified splits), and carrying the workflow through to tuning and evaluation on train/test data.",1,2,3,2,3,3,0,0,2,0,"You used skimr::skim(), but did not pipe dat into skim (as requested) and your written conclusion about missing data contradicts the expected answer of no missing data.","You correctly used set.seed() and rsample::initial_split()/training()/testing(), but you omitted the required strata = 'Sale_Price' argument, so the split process is not fully correct per the instructions.","Your recipe uses the correct formula, log-transforms the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors in a reasonable order; this matches the required preprocessing steps.","You correctly specified the three parsnip models and tuned the right parameters, but you did not explicitly set mode = 'regression' for the first two models as in the expected workflow.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required for examining the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not actually created or examined.","The code block is left with template placeholders (__) and '___', so the unnesting, filtering for rmse, grouping, and arranging steps are incomplete.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare the output to Exercise 8 as requested.","All parts of Exercise 10 still contain placeholders and do not extract the best workflow, finalize it with specific parameters, fit on train/test, or compute the MSE ratio."
3,16,"You completed the early parts of the lab reasonably well, especially the recipe and bootstrap setup, and most core tidymodels functions are used correctly. However, the workflowsets portion (Exercises 7–10) is largely unfinished, and a few earlier details (like stratified splitting and the missing-data interpretation) need correction. Focus on fully replacing template placeholders and following the specified processes for workflow_set, workflow_map, and model finalization in future labs.",1,2,3,2,3,3,0,0,2,0,"You used skimr::skim() on dat, but did not use the pipe operator as requested and your written conclusion about missing data contradicts the expected answer of no missingness.","You correctly set the seed, used initial_split, training, and testing with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and reasonable step order, though you did not show prep/tidy output.","You correctly specified linear_reg and rand_forest with appropriate engines and tunable parameters, but you did not set the mode for the glmnet model (and relied on unqualified tune()), so the process is slightly incomplete.","You applied parsnip::translate() to each of the three model objects, which matches the expected workflow and should reveal the correct engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which is exactly the required process for bootstrap resampling.","You left the workflow_set call with placeholders (____) and did not unnest the info column, so the workflows were never properly created or examined.","The code block still contains template placeholders (__) and '___' and does not implement the required select, unnest, filter for rmse, group, arrange, and slice steps.","You correctly called workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE, but you did not include any comparison or interpretation relative to Exercise 8.","All parts of Exercise 10 remain as templates with placeholders; you did not extract a specific workflow, finalize it with best parameters, fit on train/test, or compute the MSE ratio."
4,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents you from tuning, comparing, and finalizing models. To improve, focus on replacing all template placeholders with working code and following through the full workflow from workflow_set creation to model evaluation on train and test data.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim() on dat, but did not use the pipe as requested and your written conclusion about missing data contradicts the expected answer of no missingness.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the expected preprocessing steps and order.","You correctly specified the three parsnip models and tuned the right parameters, but you did not explicitly set mode = 'regression' for the first two models as in the expected workflow.","You applied parsnip::translate() to each of the three model objects, which matches the required process and would yield the correct templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which is exactly the expected bootstrap resampling setup.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not actually constructed or examined.","The code block is left with template placeholders (__) and '___', so the unnesting, filtering for rmse, grouping, and arranging steps are incomplete.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare the output to Exercise 8 as requested.","All three parts of Exercise 10 still contain placeholders and no concrete workflow id or parameter values, so the best model is neither finalized nor fit to train/test data, and no MSE ratio is reported."
5,16,"You completed the early steps well, including recipe creation, model specifications, and bootstrap resampling, and most of that code follows the intended tidymodels workflow. However, the workflow_set construction, tuning, and model finalization steps (Exercises 7–10) are largely unfinished with placeholders, which prevents end-to-end model comparison. Focus on filling in all template blanks and following the specified arguments (e.g., strata in splits, explicit modes) so later exercises can build on earlier objects.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim() on dat, but did not use the pipe as requested and your markdown conclusion about missing data contradicts the expected answer of no missingness.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and reasonable step order.","You correctly specified the three parsnip models and tuned the right parameters, but you did not explicitly set mode = 'regression' for the first two models as in the expected workflow.","You applied parsnip::translate() to each of the three model objects as required, which would display the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not actually constructed or examined.","The code block is left with template placeholders (__) and '___', so the required unnesting, filtering for rmse, grouping, and arranging are not implemented.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not include any comparison or commentary relative to your (missing) Exercise 8 results.","All parts of Exercise 10 still contain placeholders and no concrete workflow id, parameters, or MSE ratio are provided, so the best model is not finalized or evaluated."
6,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents building, tuning, and evaluating the models as intended. To improve, focus on replacing all placeholders with concrete objects (norm_recipe, lm_mod_*), fully constructing the workflow_set, and carrying the tuning and evaluation through to final model comparison.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim() on dat, but did not use the pipe operator as specified and your markdown conclusion about missing data contradicts the expected answer of no missing data.","You set the seed and used initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and reasonable step order, though you did not show prep/tidy output.","You correctly specified linear_reg and rand_forest with tune()d parameters and appropriate engines, but you did not explicitly set mode = 'regression' for the glmnet model as required by the rubric.","You applied parsnip::translate() to each of the three model objects, which matches the expected workflow and should reveal the correct engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), correctly following the expected process for bootstrap resampling.","You left the workflow_set call with placeholders (____) and did not unnest the info column, so the workflow set is not actually constructed or examined.","The code block still contains template placeholders (__) and '___' and is not a valid pipeline, so the required unnesting, filtering for rmse, grouping, and ranking are not implemented.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not discuss or compare the output to your (missing) Exercise 8 results.","All three parts of Exercise 10 still contain placeholders and are incomplete: you did not extract a specific workflow, finalize with concrete best parameters, fit on train/test, or compute the MSE ratio."
7,16,"You completed the early parts of the lab reasonably well, especially the recipe and resampling steps, and you correctly specified and translated the models. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents building, tuning, and evaluating the models as intended. To improve, focus on replacing all template placeholders with working code and carrying the workflowset through tuning, result extraction, and final model fitting.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim(), but did not use the pipe from dat and you reassigned dat unnecessarily. Also, the written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with prop = 0.75, but you omitted the required strata = 'Sale_Price' argument.","You created norm_recipe with the correct formula, applied log to the outcome, pooled Neighborhood, created dummies, and centered/scaled predictors in a reasonable order. Although you did not show prep/tidy, the core recipe steps and transformations are correct.","You correctly specified the three parsnip models and used tune() for the glmnet and random forest parameters, but you did not explicitly set the mode for the linear models and did not use parsnip::tune() with namespace, which slightly departs from the expected workflow.","You applied parsnip::translate() to each of the three model objects as required, which would display the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected process and output structure.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not actually constructed or examined.","The code block remains mostly as the template with placeholders (__, '___') and is not a valid pipeline to unnest results, filter rmse, and select best rows, so the required process and output are missing.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not include any comparison or commentary relating these results back to Exercise 8.","All three parts of Exercise 10 still contain placeholders and are incomplete: you did not extract a specific workflow, finalize it with concrete parameter values, fit on train/test, or compute the MSE ratio."
8,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents you from tuning, comparing, and finalizing models. To improve, focus on replacing all template placeholders with concrete code and following through the full workflow from workflow_set creation to model evaluation on train and test data.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim() on dat, but did not use the pipe as requested and your written conclusion about missing data contradicts the expected answer of no missingness.","You set the seed and used initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and reasonable step order, though you did not show prep/tidy output.","You correctly specified the three parsnip models and tuned the right parameters, but you did not explicitly set mode = 'regression' for the first two models as in the expected workflow.","You applied parsnip::translate() to each of the three model objects, which matches the required process and would display the correct templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which is exactly the expected bootstrap resampling workflow.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not created or examined as required.","The code block is left in template form with underscores and missing column names/metric, so the unnesting, filtering for rmse, grouping, and ranking steps are not implemented.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare the output to Exercise 8 as requested.","All three parts of Exercise 10 still contain placeholders and are unevaluated; you did not extract the best workflow, finalize with specific parameters, fit on train/test, or report the MSE ratio."
9,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, translation, and bootstrapping. However, the workflowset creation, tuning, result extraction, and final model selection steps (Exercises 7–10) are largely unfinished with template placeholders left in place. To improve, focus on fully replacing template code, ensuring all required arguments (like strata and mode) are specified, and carrying the workflow through to tuning and evaluation.",1,2,3,2,3,3,0,0,2,0,"You correctly used skimr::skim(), but did not use the pipe operator as specified and your written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 split, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and reasonable step order, though you did not show prep/tidy output.","You defined all three models with appropriate engines and tunable parameters, but you did not explicitly set mode = 'regression' for the first two models as required by the rubric.","You correctly called parsnip::translate() on each of the three model objects, which is exactly what was required.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected process and output structure.","You left the workflow_set call with placeholders (____) and did not unnest the info column, so the workflows were not created or examined as required.","The code block still contains template placeholders (__) and '___', so the unnesting, filtering for rmse, grouping, and arranging steps are incomplete and would not run.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not include any comparison or commentary relative to your (missing) Exercise 8 results.","All parts of Exercise 10 still contain placeholders for workflow id, parameter names, values, and the MSE ratio, so the best model is neither finalized nor fitted to train/test data."
10,16,"You completed the early parts of the lab reasonably well, especially the recipe and bootstrap setup, and most core tidymodels functions are used correctly. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents building, tuning, and evaluating the models end-to-end. To improve, focus on replacing all placeholders with working code, including constructing the workflow_set, unnesting results, and finalizing and fitting the best model.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim(), but did not use the pipe from dat and you reassigned dat unnecessarily. Also, the written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome with base = exp(1), pools Neighborhood, creates dummies, and then centers/scales predictors in a reasonable order; this matches the expected preprocessing steps.","You correctly specified linear_reg and rand_forest with tunable parameters and appropriate engines, but you did not explicitly set the mode for the lm and glmnet models as required by the rubric.","You applied parsnip::translate() to each of the three model objects, which is exactly the expected workflow for examining the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflow set is not actually constructed or examined.","The code block is left in template form with placeholders (__) and '___', so the required select, unnest, filter, group_by, arrange, and slice steps are not implemented.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not include any comparison or commentary relative to your (missing) Exercise 8 results.","All parts of Exercise 10 still contain placeholders and are unevaluated; you did not extract a specific workflow, finalize it with best parameters, fit on train/test, or compute the MSE ratio."
