Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and resampling. Most exercises are complete and technically correct, with minor deviations from the exact requested processes (e.g., missing strata in the split, different summarization in Exercise 8, and some extra complexity in Exercise 10). To improve, focus on following the specified arguments and pipelines exactly and avoid including install.packages() calls in solution chunks.",2.5,2,3,3,3,3,2,1.5,3,2,"You correctly used skimr on dat and noted no missing data. To fully match the rubric, use the pipe operator (dat |> skimr::skim()) and avoid reloading dat inside this chunk.","You set the seed, used initial_split, training, and testing with a 75/25 split, which is good. However, you omitted the strata = 'Sale_Price' argument, so the split does not fully follow the specified process.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors, and you prep and examine it. This matches the required transformations and workflow.","All three models are specified correctly with linear_reg and rand_forest, appropriate engines and regression mode, and penalty/mixture and min_n/trees set to tune(). This fully meets the modeling requirements.","You applied parsnip::translate() to each of the three model objects, which is exactly what was requested to inspect the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), producing the expected bootstrap resampling object.","You correctly built all_workflows with workflow_set using the recipe and three models and then unnested the info column. However, including install.packages(""glmnet"") inside the chunk is poor practice and would incur a small discretionary penalty.","You correctly used workflow_map to tune and then summarized results with collect_metrics and filtering for rmse, but this does not follow the requested unnesting pipeline (select, unnest result, unnest .metrics, arrange by .estimate). Also, you minimize mean rather than explicitly arranging .estimate as described.","You called workflowsets::rank_results with all_workflows, rank_metric = 'rmse', and select_best = TRUE as required. The comparison step is implicit but acceptable for this exercise.","You extracted the base_forest workflow, selected best parameters with select_best, finalized the workflow, and fit on train and test data, then computed an MSE ratio. However, you rebuilt a new workflow instead of directly using the finalized one, and your reported ratio differs from the expected approximate value, so the process and output are only partially aligned with the rubric."
2,25.5,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and resampling. Most required functions and objects are present and used correctly, with only a few process deviations (e.g., missing strata in the split, different unnesting approach in Exercise 8, and an in-chunk install). To improve, align more closely with the specified workflows in the rubric and remove any install.packages calls from your submitted code.",2.5,2,3,3,3,3,2,1.5,3,2.5,"You correctly used skimr on dat and stated there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without reassigning dat; minor process deviation.","You set the seed, used initial_split, training, and testing, and created ames_train/ames_test with a 75% split. However, you omitted strata = 'Sale_Price', which is required by the rubric.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors, then prepped and examined it. This matches the required steps and intent, even though you used step_normalize instead of separate center/scale.","All three models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty/mixture, min_n/trees) using tune::tune(). This fully matches the rubric.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which is exactly what was required to inspect the model templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), storing it in the correct variable. This matches the expected process and output structure.","You correctly built all_workflows with workflow_set using norm_recipe and the three models, and you examined the info structure via unnest_wider. However, including install.packages('glmnet') inside the chunk violates the instruction to remove install code and merits a small penalty.","You correctly used workflow_map with the required arguments and focused on rmse, but instead of unnesting result and .metrics and arranging by .estimate as specified, you used collect_metrics() and slice_min(mean). This yields best metrics but does not follow the exact unnesting workflow or column selection described in the rubric.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. While you did not explicitly describe the comparison, the core code matches the rubric.","You extracted the 'base_forest' workflow, obtained best parameters with select_best, finalized the workflow, and fit models on training and test data, then computed and reported a test/train MSE ratio. The workflow is slightly more complex than needed (recreating recipe/workflow) and the reported ratio differs from the solution, but the required functions and comparison are present."
3,25,"Most core tidymodels concepts are implemented correctly: you created appropriate recipes, models, resamples, workflow sets, and tuning workflows. The main issues are minor deviations from the specified processes (e.g., missing stratification in the split, different unnesting approach in Q8, and rebuilding the final workflow differently in Q10) and one in-chunk package install. Tightening adherence to the exact requested workflows and avoiding install calls in solution code will bring this to full credit.",2.5,2,3,3,3,3,2,1.5,3,2,"You correctly loaded `dat` and used `skim()` (with skimr) to summarize, and you stated there is no missing data. However, the rubric expected using the pipe `dat |> skimr::skim()` in a single step without reassigning or extra objects, so a small process deduction.","You used `set.seed(8740)`, `initial_split()`, `training()`, and `testing()` with a 75/25 split, which is good. You omitted `strata = 'Sale_Price'` in `initial_split()`, so the process and expected split specification are not fully correct.","You created `norm_recipe` with the correct formula, log-transformed `Sale_Price`, pooled infrequent `Neighborhood` levels, created dummies, and normalized numeric predictors, then prepped and examined with `broom::tidy()`. This matches the required steps and intent, even though you used `step_normalize()` instead of separate center/scale steps.","All three models are specified correctly: a basic `linear_reg` with lm engine, a glmnet model with `penalty` and `mixture` set to `tune()`, and a random forest with ranger engine and tunable `min_n` and `trees`. Functions and modes/engines are used as required.","You applied `parsnip::translate()` to each of the three model objects, which is exactly what was requested to inspect the underlying templates.","You set the seed and created `train_resamples` using `rsample::bootstraps(ames_train)`, which matches the expected process and output structure for bootstrap resamples.","You correctly built `all_workflows` with `workflow_set()` using the recipe and three models, and you examined the structure by selecting `wflow_id` and unnested `info` (via `unnest_wider`). However, including `install.packages('glmnet')` inside the chunk is against the lab instructions and rubric guidance, so a discretionary penalty applies.","You correctly used `workflow_map()` with `resamples` and `grid`, and you filtered for `rmse` and grouped by `wflow_id`. However, the rubric asked for a specific unnesting workflow (`select`, `unnest`, `filter`, `group_by`, `arrange`, `slice`), while you instead used `collect_metrics()` and `slice_min(mean)`, which does not follow the requested process or show the tuned parameters in the expected columns.","You called `workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE)` as required. This matches the expected code and process for comparing to Exercise 8.","You extracted the 'base_forest' workflow, obtained best parameters with `select_best()`, finalized the workflow, and fit models on training and test data, then computed a test/train MSE ratio. However, you rebuilt a new workflow with a different recipe and did not explicitly use the specified best parameters (trees = 1, min_n = 11), so the process and expected numeric comparison are only partially aligned with the rubric."
4,25.5,"Your lab shows solid understanding of tidymodels workflows, recipes, models, and workflowsets, with most required functions and objects present and used appropriately. The main issues are small deviations from the specified processes (e.g., missing stratification in the split, different unnesting approach in Q8, and a more complex/altered workflow in Q10). Tightening adherence to the exact requested steps and arguments in future labs will help align your work more closely with the rubric.",2.5,2,3,3,3,3,2.5,1.5,3,2,"You correctly used skimr on dat and noted no missing data. However, the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without reassigning or loading skimr separately; minor process deviation.","You set the seed, used initial_split, training, and testing, and created ames_train/ames_test with a 75/25 split. You did not use strata = 'Sale_Price', which is required by the rubric, so process/output are slightly off.","Recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors, then preps and inspects with broom::tidy. This matches the required transformations and workflow.","All three models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty/mixture, min_n/trees) using tune::tune().","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which matches the expected process and will show the three engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), storing it in the correct variable. This follows the expected process and produces the proper bootstrap object.","You created all_workflows with workflow_set using norm_recipe and the three models, and then examined the structure by selecting wflow_id and unnested info (via unnest_wider). This is essentially correct, though the rubric expected tidyr::unnest(info) directly.","You correctly used workflow_map and then summarized results with collect_metrics, filtering for rmse and grouping by wflow_id. However, the rubric required a specific unnesting pipeline (select, unnest result, unnest .metrics, filter, group_by, arrange, slice), which you did not follow, so process fidelity is partial.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. This matches the expected workflow for comparing to Exercise 8.","You extracted the 'base_forest' workflow, used extract_workflow_set_result and finalize_workflow with best parameters, and fit on training and test data, then computed an MSE ratio. However, you rebuilt a new workflow with a different recipe and did not match the expected parameter values or approximate ratio from the solution, so the process and output deviate somewhat."
5,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and resampling, and most required functions are used correctly. The main areas to improve are closely following the specified processes (e.g., using strata in splits, the exact unnesting pipeline in Exercise 8, and directly finalizing/fitting the selected workflow) and avoiding install.packages calls inside analysis chunks. Tightening these details will make your work more reproducible and aligned with the rubric expectations.",2.5,2,3,3,3,3,2,1.5,3,2,"You correctly used skimr on dat and noted no missing data. However, the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without reassigning or loading skimr separately; minor process deviation only.","You set the seed, used initial_split, training, and testing, and created ames_train/ames_test with a 75% split, which matches the intent. However, you omitted strata = 'Sale_Price', so the split is not stratified as required by the rubric.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood with step_other, created dummies, and normalized numeric predictors, then prepped and examined with broom::tidy. This matches the required steps and order closely enough for full credit.","All three models were specified correctly using parsnip::linear_reg and parsnip::rand_forest, with appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters (penalty, mixture, min_n, trees). This fully matches the rubric.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object. This aligns with the rubric.","You correctly built all_workflows with workflowsets::workflow_set using the recipe and three models, and you examined the info structure via unnest_wider. However, the rubric expected tidyr::unnest(info) specifically; also, including install.packages(""glmnet"") inside the chunk is poor practice and would warrant a small penalty.","You correctly used workflow_map to tune and then summarized results with collect_metrics, filtering for rmse and grouping by wflow_id. However, this does not follow the requested unnesting pipeline (select, unnest result, unnest .metrics, arrange by .estimate) and uses slice_min on a non-specified 'mean' column, so process fidelity and alignment with the expected output structure are only partial.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) exactly as required. The comparison step is described in comments, which is sufficient for this rubric.","You used extract_workflow and finalize_workflow on 'base_forest' and then fit models on training and test data, computing an MSE ratio. However, you redefined splits and recipes inconsistently, rebuilt a new workflow instead of directly finalizing and fitting the extracted one, and your reported ratio differs from the expected approximate value, so process fidelity and output accuracy are only partial."
6,25,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and resampling. Most exercises are correctly implemented, with only minor deviations from the requested process (notably in the stratified split, Exercise 8’s unnesting pipeline, and some extra complexity in Exercise 10). For future labs, focus on following the exact sequence and functions specified in the instructions and avoid including install.packages() calls in your submitted code.",2.5,2,3,3,3,3,2,1.5,3,2,"You correctly used skimr on dat and noted no missing data. However, the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without reassigning or loading skimr separately; minor process deviation only.","You set the seed and used initial_split, training, and testing with a 75/25 split, which is good. You omitted the strata = 'Sale_Price' argument and did not name the split object exactly as in the template (data_split is fine), so process and output fidelity are slightly off.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors, then prepped and examined it with broom::tidy. This matches the required steps and order, so full credit.","All three models are specified correctly: linear_reg with lm engine, glmnet with penalty and mixture set to tune(), and rand_forest with min_n and trees set to tune(), all in regression mode. This fully matches the rubric.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which is exactly what was required to inspect the model templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object. This fully meets the criteria.","You correctly built all_workflows with workflow_set using the recipe and three models and then unnested the info column. However, including install.packages('glmnet') inside the chunk violates the no-install rule and warrants a small discretionary penalty.","You correctly used workflow_map with the required arguments and obtained best RMSE per workflow, but you relied on collect_metrics and slice_min(mean) instead of the specified select/unnest/filter/group_by/arrange/slice pipeline. This partially meets the process and output expectations but not the exact workflow requested.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. While you did not explicitly show the comparison, the core code matches the rubric.","You extracted the 'base_forest' workflow, used select_best to get parameters, finalized the workflow, and fit models on train and test data, then computed an MSE ratio. However, you rebuilt a new workflow with a different recipe and did not explicitly set trees = 1 and min_n = 11 as in the solution, so the process and expected numeric comparison are only partially aligned."
7,26.5,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and tuning. Most exercises follow the intended functions and structure, with only minor deviations in a few places (e.g., missing strata in the split, different unnesting approach in Exercise 8, and a mismatched final MSE ratio). To improve, align more closely with the specified arguments and pipelines in the rubric and double-check final performance calculations.",2.5,2,3,3,3,3,2.5,1.5,3,2,"You correctly used skimr on dat and concluded there is no missing data. However, the rubric expected use of the pipe operator (dat |> skimr::skim()) in a single step without reloading dat; minor process deviation.","You set the seed, used initial_split, training, and testing, and created ames_train/ames_test with a 75% split. However, you omitted strata = 'Sale_Price', which is required by the rubric for full credit.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors, then prepped and examined it. This matches the required steps and order closely enough for full credit.","All three models are specified correctly using parsnip::linear_reg, parsnip::rand_forest, set_engine, set_mode, and tune() for penalty, mixture, min_n, and trees. This fully matches the rubric expectations.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which is exactly what was required to inspect the model templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), storing it in the correct variable. This matches the expected process and output structure.","You created all_workflows with workflowsets::workflow_set using the recipe and three models, and then examined the structure by selecting wflow_id and unnested info (via unnest_wider). This is essentially correct, though the rubric expected tidyr::unnest(info) specifically; minor process difference.","You correctly used workflow_map to tune across workflows and then summarized metrics using collect_metrics and dplyr to find best rmse per workflow. However, the rubric required a specific unnesting pipeline (select, unnest result, unnest .metrics, filter rmse, group_by, arrange, slice) which you did not follow, so process fidelity and expected output format are only partially met.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. This matches the rubric’s code and intended comparison to Exercise 8.","You extracted the 'base_forest' workflow, obtained best parameters with extract_workflow_set_result and select_best, finalized the workflow, and fit on both training and test data, then computed an MSE ratio. The overall workflow is correct, but the ratio you report (0.9737) does not match the expected approximate value (~1.12), so output accuracy is off."
8,24,"You implemented most of the tidymodels workflow correctly, including recipes, model specifications, bootstrap resampling, workflow sets, and ranking. The main issues are missing stratification in the split, deviations from the specified unnesting pipeline in Exercise 8, and some extra or non-ideal steps (e.g., install.packages in Q7 and rebuilding the workflow in Q10). Focusing on following the exact requested process and removing installation calls from the .qmd will bring your work fully in line with the rubric.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and noted no missing data, but the rubric expected using the pipe operator (dat |> skimr::skim()) in a single step without reloading dat or attaching the package.","You set the seed, used initial_split, training, and testing, and created ames_train/ames_test with a 75% split, but you omitted the required strata = 'Sale_Price' argument in initial_split.","Your recipe uses the correct formula, log-transforms Sale_Price, pools Neighborhood, creates dummies, and normalizes numeric predictors; you also prep and inspect with broom::tidy, matching the expected process and transformations.","All three models are specified correctly with linear_reg and rand_forest, appropriate engines (lm, glmnet, ranger), regression mode, and tunable parameters penalty/mixture and min_n/trees as required.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which matches the expected workflow and should yield the correct engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), following the expected process and producing the correct bootstrap resampling object.","You correctly built all_workflows with workflow_set and then examined the info structure, but you added an install.packages('glmnet') call (which should be removed) and used unnest_wider(info) instead of unnest(info) as in the rubric.","You correctly used workflow_map and tuned the workflows, but instead of the specified select/unnest/filter/group_by/arrange/slice pipeline, you used collect_metrics and slice_min on a 'mean' column, which does not follow the required process or output structure.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required; while you did not show the comparison explicitly, the core code matches the rubric.","You extracted the base_forest workflow, used select_best and finalize_workflow appropriately, and fit models on train/test, but you rebuilt a new workflow instead of directly finalizing and fitting the extracted one, and your reported MSE ratio differs from the expected value."
9,24,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and resampling. Most core tasks are completed correctly, with only a few deviations from the exact processes requested in the rubric (notably stratification in the split, the specific unnesting pipeline in Q8, and some details in Q10). To improve, focus on matching the specified arguments and step order more closely, even when alternative approaches are also valid.",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and stated there is no missing data. However, the rubric requires using the pipe operator (dat |> skimr::skim()) in a single step without reassigning dat; this process deviation costs 1 point.","You set the seed, used initial_split, and created ames_train and ames_test with a 75% split, which matches most requirements. You did not use strata = 'Sale_Price', so the split is not stratified as specified in the rubric.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors. You then prepped the recipe and examined it with broom::tidy, satisfying all rubric criteria.","All three models are specified correctly: a basic linear_reg with lm engine, a glmnet model with penalty and mixture set to tune(), and a ranger random forest with min_n and trees set to tune(), all in regression mode.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which matches the expected workflow and will display the three engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the expected bootstrap resampling object with default settings.","You correctly built all_workflows with workflow_set using the recipe and three models, and then examined the info structure. However, the rubric expects tidyr::unnest(info); you used unnest_wider(info) instead, which is a minor process deviation.","You correctly used workflow_map with the required arguments and obtained best RMSE per workflow, but you did not follow the specified unnest/select/filter/arrange/slice pipeline and used collect_metrics plus slice_min(mean) instead. This diverges from the required process and output structure, so only partial credit is given.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. While you did not explicitly describe the comparison, the core code and process match the rubric.","You extracted the 'base_forest' workflow, finalized it with best parameters, and fit to training and test data, then computed and reported a test/train MSE ratio. However, you rebuilt a new workflow with a different recipe and did not explicitly set trees = 1 and min_n = 11 as in the solution, so the process and expected numeric ratio differ slightly."
10,24,"Your lab shows solid understanding of tidymodels workflows, recipes, model specification, and resampling. Most core steps are present and correctly coded, especially in preprocessing, model setup, and bootstrap/workflow construction. To improve, align more closely with the specified workflows in the rubric (e.g., use strata in splits, follow the exact unnesting pipeline in Exercise 8, avoid install.packages in chunks, and adhere to the finalize-and-fit pattern for the selected workflow).",2,2,3,3,3,3,2,1,3,2,"You correctly used skimr on dat and stated there is no missing data. However, the rubric requires using the pipe operator (dat |> skimr::skim()) in a single step without reassigning or extra steps; adjust to match that workflow exactly.","You set the seed, used initial_split, and created ames_train and ames_test with a 75% split, which is good. You omitted the required strata = 'Sale_Price' argument in initial_split, so the process does not fully match the rubric.","You created norm_recipe with the correct formula, log-transformed Sale_Price, pooled Neighborhood, created dummies, and normalized numeric predictors, then prepped and examined it with broom::tidy. This matches the required steps and order closely enough for full credit.","All three models are specified correctly using parsnip::linear_reg and parsnip::rand_forest with set_engine and set_mode, and you used tune() for penalty, mixture, min_n, and trees as required. This fully matches the expected model specifications.","You applied parsnip::translate() to each of lm_mod_base, lm_mod_glmnet, and lm_mod_rforest, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples using rsample::bootstraps(ames_train), producing the correct bootstrap resampling object. This follows the expected process.","You correctly built all_workflows with workflowsets::workflow_set using the recipe and three models, and then examined the info structure. However, you included an install.packages('glmnet') call inside the chunk, which violates the lab instructions and counts as a discretionary penalty.","You correctly used workflow_map with the specified arguments, but the rubric asked for a specific dplyr/tidyr unnesting pipeline on the nested result and .metrics columns. Instead, you used collect_metrics() and slice_min(mean), which does not follow the required process or output structure.","You called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE) as required. While you did not show an explicit comparison narrative, the core code and process are present and correct.","You extracted the 'base_forest' workflow, used select_best with rmse, finalized the workflow, and fit models on train and test data, then computed an MSE ratio. However, you rebuilt a new workflow instead of directly finalizing and fitting the extracted one, and your reported ratio differs from the expected approximate value, so the process and output are only partially aligned with the rubric."
