student,question,n_runs,mean_score,score_sd,CodeExecution_mention_pct,CodeExecution_deduction_pct,ProcessFidelity_mention_pct,ProcessFidelity_deduction_pct,OutputAccuracy_mention_pct,OutputAccuracy_deduction_pct
student_a,Q1,50,1.36,0.485,100.0,86.0,100.0,100.0,38.0,6.0
student_a,Q10,50,3.0,0.0,90.0,0.0,90.0,0.0,82.0,58.0
student_a,Q2,50,1.88,0.328,100.0,36.0,100.0,100.0,16.0,16.0
student_a,Q3,50,1.0,0.0,96.0,84.0,100.0,94.0,40.0,38.0
student_a,Q4,50,2.96,0.198,96.0,4.0,76.0,0.0,2.0,0.0
student_a,Q5,50,3.0,0.0,94.0,0.0,58.0,0.0,6.0,0.0
student_a,Q6,50,2.92,0.274,92.0,2.0,100.0,8.0,30.0,0.0
student_a,Q7,50,3.0,0.0,96.0,0.0,100.0,0.0,40.0,14.0
student_a,Q8,50,2.94,0.24,34.0,10.0,100.0,4.0,26.0,0.0
student_a,Q9,50,2.956,0.208,90.0,0.0,82.0,4.0,12.0,0.0
student_b,Q1,50,0.78,0.418,100.0,86.0,100.0,100.0,54.0,6.0
student_b,Q10,50,1.837,0.373,90.0,26.0,98.0,94.0,78.0,76.0
student_b,Q2,50,2.0,0.0,100.0,44.0,90.0,88.0,0.0,0.0
student_b,Q3,50,2.32,0.471,96.0,36.0,100.0,66.0,0.0,0.0
student_b,Q4,50,2.0,0.0,100.0,90.0,96.0,78.0,0.0,0.0
student_b,Q5,50,3.0,0.0,76.0,0.0,92.0,0.0,32.0,0.0
student_b,Q6,50,2.0,0.0,100.0,88.0,98.0,92.0,0.0,0.0
student_b,Q7,50,2.0,0.0,98.0,30.0,100.0,94.0,2.0,0.0
student_b,Q8,50,2.18,0.388,100.0,36.0,100.0,82.0,6.0,0.0
student_b,Q9,50,2.041,0.2,98.0,24.0,98.0,94.0,2.0,2.0
student_c,Q1,50,1.0,0.0,100.0,74.0,98.0,90.0,100.0,100.0
student_c,Q10,50,2.0,0.0,100.0,24.0,100.0,98.0,90.0,86.0
student_c,Q2,50,3.0,0.0,92.0,0.0,100.0,0.0,0.0,0.0
student_c,Q3,50,2.56,0.501,94.0,18.0,100.0,42.0,2.0,0.0
student_c,Q4,50,2.0,0.0,94.0,22.0,100.0,100.0,0.0,0.0
student_c,Q5,50,2.4,0.495,94.0,22.0,88.0,60.0,18.0,0.0
student_c,Q6,50,3.0,0.0,100.0,0.0,98.0,0.0,40.0,0.0
student_c,Q7,50,2.04,0.198,98.0,84.0,100.0,96.0,4.0,4.0
student_c,Q8,50,2.38,0.49,100.0,46.0,100.0,60.0,10.0,2.0
student_c,Q9,50,2.46,0.503,98.0,32.0,100.0,50.0,68.0,4.0
student_d,Q1,50,1.0,0.0,100.0,70.0,100.0,88.0,100.0,100.0
student_d,Q10,50,0.0,0.0,76.0,76.0,88.0,88.0,30.0,30.0
student_d,Q2,50,1.98,0.141,100.0,80.0,90.0,90.0,0.0,0.0
student_d,Q3,50,2.64,0.485,86.0,18.0,100.0,44.0,14.0,10.0
student_d,Q4,50,2.0,0.0,98.0,50.0,100.0,84.0,0.0,0.0
student_d,Q5,50,3.0,0.0,70.0,0.0,86.0,0.0,6.0,0.0
student_d,Q6,50,3.0,0.0,86.0,0.0,100.0,0.0,20.0,0.0
student_d,Q7,50,0.0,0.0,98.0,98.0,100.0,100.0,0.0,0.0
student_d,Q8,50,0.0,0.0,100.0,100.0,92.0,92.0,0.0,0.0
student_d,Q9,50,2.273,0.451,88.0,0.0,88.0,62.0,48.0,46.0
student_e,Q1,50,2.14,0.248,100.0,78.0,92.0,88.0,62.0,0.0
student_e,Q10,50,2.104,0.23,94.0,4.0,96.0,12.0,94.0,94.0
student_e,Q2,50,2.0,0.0,100.0,48.0,100.0,82.0,4.0,6.0
student_e,Q3,50,1.12,0.216,96.0,70.0,100.0,94.0,20.0,20.0
student_e,Q4,50,2.42,0.433,96.0,12.0,82.0,60.0,0.0,0.0
student_e,Q5,50,3.0,0.0,78.0,0.0,90.0,0.0,38.0,0.0
student_e,Q6,50,3.0,0.0,100.0,0.0,100.0,0.0,18.0,0.0
student_e,Q7,50,3.0,0.0,96.0,0.0,100.0,0.0,42.0,0.0
student_e,Q8,50,3.0,0.0,100.0,0.0,94.0,0.0,20.0,8.0
student_e,Q9,50,3.0,0.0,94.0,0.0,96.0,0.0,28.0,0.0
student_f,Q1,50,2.51,0.071,100.0,22.0,94.0,94.0,2.0,0.0
student_f,Q10,50,2.067,0.172,90.0,82.0,90.0,72.0,54.0,12.0
student_f,Q2,50,2.0,0.0,100.0,34.0,100.0,96.0,4.0,4.0
student_f,Q3,50,2.0,0.0,100.0,90.0,100.0,86.0,2.0,0.0
student_f,Q4,50,2.48,0.099,100.0,14.0,96.0,68.0,0.0,0.0
student_f,Q5,50,3.0,0.0,80.0,0.0,90.0,0.0,38.0,0.0
student_f,Q6,50,3.0,0.0,100.0,0.0,98.0,0.0,50.0,0.0
student_f,Q7,50,3.0,0.0,66.0,0.0,100.0,0.0,20.0,0.0
student_f,Q8,50,3.0,0.0,98.0,0.0,100.0,0.0,28.0,0.0
student_f,Q9,50,3.0,0.0,84.0,0.0,88.0,0.0,42.0,0.0
student_g,Q1,50,2.286,0.339,98.0,74.0,98.0,84.0,44.0,0.0
student_g,Q10,50,2.02,0.1,96.0,32.0,98.0,80.0,94.0,94.0
student_g,Q2,50,2.0,0.0,96.0,70.0,98.0,94.0,2.0,2.0
student_g,Q3,50,3.0,0.0,96.0,0.0,98.0,0.0,2.0,0.0
student_g,Q4,50,3.0,0.0,98.0,0.0,60.0,0.0,0.0,0.0
student_g,Q5,50,3.0,0.0,84.0,0.0,90.0,0.0,0.0,0.0
student_g,Q6,50,3.0,0.0,94.0,0.0,94.0,0.0,10.0,0.0
student_g,Q7,50,2.112,0.255,98.0,64.0,96.0,68.0,6.0,0.0
student_g,Q8,50,1.184,0.244,98.0,8.0,98.0,98.0,28.0,28.0
student_g,Q9,50,3.0,0.0,98.0,0.0,98.0,0.0,20.0,0.0
student_h,Q1,50,1.9,0.303,100.0,98.0,98.0,98.0,12.0,0.0
student_h,Q10,50,1.224,0.422,98.0,98.0,98.0,98.0,32.0,30.0
student_h,Q2,50,2.0,0.0,100.0,74.0,100.0,100.0,0.0,0.0
student_h,Q3,50,2.98,0.141,96.0,0.0,100.0,2.0,0.0,0.0
student_h,Q4,50,2.0,0.0,100.0,74.0,100.0,84.0,0.0,0.0
student_h,Q5,50,3.0,0.0,88.0,0.0,56.0,0.0,8.0,0.0
