Run,Total,OverallComment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_feedback,Q2_feedback,Q3_feedback,Q4_feedback,Q5_feedback,Q6_feedback,Q7_feedback,Q8_feedback,Q9_feedback,Q10_feedback
1,16,"You completed the early parts of the lab reasonably well, including the recipe, model specifications, bootstraps, and rank_results call. However, the workflow_set creation, tuning summary, and final model extraction/fitting are largely unfinished or left as placeholders. To improve, focus on fully replacing template code (____) with working objects and completing the full workflow/tuning/finalization sequence in later exercises.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim(), but did not use the pipe from dat and you reassigned dat unnecessarily. Also, the written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop. However, you omitted the required strata = 'Sale_Price' argument in initial_split.","Your recipe uses the correct formula, logs the outcome with base = exp(1), pools Neighborhood with step_other, creates dummies, and then centers/scales predictors in a reasonable order. Although you did not show prep/tidy, the core preprocessing steps are correctly specified.","You correctly specified the three parsnip models and used tune() for penalty/mixture and trees/min_n, and set the ranger model to regression mode. However, you did not explicitly set the mode for the lm and glmnet models as in the rubric’s expected process.","You applied parsnip::translate() to each of the three model objects, which matches the required workflow and will display the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected process and output structure.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows are not actually created or examined.","The code block is left in template form with placeholders (__, '___') and is not a valid sequence of select/unnest/filter/group/arrange/slice operations, so the required tuning summary is missing.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare the output to Exercise 8 as requested.","All three parts of Exercise 10 still contain placeholders and do not extract the base_forest workflow, finalize with best parameters, or fit/train-test models, so the final model selection and comparison are missing."
2,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets portion (Exercises 7–10) is largely unfinished, with placeholders left in place and no final model selection or performance comparison. To improve, focus on fully replacing template code, constructing the workflow_set, tuning via workflow_map, and then extracting and finalizing the best model to compare train/test performance.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim() on dat, but did not use the pipe as requested and your written conclusion about missing data contradicts the expected answer of no missingness in this version of ames.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, log-transforms the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required steps and order, though you did not show prep/tidy output.","You defined all three models with appropriate engines and tuned parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the expected workflow.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected process.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which aligns with the required bootstrap resampling process.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not actually constructed or examined.","The code block retains template placeholders (__) and '___' and does not specify the correct columns or metric, so the unnesting, filtering, and ranking steps are incomplete.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare the output to your (missing) Exercise 8 results.","All parts of Exercise 10 still contain placeholders for workflow id, parameter names, values, and the MSE ratio, so the best model is neither finalized nor fit to train/test data."
3,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents building, tuning, and comparing models. To improve, focus on replacing all template placeholders with working code and carrying the workflow through to tuning, ranking, and final model evaluation.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim(), but did not use the pipe from dat and you reassigned dat unnecessarily. The written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed, used rsample::initial_split(), and created ames_train and ames_test with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome with base = exp(1), pools Neighborhood, creates dummies, and then centers/scales predictors in a reasonable order; this matches the expected preprocessing steps.","You correctly specified the three parsnip models and tuned the right parameters, but you did not explicitly set the mode for the two linear_reg models as in the rubric’s expected workflow.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required to inspect the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflow set was not actually constructed or examined.","The code block is left with template placeholders (__) and '___', so the required unnesting, filtering for rmse, grouping, and arranging steps are incomplete.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not include any comparison or commentary relative to your (missing) Exercise 8 results.","All parts of Exercise 10 still contain placeholders and no concrete workflow id, parameter values, or MSE ratio are provided, so the best model is not finalized or evaluated."
4,16,"You completed the early parts of the lab reasonably well, especially the recipe and model specifications, and your bootstrap setup is correct. However, the workflowset creation, tuning, result summarization, and final model selection/fitting are largely unfinished or left as templates. To improve, focus on fully replacing placeholders, following the specified arguments (e.g., stratification, mode), and carrying the workflow through to tuning and evaluation on train and test data.",1,2,3,2,3,3,0,0,2,0,"You correctly loaded `dat` and used `skimr::skim(dat)`, but did not use the pipe as requested and your written conclusion about missing data contradicts the expected answer of no missingness.","You set the seed and used `rsample::initial_split`, `training`, and `testing` with a 0.75 prop, but you omitted `strata = 'Sale_Price'` in the split.","Your recipe uses the correct formula, logs the outcome with base exp(1), pools Neighborhood, creates dummies, and then centers/scales predictors in a reasonable order; this matches the required preprocessing steps.","You correctly specified the three parsnip models and tuned the right parameters, but you did not explicitly set the mode to 'regression' for the lm and glmnet models as in the expected workflow.","You applied `parsnip::translate()` to each of the three model objects, which is exactly what was required for examining the engine-specific templates.","You set the seed and created `train_resamples` with `rsample::bootstraps(ames_train)`, matching the expected bootstrap resampling process.","The workflow set code is left with placeholders (`____`) and the unnesting of the info column is missing, so the workflows are not actually created or examined.","The code block still contains template placeholders (`__`, '___') and is not completed, so the metrics are not unnested, filtered, or summarized as required.","You included the correct `workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE)` call, but did not comment on or compare the output to your (missing) Exercise 8 results.","All parts of Exercise 10 remain as templates with `__` placeholders; you did not extract a specific workflow, finalize it with best parameters, fit on train/test, or compute the MSE ratio."
5,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, translation, and bootstrapping. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents building, tuning, and evaluating the models. To improve, focus on replacing all template placeholders with concrete code and following through the full workflow from workflow_set creation to final model evaluation.",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim() on dat, but did not use the pipe as requested and your written conclusion about missing data contradicts the expected answer of no missingness.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and order closely enough, though you did not show prep/tidy output.","You defined all three models with appropriate engines and tuned parameters, but you did not explicitly set mode = 'regression' for the first two models as specified in the rubric.","You correctly applied parsnip::translate() to each of the three model objects, which matches the expected workflow and output structure.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which is exactly the required process and object.","You left the workflow_set call with placeholders (____) and did not unnest the info column, so the workflows were not created or examined as required.","The code block still contains template placeholders (__) and '___' and is not a valid pipeline, so the required unnesting, filtering for rmse, grouping, and ranking are missing.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare the output to Exercise 8 as requested.","All three parts of Exercise 10 still contain placeholders (""__"") and no parameters, so you did not extract the best workflow, finalize it, fit on train/test, or compute the MSE ratio."
6,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents building, tuning, and evaluating the models. To improve, focus on replacing all template placeholders with working code and following the exact arguments and steps specified in the rubric (e.g., using strata in splits and setting modes explicitly).",1,2,3,2,3,3,0,0,2,0,"You correctly called skimr::skim(), but did not use the pipe from dat as specified and your written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed and used initial_split(), training(), and testing() with the correct prop, but omitted the required strata = 'Sale_Price' argument.","Recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and order closely enough.","You defined all three models with appropriate engines and tuned parameters, but did not explicitly set mode = 'regression' for the lm and glmnet models as required by the rubric.","You correctly applied parsnip::translate() to each of the three model objects, matching the expected workflow.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which matches the expected process and output.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not created or examined as required.","The code block is left with template placeholders (__) and '___', so the unnesting, filtering for rmse, grouping, and arranging steps are incomplete.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but did not include any comparison or commentary relative to Exercise 8.","All Q10 parts retain placeholders for workflow id, parameter names, and values, and you did not compute or report the test/train MSE ratio, so the best model is not finalized or evaluated."
7,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents you from tuning, comparing, and finalizing models. To improve, focus on fully replacing template placeholders, using the specified arguments (e.g., strata in splits), and carrying the workflow through to model selection and evaluation.",1,2,3,2,3,3,0,0,2,0,"You correctly used skimr::skim(), but did not use the pipe operator as specified and your written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 split, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, log-transforms the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors in a reasonable order; this matches the required preprocessing steps.","You correctly specified the three parsnip models and tuned the right parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the expected workflow.","You applied parsnip::translate() to each of the three model objects, which is exactly what was required for examining the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","The workflow_set call is left with placeholders (____) and you did not unnest the info column, so the workflows are not actually created or examined.","The code block still contains template placeholders (__) and '___', so the required select, unnest, filter for rmse, group_by, arrange, and slice steps are not correctly implemented.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not include any comparison or commentary relating it back to your (missing) Exercise 8 results.","All three parts of Exercise 10 still contain placeholders and are unevaluated; you did not extract the best workflow, finalize it with specific parameters, or fit and compare train/test performance."
8,16,"You completed the early steps well, including data preprocessing, model specification, translation, and bootstrapping. However, the workflowset creation, tuning, and model finalization sections (Exercises 7–10) are largely unfinished, which prevents demonstrating the full tidymodels workflow. Focus on replacing all placeholders, adding strata where required, and carrying the workflow through tuning, selection, and performance comparison.",1,2,3,2,3,3,0,0,2,0,"You used skimr::skim(), but did not pipe dat into skim (as required) and your written conclusion about missing data contradicts the expected answer of no missingness.","You correctly used set.seed(), initial_split(), training(), and testing() with a 0.75 prop, but you omitted the required strata = 'Sale_Price' argument.","Recipe uses the correct formula, log-transforms the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors in a reasonable order; this matches the required preprocessing steps.","You correctly specified the three parsnip models and tuned parameters, but you did not explicitly set mode = 'regression' for the lm and glmnet models as in the expected workflow.","You applied parsnip::translate() to each of the three model objects as required, which would display the underlying engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected bootstrap resampling process.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not created or examined as required.","The code block is left with template placeholders (__, '___') and is incomplete, so the metrics are not unnested, filtered, or summarized as specified.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare these results to Exercise 8 as requested.","All parts of Exercise 10 still contain placeholders and are incomplete; you did not extract the best workflow, finalize it with parameters, fit on train/test, or report the MSE ratio."
9,16,"You completed the early parts of the lab reasonably well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets section (Exercises 7–10) is largely unfinished, with placeholders left in place and no final model comparison. To improve, focus on fully implementing the workflow_set, workflow_map, and model finalization steps, and ensure your written interpretations match the expected results in the rubric.",1,2,3,2,3,3,0,0,2,0,"You used skimr::skim() on dat, but did not use the pipe operator as requested and your written conclusion about missing data contradicts the expected answer of no missingness.","You correctly set the seed, used rsample::initial_split(), and created ames_train and ames_test, but you omitted the required strata = 'Sale_Price' argument in the split.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and order closely enough, though you did not show prep/tidy output.","You correctly specified linear_reg and rand_forest models with appropriate engines and tunable parameters, but you did not explicitly set the mode for the lm and glmnet models as required by the rubric.","You applied parsnip::translate() to each of the three model objects, which is exactly the required workflow for examining the engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), matching the expected process and output structure.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows were not actually created or examined.","The code block is left with template placeholders (__) and '___', so the required unnesting, filtering for rmse, grouping, and arranging are not implemented.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not comment on or compare the output to your (missing) Exercise 8 results.","All parts of Exercise 10 still contain placeholders for workflow id, parameter names, values, and the MSE ratio, so the best model is neither finalized nor fit to train/test data."
10,16,"You completed the early parts of the lab well, especially the recipe, model specifications, and bootstrap resampling. However, the workflowsets portion (Exercises 7–10) is largely unfinished, which prevents building, tuning, and comparing models. To improve, focus on replacing all template placeholders with working code and following the exact arguments and steps specified in the rubric (e.g., stratified splits, explicit modes, and full workflow mapping and ranking).",1,2,3,2,3,3,0,0,2,0,"You correctly used skimr::skim(), but did not use the pipe operator as specified and your written conclusion about missing data contradicts the expected answer of no missing data.","You set the seed and used rsample::initial_split(), training(), and testing() with a 0.75 split, but you omitted the required strata = 'Sale_Price' argument.","Your recipe uses the correct formula, logs the outcome, pools Neighborhood, creates dummies, and then centers/scales predictors; this matches the required transformations and reasonable step order.","You correctly specified the three parsnip models and tuned parameters, but you did not explicitly set the mode for the first two models as required by the rubric.","You applied parsnip::translate() to each of the three model objects, which matches the expected workflow and will show the correct engine-specific templates.","You set the seed and created train_resamples with rsample::bootstraps(ames_train), which matches the expected process and output.","The workflow_set call still contains placeholders (____) and you did not unnest the info column, so the workflows are not actually created or examined.","The code block is left with template placeholders (__) and '___', so the required select, unnest, filter for rmse, grouping, and arranging steps are incomplete.","You correctly called workflowsets::rank_results(all_workflows, rank_metric = 'rmse', select_best = TRUE), but you did not include any comparison or commentary relative to Exercise 8.","All parts of Exercise 10 still contain placeholders and no concrete workflow id, parameters, or MSE ratio are provided, so the best model is not finalized or evaluated."
